Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,,,,,,,,,,,,,,
BE,,,,,,,,,,,,,,,
BG,,,,,,,,,,,,,,,
CH,,,,,,,,,,,,,,,
CY,,,,,,,,,,,,,,,
CZ,,,,,,,,,,,,,,,
DE,,,,,,,,,,,,,,,
DK,,,,,,,,,,,,,,,
EE,,,,,,,,,,,,,,,
ES,,,,,,,,,,,,,,,
FI,,,,,,,,,,,,,,,
FR,,,,,,,,,,,,,,,
GB,,,,,,,,,,,,,,,
GR,,,,,,,,,,,,,,,
HR,,,,,,,,,,,,,,,
HU,,,,,,,,,,,,,,,
IE,,,,,,,,,,,,,,,
IT,,,,,,,,,,,,,,,
LT,,,,,,,,,,,,,,,
LU,,,,,,,,,,,,,,,
LV,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,
NL,,,,,,,,,,,,,,,
NO,,,,,,,,,,,,,,,
PL,,,,,,,,,,,,,,,
PT,,,,,,,,,,,,,,,
RO,,,,,,,,,,,,,,,
RU,,,,,,,,,,,,,,,
SE,,,,,,,,,,,,,,,
SI,,,,,,,,,,,,,,,
SK,,,,,,,,,,,,,,,
WE,,,,,,,,,,,,,,,
BR,,,,,,,,,,,,,,,
CA,,,,,,,,,,,,,,,
MX,,,,,,,,,,,,,,,
US,,,,,,,,,,,,,,,
WL,,,,,,,,,,,,,,,
CN,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,
IN,,,,,,,,,,,,,,,
JP,,,,,,,,,,,,,,,
KR,,,,,,,,,,,,,,,
TR,,,,,,,,,,,,,,,
TW,,,,,,,,,,,,,,,
WA,,,,,,,,,,,,,,,
WM,,,,,,,,,,,,,,,
WF,,,,,,,,,,,,,,,
ZA,,,,,,,,,,,,,,,
AU,,,,,,,,,,,,,,,
