Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
TW,-3.194184967260732,-0.9050040512220432,-7.900769482774367,-1.180966172994819,-0.4712772217526619,-1.0015359150005465,-9.642670495876338,-0.8456471968652411,-1.488514501768485,0.0,0.0,-0.0206934221228601,-0.032094153934001,-2.047147804673424,-0.0054107325182765
US,-0.0861051960267008,-7.801793054116342e-05,-0.5079943245548768,-0.0003612215356564,-0.1462477479137413,-0.7531268812648263,-2.002479074001236,-0.0051511381382289,-0.001661121353889,-2.5368829394142822,0.0,-5.853669759655182e-06,-0.0389259749264047,-5.705399272320447e-05,-0.0523158075100598
CN,-0.4617536057706985,-8.199038919561894e-05,-0.998796897878122,-0.0010537166538327,-0.4226717995809133,-0.5729900069634101,-0.6226627522808267,-0.4244874251129544,-0.0005874100567426,-0.0001984848789077,-0.0006800201965751,-0.0013994467197193,-0.1221493580754849,-0.002130655692149,-0.0774934691644375
WA,-0.1749429245505305,-0.0004027358792847,-1.3386618861428388,-0.0010179529653011,-0.4322120803836188,-0.2625782700478233,-0.7268554332144113,-0.0673150969805393,-0.0023792524512404,0.0,-0.0008312091055732,-0.0013084708409048,-0.0882229943989505,-0.0006600350983272,-0.0875607883264625
WL,-0.0412892909538873,-0.0001206211408206,-0.0879601019689563,-6.319033533886412e-05,-1.9839553675557864,-0.0244822197047697,-0.0459203470531376,-0.0185068988327462,-6.413062420242964e-05,0.0,-0.0002949622123823,-8.723863284050201e-05,-0.0120372092635452,0.0,-0.0192624121644536
DE,-0.0778460892622834,0.0,-0.3679039183640357,0.0,-0.2007929656877079,-0.0175293333276818,-0.2831060766874625,-0.0173298046876324,-8.752390554573353e-05,-0.8957680871540682,0.0,-0.0003258434116658,-0.0293342221123947,0.0,-0.0663054148694235
JP,-0.0329312935443574,0.0,-0.3095637441971836,0.0,-0.3186016642258275,-0.2461700488078709,-0.4292503603200313,-0.0199503918508331,0.0,-2.5917275258508673e-08,0.0,-0.0006685960689589,-0.029899233327994,-0.0003982670590216,-0.0679360585312362
CA,-0.0824298787014869,0.0,-0.6451275931589022,-7.675928868126888e-08,-0.0690145365881975,-0.0498492034911249,-0.1659938910679663,-0.0303837277166713,-2.8741642778905875e-05,0.0,-1.9884167450023997e-08,-6.67430455908262e-06,-0.0123075890553236,-0.0001302576619828,-0.002049505143565
BG,-0.0204670621308315,0.0,-0.0045127601542598,-0.0286229618734144,-0.8892654671283123,0.0,-0.0320465373116996,-0.0046029430113729,-0.0003838974936486,0.0,0.0,-3.1927412487965464e-05,-0.0005945263572326,-0.0111508705898726,-0.0001395781246755
KR,-0.0199510552740309,0.0,-0.2134137220188658,-2.969123930851623e-06,-0.3028066831980318,-0.0914753109675843,-0.084089482870013,-0.0382287115780526,-1.8587992953699444e-05,-3.2437340347168355e-08,-0.0247360058735531,-0.0003075400395097,-0.013052457499887,-0.0006043330413615,-0.0133922229534455
IN,-0.0338403196484412,-1.971517620109081e-05,-0.4300489915399504,-2.082149591340524e-06,-0.0724609215350639,-0.0581153116684896,-0.0609890119789047,-0.006579348190541,-6.935911049391812e-06,0.0,0.0,-2.123958042069817e-05,-0.0011440410385976,-8.397496127697916e-06,-0.0029436487217518
ID,-0.0123050484286089,-5.31387865979249e-08,-0.3400103252828987,-8.486569364141481e-07,-0.0919640151385665,-0.0185753204026762,-0.0555685014660782,-0.0191982219471393,-1.2778360318114857e-05,0.0,-1.9193365899035623e-06,-2.313692937021632e-08,-0.0558925695821812,-4.77667985046399e-08,-0.0024241002013251
AT,-0.0424854254718381,0.0,-0.1569776436651871,0.0,-0.0134781097260566,0.0,-0.1174806006119837,-0.001484246475276,0.0,-0.2149412282472754,0.0,-0.0029891820403421,-0.026583136148601,0.0,-0.0012069365232938
MX,-0.0131789828747765,0.0,-0.0862162691789549,0.0,-0.041526460614587,-0.0681065437128489,-0.3250925954864387,-0.0081516055922158,0.0,0.0,0.0,0.0,-0.0019594782692881,0.0,-0.0318415252008235
CZ,-0.013518902890152,-2.1086478029213423e-05,-0.0490291520762324,0.0,-0.0206262981992782,-0.0006118324162916,-0.0980921416229391,-0.0145473853373169,-4.985356865795772e-06,-0.3270501970006715,-8.49197420040063e-06,-2.0187244572426982e-05,-0.0013147731822123,0.0,-0.0013785831854099
FI,-0.0087534912160796,0.0,-0.0818966904128213,-0.0010882087699387,-0.05643184752601,0.0,-0.0207191288252663,-0.0028750500852273,-0.0005389517878096,-0.1687740671847258,-0.0556011945801833,-0.0003530111341149,-0.1189534729750665,-0.0080696327734529,-0.0018506781036293
BR,-0.0054352544262892,-5.704345198442635e-06,-0.1366011793678355,-7.64934584465832e-06,-0.0174879797671276,-0.3050204093832437,-0.0070035143723414,-0.0014764575192482,-1.8991549931125243e-05,0.0,-5.66772468019679e-05,-8.67993937616311e-06,-0.0016549357727458,-5.809658078702369e-05,-0.0009930684533141
IT,-0.0238968744850492,-0.000127581761947,-0.0986392995273755,0.0,-0.0586435826224118,-0.0169056598174906,-0.0257544847171344,-0.0019341969978462,-5.3534602984245384e-08,-0.1652242059918552,0.0,-0.0001012092149004,-0.0011221443661726,-5.4539112385271234e-08,-0.0098250481587599
SE,-0.0130793341930838,0.0,-0.0963272883121345,-0.0004632969289284,-0.020912583268444,-0.0023620457098855,-0.0678585258167892,-0.0027284258602428,-0.0001549190959164,-0.1919229329539322,-2.174066226591288e-05,-8.069511751055996e-05,-0.0028127481351387,-0.0001354864842321,-0.0006268343752363
SK,-0.0060157710516993,0.0,-0.0244159697744851,-5.416659736107818e-06,-0.0042447744889935,0.0,-0.1614994767170983,-0.0029969130764922,-4.766314100914909e-07,-0.1949793515214062,0.0,0.0,-0.000745090188208,-0.0007900122513818,-0.0004319929412036
BE,-0.0179234489235462,0.0,-0.0513718492832413,0.0,-0.1217398158857947,-0.0197254435816415,-0.0529334649442632,-0.0050081370247998,0.0,-0.0515561893898598,0.0,-0.000143101247772,-0.0031646308609911,0.0,-0.056372224554568
SI,-0.0443871770277102,0.0,-0.0927616888026838,0.0,-0.0024137684890145,0.0,-0.1376843587575892,-0.0003094758179415,0.0,-0.0912633749841747,0.0,0.0,-0.0011139997350831,0.0,-0.0001258228457067
