Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
TW,-3.188,-1.76,-23.651,-2.265,-23.074,-27.511,-68.252,-7.372,-2.204,-12.857,0.0,-0.781,-44.59,-0.103,-4.278
CN,-6.148,-0.047,-4.993,-0.081,-22.618,-34.942,-7.31,-2.661,-0.006,-38.45,-0.007,-1.153,-0.929,-0.021,-2.336
WA,-0.709,-0.089,-15.781,-0.162,-5.088,-9.994,-13.145,-1.098,-0.023,-3.948,-0.016,-0.332,-1.313,-0.029,-1.406
US,-0.869,-0.0,-3.285,-0.065,-1.394,-2.803,-16.255,-0.158,-0.002,-14.054,0.0,-0.001,-0.11,-0.042,-0.162
JP,-1.097,0.0,-10.258,0.0,-1.213,-2.224,-11.286,-0.083,0.0,-7.697,0.0,-0.0,-0.078,-0.0,-0.039
KR,-1.265,0.0,-4.253,-0.0,-2.52,-2.9,-3.158,-0.988,-0.0,-0.731,-0.0,-0.0,-0.507,-0.0,-0.04
WM,-0.293,-0.002,-3.386,-0.037,-0.218,-1.412,-3.011,-0.037,-0.006,-1.047,-0.0,-0.038,-0.261,-0.029,-0.032
DE,-0.878,-0.0,-0.893,-0.0,-0.331,-0.697,-0.496,-0.931,-0.0,-3.095,-0.0,-0.0,-0.666,-0.0,-0.016
IN,-0.141,-0.001,-2.686,-0.0,-0.219,-0.507,-1.865,-0.069,-0.0,-2.16,0.0,-0.001,-0.004,-0.0,-0.079
CA,-0.883,-0.001,-1.328,-0.004,-0.165,-0.727,-1.811,-0.157,-0.0,-0.633,-0.001,-0.001,-0.356,-0.001,-0.016
WL,-0.052,-0.009,-1.14,-0.062,-2.146,-0.703,-1.147,-0.021,-0.003,-0.374,-0.001,-0.01,-0.023,-0.005,-0.024
MX,-0.045,-0.0,-0.201,-0.007,-0.226,-2.881,-1.111,-0.161,-0.0,-0.267,-0.0,-0.001,-0.05,-0.001,-0.068
WF,-0.025,-0.016,-0.884,-0.007,-0.17,-0.316,-0.848,-0.018,-0.006,-0.192,-0.001,-0.084,-0.074,-0.002,-0.01
ID,-0.038,-0.015,-1.499,-0.004,-0.241,-0.156,-0.196,-0.01,-0.0,-0.067,-0.002,-0.0,-0.03,-0.001,-0.005
GB,-0.341,0.0,-0.29,-0.0,-0.34,-0.443,-0.395,-0.067,-0.0,-0.158,-0.0,-0.0,-0.024,-0.0,-0.012
IT,-0.109,-0.0,-0.597,-0.0,-0.174,-0.117,-0.073,-0.04,-0.0,-0.7,-0.0,-0.0,-0.011,-0.0,-0.015
BE,-0.166,-0.0,-0.406,-0.0,-0.1,-0.067,-0.217,-0.097,-0.0,-0.115,-0.0,-0.003,-0.107,-0.0,-0.019
AU,-0.103,-0.045,-0.3,-0.008,-0.02,-0.113,-0.168,-0.092,-0.004,-0.074,-0.001,-0.064,-0.127,-0.008,-0.045
TR,-0.083,-0.0,-0.52,-0.001,-0.097,-0.05,-0.267,-0.001,-0.0,-0.023,-0.0,-0.007,-0.058,-0.001,-0.017
BR,-0.043,-0.004,-0.488,-0.008,-0.079,-0.15,-0.085,-0.019,-0.002,-0.126,-0.001,-0.032,-0.01,-0.001,-0.007
FR,-0.092,-0.0,-0.167,0.0,-0.101,-0.294,-0.176,-0.012,0.0,-0.11,0.0,-0.0,-0.017,0.0,-0.001
NL,-0.07,0.0,-0.018,0.0,-0.181,-0.08,-0.447,-0.012,0.0,-0.114,0.0,-0.0,-0.002,0.0,-0.001
PL,-0.022,-0.0,-0.057,-0.001,-0.05,-0.168,-0.161,-0.054,-0.0,-0.112,-0.0,-0.0,-0.001,-0.0,-0.003
ES,-0.076,-0.0,-0.134,-0.003,-0.07,-0.129,-0.018,-0.069,-0.0,-0.041,-0.0,-0.0,-0.01,-0.0,-0.001
CH,-0.004,0.0,-0.005,0.0,-0.001,-0.118,-0.146,-0.001,0.0,-0.105,-0.0,0.0,-0.001,0.0,-0.162
CZ,-0.008,-0.0,-0.037,-0.0,-0.014,-0.15,-0.075,-0.041,-0.0,-0.081,-0.0,-0.0,-0.011,-0.0,-0.001
WE,-0.02,-0.005,-0.181,-0.0,-0.021,-0.063,-0.033,-0.009,-0.0,-0.031,-0.0,-0.005,-0.025,-0.0,-0.0
RU,-0.006,-0.0,-0.277,-0.0,-0.014,-0.01,-0.057,-0.001,-0.001,-0.005,-0.0,-0.001,-0.016,-0.001,-0.004
AT,-0.042,0.0,-0.052,-0.0,-0.02,-0.072,-0.104,-0.005,-0.0,-0.056,0.0,-0.0,-0.003,-0.0,-0.0
SE,-0.047,0.0,-0.087,-0.0,-0.017,-0.058,-0.046,-0.002,-0.0,-0.053,-0.0,-0.0,-0.038,-0.0,-0.0
NO,-0.028,-0.0,-0.04,-0.0,-0.012,-0.021,-0.022,-0.002,-0.0,-0.027,-0.0,-0.0,-0.12,-0.0,-0.001
ZA,-0.019,0.0,-0.052,-0.001,-0.014,-0.029,-0.048,-0.003,-0.0,-0.031,-0.0,-0.046,-0.008,-0.0,-0.01
FI,-0.004,-0.0,-0.021,-0.0,-0.019,-0.04,-0.009,-0.002,-0.0,-0.034,-0.0,-0.0,-0.108,-0.0,-0.0
LU,-0.008,0.0,-0.063,0.0,-0.011,-0.014,-0.087,-0.024,0.0,-0.015,0.0,0.0,-0.001,0.0,-0.002
HU,-0.004,-0.0,-0.019,-0.0,-0.0,-0.079,-0.041,-0.001,-0.0,-0.043,-0.0,-0.0,-0.0,-0.0,-0.0
GR,-0.025,-0.0,-0.068,0.0,-0.012,-0.011,-0.058,-0.002,-0.0,-0.01,-0.0,-0.0,-0.0,-0.0,-0.0
IE,-0.002,0.0,-0.001,0.0,-0.0,-0.068,-0.049,-0.001,-0.0,-0.039,-0.0,0.0,-0.007,-0.0,-0.0
DK,-0.006,-0.0,-0.011,-0.0,-0.005,-0.048,-0.046,-0.0,-0.0,-0.04,-0.0,-0.0,-0.0,-0.0,-0.0
SK,-0.004,-0.0,-0.006,-0.0,-0.003,-0.035,-0.04,-0.002,-0.0,-0.031,-0.0,-0.0,-0.0,-0.0,-0.0
PT,-0.002,-0.0,-0.018,-0.0,-0.006,-0.037,-0.022,-0.002,-0.0,-0.022,-0.0,-0.0,-0.0,-0.0,-0.0
RO,-0.003,0.0,-0.011,-0.002,-0.003,-0.022,-0.03,-0.001,-0.0,-0.025,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.006,0.0,-0.012,-0.0,-0.003,-0.023,-0.034,-0.001,-0.0,-0.013,-0.0,0.0,-0.003,-0.0,-0.0
BG,-0.002,-0.0,-0.0,-0.0,-0.044,-0.005,-0.007,-0.001,-0.0,-0.009,-0.0,-0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.0,-0.0,-0.001,-0.008,-0.001,-0.0,-0.0,-0.001,-0.0,0.0,-0.005,-0.0,-0.0
HR,-0.004,-0.0,-0.001,-0.0,-0.0,-0.001,-0.005,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.0,-0.0,-0.001,-0.002,-0.002,-0.0,-0.0,-0.001,-0.0,0.0,-0.0,0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.003,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
LV,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
