Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
US,-11.673900645900416,-0.0013077360796128,-124.6782774665716,-0.0064428824251874,-6.867976760258882,-35.879903087934366,-153.79063628818884,-0.2913821513808053,-0.0328885714822607,-118.42438651229256,0.0,-0.0001075994704689,-5.172557361785106,-0.00114552866663,-3.008272420161395
CA,-4.169490132862351,0.0,-6.306891036676061,-3.821314578230862e-07,-1.0577335112203223,-0.5961407715629161,-4.010625402757452,-0.323563710688154,-2.6005693279804274e-06,0.0,-6.576638474638959e-08,-7.277717569789506e-05,-0.1319910661491498,-0.0013581668409143,-0.0201859810501281
MX,-0.1639632079274835,0.0,-0.9951876057292596,0.0,-0.8271084975471953,-0.737252466876158,-7.0405706268283454,-0.1138678762954096,0.0,0.0,0.0,0.0,-0.0167088507882049,0.0,-0.1979256137044613
CN,-1.0181379634803844,-0.0001020016808996,-1.7977383827785205,-0.0013536811533901,-0.7425749849127472,-1.277044775768461,-1.4684945871382735,-1.1016937124238868,-0.0004459164921152,-0.0001723242270921,-0.000548493226624,-0.0015701053857392,-0.3760917352719427,-0.0017708677782662,-0.2540479634333936
WA,-0.4491008506877155,-0.0010699043536685,-2.5993841236193385,-0.0009825578634238,-0.8540678704997161,-0.2121577970338466,-1.2320066082363306,-0.04287662961587,-0.0006496428278123,0.0,-0.0025799695206111,-0.0024786233516709,-0.0759451830415265,-0.0004141104592025,-0.2622303663483462
WL,-0.0761342148610015,-0.0002223067546245,-0.3287871779852773,-0.0001020245632941,-1.7854577134097136,-0.0805113858559951,-0.223128515372227,-0.0347821338728759,-0.0001985436188785,0.0,-0.0004717101327369,-0.0001607823826519,-0.0157635600087018,0.0,-0.0292704085879584
KR,-0.0882597812315647,0.0,-0.2964119689775672,-4.8735349658989e-06,-0.957753232627363,-0.2556695815548637,-0.1593130400755903,-0.098331805153732,-6.703409626738847e-06,-7.266725839126331e-09,-0.0116462135793243,-0.0001977853527933,-0.0353854943577554,-0.0002974949469999,-0.0364106039379313
JP,-0.0356361329519787,0.0,-0.1801756243424573,0.0,-0.7947767051176489,-0.1843008807137974,-0.2617024062027758,-0.0139847600472335,0.0,-1.3026519596977845e-08,0.0,-0.0003978116146544,-0.0242802643217982,-8.279006023123082e-05,-0.0153580930582541
IN,-0.0555190640605708,-1.3630782677368078e-05,-0.5550908227316059,-2.9265942208079427e-06,-0.085506391294584,-0.1054984982935517,-0.1346735064486416,-0.0053882507521275,-5.156253102715364e-06,0.0,0.0,-3.42596613922568e-05,-0.0012544737569701,-5.694901885418194e-06,-0.0049485021422732
DE,-0.0169114382721818,0.0,-0.1008246632104109,0.0,-0.2143683416513631,-0.0049786685182137,-0.1135675261244,-0.0248258614700338,-7.662028655841008e-05,-0.2713039565219604,0.0,-0.0001145493899093,-0.0898074072013718,0.0,-0.0042333858476986
GB,-0.0456600371983014,0.0,-0.0761208208014082,0.0,-0.3605496723943902,-0.0018137238914025,-0.1211495651228064,-0.0473234726445397,-1.322995768378461e-05,-0.0035638971166938,0.0,-0.000206459805934,-0.0304222540743836,-1.4096628072302645e-07,-0.0249746107839628
WM,-0.0718607316237062,0.0,-0.0629872587970884,-8.63327578683792e-05,-0.1609758500561688,-0.0182548291364897,-0.1416826171126953,-0.0133682521669056,0.0,0.0,0.0,0.0,-0.0428558322538115,0.0,-0.0168058545405103
BR,-0.0115897718573032,-1.2104678197647562e-05,-0.2436065375791047,-1.0066077880154457e-05,-0.0244752432319946,-0.057351027155536,-0.0200605566393086,-0.0021162433588892,-2.9281383517808345e-05,0.0,-8.732374355544586e-05,-1.157824900865303e-05,-0.0035903588038873,-8.220989043369081e-05,-0.0017953125004003
TR,-0.0156761240742787,-0.0003038955249642,-0.1557207989964837,-0.0001883438595743,-0.0128884836739216,-0.0005292026356668,-0.0798803942406963,-0.0003993061381984,-0.0002255197021474,-3.683658909961684e-05,-0.0004056911351071,-0.0002405307273219,-0.0013440164573664,-0.0005693745025802,-0.0064951687322285
CH,-0.0013590887950234,0.0,-0.0018931447512158,0.0,-0.000356093516937,-0.0001546116107332,-0.0596429470878518,-0.0001501445038197,0.0,0.0,0.0,0.0,-0.0004506024945927,0.0,-0.1925672158258448
IT,-0.0116647492155304,-7.480888627198887e-05,-0.0574444242106329,0.0,-0.0769843587762616,-0.0076632149083824,-0.0157963995961119,-0.0016023151331042,-8.142864747732104e-09,-0.0492076662642836,0.0,-3.690896051016508e-05,-0.0006053888334485,-2.88485779766144e-08,-0.0070701739115815
ID,-0.0122438722062971,-1.4225611522616777e-08,-0.0848682770234531,-2.267016563256616e-07,-0.0321310362563717,-0.0104844702188162,-0.0289876373873734,-0.006873911291212,-9.851512712290822e-07,0.0,-5.633722871239318e-07,-5.7324626144593966e-09,-0.0091248937576267,-1.3252930923697925e-08,-0.0005874141515571
BE,-0.0119737079894151,0.0,-0.0221958160660363,0.0,-0.0784774934457968,-0.0019090906577243,-0.0257872528519539,-0.001582034572693,0.0,-0.0161483872442761,0.0,-5.69715664858361e-05,-0.0023344126413676,0.0,-0.0094644635995409
PL,-0.0037287874840266,0.0,-0.0103037323026368,-5.771050629800601e-05,-0.0800800158084044,-0.0004963490936232,-0.0187072582977014,-0.0017955859872733,-6.602464491559541e-06,-0.0195308002033364,-1.2437023110314158e-05,-9.150482421017408e-07,-1.8706352234860684e-05,-1.6173445641134906e-06,-0.0020871162376676
FR,-0.0119040752147906,-1.4800159703465432e-05,-0.0389586714856829,0.0,-0.0224758914258527,-0.0020894234641507,-0.0209599183645266,-0.0006225185192851,0.0,-0.0271446309962385,-8.253880552192926e-06,-3.5921528868798043e-06,-0.0030447700520402,0.0,-0.0002858978372999
NL,-0.0066764691496108,0.0,-0.0086245085929404,0.0,-0.019596018349375,0.0,-0.0414516918315261,-0.0029087285747531,0.0,-0.039556032747629,0.0,-5.060630212418159e-05,-0.003825113124264,0.0,-0.0009036909966255
AT,-0.0063464983990686,0.0,-0.0268342855114301,0.0,-0.0053940580014411,0.0,-0.0377707138746979,-0.0003773961616705,0.0,-0.0309644042441359,0.0,-0.0001164727579514,-0.0067107589906971,0.0,-0.0001015326172656
WF,-0.0046959723817043,-9.278772934619592e-05,-0.0114931742205901,-0.0003294270245364,-0.0456013499898195,-0.0018438248282369,-0.0008091110280589,-0.0042704029510614,-0.0005960309902231,0.0,-0.0004176208053646,-0.000236636513108,-0.0222263380503842,0.0,-0.0017393382174637
AU,-0.0040271825842885,-0.0003131988304995,-0.0160547094633213,-8.45574679160722e-05,-0.0206849427063624,-0.0046041668718559,-0.0033020371956989,-0.0088878091544841,-4.671118222560051e-05,0.0,-0.0018055479336206,-8.658339217483663e-06,-0.0209741660706705,-0.0007077482669127,-0.01190136954018
ES,-0.0070520791751363,0.0,-0.0229224802324433,-0.0051730931570952,-0.0283907859813745,-0.010943776000757,-0.0088958471434469,-0.00050012769038,-0.0001168441871117,-0.0066934608252508,-1.1228213845124027e-05,-3.1106023760518635e-05,-0.0003664839791997,-0.0001926493621909,-0.0001306709707583
SE,-0.0038860966925988,0.0,-0.0173172260245552,-6.579912653410878e-05,-0.0100209252118711,-0.000109143250633,-0.0133556522331694,-0.0015427667363995,-1.979053270592298e-05,-0.028971342143934,-2.5408850986370103e-06,-9.820652156939922e-06,-0.0007819793700007,-2.0841728073110687e-05,-9.00110904519895e-05
WE,-0.0024332506004676,-6.386331879410934e-06,-0.0254481501448608,-0.00034318434621,-0.0224322817863066,-0.0015399899167887,-0.0037103083922484,-0.0004644697830382,-1.5665613244692508e-05,0.0,-4.986879505630237e-06,-1.703162954243564e-05,-0.0005929286599033,-1.0094176198739894e-05,-0.0002651719623241
NO,-0.0025434928505587,0.0,-0.0011065582169487,0.0,-0.0106226969939226,-3.9593474666151286e-05,-0.0020719735079443,-0.0004114961459677,0.0,-0.0037905302758536,-3.5843779914283706e-11,-5.02014136607596e-07,-0.0230055014601816,0.0,-0.000156882345474
FI,-0.0004481865385687,0.0,-0.0111817406166685,-2.324928090799102e-05,-0.0039153157797406,0.0,-0.0041038340927544,-0.0004387762322059,-1.1321989543549508e-05,-0.0150492292270487,-0.0013414052648032,-6.745048635686728e-06,-0.0058337630956986,-0.0001632570882402,-4.8733664425444014e-05
RU,-0.0029363911151043,-1.5955253522256458e-06,-0.0215603493187162,-3.795520731031709e-06,-0.009633778777401,-0.0022241815946188,-0.0012159526533538,-0.0002144706439203,-6.335017108609121e-07,0.0,-1.402605027845974e-05,-1.76006258037328e-06,-0.0024176750976284,-6.629106185190843e-06,-0.0011406595663235
CZ,-0.0021968254136493,-1.4820101440803636e-06,-0.0050097848468368,0.0,-0.0028327066844294,-1.398163227232174e-05,-0.0127480922049267,-0.0012250161095367,-2.604485845679777e-07,-0.0166782324939065,-5.985410124576587e-07,-1.055741233105118e-06,-8.385868926121486e-05,0.0,-9.426574444116132e-05
IE,-0.0008526028059977,0.0,-0.0006142560648398,0.0,-6.632407413747841e-05,0.0,-0.0163199061094508,-0.0003905839750763,-7.731061712917463e-05,-0.013454260458049,0.0,0.0,-0.0006557874067791,-4.365890828758316e-06,-0.0002372450348276
ZA,-0.0013146854299058,0.0,-0.0051728208648218,-1.4865716605650273e-06,-0.0022089783403313,-0.0023801902405466,-0.0078172460946846,-0.0001079769335142,-7.03679882383771e-07,0.0,-1.4509062481934002e-05,-6.90427354386095e-06,-0.00139115905647,-4.933177565874803e-06,-0.0086176015658363
BG,-0.0006514074045169,0.0,-0.0001288676798893,-0.0005450530725088,-0.0240004812224094,0.0,-0.0010198779661624,-0.000118085277266,-8.174198579220062e-06,0.0,0.0,-2.121436090481565e-06,-2.2593176835521888e-05,-0.0001496468617595,-1.7082612044026946e-06
GR,-0.0032163705122472,-4.640266629837689e-06,-0.0069214509473383,0.0,-0.0032812095562402,-0.0031024456968563,-0.0058683373064054,-1.1337407267898691e-05,-2.727763614651801e-06,0.0,-0.0017529489162166,-5.79286800953393e-07,-1.0819727477948497e-06,-3.111535812749781e-06,-9.058891585253325e-06
PT,-0.0002102929086129,0.0,-0.0061428721256994,-2.378539505889903e-05,-0.0038089414684724,-0.0019176385621643,-0.0052196781270836,-0.0003926137412386,-1.6578594391110066e-06,-0.0033658001481674,0.0,-3.521899344204419e-06,-2.0515465883577067e-05,-3.843194309541988e-06,-2.0720702992342332e-05
RO,-0.0004783984679333,0.0,-0.0060774557261523,-1.7500469576207422e-07,-0.0010831183225654,0.0,-0.0044394122885007,-1.316663400096327e-05,-1.5600687301898363e-08,-0.008452102239216,0.0,-2.0014786192369355e-09,-3.729509438552442e-05,-1.0029813462018748e-05,-2.9043062033046587e-06
SK,-0.0003652863170226,0.0,-0.0014259290332458,-3.934202862806039e-07,-0.00077400869857,0.0,-0.003958310030961,-0.0001602306424649,-2.598567452682965e-08,-0.0110506113684636,0.0,0.0,-3.497380314283424e-05,-3.655916596999988e-05,-1.219189200693102e-05
TW,-0.0028841333219706,-0.0001714328303931,-0.0027363669634191,-0.000114875622489,-0.0003210700734132,-0.0012922421038546,-0.0060513588784427,-0.0006470353483523,-0.0001209094151536,0.0,0.0,-1.887915527082972e-05,-9.28049812896578e-06,-0.0002743239601431,-4.875569615331663e-06
LU,-0.0006334355241482,0.0,-0.0007351204151652,0.0,-0.0041073508665391,-8.11426718187661e-06,-0.0040095745293693,-0.0002513182419353,0.0,-0.0025275374388825,0.0,0.0,-0.0001980428750791,0.0,-0.0002036835373187
DK,-0.001151544789411,0.0,-0.0010421563953037,0.0,-0.0001632773682672,0.0,-0.0073781256166924,-3.861210791842804e-05,0.0,-0.0003589714602769,-8.195898078287761e-09,0.0,-6.296995481944942e-05,0.0,-8.845990185804563e-05
