Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
US,-22.814,-0.009,-35.848,-2.188,-3.934,-27.092,-223.128,-0.412,-0.094,-122.264,0.0,-0.018,-2.816,-0.743,-2.35
CN,-2.38,-0.026,-1.861,-0.044,-6.495,-16.069,-3.261,-0.989,-0.003,-17.361,-0.004,-0.593,-0.404,-0.012,-1.506
MX,-0.075,-0.0,-0.313,-0.012,-0.206,-4.305,-1.891,-0.087,-0.001,-0.455,-0.0,-0.002,-0.028,-0.002,-0.121
CA,-1.153,-0.0,-1.373,-0.005,-0.12,-0.952,-2.316,-0.046,-0.0,-0.866,-0.001,-0.0,-0.09,-0.001,-0.015
WA,-0.076,-0.013,-0.409,-0.011,-0.121,-0.554,-0.523,-0.044,-0.002,-0.225,-0.002,-0.032,-0.072,-0.002,-0.134
JP,-0.118,0.0,-0.105,0.0,-0.089,-0.184,-0.286,-0.012,0.0,-0.764,0.0,-0.0,-0.015,-0.0,-0.012
DE,-0.084,-0.0,-0.137,-0.0,-0.085,-0.162,-0.103,-0.011,-0.0,-0.714,-0.0,-0.0,-0.037,-0.0,-0.011
WL,-0.026,-0.01,-0.102,-0.021,-0.547,-0.226,-0.153,-0.016,-0.002,-0.068,-0.001,-0.006,-0.011,-0.002,-0.013
IN,-0.019,-0.0,-0.401,-0.0,-0.028,-0.063,-0.218,-0.012,-0.0,-0.24,0.0,-0.0,-0.001,-0.0,-0.019
KR,-0.093,0.0,-0.115,-0.0,-0.118,-0.324,-0.178,-0.076,-0.0,-0.068,-0.0,-0.0,-0.011,-0.0,-0.011
WM,-0.025,-0.001,-0.144,-0.004,-0.013,-0.154,-0.201,-0.003,-0.001,-0.11,-0.0,-0.006,-0.016,-0.004,-0.008
GB,-0.067,0.0,-0.044,-0.0,-0.091,-0.138,-0.125,-0.008,-0.0,-0.05,-0.0,-0.0,-0.009,-0.0,-0.03
TW,-0.003,-0.0,-0.006,-0.0,-0.011,-0.21,-0.073,-0.001,-0.0,-0.026,0.0,-0.0,-0.011,-0.0,-0.006
IT,-0.015,-0.0,-0.051,-0.0,-0.037,-0.023,-0.009,-0.005,-0.0,-0.107,-0.0,-0.0,-0.001,-0.0,-0.006
FR,-0.027,-0.0,-0.046,0.0,-0.012,-0.071,-0.037,-0.002,0.0,-0.029,0.0,-0.0,-0.004,0.0,-0.0
TR,-0.003,-0.0,-0.113,-0.0,-0.005,-0.012,-0.061,-0.0,-0.0,-0.005,-0.0,-0.001,-0.003,-0.0,-0.006
CH,-0.001,0.0,-0.001,0.0,-0.0,-0.034,-0.037,-0.0,0.0,-0.033,-0.0,0.0,-0.0,0.0,-0.071
BE,-0.013,-0.0,-0.034,-0.0,-0.027,-0.016,-0.032,-0.01,-0.0,-0.026,-0.0,-0.001,-0.007,-0.0,-0.005
BR,-0.008,-0.001,-0.055,-0.003,-0.011,-0.027,-0.013,-0.003,-0.001,-0.021,-0.0,-0.009,-0.002,-0.0,-0.003
WF,-0.002,-0.005,-0.021,-0.001,-0.011,-0.017,-0.025,-0.001,-0.001,-0.009,-0.0,-0.012,-0.011,-0.0,-0.002
IE,-0.002,0.0,-0.001,0.0,-0.0,-0.043,-0.036,-0.0,-0.0,-0.026,-0.0,0.0,-0.008,-0.0,-0.0
NL,-0.004,0.0,-0.005,0.0,-0.007,-0.017,-0.044,-0.001,0.0,-0.03,0.0,-0.0,-0.001,0.0,-0.001
AU,-0.009,-0.01,-0.012,-0.002,-0.004,-0.012,-0.008,-0.008,-0.001,-0.007,-0.0,-0.012,-0.011,-0.002,-0.009
ID,-0.002,-0.001,-0.039,-0.0,-0.004,-0.012,-0.018,-0.001,-0.0,-0.004,-0.0,-0.0,-0.003,-0.0,-0.0
ES,-0.012,-0.0,-0.019,-0.001,-0.016,-0.02,-0.002,-0.008,-0.0,-0.006,-0.0,-0.0,-0.001,-0.0,-0.0
PL,-0.002,-0.0,-0.006,-0.0,-0.004,-0.023,-0.017,-0.003,-0.0,-0.015,-0.0,-0.0,-0.0,-0.0,-0.0
AT,-0.007,0.0,-0.012,-0.0,-0.003,-0.018,-0.016,-0.0,-0.0,-0.013,0.0,-0.0,-0.001,-0.0,-0.0
SE,-0.005,0.0,-0.015,-0.0,-0.006,-0.014,-0.009,-0.0,-0.0,-0.014,-0.0,-0.0,-0.002,-0.0,-0.0
LU,-0.003,0.0,-0.019,0.0,-0.004,-0.006,-0.024,-0.004,0.0,-0.007,0.0,0.0,-0.0,0.0,-0.001
CZ,-0.001,-0.0,-0.004,-0.0,-0.001,-0.026,-0.01,-0.001,-0.0,-0.014,-0.0,-0.0,-0.0,-0.0,-0.0
DK,-0.001,-0.0,-0.002,-0.0,-0.0,-0.016,-0.012,-0.0,-0.0,-0.016,-0.0,-0.0,-0.0,-0.0,-0.0
