Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-22.646771314972344,-0.0012007514961573,-18.97334156433114,-0.0170131449159376,-3.1652070970304726,-17.376695393133808,-16.432848067617726,-10.494163811611129,-0.0056443025929206,-0.0660039110557759,-0.0068036522322007,-0.0186864632747337,-2.622406330223476,-0.026774405136379,-0.6958047658912664
WA,-3.4352796370593235,-0.0070186456450667,-19.618320195272144,-0.0222421825066979,-5.398474459774181,-5.700531566705025,-13.922886585815585,-1.8216574876293412,-0.0146788193100134,0.0,-0.0134403437393592,-0.0273656683493523,-2.186563774462744,-0.0237066740265845,-1.4507922214912596
US,-0.6989196405814615,-0.0002170225515717,-1.9381823617048373,-0.0010115439724745,-0.362137230564293,-2.85924927890058,-5.29604161010195,-0.0181849641453395,-0.0048959936698585,-9.73569825360038,0.0,-1.657953575032676e-05,-0.1099166295046895,-0.0001701923124592,-0.1525094432967836
IN,-1.0496265206890796,-0.0002049903233806,-5.606904162112362,-2.8451696139511147e-05,-1.0900642615585885,-1.0842313731201596,-1.404449794243864,-0.0875591921844946,-0.0001194913487128,0.0,0.0,-0.0006250328759774,-0.0137741161286306,-0.0001460161301742,-0.040082545965731
JP,-0.1346691147670352,0.0,-1.1549514696168195,0.0,-0.9687543165656004,-0.8466293012064855,-1.256036212199041,-0.054872732676061,0.0,-1.5426751506552163e-06,0.0,-0.0025675643595344,-0.1026912428706582,-0.0007116819217977,-0.1301835979545829
KR,-0.3107337016751992,0.0,-1.129161322922915,-7.3789523997925186e-06,-0.8522867231958986,-0.9053056451054496,-0.6607326886040068,-0.2794728434316972,-3.197922186023174e-05,-3.515618954485355e-08,-0.0764433662292326,-0.0011014559582185,-0.068532005798967,-0.001692815233909,-0.0765692296681977
ID,-0.0715779236451837,-7.497909903546809e-07,-2.613558390739622,-1.1867928990030173e-05,-0.34046357239207,-0.2415596567195074,-0.336907667330559,-0.078665986531206,-0.000174493878997,0.0,-3.4726662635614937e-05,-2.4749128557505e-07,-0.0781871118960216,-7.652028847631396e-07,-0.0097822953853868
WM,-0.4708285285146023,0.0,-0.5359862118050472,-0.0005853466022769,-0.3664138071043814,-0.1057463315974757,-0.6241261537909939,-0.2137857602355819,0.0,0.0,0.0,0.0,-0.5184844033444932,0.0,-0.0869204402669121
WL,-0.1473595371181841,-0.0004325018014448,-0.2221592168035451,-0.0001094441252034,-1.843770060141125,-0.0888557894905848,-0.1631129490376391,-0.0417758480994481,-0.0001704741513793,0.0,-0.0005452556023853,-0.0003128019388541,-0.0166799025430663,0.0,-0.0359284598240833
CA,-0.4452461092994632,0.0,-0.6099565220857899,-6.297388915767411e-08,-0.1015304393208408,-0.0791032216020922,-0.3974382361829415,-0.0462956710463321,-1.97060731978781e-06,0.0,-8.084370025829264e-08,-9.551930384730836e-06,-0.0173674087523269,-0.0002629097543185,-0.0038918430474064
