Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-87.172,-0.396,-42.533,-0.604,-25.92,-148.364,-51.447,-9.042,-0.036,-269.137,-0.049,-7.352,-5.159,-0.135,-9.163
US,-0.638,-0.0,-1.402,-0.032,-0.339,-2.437,-13.284,-0.02,-0.001,-10.083,0.0,-0.001,-0.06,-0.041,-0.106
WA,-0.242,-0.075,-7.324,-0.064,-0.304,-2.214,-2.545,-0.168,-0.012,-1.073,-0.013,-0.203,-0.289,-0.016,-0.153
DE,-1.164,-0.0,-1.895,-0.0,-0.309,-1.322,-1.328,-0.091,-0.001,-5.806,-0.0,-0.0,-0.097,-0.0,-0.059
JP,-0.171,0.0,-0.716,0.0,-0.141,-1.327,-2.063,-0.031,0.0,-3.883,0.0,-0.0,-0.052,-0.0,-0.017
IN,-0.605,-0.001,-2.35,-0.001,-0.314,-0.926,-1.78,-0.128,-0.0,-1.622,0.0,-0.003,-0.007,-0.0,-0.169
KR,-0.289,0.0,-0.738,-0.0,-0.167,-2.075,-1.505,-0.121,-0.0,-0.403,-0.001,-0.0,-0.032,-0.0,-0.026
ID,-0.101,-0.168,-1.633,-0.024,-0.185,-1.367,-0.619,-0.054,-0.001,-0.162,-0.019,-0.0,-0.078,-0.005,-0.02
TW,-0.113,-0.0,-0.17,-0.0,-0.088,-1.253,-1.329,-0.011,-0.0,-0.252,0.0,-0.0,-0.086,-0.0,-0.037
MX,-0.116,-0.0,-0.185,-0.008,-0.07,-1.663,-0.798,-0.055,-0.0,-0.184,-0.0,-0.001,-0.011,-0.001,-0.07
LU,-0.14,0.0,-0.471,0.0,-0.047,-0.294,-1.101,-0.047,0.0,-0.122,0.0,0.0,-0.006,0.0,-0.014
CH,-0.032,0.0,-0.018,0.0,-0.002,-0.504,-0.774,-0.001,0.0,-0.495,-0.0,0.0,-0.002,0.0,-0.21
BE,-0.306,-0.0,-0.494,-0.0,-0.252,-0.169,-0.416,-0.051,-0.0,-0.154,-0.0,-0.013,-0.014,-0.0,-0.113
WM,-0.069,-0.002,-0.351,-0.014,-0.03,-0.462,-0.538,-0.009,-0.003,-0.275,-0.0,-0.02,-0.027,-0.015,-0.014
CA,-0.142,-0.0,-0.324,-0.004,-0.029,-0.302,-0.579,-0.02,-0.0,-0.303,-0.0,-0.0,-0.029,-0.001,-0.013
FR,-0.205,-0.0,-0.298,0.0,-0.062,-0.486,-0.264,-0.008,0.0,-0.228,0.0,-0.0,-0.005,0.0,-0.001
GB,-0.097,0.0,-0.133,-0.0,-0.061,-0.371,-0.42,-0.015,-0.0,-0.171,-0.0,-0.0,-0.029,-0.0,-0.013
RU,-0.072,-0.0,-0.947,-0.002,-0.045,-0.097,-0.053,-0.005,-0.006,-0.014,-0.001,-0.006,-0.025,-0.004,-0.013
WL,-0.027,-0.012,-0.117,-0.019,-0.35,-0.307,-0.217,-0.018,-0.002,-0.097,-0.001,-0.007,-0.012,-0.002,-0.015
AU,-0.138,-0.196,-0.13,-0.021,-0.044,-0.116,-0.051,-0.049,-0.008,-0.043,-0.003,-0.145,-0.102,-0.017,-0.091
IT,-0.082,-0.0,-0.259,-0.0,-0.061,-0.127,-0.048,-0.013,-0.0,-0.507,-0.0,-0.0,-0.003,-0.0,-0.012
NL,-0.062,0.0,-0.104,0.0,-0.052,-0.169,-0.439,-0.015,0.0,-0.188,0.0,-0.0,-0.007,0.0,-0.004
TR,-0.042,-0.0,-0.256,-0.001,-0.012,-0.203,-0.267,-0.0,-0.0,-0.035,-0.0,-0.009,-0.002,-0.001,-0.016
CZ,-0.033,-0.0,-0.057,-0.0,-0.009,-0.348,-0.214,-0.005,-0.0,-0.167,-0.0,-0.0,-0.001,-0.0,-0.001
PL,-0.05,-0.0,-0.053,-0.001,-0.051,-0.26,-0.167,-0.008,-0.0,-0.128,-0.0,-0.0,-0.0,-0.0,-0.006
WF,-0.015,-0.026,-0.094,-0.006,-0.046,-0.097,-0.132,-0.006,-0.006,-0.046,-0.001,-0.071,-0.057,-0.002,-0.008
ES,-0.168,-0.0,-0.162,-0.005,-0.045,-0.137,-0.016,-0.033,-0.0,-0.041,-0.0,-0.0,-0.003,-0.0,-0.002
AT,-0.056,0.0,-0.131,-0.0,-0.014,-0.109,-0.116,-0.001,-0.0,-0.086,0.0,-0.0,-0.008,-0.0,-0.001
