Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.001,0.002,0.0,0.0,0.001,0.0,0.001,0.001,0.0
BE,0.0,0.0,0.0,0.0,0.002,0.0,0.003,0.008,0.009,0.005,0.002,0.011,0.001,0.005,0.001
BG,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.02,0.003,0.009,0.002
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.003,0.001
DE,0.0,0.0,0.008,0.002,0.0,0.0,0.013,0.03,0.011,0.009,0.015,0.006,0.008,0.016,0.02
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.006,0.0,0.001,0.0,0.0,0.002,0.003,0.002,0.003,0.0,0.0,0.001,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
FR,0.0,,,,0.0,,0.002,0.005,0.002,0.001,0.001,0.0,0.003,0.003,0.001
GB,,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.001,0.005,0.001,0.002,0.005,0.001
GR,0.0,,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.001,0.0
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.002,0.001,0.0,0.001,0.001,0.001,0.002
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.002,0.007,0.002,0.005,0.001,0.001,0.002,0.013,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.002,0.002,0.001,0.001,0.0,0.001,0.005,0.001
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
PL,0.0,0.002,0.003,0.0,0.0,0.0,0.001,0.001,0.002,0.001,0.0,0.001,0.002,0.002,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,0.0,0.003,0.078,0.008,0.001,0.018,0.001,0.015,0.002,0.001,0.004,0.001,0.001,0.001,0.0
SE,,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0
SI,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
WE,0.022,0.0,0.011,0.005,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
BR,0.004,0.009,0.018,0.007,0.003,0.002,0.0,0.002,0.001,0.0,0.001,0.001,0.0,0.0,0.0
CA,0.0,0.005,0.003,0.005,0.0,0.002,0.002,0.005,0.001,0.002,0.005,0.001,0.002,0.007,0.001
MX,0.0,0.01,0.006,0.0,0.0,0.003,0.001,0.003,0.002,0.006,0.002,0.007,0.01,0.01,0.001
US,0.0,0.039,0.014,,0.0,0.169,0.007,0.022,0.012,0.002,0.009,0.01,0.014,0.16,0.034
WL,0.014,0.023,0.026,0.011,0.001,0.009,0.0,0.002,0.012,0.002,0.002,0.001,0.002,0.003,0.0
CN,0.44,0.739,0.449,0.545,0.919,0.561,0.941,0.665,0.888,0.9,0.821,0.882,0.88,0.619,0.908
ID,0.186,0.03,0.012,0.214,0.0,0.023,0.001,0.026,0.006,0.005,0.012,0.002,0.008,0.007,0.001
IN,0.001,0.001,0.001,,0.0,0.002,0.007,0.037,0.011,0.013,0.001,0.016,0.005,0.021,0.005
JP,,,,,0.0,0.0,0.002,0.011,0.005,0.003,0.008,0.002,0.008,0.025,0.013
KR,,0.0,0.0,0.008,0.0,0.0,0.003,0.012,0.006,0.012,0.005,0.003,0.012,0.018,0.001
TR,0.0,0.001,0.002,0.0,0.001,0.005,0.0,0.004,0.0,0.0,0.0,0.002,0.001,0.003,0.0
TW,0.0,0.0,0.001,,0.0,0.0,0.001,0.003,0.003,0.001,0.014,0.004,0.007,0.016,0.001
WA,0.083,0.078,0.15,0.139,0.025,0.065,0.003,0.115,0.01,0.017,0.046,0.015,0.013,0.031,0.004
WM,0.002,0.017,0.036,0.001,0.002,0.062,0.001,0.005,0.001,0.001,0.004,0.001,0.003,0.006,0.001
WF,0.029,0.007,0.076,0.012,0.009,0.008,0.0,0.001,0.002,0.001,0.009,0.001,0.001,0.002,0.0
ZA,,0.001,0.001,0.001,0.018,0.002,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0
AU,0.217,0.026,0.101,0.038,0.018,0.069,0.001,0.002,0.002,0.005,0.016,0.009,0.001,0.001,0.0
