Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-11.21830040477658,-0.0004269201311415,-7.26031620420486,-0.0056399343180757,-2.853219439976476,-5.1362105091699135,-16.013865391433715,-2.455596896347751,-0.0024335388647079,-0.0013563048296082,-0.0028846140554555,-0.0069098750660368,-0.611398662961901,-0.0094028251568854,-0.5073152332598817
WE,-3.4485519201188253,-0.0520243243405344,-18.839294454898184,-0.5345249873579586,-8.210672471914604,-2.0814494512280635,-3.840376685168318,-1.142071006275167,-0.0267941460798708,0.0,-0.0237226043894814,-0.0597575188952235,-0.997763130427788,-0.0069786032605768,-0.4722436101461115
IT,-2.0050708509232287,-0.0063770489799486,-7.840209577477911,0.0,-1.4411682912012571,-0.3526867320842415,-1.1978313698476948,-0.0740782191267264,-9.128306397877116e-07,-8.749000135038074,0.0,-0.0040112681538704,-0.049661974460214,-3.09202268939738e-06,-0.6851549274780354
US,-0.4928528724297357,-0.0001244379390408,-2.1397598335619104,-0.0005704089150834,-0.3741049829196631,-1.677484447953329,-4.676879168779861,-0.0217668254129724,-0.0027028158288611,-5.473870854346731,0.0,-9.303985950007148e-06,-0.1107765791132911,-9.630745900140744e-05,-0.2132366808004594
DE,-0.6241520230559324,0.0,-1.8216571216172317,0.0,-1.0554651765354306,-0.0659736431315212,-2.3425949534107025,-0.2215837765476872,-0.0007482731204724,-6.3671606639775815,0.0,-0.0019539871308421,-0.1480792045799434,0.0,-0.3241692769153849
WA,-0.6072861342324979,-0.0014341051308559,-3.639205352739151,-0.0017792273329596,-1.0120346667935651,-0.4218404644730325,-1.6265963381578217,-0.1439825401895,-0.0049418549005712,0.0,-0.0035600417984479,-0.0036870276215728,-0.1055554605259152,-0.0010530782573594,-0.363221898343367
CZ,-0.363372969978236,-0.000279816847254,-0.7887517408095377,0.0,-0.2283125322143084,-0.0031394453910105,-1.885294055655368,-0.1939311857501254,-5.279945618339026e-05,-4.031672415508556,-0.0001149494317249,-0.0002143249157901,-0.0110625712887019,0.0,-0.015843515067324
GR,-2.716465422194753,-0.0004392452844899,-2.6731173280197384,0.0,-0.5087873229464125,-0.4674395747356336,-0.7367853284611002,-0.0044009545581157,-0.0002663852620609,0.0,-0.1683891227310227,-2.757299672505276e-06,-0.0004918904231351,-0.000695477469068,-0.0040278768512415
HR,-2.103413845549289,-5.493816515947981e-05,-1.4975047229906011,0.0,-0.0718094307433787,0.0,-0.7800838795543711,-0.0012480592995687,-6.401198916737585e-09,-2.611033735579469,-3.181486050829484e-06,0.0,-0.0167988302346852,0.0,-0.0004648206509901
BG,-0.4027404485068251,0.0,-0.0575898351790522,-0.1366769898776291,-5.875901961394602,0.0,-0.1547085050949576,-0.0543943771636276,-0.0010339449393603,0.0,0.0,-4.3710936054555326e-05,-0.00271311376719,-0.061398348386991,-0.0006000376841671
CH,-0.4625513070815128,0.0,-0.817680237097369,0.0,-0.0242070529086552,-0.0051590800542029,-2.9783834242541363,-0.0080688587816875,0.0,0.0,0.0,0.0,-0.0385301719001599,0.0,-2.211803151144628
