Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
WF,-1.5062491035538017,-0.0242171606485802,-8.801628449260006,-0.0688676881313935,-5.878591331444374,-0.7324847442589698,-0.1728935180820172,-5.214768828233037,-8.025839251863577,0.0,-5.623461307103343,-0.0608552886701304,-18.71394795086028,0.0,-0.471823128699971
CN,-3.723627423814953,-0.0008371425954802,-3.567913169413784,-0.0113776520757743,-1.5272573576835435,-1.89065169723174,-2.014788941040619,-8.91703011752762,-0.0011144026154059,-0.0024245360441654,-0.0018429713322536,-0.0113613875672649,-2.9660019552830748,-0.006344790493289,-0.1164380532666109
US,-0.0911442276815515,-3.299344788153578e-05,-0.7039500591981492,-0.0001479628150324,-0.0929586714509458,-0.4470467666027686,-1.0287629690061273,-0.0381565746846706,-0.0007223154719782,-1.450923378002977,0.0,-2.400047787943446e-06,-0.0306042538950023,-3.585514410944909e-05,-0.0284213238273969
WA,-0.2628740520994043,-0.0006243132435657,-0.7661550872425293,-0.0005761355666961,-0.92327451977294,-0.1160080212714025,-0.5418471088804497,-0.2247388904416181,-0.0006517855951778,0.0,-0.0010995860532688,-0.0011624328836559,-0.0879063907204758,-0.0002258789454883,-0.1121317832864818
WM,-0.1366499894268992,0.0,-0.1273231212664972,-3.48829027237655e-05,-0.921339700013623,-0.0321995010314014,-0.163795895327608,-0.0586307574391122,0.0,0.0,0.0,0.0,-0.0459152737960213,0.0,-0.0857196245272138
WL,-0.0227909387031188,-6.566097917076809e-05,-0.0488329294535719,-3.985327007186648e-05,-1.1286057415235835,-0.0136618763122556,-0.0311749564207575,-0.0080587426424566,-3.220322530394908e-05,0.0,-0.0002298320645456,-4.7490126045276126e-05,-0.0041713292208089,0.0,-0.0078431493053272
KR,-0.0273042969488684,0.0,-0.2070644952269792,-2.3928124576732395e-06,-0.4280327229359131,-0.1065299480269173,-0.0772921116300297,-0.3648473510475254,-2.168990764758797e-05,-8.406708612478663e-09,-0.0116776210180546,-0.0001369397672817,-0.0222883626105476,-0.000255070043958,-0.0066059142768031
IN,-0.0512261768411667,-2.900996610718575e-05,-0.7122836932028496,-1.4840857878767858e-05,-0.1125971996772868,-0.1471006429569647,-0.179080719649199,-0.0181113707105634,-1.4944570136720432e-05,0.0,0.0,-4.049547862210483e-05,-0.0016830415492771,-1.3843466950476298e-05,-0.01096029830251
JP,-0.0548598137560748,0.0,-0.2829276978951304,0.0,-0.3696943591045979,-0.1135260537362552,-0.272550699779453,-0.0232172768991841,0.0,-1.0977601549809597e-08,0.0,-0.0001988442101113,-0.0217437523479798,-6.101321539527622e-05,-0.012259252547825
ZA,-0.1776430368591789,0.0,-0.1624107040473776,-6.690543666302164e-05,-0.0866246349864689,-0.0501925897926365,-0.0994530975766358,-0.0049533307809392,-7.51729171232033e-06,0.0,-0.0007243089299346,-0.0003096652158765,-0.0569377025819422,-0.0002212597276949,-0.4630158498031623
DE,-0.0243119190821222,0.0,-0.1140934807648833,0.0,-0.0475139733892691,-0.0051182593783337,-0.1001000153136302,-0.0639822989401086,-0.0001914485511674,-0.2766459547570076,0.0,-7.784984528307801e-05,-0.0147333177601108,0.0,-0.0057924545379335
IT,-0.0529359678983311,-0.0001299379626234,-0.1149305422074042,0.0,-0.0258300035102584,-0.058194552128736,-0.0296530458437525,-0.0080859710884474,-2.4032304438676713e-08,-0.1269052367806046,0.0,-0.0001380012352434,-0.0011702561217555,-4.3607175052516235e-08,-0.0082482909897868
GB,-0.0108692400330596,0.0,-0.0649502175069181,0.0,-0.032019288299376,-0.0029487481164115,-0.2191020738354724,-0.0617258711948168,-1.486805289063542e-05,-0.0112406586588859,0.0,-0.0002318213148197,-0.0128321254491546,-1.06366287140682e-07,-0.0050016845987911
ES,-0.0556938387633736,0.0,-0.1073401966076761,-0.0361511795390727,-0.0515173923861828,-0.0723604174660775,-0.0342701143359615,-0.0049970707661808,-0.0006476834887182,-0.0421501323192832,-9.056806431333784e-05,-0.0001660230321638,-0.0014798680369998,-0.0009018085392706,-0.0006439897655896
CA,-0.082757124390935,0.0,-0.1532555646170847,-2.104338457628097e-08,-0.0368696719874733,-0.0166411401382435,-0.0838133330012073,-0.0227992688674851,-2.0917819142599424e-06,0.0,-7.700688487442661e-09,-4.375107393658021e-06,-0.0079371696649802,-0.0001910367724317,-0.0027640710102154
ID,-0.0091387389647734,-3.2409098452089017e-07,-0.2189320421438584,-5.509157733051436e-06,-0.0425654517497808,-0.0086634707317638,-0.0247955367405312,-0.0201781631178611,-4.5433697726700704e-06,0.0,-1.1338613843422028e-05,-4.1492398773702115e-08,-0.0108009163456602,-1.894164232892898e-07,-0.0005343515286776
FR,-0.0204410405739886,-6.77080880458602e-05,-0.104099938548101,0.0,-0.0227013678232566,-0.0063085411926177,-0.0354701716991264,-0.0012068194784734,0.0,-0.0961926889838574,-6.154521619640131e-05,-1.4993716551060088e-05,-0.0024942022760503,0.0,-0.0010323631563996
TR,-0.0226908268116938,-0.0003599779214004,-0.1074248193632589,-0.0012371929034048,-0.0285938809712466,-0.0007457508141333,-0.0575944428954096,-0.001957304431534,-0.000526051099879,-5.177681621779355e-05,-0.0024684112606403,-0.0003972535102523,-0.0026263637867126,-0.0043536772346349,-0.0369472350139231
PL,-0.006694265714445,0.0,-0.1007842782278761,-0.0005358715273322,-0.0262351245605572,-0.0007323516775994,-0.0388735873883597,-0.0069982324404665,-3.362342667850765e-05,-0.043256071757769,-0.0350868162698119,-7.558331134526604e-07,-0.0002938435684908,-4.858653610372718e-06,-0.0038583883764334
