Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-2.877,-0.028,-2.838,-0.049,-5.473,-8.011,-2.856,-2.325,-0.003,-15.086,-0.004,-0.539,-1.032,-0.011,-0.828
WF,-0.271,-0.307,-1.398,-0.15,-0.685,-1.203,-2.116,-0.1,-0.193,-0.972,-0.021,-1.36,-1.418,-0.047,-0.247
ZA,-0.654,0.0,-0.414,-0.006,-0.23,-0.247,-0.479,-0.041,-0.009,-0.344,-0.001,-0.431,-0.165,-0.006,-0.154
US,-0.124,-0.0,-0.15,-0.006,-0.041,-0.215,-1.137,-0.004,-0.0,-0.892,0.0,-0.0,-0.011,-0.007,-0.014
IN,-0.141,-0.0,-0.848,-0.0,-0.087,-0.214,-0.466,-0.038,-0.0,-0.402,0.0,-0.001,-0.002,-0.0,-0.047
DE,-0.061,-0.0,-0.187,-0.0,-0.03,-0.131,-0.09,-0.019,-0.0,-0.538,-0.0,-0.0,-0.008,-0.0,-0.006
WA,-0.066,-0.006,-0.182,-0.006,-0.05,-0.214,-0.251,-0.031,-0.001,-0.104,-0.001,-0.016,-0.025,-0.001,-0.021
FR,-0.079,-0.0,-0.159,0.0,-0.026,-0.189,-0.1,-0.004,0.0,-0.088,0.0,-0.0,-0.005,0.0,-0.001
WM,-0.023,-0.001,-0.084,-0.006,-0.026,-0.115,-0.139,-0.005,-0.001,-0.063,-0.0,-0.006,-0.013,-0.005,-0.016
IT,-0.036,-0.0,-0.116,-0.0,-0.023,-0.055,-0.018,-0.014,-0.0,-0.198,-0.0,-0.0,-0.003,-0.0,-0.016
JP,-0.045,0.0,-0.026,0.0,-0.024,-0.041,-0.077,-0.049,0.0,-0.175,0.0,-0.0,-0.016,-0.0,-0.003
MX,-0.013,-0.0,-0.023,-0.001,-0.009,-0.189,-0.101,-0.007,-0.0,-0.023,-0.0,-0.0,-0.002,-0.0,-0.009
KR,-0.022,0.0,-0.044,-0.0,-0.041,-0.095,-0.067,-0.062,-0.0,-0.021,-0.0,-0.0,-0.006,-0.0,-0.002
WL,-0.005,-0.002,-0.019,-0.005,-0.224,-0.038,-0.026,-0.004,-0.0,-0.012,-0.0,-0.002,-0.003,-0.0,-0.003
ES,-0.056,-0.0,-0.08,-0.004,-0.026,-0.067,-0.007,-0.032,-0.0,-0.017,-0.0,-0.001,-0.002,-0.0,-0.001
BE,-0.023,-0.0,-0.076,-0.0,-0.028,-0.025,-0.048,-0.011,-0.0,-0.021,-0.0,-0.001,-0.002,-0.0,-0.009
GB,-0.016,0.0,-0.026,-0.0,-0.014,-0.065,-0.068,-0.004,-0.0,-0.027,-0.0,-0.0,-0.008,-0.0,-0.004
