Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
BR,-12.344547594596424,-0.0130297741476259,-16.017810811236505,-0.0851932270021087,-18.050561753268163,-13.828275968505174,-1.2659709894736706,-7.169672368679875,-0.0101344798468605,0.0,-0.0361356820831242,-0.0162945705877916,-0.9063730399806867,-0.3872767900067206,-4.368648574183349
US,-1.7585590436792584,-0.0001302355609554,-4.229114798882776,-0.0006770629619571,-1.6561987682219388,-2.6631983908939896,-9.70356694779451,-0.1930190378910968,-0.003485347309998,-8.488080912090803,0.0,-9.67459959588848e-06,-0.4347319202740105,-0.0001753315128377,-0.3375288673010896
CA,-14.09876838169474,0.0,-0.966075873625664,-4.492337559160563e-07,-0.4935837777267081,-1.0456336342578214,-2.899983221254187,-0.3530858937715338,-1.0549573757160356e-06,0.0,-3.2336812130808694e-08,-3.1431074232389446e-05,-0.0568193739936908,-0.0277642663997406,-0.3964300346457778
WL,-1.221121187781668,-0.0036164855969132,-0.9013304300086152,-0.00052091137584,-15.929606484447348,-0.6063227207793875,-0.7689025516830419,-0.1985343943153515,-0.0012545961018514,0.0,-0.0052388520330705,-0.002615725240228,-0.0939168647977352,0.0,-0.230702009480772
CN,-2.718772819868606,-0.0013792419093146,-3.7500347613879903,-0.0186720819073307,-2.3256090534986305,-3.438528720491586,-3.0375276091931283,-1.7416843878726134,-0.0022435052071797,-0.0018931405061645,-0.0034639537657216,-0.0189634158015513,-0.5556833758042528,-0.0116234174394979,-0.3974425805881557
WA,-0.7787447984538112,-0.0018168030752651,-4.917586512011832,-0.003908265998449,-1.610895048854504,-0.5622917745511633,-1.757972076173776,-0.2487033585114736,-0.006318487685901,0.0,-0.0063350649514853,-0.0063960068580795,-0.161583867309222,-0.0016597388633176,-0.6559235986545032
KR,-0.0690281916347406,0.0,-0.3104268707275878,-8.64907881269634e-07,-3.288977695479336,-0.469336182483598,-0.1513481323073909,-0.1326497626475884,-8.040422911089167e-06,-9.682738765248773e-08,-0.0194859015927492,-0.0002088215584016,-0.015131877276017,-0.0004151086532065,-0.0455532292602836
JP,-0.491186375327354,0.0,-0.6775164752578543,0.0,-0.9283495915887549,-0.4145306920588218,-1.343235631602174,-0.0551685537702792,0.0,-2.417477262394086e-07,0.0,-0.0011840498674104,-0.0650621808867258,-0.0002701506933907,-0.052614500432781
MX,-0.0682755557268036,0.0,-0.4535049685711085,0.0,-0.3113870572073126,-0.2119321074918409,-1.4134255696253109,-0.1080329318223485,0.0,0.0,0.0,0.0,-0.0047968054138705,0.0,-0.0601496759183419
IN,-0.1095943147856742,-3.7121002691420674e-05,-0.7672229800314962,-1.4480436276429144e-05,-0.2411413088431759,-0.6021663326670758,-0.8097534399835493,-0.0139152385618704,-2.021567568514194e-05,0.0,0.0,-7.384973787159876e-05,-0.0051427668685061,-2.087187243040654e-05,-0.0785394567260161
