Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-34.202,-3.881,-84.034,-13.164,-5147.174,-893.695,-130.052,-65.636,-1.464,-780.58,-1.326,-271.472,-13.817,-4.606,-190.752
WL,-2.835,-1.076,-23.914,-430.453,-296.177,-6.778,-6.699,-3.183,-0.168,-3.129,-0.026,-1.149,-0.85,-0.427,-4.334
JP,-0.157,0.0,-0.48,0.0,-110.759,-6.622,-1.665,-0.233,0.0,-5.084,0.0,-0.0,-0.92,-0.0,-0.306
KR,-0.094,0.0,-0.746,-0.0,-52.015,-11.755,-3.503,-0.746,-0.0,-0.71,-0.0,-0.0,-0.231,-0.0,-0.177
US,-1.077,-0.0,-2.495,-0.079,-17.394,-3.134,-17.081,-0.182,-0.003,-12.82,0.0,-0.001,-0.686,-0.111,-0.845
WA,-0.177,-0.055,-2.417,-0.085,-17.192,-12.367,-5.548,-0.231,-0.008,-1.888,-0.006,-0.156,-0.216,-0.015,-0.556
IN,-0.15,-0.001,-6.178,-0.0,-15.421,-1.452,-7.484,-0.123,-0.0,-3.855,0.0,-0.002,-0.007,-0.0,-0.181
BR,-0.05,-0.016,-1.204,-0.038,-13.57,-1.296,-0.201,-0.071,-0.011,-0.518,-0.004,-0.157,-0.03,-0.003,-0.026
DE,-0.114,-0.0,-0.518,-0.0,-9.693,-1.066,-0.703,-0.084,-0.0,-2.287,-0.0,-0.0,-0.036,-0.0,-0.051
ES,-0.023,-0.0,-0.136,-0.005,-9.063,-0.34,-0.024,-0.184,-0.0,-0.055,-0.0,-0.001,-0.004,-0.0,-0.004
TW,-0.023,-0.0,-0.03,-0.0,-1.33,-6.521,-0.87,-0.006,-0.0,-0.086,0.0,-0.0,-0.016,-0.0,-0.007
