Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.001,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.001,0.0,0.0,0.001,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.004,0.002,0.001,0.002,0.0,0.001,0.004,0.003
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
FR,0.0,,,,0.0,,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0
GB,,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0
GR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.001
LT,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR,0.003,0.0,0.006,0.003,0.001,0.001,0.001,0.01,0.002,0.001,0.002,0.0,0.001,0.001,0.001
CA,0.001,0.0,0.0,0.0,0.0,0.0,0.008,0.006,0.0,0.001,0.003,0.0,0.003,0.006,0.001
MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.004,0.007,0.0
US,0.0,0.0,0.002,,0.0,0.022,0.027,0.02,0.003,0.003,0.04,0.004,0.003,0.095,0.016
WL,0.212,0.97,0.101,0.019,0.004,0.082,0.072,0.19,0.052,0.045,0.05,0.022,0.007,0.037,0.004
CN,0.765,0.03,0.88,0.971,0.994,0.889,0.865,0.668,0.902,0.92,0.809,0.964,0.934,0.724,0.959
ID,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.001,0.0
IN,0.0,0.0,0.0,,0.0,0.0,0.004,0.049,0.003,0.002,0.0,0.001,0.002,0.042,0.005
JP,,,,,0.0,0.0,0.004,0.004,0.019,0.003,0.054,0.002,0.007,0.009,0.006
KR,,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.009,0.01,0.014,0.001,0.012,0.019,0.001
TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0
TW,0.0,0.0,0.0,,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.007,0.005,0.0
WA,0.011,0.0,0.005,0.005,0.001,0.003,0.004,0.019,0.003,0.003,0.013,0.003,0.013,0.031,0.002
WM,0.0,0.0,0.002,0.0,0.0,0.003,0.001,0.006,0.0,0.0,0.002,0.001,0.002,0.007,0.001
WF,0.003,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.002,0.0,0.0,0.001,0.0
ZA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,0.004,0.0,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0
