Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-7.871379560368596,-0.0013858819620319,-10.30125645591401,-0.0187759996729765,-1.953410787155528,-7.263687884907873,-7.298728643045769,-4.380303662691909,-0.0029274668790441,-0.0030323466510617,-0.0041820472653803,-0.0194562462644195,-1.3525421210129325,-0.0141391317900965,-0.6989122558912756
US,-0.8266004136627043,-0.0002447737350845,-2.919672333841272,-0.0011607075704137,-0.5730276398384385,-2.9498025174456166,-7.154503698349135,-0.0198448243430434,-0.0056816302772214,-9.551674783096058,0.0,-1.894359970627245e-05,-0.1815978662168189,-0.0002007344129019,-0.215886647395813
IN,-1.0193334322214267,-0.0004444506247613,-8.228572017384792,-5.803117981374023e-05,-1.2788861959493465,-1.2461992267166526,-1.221920230298634,-0.1624356503596977,-0.0002436157729603,0.0,0.0,-0.0006273643395652,-0.0182136949794271,-0.0002918592583997,-0.0481697759043067
WA,-0.7417624347891978,-0.0017236572195469,-5.25835077444974,-0.0051035230270385,-1.5873491734126757,-0.6761156705851131,-2.3766329828966763,-0.2661105144140758,-0.0072354964601835,0.0,-0.0051447113677408,-0.0061759560712082,-0.2103376877859254,-0.0030537589835089,-0.5290210031372861
WL,-0.11763611294008,-0.0003211783408875,-0.2429809639453749,-0.0001892936013701,-7.134911921941268,-0.0808710264121267,-0.1549834529866905,-0.0688043801274685,-0.0001614881311756,0.0,-0.0016335798283684,-0.0002323165246108,-0.0231490682958675,0.0,-0.0607465542080793
JP,-0.1083493453446457,0.0,-3.0445308722402507,0.0,-0.9445196680203,-0.5756325609971455,-1.802561270226958,-0.0587091280984132,0.0,-1.215829935094428e-07,0.0,-0.0028294790455295,-0.0978004033100496,-0.0009047940372272,-0.1690507466101451
WM,-0.7482543853839828,0.0,-3.2927753660538626,-0.0045235678941378,-0.5665583044314707,-0.1854504485965123,-1.0334975797211108,-0.1480342758239006,0.0,0.0,0.0,0.0,-0.3859503954647392,0.0,-0.1838758860848599
KR,-0.2001656235926819,0.0,-2.0682620741074063,-5.16081733573573e-06,-1.132922676892932,-0.6841276608780399,-0.7515428753647414,-0.3194788842544802,-2.849609718214004e-05,-3.031063727209445e-08,-0.0629313688604669,-0.0009458590412507,-0.0424325677278606,-0.0014532303596477,-0.08533035765942
ID,-0.0404493225734656,-3.621570962657773e-07,-2.669083725255412,-5.933761800137923e-06,-1.021213591261246,-0.0771766432576917,-0.1140848577021092,-0.0488722622501448,-2.388353914432505e-05,0.0,-1.5072084847482e-05,-8.500575546089005e-08,-0.094696311905778,-2.965542557861357e-07,-0.0053672307699246
WF,-0.1311393441998812,-0.0026546521538555,-0.3254721330698529,-0.0087774339173306,-1.0872168514788751,-0.0371295900986602,-0.01009959385143,-0.1620665299788209,-0.0579970099193731,0.0,-0.0406367407032136,-0.0043029372705278,-0.8053208081322671,0.0,-0.0995583240218074
AU,-0.145020008098522,-0.0245022379448122,-0.6899370599010497,-0.005772759847172,-0.3289301090477636,-0.077083978124535,-0.0314047803563449,-0.1878241719318629,-0.0023304995304812,0.0,-0.2082065917996442,-0.0003734284843753,-0.5386808226712335,-0.0305428516217016,-0.4512747477384132
TR,-0.1367205133811739,-0.0025645881554842,-0.1767123823151933,-0.0430419245048295,-0.2608378429706389,-0.0044773476916713,-0.1639880001834354,-0.0066552911246412,-0.0122211841266033,-0.0002220860572825,-0.0724628209299314,-0.004266746014809,-0.0238858955192239,-0.1489291708680727,-1.0008425667136864
CA,-0.4444925920045499,0.0,-0.5083605908128181,-6.117510908699034e-08,-0.1816344827243838,-0.067530628152434,-0.354977137066465,-0.0431854306779241,-1.298755957107662e-06,0.0,-5.965440628604062e-08,-9.099244921609448e-06,-0.0166032569012635,-0.0004290340307463,-0.0061860156210311
BR,-0.0538050002824568,-5.652880034937128e-05,-1.0841797231845949,-4.220882145580888e-05,-0.1019135193413458,-0.1328773119242634,-0.0377014978633874,-0.0201762649459135,-0.0006189327245884,0.0,-0.0018453096413329,-0.0002249192350147,-0.0206247686872103,-0.0016571642930721,-0.0125162076790955
MX,-0.0392790051152553,0.0,-0.185593385154718,0.0,-0.1045361826442044,-0.1102680255314506,-0.7633359116120942,-0.0157497299233424,0.0,0.0,0.0,0.0,-0.0022615456225624,0.0,-0.0438972287988871
DE,-0.0409814539382812,0.0,-0.1733309693583963,0.0,-0.1370783397646731,-0.0157777090771359,-0.1738800206958043,-0.0294189398195295,-9.539336913281532e-05,-0.4694606756770964,0.0,-0.0001945048511887,-0.022973521818048,0.0,-0.0403157143208907
ZA,-0.0628895400678277,0.0,-0.1332721783114285,-0.0001222526627887,-0.0973617602383836,-0.0657648768050338,-0.0858427765429979,-0.0257668396227016,-1.3206753867588416e-05,0.0,-0.0021205088044288,-0.0005088424630239,-0.0605455918830206,-0.0003635675818455,-0.5104934596221883
IT,-0.038811603840699,-0.0005615715244237,-0.1677226161950878,0.0,-0.0727018585014589,-0.1059717628172656,-0.039764086188576,-0.0035359892943554,-3.648829648250919e-08,-0.2462845672604659,0.0,-0.0002769126890508,-0.0024012481395366,-4.942869668631449e-07,-0.0272422195496144
GB,-0.0336117207177336,0.0,-0.1454247482634594,0.0,-0.0907730046043159,-0.0064394189826371,-0.1470277855158104,-0.0332453183211228,-6.143701181491415e-05,-0.0123573263604554,0.0,-0.0009579059550128,-0.0412841919773353,-4.939741291616267e-07,-0.0294251815858566
ES,-0.0360720921878694,0.0,-0.0947047677152536,-0.0914890197974241,-0.1094555941114356,-0.0741798397378636,-0.0283897500357725,-0.0035910803242222,-0.0006148114987519,-0.0323205482606534,-0.0002578164985944,-0.0002478413351987,-0.0017030141506648,-0.0008934430192647,-0.0008318904394712
BE,-0.0308993729995268,0.0,-0.0786886779029646,0.0,-0.0881817984089892,-0.006156646461291,-0.0553691243503094,-0.0054479445734756,0.0,-0.0500489279988719,0.0,-0.0003705356945997,-0.0066022171850083,0.0,-0.0335838739912742
NL,-0.0201835705546292,0.0,-0.0245324602536128,0.0,-0.0312312508673613,0.0,-0.0863640522872542,-0.0083610595770873,0.0,-0.1298928916704095,0.0,-0.0003088476799828,-0.0057476281899045,0.0,-0.0115175877817802
FR,-0.0210704703036417,-0.0001444612581478,-0.1478977727381818,0.0,-0.0306791658087348,-0.0051438367132568,-0.0325085913033703,-0.0007461196511877,0.0,-0.0709330978043741,-0.000164304444643,-8.201910591521794e-06,-0.0021293257380283,0.0,-0.0008240483121781
BG,-0.0049308325987633,0.0,-0.0034298354579884,-0.0078296873175825,-0.2688021252257975,0.0,-0.0092513598251322,-0.0007231316085369,-4.341705981898977e-05,0.0,0.0,-3.1411302274675024e-06,-0.0001547466764306,-0.0031702339446951,-2.9581220094418856e-05
WE,-0.0145063365442572,-4.30997175946929e-05,-0.1237437849328095,-0.003948598463563,-0.0713703491057771,-0.0083483045153908,-0.0149081271531531,-0.002311013454614,-0.0001836415993809,0.0,-6.969336699457421e-05,-0.0001859262789166,-0.0054078993552809,-0.0001751763604297,-0.0030355541945536
PL,-0.0100349028580799,0.0,-0.0312236705427547,-0.0006919627395195,-0.0807418677193007,-0.0013124728035515,-0.0447636458358352,-0.0026628074470511,-1.1185101176012742e-05,-0.0570726615716164,-0.0004358869771584,-1.8530541178040015e-06,-2.199284573941066e-05,-6.008547810067e-06,-0.008115035476667
CH,-0.0019754081876745,0.0,-0.0034062031487646,0.0,-0.0005172443754987,-0.0002786851642107,-0.063244901998996,-0.0001893578546318,0.0,0.0,0.0,0.0,-0.0003460421108716,0.0,-0.1158705794799621
AT,-0.0100158186422046,0.0,-0.0529105946906224,0.0,-0.0047545714055847,0.0,-0.0304826532173026,-0.0008063503724574,0.0,-0.0409433514513861,0.0,-0.0003661597123341,-0.004715474994303,0.0,-0.0002636321472387
