Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.871,-0.053,-3.045,-0.077,-4.448,-9.518,-3.31,-1.218,-0.004,-18.684,-0.007,-0.695,-0.554,-0.015,-0.958
WM,-0.26,-0.006,-1.059,-0.06,-0.084,-0.647,-1.674,-0.028,-0.018,-1.143,-0.001,-0.065,-0.113,-0.049,-0.018
US,-0.076,-0.0,-0.119,-0.004,-0.025,-0.174,-0.918,-0.002,-0.0,-0.786,0.0,-0.0,-0.005,-0.003,-0.008
IN,-0.058,-0.0,-0.535,-0.0,-0.047,-0.113,-0.258,-0.024,-0.0,-0.239,0.0,-0.001,-0.001,-0.0,-0.021
WA,-0.053,-0.012,-0.262,-0.019,-0.052,-0.227,-0.273,-0.031,-0.003,-0.113,-0.003,-0.038,-0.049,-0.004,-0.023
JP,-0.035,0.0,-0.061,0.0,-0.031,-0.075,-0.175,-0.004,0.0,-0.308,0.0,-0.0,-0.01,-0.0,-0.003
KR,-0.036,0.0,-0.098,-0.0,-0.038,-0.179,-0.158,-0.029,-0.0,-0.045,-0.0,-0.0,-0.006,-0.0,-0.004
DE,-0.032,-0.0,-0.069,-0.0,-0.014,-0.057,-0.045,-0.004,-0.0,-0.244,-0.0,-0.0,-0.004,-0.0,-0.002
MX,-0.006,-0.0,-0.012,-0.001,-0.005,-0.114,-0.053,-0.003,-0.0,-0.013,-0.0,-0.0,-0.001,-0.0,-0.005
TW,-0.007,-0.0,-0.009,-0.0,-0.005,-0.078,-0.07,-0.001,-0.0,-0.015,0.0,-0.0,-0.005,-0.0,-0.002
WL,-0.003,-0.002,-0.013,-0.005,-0.09,-0.026,-0.017,-0.003,-0.0,-0.008,-0.0,-0.001,-0.002,-0.0,-0.002
WF,-0.005,-0.009,-0.028,-0.003,-0.012,-0.019,-0.033,-0.002,-0.002,-0.011,-0.0,-0.024,-0.021,-0.001,-0.003
ID,-0.002,-0.003,-0.099,-0.001,-0.008,-0.021,-0.028,-0.001,-0.0,-0.003,-0.0,-0.0,-0.002,-0.0,-0.0
IT,-0.011,-0.0,-0.036,-0.0,-0.007,-0.017,-0.007,-0.002,-0.0,-0.068,-0.0,-0.0,-0.0,-0.0,-0.002
CA,-0.014,-0.0,-0.024,-0.0,-0.005,-0.023,-0.044,-0.002,-0.0,-0.022,-0.0,-0.0,-0.003,-0.0,-0.001
GB,-0.009,0.0,-0.013,-0.0,-0.006,-0.038,-0.041,-0.002,-0.0,-0.017,-0.0,-0.0,-0.003,-0.0,-0.001
TR,-0.006,-0.0,-0.032,-0.001,-0.003,-0.023,-0.032,-0.0,-0.0,-0.004,-0.0,-0.004,-0.0,-0.001,-0.005
CH,-0.001,0.0,-0.001,0.0,-0.0,-0.028,-0.035,-0.0,0.0,-0.032,-0.0,0.0,-0.0,0.0,-0.014
FR,-0.013,-0.0,-0.023,0.0,-0.005,-0.035,-0.018,-0.001,0.0,-0.016,0.0,-0.0,-0.001,0.0,-0.0
BE,-0.011,-0.0,-0.023,-0.0,-0.011,-0.009,-0.02,-0.005,-0.0,-0.009,-0.0,-0.001,-0.001,-0.0,-0.004
AU,-0.028,-0.007,-0.007,-0.001,-0.003,-0.006,-0.005,-0.005,-0.0,-0.003,-0.0,-0.007,-0.012,-0.001,-0.005
LU,-0.005,0.0,-0.019,0.0,-0.002,-0.009,-0.038,-0.003,0.0,-0.005,0.0,0.0,-0.0,0.0,-0.002
HU,-0.002,-0.0,-0.008,-0.0,-0.0,-0.034,-0.015,-0.0,-0.0,-0.017,-0.0,-0.0,-0.0,-0.0,-0.0
NL,-0.003,0.0,-0.011,0.0,-0.003,-0.011,-0.027,-0.001,0.0,-0.013,0.0,-0.0,-0.0,0.0,-0.0
ES,-0.016,-0.0,-0.017,-0.001,-0.005,-0.014,-0.002,-0.005,-0.0,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0
ZA,-0.002,0.0,-0.008,-0.0,-0.002,-0.003,-0.004,-0.0,-0.0,-0.004,-0.0,-0.021,-0.002,-0.0,-0.003
GR,-0.02,-0.0,-0.012,0.0,-0.001,-0.003,-0.011,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
BR,-0.004,-0.001,-0.014,-0.001,-0.003,-0.01,-0.005,-0.001,-0.0,-0.006,-0.0,-0.003,-0.001,-0.0,-0.001
CZ,-0.001,-0.0,-0.003,-0.0,-0.001,-0.019,-0.01,-0.0,-0.0,-0.012,-0.0,-0.0,-0.0,-0.0,-0.0
PL,-0.002,-0.0,-0.004,-0.0,-0.003,-0.014,-0.011,-0.001,-0.0,-0.008,-0.0,-0.0,-0.0,-0.0,-0.0
AT,-0.003,0.0,-0.008,-0.0,-0.001,-0.009,-0.009,-0.0,-0.0,-0.007,0.0,-0.0,-0.001,-0.0,-0.0
SE,-0.001,0.0,-0.006,-0.0,-0.001,-0.005,-0.004,-0.0,-0.0,-0.005,-0.0,-0.0,-0.0,-0.0,-0.0
WE,-0.002,-0.001,-0.007,-0.0,-0.001,-0.004,-0.002,-0.0,-0.0,-0.002,-0.0,-0.001,-0.0,-0.0,-0.0
DK,-0.001,-0.0,-0.001,-0.0,-0.0,-0.007,-0.005,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
RO,-0.001,0.0,-0.003,-0.0,-0.001,-0.003,-0.004,-0.0,-0.0,-0.007,-0.0,-0.0,-0.0,-0.0,-0.0
SI,-0.001,0.0,-0.002,-0.0,-0.0,-0.007,-0.006,-0.0,-0.0,-0.004,-0.0,0.0,-0.0,-0.0,-0.0
IE,-0.001,0.0,-0.0,0.0,-0.0,-0.007,-0.004,-0.0,-0.0,-0.003,-0.0,0.0,-0.0,-0.0,-0.0
PT,-0.001,-0.0,-0.001,-0.0,-0.0,-0.005,-0.003,-0.0,-0.0,-0.004,-0.0,-0.0,-0.0,-0.0,-0.0
RU,-0.001,-0.0,-0.008,-0.0,-0.001,-0.001,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0
SK,-0.0,-0.0,-0.001,-0.0,-0.0,-0.006,-0.003,-0.0,-0.0,-0.003,-0.0,-0.0,-0.0,-0.0,-0.0
BG,-0.001,-0.0,-0.0,-0.0,-0.007,-0.001,-0.001,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0
FI,-0.0,-0.0,-0.002,-0.0,-0.001,-0.003,-0.001,-0.0,-0.0,-0.002,-0.0,-0.0,-0.003,-0.0,-0.0
NO,-0.001,-0.0,-0.001,-0.0,-0.0,-0.002,-0.001,-0.0,-0.0,-0.002,-0.0,-0.0,-0.001,-0.0,-0.0
HR,-0.001,-0.0,-0.0,-0.0,-0.0,-0.001,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
MT,-0.0,-0.0,-0.0,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
EE,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
LV,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0
LT,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
CY,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
