Shock_Country,Aluminium ores and concentrates,Copper ores and concentrates,"Lead, zinc and tin ores and concentrates",Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Precious metal ores and concentrates,Aluminium and aluminium products,Basic iron and steel and of ferro-alloys and first products thereof,Copper products,"Lead, zinc and tin and products thereof",Other non-ferrous metal products,Precious metals,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)",Machinery and equipment n.e.c. (29)
AT,,0.0,0.0,,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.0
BE,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.004,0.002,0.003,0.001,0.004,0.001,0.003,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
CH,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.013,0.002,0.005,0.001
CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.002,0.001,0.001
DE,0.0,0.0,0.001,0.001,0.0,0.0,0.006,0.012,0.003,0.003,0.005,0.002,0.005,0.006,0.011
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
EE,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.004,0.0,0.001,0.0,0.0,0.003,0.003,0.001,0.003,0.0,0.0,0.001,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
FR,0.0,,,,0.0,,0.002,0.004,0.001,0.001,0.001,0.0,0.003,0.002,0.001
GB,,0.0,0.0,0.001,0.0,0.0,0.002,0.002,0.001,0.001,0.004,0.001,0.003,0.006,0.001
GR,0.002,,0.0,0.0,0.0,0.0,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.002,0.0
HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.003,0.002,0.001
IE,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
IT,0.0,0.0,0.0,0.0,,0.0,0.002,0.006,0.001,0.002,0.001,0.002,0.001,0.001,0.003
LT,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,,,,,,,0.001,0.003,0.0,0.002,0.0,0.002,0.001,0.005,0.0
LV,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,,,,,0.0,,0.001,0.002,0.001,0.001,0.001,0.0,0.001,0.004,0.001
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
PL,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.002,0.0
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
RU,0.0,0.0,0.003,0.002,0.0,0.002,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
SE,,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WE,0.013,0.0,0.009,0.002,0.001,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0
BR,0.006,0.007,0.006,0.009,0.003,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0
CA,0.0,0.002,0.001,0.002,0.0,0.0,0.003,0.004,0.001,0.001,0.003,0.001,0.002,0.006,0.001
MX,0.0,0.003,0.001,0.0,0.0,0.001,0.001,0.002,0.001,0.002,0.001,0.004,0.01,0.007,0.001
US,0.0,0.025,0.007,,0.0,0.044,0.014,0.021,0.005,0.002,0.006,0.007,0.015,0.124,0.036
WL,0.016,0.026,0.011,0.012,0.001,0.005,0.001,0.002,0.018,0.002,0.002,0.002,0.002,0.002,0.0
CN,0.566,0.444,0.144,0.579,0.807,0.198,0.868,0.534,0.902,0.884,0.69,0.88,0.82,0.448,0.853
ID,0.031,0.003,0.001,0.039,0.0,0.002,0.0,0.017,0.002,0.001,0.003,0.0,0.002,0.004,0.0
IN,0.003,0.001,0.001,,0.001,0.001,0.01,0.094,0.01,0.017,0.002,0.02,0.01,0.035,0.011
JP,,,,,0.0,0.0,0.006,0.011,0.006,0.003,0.012,0.003,0.006,0.024,0.014
KR,,0.0,0.0,0.012,0.0,0.0,0.006,0.017,0.008,0.021,0.007,0.003,0.015,0.021,0.002
TR,0.001,0.004,0.003,0.0,0.005,0.01,0.001,0.006,0.001,0.0,0.001,0.004,0.002,0.004,0.0
TW,0.0,0.0,0.0,,0.0,0.0,0.001,0.001,0.001,0.001,0.006,0.002,0.007,0.009,0.001
WA,0.125,0.108,0.089,0.223,0.044,0.056,0.009,0.046,0.011,0.022,0.061,0.021,0.02,0.037,0.005
WM,0.062,0.346,0.625,0.068,0.076,0.658,0.046,0.186,0.017,0.02,0.141,0.017,0.056,0.227,0.052
WF,0.095,0.015,0.078,0.033,0.028,0.009,0.001,0.005,0.002,0.001,0.026,0.003,0.002,0.004,0.001
ZA,,0.001,0.001,0.001,0.024,0.002,0.0,0.001,0.0,0.0,0.003,0.003,0.0,0.001,0.0
AU,0.077,0.007,0.016,0.015,0.008,0.011,0.005,0.001,0.001,0.004,0.014,0.004,0.001,0.001,0.0
