Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
ZA,-2.983750711540701,0.0,-4.32694889227171,-0.0022655597543443,-1.8328924898012269,-2.1684270691521568,-3.2272461060512394,-0.3875152062743734,-0.0001783459264528,0.0,-0.0165546606167248,-0.0100612135152636,-2.8912786659220315,-0.0071895613794134,-34.98515039520129
CN,-2.34291410570504,-0.0003252593100233,-4.364367312845258,-0.0043782308802586,-0.7800204945992733,-2.5361024791373272,-2.503233938062401,-3.045902255107848,-0.0008389136366128,-0.000633900089647,-0.0011400125229189,-0.00465737600075,-1.038464815384321,-0.0037698273715881,-4.879613526900623
WF,-0.6232052866505419,-0.0221826091914199,-1.9393406304398848,-0.0701585414886017,-1.4724969945758009,-0.2654062360211563,-0.0586379888209297,-0.8245759814924436,-0.7853366182150142,0.0,-0.5502614708861323,-0.0394840863577421,-3.4225692890041874,0.0,-0.1733969011579452
US,-0.3839183304479581,-4.976256210242308e-05,-1.02990565038193,-0.0002272954348748,-0.1126390624909099,-0.7556196760022336,-2.056250113493492,-0.0185923790794565,-0.0010743163475621,-2.529677481680213,0.0,-3.712970707361716e-06,-0.0646428845772033,-3.89238259242686e-05,-0.0501391899541433
WA,-0.4753887554993511,-0.001129229112085,-1.3289118012577177,-0.0063721822516312,-0.5394318753130872,-0.4054163653877107,-1.113792408206053,-0.106284653457667,-0.0030067257399278,0.0,-0.0268937973673147,-0.0185617629241221,-0.0993380577247342,-0.0005193942014078,-2.7285440718718936
IN,-0.1874325506060374,-0.0001223819079421,-1.958995645689663,-6.540043888399533e-06,-0.3556602502797594,-0.4893466305347382,-0.6505434647873513,-0.0288194508703567,-4.779855384171158e-05,0.0,0.0,-0.0001239860815284,-0.0066180122236785,-5.886623624227721e-05,-0.0528967400430004
WM,-0.133650246757654,0.0,-0.2652970934024492,-0.0001734405448544,-0.3689027198731595,-0.0901136502253561,-0.3200169518342741,-0.0276660769153364,0.0,0.0,0.0,0.0,-0.0567544452302668,0.0,-0.6273208621307963
KR,-0.0443027467241073,0.0,-0.3164818066263383,-1.1597475407920426e-05,-0.237836511638719,-0.1312867636274793,-0.1247755457668488,-0.1559532902041489,-9.164130465824116e-06,-1.1289256470545352e-08,-0.0091266815377073,-0.0002505545529069,-0.0145873055520532,-0.0002861039496165,-0.0453025320910343
JP,-0.0580900803436595,0.0,-0.2058237738955213,0.0,-0.3131159164851528,-0.1361901243730142,-0.2670684535056262,-0.0170013044764173,0.0,-1.7557999640354996e-08,0.0,-0.0006281251488976,-0.0290940584465911,-7.013022420029435e-05,-0.014034866079046
DE,-0.0379366433348655,0.0,-0.1360411595057944,0.0,-0.052813328275275,-0.0079696318875374,-0.1287589046638278,-0.0593375781610184,-0.0001802489316749,-0.5864827062679512,0.0,-0.0001312505209657,-0.0165912883675335,0.0,-0.0072698851651004
WL,-0.0336885143116839,-9.889691548592464e-05,-0.0977581891504279,-2.951587358027019e-05,-0.5276548894853896,-0.0281916323429979,-0.0663321548263439,-0.0119511497598175,-5.962039264144047e-05,0.0,-0.0001426422685633,-7.152612434756781e-05,-0.0055582274008704,0.0,-0.010391611804476
CA,-0.1803301123735284,0.0,-0.210964885038268,-1.8064726764719224e-08,-0.031028206706746,-0.0292692842769665,-0.1300193930505371,-0.02832516854154,-8.019509568422383e-07,0.0,-1.2729658252615616e-08,-5.804042247084279e-06,-0.0105174683765626,-0.0002944823320078,-0.0042343411394061
MX,-0.0128822458275331,0.0,-0.0518915922026982,0.0,-0.0239256983670031,-0.0396302928580026,-0.2663656637293912,-0.006853771502244,0.0,0.0,0.0,0.0,-0.0010226605256718,0.0,-0.0145814294820288
GB,-0.0158279874234878,0.0,-0.0686315924177883,0.0,-0.02856634546438,-0.0035359594335657,-0.1875298397756286,-0.0299496800207696,-2.902383037689504e-05,-0.0042004188842283,0.0,-0.000452495574016,-0.0213954247788157,-2.803965460287067e-07,-0.0108850443175251
ID,-0.0093614860127776,-1.1617079491912827e-07,-0.1684001949651735,-1.956327659299225e-06,-0.0366543812008685,-0.0226323255266142,-0.0324790530298433,-0.01295579828891,-3.404580191264564e-06,0.0,-4.1232997360968666e-06,-2.0055797360459972e-08,-0.0218356377602586,-7.408456638765428e-08,-0.0024395493841252
IT,-0.0276135439020529,-0.0001077483686146,-0.0851362482754059,0.0,-0.0211958888996733,-0.0235685570312306,-0.0237988887785165,-0.0030569637858587,-1.498221483681059e-08,-0.0999386658557817,0.0,-9.07432739329506e-05,-0.0008140183461095,-4.023819616447538e-08,-0.019589101134309
BE,-0.0276086038335731,0.0,-0.0615272427576947,0.0,-0.054465825629514,-0.0062349093443531,-0.0554909521279768,-0.0178925503863902,0.0,-0.0399486424148815,0.0,-0.0001688468403881,-0.0041921055049521,0.0,-0.0268027486569787
NL,-0.0130037515694953,0.0,-0.0377271470693474,0.0,-0.0112565771919033,0.0,-0.0713403930045327,-0.0062399746383582,0.0,-0.0749209483378861,0.0,-0.0001301298350446,-0.002894625629057,0.0,-0.0013406947609597
BR,-0.0092819833743361,-9.717786030004838e-06,-0.1146159403589437,-3.766498609530908e-06,-0.0090810804318335,-0.0349861140269461,-0.0150554767381938,-0.0030138214255675,-1.978392365333929e-05,0.0,-5.965738845255965e-05,-8.860959301735384e-06,-0.0016380245451159,-6.149090942041232e-05,-0.0010444040186441
TR,-0.0226257688879421,-0.0004324295112496,-0.0545809556809517,-0.0003408986212628,-0.0139780574345211,-0.0005996633800869,-0.0332503286837201,-0.0007297166912678,-0.0003153086012171,-5.7839729717966695e-05,-0.0016619929840981,-0.0002882416962933,-0.0011457140449149,-0.0012441499472313,-0.030959561786585
FR,-0.0092442960547947,-2.814308601452584e-05,-0.063707502599108,0.0,-0.0109647346378421,-0.0029582114598573,-0.0190125330823907,-0.0005906557579385,0.0,-0.0474080263644404,-2.449214849070192e-05,-6.525500613007094e-06,-0.0012541679391368,0.0,-0.0004998013867916
AU,-0.0046549904005955,-0.0005230445799903,-0.0493886902660365,-0.000150728635132,-0.0235052597144508,-0.0088185884950776,-0.0038503640896628,-0.0105388694326499,-8.33352207022066e-05,0.0,-0.0029049223287914,-1.4148021275511698e-05,-0.0150226880559096,-0.0013952957281519,-0.0289665714545938
ES,-0.0120691390105413,0.0,-0.0344533926557354,-0.0169296025710857,-0.0239435574783959,-0.0227457748380003,-0.015745605917075,-0.0012304044581594,-0.0001993953467969,-0.013343026046116,-4.2233915341488e-05,-7.324247360071043e-05,-0.0007256603173397,-0.0002485649535203,-0.0003066477581416
PT,-0.0006958715415838,0.0,-0.0098985118902051,-8.539361705857919e-05,-0.0824948742198874,-0.0090592146974968,-0.0222754591989055,-0.0006921008122952,-8.29582337944849e-06,-0.0138378472289068,0.0,-1.6191557260448982e-05,-5.550649437894844e-05,-8.975283594774569e-06,-0.0012319075800289
PL,-0.005210278335408,0.0,-0.0275695001502842,-0.000224275052051,-0.023375649009352,-0.0014331433729118,-0.0296822731295893,-0.002492019528242,-8.615704968597793e-06,-0.0351986128145391,-0.0035343550095133,-1.4952339237044591e-06,-4.679108216047305e-05,-2.808726671348624e-06,-0.003878566498165
AT,-0.0082923689991244,0.0,-0.0230259640475313,0.0,-0.0027953385766546,0.0,-0.026581567480007,-0.0006333046704797,0.0,-0.0420774864655556,0.0,-0.0002563165795896,-0.00490158265958,0.0,-0.0002324399212325
SE,-0.003516198616698,0.0,-0.0224147543923345,-0.000121491804883,-0.0052230882213303,-0.0004053800959857,-0.0146657679780799,-0.0006881640489845,-3.922527077304756e-05,-0.042075970940977,-4.504942020773304e-06,-1.3280136842768294e-05,-0.000698292320969,-3.95972947333537e-05,-0.0001335018032447
CH,-0.0009633240640199,0.0,-0.0017344624668094,0.0,-0.0002451844958793,-0.0001335302296766,-0.0351294939711147,-0.0001253032467874,0.0,0.0,0.0,0.0,-0.0001991345320937,0.0,-0.0440956141425208
BG,-0.0019321741629561,0.0,-0.0003916966835091,-0.0017024983132006,-0.0596866083232656,0.0,-0.003279266518184,-0.0003492440048985,-2.6670962773768574e-05,0.0,0.0,-2.688436430514881e-06,-6.293778507185241e-05,-0.0004876951502265,-5.680289877561917e-06
WE,-0.0039167036222295,-1.0185907674036474e-05,-0.0325917724597528,-0.0006875742368145,-0.0177627225578869,-0.0025972013961787,-0.0048945735026348,-0.0004976204408593,-3.62468652952952e-05,0.0,-1.1645025525507133e-05,-3.729534429592343e-05,-0.0011983628290307,-3.121988832363584e-05,-0.0005832021202038
CZ,-0.0024970539777773,-5.260195639388103e-06,-0.0076210299897196,0.0,-0.0023182451347515,-3.3079878945292735e-05,-0.0166646319496732,-0.0061045633539121,-5.489876064967285e-07,-0.0272571514884766,-2.124015856093784e-06,-2.216169510293206e-06,-0.000142322817423,0.0,-0.0001882908667674
FI,-0.0004745608261805,0.0,-0.011254904142999,-3.95134126749093e-05,-0.0045106031697458,0.0,-0.0036947761913693,-0.0006927144597315,-1.617356186132928e-05,-0.020428446111488,-0.0017358004244347,-1.081703343040658e-05,-0.0051262870292529,-0.0002225522284625,-6.967086477082518e-05
RU,-0.0040341089606002,-5.117784937178856e-06,-0.0201637240536832,-6.226056521689914e-06,-0.0101910829527649,-0.0023159836581191,-0.0014195347940388,-0.000327256407069,-9.355217891902138e-07,0.0,-1.4714889943193054e-05,-2.887153010259295e-06,-0.003870061342331,-1.1716092364855974e-05,-0.0018459796550341
LU,-0.0009800841963448,0.0,-0.0033622531805658,0.0,-0.0141678711765041,-2.2257929270263224e-05,-0.0109060681390746,-0.0025105187552829,0.0,-0.0061878526106624,0.0,0.0,-0.0002291007805968,0.0,-0.0027798864464858
GR,-0.0073211569053979,-1.4325786321341924e-05,-0.0074031934822286,0.0,-0.0025641548594752,-0.0040230148588425,-0.0145088599522137,-4.2986761616351344e-05,-8.912893952543311e-06,0.0,-0.0049606068758043,-1.2171235178550866e-06,-2.61510017733679e-06,-4.62279672109222e-06,-0.0001342037247674
RO,-0.001077769741978,0.0,-0.0136001346186751,-3.038024078495088e-07,-0.000873313565505,0.0,-0.0080486178756454,-2.091768572896291e-05,-2.459774807310404e-07,-0.0160744058898122,0.0,-3.321821244087299e-09,-6.311126168859008e-05,-0.0002715943073588,-5.643584016171685e-05
SK,-0.0006427107755858,0.0,-0.0025604410034736,-7.885867772152638e-07,-0.0005083426199452,0.0,-0.0100699390934877,-0.0003131767592108,-4.91599288339513e-08,-0.0175594546797356,0.0,0.0,-6.927823669274575e-05,-7.935831405914931e-05,-3.601213599070612e-05
SI,-0.0044271037157701,0.0,-0.0054835135614223,0.0,-0.0002505765438247,0.0,-0.00763479202269,-6.283279488581605e-05,0.0,-0.0065244452776619,0.0,0.0,-8.103724429902492e-05,0.0,-5.16913654276052e-06
TW,-0.0045892910492037,-0.0001532244609006,-0.0039670363707379,-0.000120569882675,-0.0003848308642736,-0.0016366292728283,-0.0090197382918965,-0.0008859745043935,-0.0001434878204438,0.0,0.0,-1.1953533723972555e-05,-1.5267927886259057e-05,-0.000294010394644,-7.347226645404387e-06
IE,-0.0006260457011366,0.0,-0.0007720736115313,0.0,-5.593649099694578e-05,0.0,-0.0065073127776478,-0.0009224142860619,-9.366777465328188e-05,-0.0104486556614448,0.0,0.0,-0.0003908443477562,-5.503779418308539e-06,-0.0003559952486615
NO,-0.001483600407089,0.0,-0.0012716781769752,0.0,-0.0007746236585373,-4.991235706246141e-05,-0.0017337772429005,-0.000147886748786,0.0,-0.005337436528964,-4.5755410409367807e-11,-6.269292492850673e-07,-0.0039474709778231,0.0,-0.0002065885067705
DK,-0.0012755816828163,0.0,-0.0018624383854226,0.0,-0.0001171732905342,0.0,-0.0095118269678072,-2.3112520918716703e-05,0.0,-0.0005926514194082,-1.4725357968374282e-08,0.0,-4.706616639451204e-05,0.0,-9.58710102459192e-05
HR,-0.0008087172319953,-3.184124816030788e-08,-0.0003428011879355,0.0,-9.88760876895998e-05,0.0,-0.0010523249420745,-2.228466676838168e-06,-8.249257017524269e-11,-0.005716271267665,-1.885621859911857e-09,0.0,-3.827913746822261e-05,0.0,-1.141186035534207e-06
EE,-9.895797942975812e-05,0.0,-0.0003122019780476,0.0,-9.655269987874016e-05,0.0,-0.0016212899488857,-1.3234333455445394e-05,0.0,-0.0022900858272931,0.0,0.0,-0.0003689756234692,0.0,-1.0006163773387191e-05
LV,-0.0001443284097993,0.0,-0.000487152996559,0.0,-0.0006085586208985,-0.000996561195927,-0.0008763894830419,-4.215622227945528e-06,0.0,-0.001254038268683,0.0,0.0,-7.915901675615818e-06,0.0,-5.62939063601286e-07
HU,-0.0001511542337797,-1.205928801694134e-06,-0.0011175805973816,0.0,-1.1901261678793363e-05,0.0,-0.0009530149703324,-1.125194784664727e-05,0.0,-0.0010786391050308,0.0,-1.2891413344108344e-06,-2.505177675537185e-07,0.0,-2.754292720536777e-06
LT,-4.726867647162804e-05,0.0,-5.421399611378462e-06,-2.474313640089114e-11,-0.0002529801522818,-1.8707796247389298e-05,-0.0009955595907856,-1.0217842155626651e-05,0.0,-0.0001733350182416,0.0,0.0,-6.371291378098147e-07,-3.781325714864111e-12,-1.452240463773445e-07
