Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-15.393,-0.132,-24.919,-0.272,-24.394,-207.797,-29.426,-5.001,-0.021,-235.25,-0.022,-4.39,-9.551,-0.08,-228.042
ZA,-2.561,0.0,-40.841,-0.128,-3.227,-36.829,-52.404,-0.739,-0.032,-48.512,-0.015,-22.116,-3.12,-43.208,-505.806
WA,-0.374,-0.06,-7.746,-0.411,-0.535,-15.14,-11.108,-0.2,-0.011,-3.138,-0.009,-0.183,-0.312,-0.016,-19.153
US,-0.586,-0.0,-3.608,-0.033,-0.689,-11.074,-13.539,-0.027,-0.001,-14.783,0.0,-0.0,-0.144,-0.061,-4.364
IN,-0.255,-0.001,-12.58,-0.0,-0.459,-1.087,-6.116,-0.24,-0.0,-4.113,0.0,-0.002,-0.013,-0.0,-0.879
DE,-0.117,-0.0,-1.356,-0.0,-0.084,-1.275,-0.837,-0.034,-0.0,-10.027,-0.002,-0.0,-0.045,-0.0,-6.161
JP,-0.126,0.0,-1.605,0.0,-0.182,-0.85,-3.318,-0.115,0.0,-6.968,0.0,-0.0,-0.32,-0.0,-4.331
WM,-0.125,-0.005,-2.228,-0.196,-0.15,-4.583,-4.21,-0.028,-0.008,-1.534,-0.001,-0.045,-0.077,-0.039,-2.093
GB,-0.079,0.0,-0.78,-0.0,-0.068,-1.933,-2.002,-0.018,-0.0,-0.744,-0.001,-0.0,-0.097,-0.001,-3.566
WF,-0.078,-0.115,-2.222,-0.044,-0.149,-1.569,-2.583,-0.039,-0.062,-1.012,-0.006,-0.789,-0.411,-0.023,-0.086
TW,-0.039,-0.0,-0.399,-0.0,-0.029,-3.734,-1.66,-0.004,-0.0,-0.384,0.0,-0.0,-0.033,-0.0,-2.768
TR,-0.012,-0.0,-0.484,-0.001,-0.012,-0.06,-0.577,-0.001,-0.0,-0.031,-0.0,-0.008,-0.006,-0.001,-2.979
KR,-0.085,0.0,-0.495,-0.0,-0.131,-0.818,-0.466,-0.143,-0.0,-0.193,-0.0,-0.0,-0.111,-0.0,-0.354
MX,-0.013,-0.0,-0.104,-0.003,-0.051,-1.737,-0.528,-0.017,-0.0,-0.16,-0.0,-0.0,-0.008,-0.0,-0.067
CA,-0.104,-0.0,-0.499,-0.002,-0.035,-0.331,-0.737,-0.027,-0.0,-0.342,-0.0,-0.0,-0.061,-0.0,-0.012
IT,-0.033,-0.0,-0.474,-0.0,-0.035,-0.104,-0.054,-0.051,-0.0,-0.541,-0.0,-0.0,-0.007,-0.0,-0.296
WL,-0.018,-0.006,-0.22,-0.023,-0.307,-0.285,-0.296,-0.012,-0.001,-0.133,-0.001,-0.006,-0.009,-0.003,-0.012
CH,-0.001,0.0,-0.004,0.0,-0.001,-0.102,-0.054,-0.0,0.0,-0.08,-0.0,0.0,-0.001,0.0,-0.883
