Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.585035299921655,-0.0618840858735941,-5.180747480411297,-0.1006943900954046,-88.36808505863172,-65.51590478507562,-9.107395407869792,-2.959389311835764,-0.0079610591361677,-51.186384272731786,-0.0096779856230717,-1.3419954437385189,-1.0719936759455926,-0.0264591195751446,-5.0201093092578
BE,-2.893810989219181,-0.0002346704820138,-45.97653937082705,-0.0049021596593615,-62.99055043538346,-17.866623015243825,-40.59285354331624,-6.2147873332697525,-8.916261660995287e-05,-13.800274703348062,-5.5418642461354526e-05,-0.6469350079060785,-3.44293405943647,-4.385091515694329e-05,-9.108012306442436
DE,-1.027995678052488,-3.512243337549824e-05,-7.222356832040949,-2.7994397446660367e-05,-11.916307976210314,-4.4652618201503,-3.301617062805703,-0.2625277438842407,-0.0010197918248791,-14.563501583285191,-0.0030029125065034,-1.6852775136147655e-05,-0.5629499986771368,-3.3510091218508315e-05,-0.95790698029511
US,-0.427702462737685,-8.416573839298465e-05,-1.4378738769530723,-0.0153058465710741,-3.6408644571200623,-2.0863698431212288,-7.576191735572243,-0.056707812013048,-0.0006418316328592,-6.664811280234535,0.0,-0.0002155892713621,-0.1396089307305389,-0.0102376393627818,-0.5655108773441705
GB,-0.4465302027683829,0.0,-0.7835970037294261,-1.9662531893885527e-06,-3.7544452581498367,-1.5743173581084664,-1.458123159919392,-0.0485613436640202,-3.299338215936553e-06,-0.5845725940229516,-4.487865517831881e-05,-6.592735774790943e-10,-0.0876547109984392,-8.203680826848251e-06,-0.212499912665108
WA,-0.0834216601088834,-0.0280544733183072,-1.1049900056765825,-0.0347856761488624,-1.4538579210127731,-2.147317566607841,-1.514454755360754,-0.2896970018937685,-0.0042249361832729,-0.5896777870769876,-0.0047844808519892,-0.0754000491170809,-0.1270836845978836,-0.0056655128425911,-0.7524281454681994
FR,-0.265529571310659,-0.000149179417122,-1.523875919290318,0.0,-1.875926753047923,-2.3317331695878925,-1.218231042342519,-0.0437396579319412,0.0,-0.8429435315531951,0.0,-0.0002063370610082,-0.0498093261969116,0.0,-0.0107494715307952
IT,-0.1995358273924912,-4.5956016200016506e-05,-1.1561099877026515,-2.1820980991230822e-09,-3.5256413116851584,-0.5311014953311066,-0.2471552466130164,-0.1045446400654002,-3.1510055509913318e-06,-2.12760455953696,-3.248388608390449e-07,-2.442835369309686e-10,-0.0275681894336932,-2.0774885441770276e-05,-0.1533332886876007
CH,-0.0097558325407551,0.0,-0.0233662296539504,0.0,-0.0343487817742838,-0.912522621748667,-0.5080398869576013,-0.0009828849344715,0.0,-0.510579469420538,-6.959043362908296e-08,0.0,-0.0033052563504083,0.0,-5.366358242616451
WM,-0.0706484060774114,-0.0028456858861405,-0.9043188583264574,-0.0381161631898875,-0.5456532780034566,-1.4367477558581645,-1.4178284418205949,-0.0267204775293744,-0.0045742946716488,-0.5853471475472714,-0.0002753037253289,-0.0266969584207261,-0.0524172504876932,-0.0197866501302488,-0.223093505377868
