Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.361832496572227,-0.0661570114481606,-4.208742484624015,-0.142128246330792,-246.9458323679281,-125.16168274670152,-9.827916921701105,-11.99181394878244,-0.0117092432131342,-64.91426656793294,-0.0120813962372896,-2.3519940156787618,-0.9460500556996164,-0.0426423444405361,-7.695981258659882
BG,-6.0768868277258425,-4.972113356368797e-05,-0.9610734392470822,-0.9326525053714704,-154.10182955787457,-14.060645639181484,-17.66056950688194,-3.88647618577134,-0.2880773744966863,-24.14740660688925,-2.9924756513802584e-05,-0.1021412223442111,-0.1625333865463824,-0.5747468553195704,-0.0175649656679608
DE,-1.3064122080892684,-3.914249605255612e-05,-2.2361504885606367,-3.554516315067209e-05,-14.841675584203095,-3.9816687272396862,-3.081557965881945,-0.2514313378496947,-0.0007160479935128,-12.944147294012405,-0.000282335327872,-1.6564981823202878e-05,-0.072408262490692,-3.933072807819642e-05,-1.3866894842942663
US,-0.5084907851881794,-3.9385946242712376e-05,-0.992842698680692,-0.0066174074935225,-3.157228126421804,-1.0472100335907129,-5.187356014164973,-0.0404804676412963,-0.0002249210031411,-4.569126157913741,0.0,-0.0001044456099639,-0.1144399565914259,-0.0063158487950873,-0.1890156841315395
TR,-0.0463249815828658,-0.0013955535568613,-5.441299713187603,-0.0026672862097783,-3.828405467136071,-0.3505119181025315,-2.0093399289561487,-0.1978489436810236,-0.0007826077348125,-0.1422313196662448,-2.335416118457945e-05,-0.0404542028599713,-0.048108639101876,-0.0043932947740866,-0.0729183423909216
IT,-0.4336780933099392,-3.45661984624062e-05,-1.189501580788049,-2.295098268334109e-09,-4.241903118280355,-0.6452177021128697,-0.3100794689495374,-0.6192381884588579,-2.944051319181175e-06,-2.933991134697087,-3.2656248593607146e-07,-3.3542465283161496e-10,-0.0112061784259269,-2.992692301192269e-05,-0.0396993613272836
BE,-0.10944712584257,-6.03685368690214e-07,-0.3519699843122847,-2.150345945968616e-05,-6.694586521375259,-0.1934407072127774,-1.1152586361039305,-0.0757463049574776,-3.911142934584418e-07,-0.2913391007199135,-2.4309541391676936e-07,-0.0220535296902954,-0.0148204369762294,-1.9235325690519322e-07,-0.0408386476718225
WA,-0.088638726822768,-0.0173036336044803,-0.7548549633932207,-0.0264180552902464,-1.5622117887828908,-1.8141435990252055,-1.1080869448015056,-0.1427374285179247,-0.004115205426356,-0.5066026403004279,-0.0033787349295133,-0.0663404368719264,-0.0832482195055364,-0.0057267631114977,-0.1038187840422124
WM,-0.0914366426612351,-0.0038980206893738,-0.8367976567621112,-0.0338485122438028,-0.9300589148990024,-1.486496672303225,-1.3617932982073186,-0.0376106582134606,-0.0052510836753377,-0.5730399014335372,-0.0002014390486741,-0.0367305108531746,-0.0502367508377428,-0.0240317519066117,-0.0188474710365868
GR,-0.6629245379455025,-0.0037380844483421,-1.7022841676783549,0.0,-0.7483084976272113,-0.2790187583686785,-1.1688986475767065,-0.0115038154857219,-4.981750315176636e-05,-0.1338949861931213,-4.318848771179645e-07,-3.169886842141797e-07,-0.0003278158725532,-8.408366940476584e-08,-0.0005166652971673
GB,-0.1913677393848708,0.0,-0.1949818370199428,-4.029965256408141e-07,-2.2094736344596546,-0.7691323234559535,-0.6042516946358977,-0.1137914531029156,-1.2260426631377554e-06,-0.2411355027898978,-1.3929717761931636e-05,-1.3512245385079102e-10,-0.0309829555542518,-7.533457428636504e-06,-0.0330107018781509
PL,-0.1292675876810788,-9.038769575125457e-06,-0.2012833837390568,-0.0026365760106064,-0.6848077340731564,-0.9305951773084628,-0.7931205820009246,-0.2905916500782231,-0.0003023899067725,-0.4323618765574257,-5.8441148438108895e-06,-9.070734540994776e-07,-0.000290928108183,-0.0001536961787025,-0.0134772360272411
TW,-0.0086924512694964,-3.1039927851658175e-05,-0.0130800858837885,-3.721579598252786e-05,-0.4939693636551168,-2.535808556163237,-0.3508228294814809,-0.0027383087820293,-3.4445447144774366e-05,-0.0598252502332269,0.0,-4.456958690898636e-05,-0.0059447181831275,-2.441392797842544e-06,-0.0043002168241677
FR,-0.1144890858410205,-2.823611805547404e-05,-0.2671188910854986,0.0,-1.2039320829062856,-0.9249180042329352,-0.3371231048913481,-0.0128667645660036,0.0,-0.2937852937052757,0.0,-3.753951380794407e-05,-0.0072521021556167,0.0,-0.0025342075190425
KR,-0.0308851692646019,0.0,-0.0993652204446545,-2.061571179389337e-06,-1.177988537505368,-0.7851443415224799,-0.20906361398496,-0.3722884236916021,-4.652302442040344e-06,-0.0853521656576549,-4.634628563941183e-05,-0.00021774955806,-0.0080252951866332,-1.883756734915807e-05,-0.016086032547295
RO,-0.0589737472344519,0.0,-0.9898123081920888,-0.0153361267958449,-0.0676584456386514,-0.2686671922869901,-0.6634429810460493,-0.2126190628391281,-0.0002906352582024,-0.4506829917773064,-8.509705783470685e-06,-0.0011896437793414,-0.0022782625831603,-0.0012215043807226,-0.0001177412534108
CA,-0.1165510355706223,-0.0012757534268257,-0.339478022172651,-0.001191265349052,-0.489803131826815,-0.675898868196702,-0.4884674835982659,-0.0088157943809316,-0.00010624548185,-0.2077747981135802,-0.00013639338653,-0.0002889998969847,-0.0172633510340167,-0.0001761838937431,-0.0047464580208236
