Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-1.7145243149197047,-0.0352652774161046,-1.1033051674696448,-0.0287318717523215,-3.0105720258579214,-5.502796286844367,-1.5266984924335925,-0.7747359687645574,-0.0030021556828728,-8.965742898584482,-0.0038871699232774,-0.3530713014897285,-0.3101441416333474,-0.0073419023764501,-0.6203291252070373
CY,-0.145388904856518,-1.370597804776171e-06,-0.3772440869308359,-0.0011217359086587,-0.4315681229822682,-1.288945376637197,-0.7188324310001635,-0.0178119088145429,-1.6378335445868775e-06,-1.1508830622863608,-4.694039579781295e-07,-5.041345231084396e-06,-0.0065100189718494,-7.10557220147041e-07,-0.0250419867677453
US,-0.0443458596289272,-2.481940141209691e-05,-0.1099430900301123,-0.0042241299710771,-0.0408806792464413,-0.2420731151651277,-0.6503688203149475,-0.0034923416375775,-0.0001994206100319,-0.7882640083221872,0.0,-5.905048544997387e-05,-0.0090114623524809,-0.0025872862895432,-0.0092189976402064
WM,-0.0539544989201688,-0.0041311740863746,-0.1738309974768054,-0.0180551890060856,-0.0544334919581172,-0.2083190717441106,-0.26319248961787,-0.0159039934708705,-0.0063225092878232,-0.1567088227041062,-0.0003152707865263,-0.0252943697093542,-0.0441907877921604,-0.0217509864761623,-0.0136423261930613
DE,-0.0296291473003335,-6.560346517689696e-07,-0.1249094926046303,-4.227294497949842e-07,-0.0538610338983046,-0.1586674697192416,-0.0826464975410487,-0.007481359036912,-8.237986121354082e-05,-0.5706119060630518,-1.6813465173015338e-05,-7.925716190263776e-07,-0.0090648876688025,-3.195830807249487e-07,-0.0043172598655992
WA,-0.0261385362605423,-0.0169819323359993,-0.1720969961143503,-0.0072692709974038,-0.0559682940927255,-0.2426107880876822,-0.2146816295113114,-0.0379195249911456,-0.0019958180421881,-0.1011084967503378,-0.0030626093289044,-0.0266869394197439,-0.0435555339020043,-0.002620484570826,-0.0240744092420474
JP,-0.0201731572220806,0.0,-0.0525669558732879,0.0,-0.0418624432277417,-0.0550819924012601,-0.1663215390017854,-0.0934669421409164,0.0,-0.3037652832307034,0.0,-9.753616060376616e-05,-0.0152818096066672,-1.6647483718983578e-05,-0.0080653636674804
IN,-0.0168209528235593,-0.0001393768171216,-0.2177333426231235,-0.0011509494573893,-0.0238911817085277,-0.0550802947024985,-0.16334823515763,-0.0110149557140516,-2.8609631331727595e-05,-0.2510550912537237,0.0,-0.0010522162146753,-0.0023102313719093,-0.0008576597006905,-0.0099553067052785
WL,-0.0141378252427457,-0.0059988729458368,-0.0636528133849086,-0.0144323213489869,-0.4077490010555471,-0.0726928586449909,-0.063181056707297,-0.0122488067637227,-0.0013571626327218,-0.0460007719031748,-0.0006626816419182,-0.006124632901856,-0.0087425736964378,-0.0020867706788684,-0.0102139423578595
GB,-0.0171128015897239,0.0,-0.0401630891002955,-4.885496328094693e-07,-0.0237692524567576,-0.1306192568068716,-0.1334197546680208,-0.0073128036025702,-9.378681631682846e-07,-0.0528173135744749,-1.6478330036214036e-05,-1.6380785925695364e-10,-0.0141846008356709,-2.1470720699853445e-06,-0.0074635232203928
IE,-0.0085497196398234,0.0,-0.0027936838178268,0.0,-0.0003756436506115,-0.1350248041284986,-0.1491985875462039,-0.0009316113337811,-2.0469968275376863e-05,-0.1101145795160603,-8.355232320570397e-06,0.0,-0.0126798155023926,-3.367232551559474e-05,-0.0038954549037418
KR,-0.0237050688858591,0.0,-0.0530562582726049,-5.638137521170862e-06,-0.0658095943323362,-0.1092318672611747,-0.074969930534992,-0.0303310573186526,-5.857557001151501e-06,-0.0292496056055225,-4.291394132228689e-05,-9.852694724260918e-05,-0.0061458882360623,-1.3583081255633478e-05,-0.0053817494680758
MX,-0.0043762186362944,-5.2455220584955374e-08,-0.0245523338266295,-0.0010819822722233,-0.0091272053430893,-0.1989535983155354,-0.1103850698921989,-0.0034578700131067,-6.867166650344446e-05,-0.0293538798514285,-1.7100466197834574e-06,-0.0001803345183332,-0.0019965300929258,-0.0001123879331233,-0.0068848471450659
TW,-0.0085049360666367,-5.037291497714049e-05,-0.0095639228763676,-4.6687298980635966e-05,-0.0090989061742015,-0.1358755187497489,-0.0905413356803351,-0.0068336563566606,-2.9632473819157826e-05,-0.0482073511119361,0.0,-0.0004268132036937,-0.0048293474611446,-8.257181065329872e-06,-0.0024141973446062
