Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CZ,-3.6500948908610136,-0.0021564630767049,-25.79209519870323,-0.0006885350819387,-2.0838265321261025,-25.382722610942974,-17.327890147412084,-0.6583886882770219,-2.540814159197478e-05,-20.57503717933489,-0.0026479495521462,-0.0003567341284086,-0.1657918047787773,-0.000160839325313,-0.3627095074502451
CN,-3.386064473869752,-0.0386820596942133,-3.0775850669125275,-0.0689002407584827,-6.665076775088389,-22.824621764203066,-5.663640063333944,-1.0372125284287976,-0.0055064721631599,-26.938276527815123,-0.0066380300764077,-0.9445865869038946,-0.7342768959103442,-0.0183761243557187,-1.1994831731562745
DE,-0.9642578656896832,-1.9438348594635145e-05,-7.219163973138413,-1.2991980010451925e-05,-0.6006770432784481,-4.624218736016945,-2.566195901145357,-0.1851498499912156,-0.0013470832770207,-18.562359826862888,-0.0008900894058553,-1.471470937573563e-05,-0.1356397558802553,-7.664968729160958e-06,-0.093714176929606
US,-0.2243233457674336,-0.0002288768895574,-1.209137240857849,-0.0229931716009015,-0.1474815958643778,-0.8854456430273945,-3.596097839813252,-0.0143423715390304,-0.0005930439706035,-3.98708554945544,0.0,-0.0013221850628831,-0.0288348001932821,-0.0087490750836766,-0.0528045772881378
AT,-0.1093075354805971,0.0,-3.0869380838654963,-3.194948961153464e-07,-0.0574660543269908,-0.6342870776012106,-0.6480533520419779,-0.0052814601002089,-6.275579503696301e-07,-0.4799665221488997,0.0,-0.0002740241213097,-0.029059494701658,-5.2116509529084825e-08,-0.0051207704969293
PL,-0.0964357448558536,-0.0001290168134858,-0.6878611539102308,-0.0044032655787004,-0.1750318672695575,-1.0306821877290486,-1.2353407450293468,-0.0316750998326878,-0.0006897061690967,-0.6763174152415475,-8.341722493609422e-05,-1.7754081035385262e-06,-0.0003584506706071,-0.0001156282752033,-0.0279218424210907
IT,-0.1224049604202934,-2.55597606419541e-05,-1.1566881844090635,-1.689934394832149e-09,-0.1464675806224796,-0.3029362707870784,-0.1450644491628073,-0.0225124336399492,-2.9471422937667856e-06,-1.469765808859907,-3.362247649056635e-07,-2.1874476328642147e-11,-0.0058471437962925,-1.0959887489522434e-06,-0.0516047396813783
SK,-0.1636413180015301,-1.8505009197834365e-05,-0.1422193049162962,-1.6751854164939323e-06,-0.0448720406675367,-0.5510726961453131,-0.8280678306272415,-0.0064610214042148,-6.925331835567437e-07,-0.9366493190519244,-6.680475941701309e-06,-7.528285247645192e-06,-0.0025279548619191,-8.743387484563994e-05,-0.0394057100320957
WM,-0.0360990824031862,-0.001160769048395,-0.8122600915339736,-0.0138222802024728,-0.0256164722919408,-0.4743439834423402,-0.7778961665342948,-0.0061485697373834,-0.0025877776926704,-0.3481359352606962,-0.0001007680588472,-0.0166394240120479,-0.0212168943917337,-0.0115099350226968,-0.0086369718042034
GB,-0.1160215631923241,0.0,-0.4542398567089724,-1.0003522895298164e-06,-0.0931397578515975,-0.741392733070294,-0.7249669279255716,-0.0244739784616428,-1.7793100261611576e-06,-0.2959402308852003,-2.540392895876229e-05,-3.354124570074829e-10,-0.0419691911392538,-4.510238988569513e-06,-0.0255858427829606
