Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.498858345437489,-0.0734249026639142,-4.074297985032542,-0.1183910168315548,-10.845255837036715,-38.11087665184491,-7.641954085648182,-2.455112517556444,-0.0072792446511568,-38.44310794262846,-0.0108811234693892,-1.2360312719428643,-1.202234857066939,-0.0275475017059202,-1.857577613255548
FI,-1.545392754367977,-4.638074271242762e-05,-16.112162917481257,-0.1323851575023475,-3.083434098532565,-19.895244312050394,-3.742332617086237,-0.6787103158730015,-0.0245539598052076,-9.566839974999777,-0.0226808396986561,-0.004973977127234,-10.72470929417358,-0.0069393547973084,-0.1238706485201885
US,-0.2550404318383676,-6.324997513586475e-05,-0.610692669726967,-0.0133371205117922,-0.5565857416633616,-0.926496541942402,-4.233387672451789,-0.033044762289673,-0.0004706983432052,-3.535874413155439,0.0,-0.0001445219129212,-0.0364303559442634,-0.0070420270516033,-0.0529098733478883
DE,-0.3786186580039667,-6.526944475389247e-06,-1.8549958162273397,-2.7406629502440195e-06,-1.4079006271396892,-1.2631027017089915,-0.6996962036161036,-0.3028875321547846,-0.0003605447894053,-3.837853018421476,-0.0001958566920215,-3.828616842318527e-06,-0.1521784869140973,-5.408725240402851e-06,-0.0177339782332976
JP,-0.3377397816488854,0.0,-0.1659246159643223,0.0,-0.4453767324968924,-0.5492877873912054,-0.6020903449637577,-0.0920499422297525,0.0,-1.2116620209993492,0.0,-3.5437857519286814e-05,-0.0245849647594766,-9.42594725555109e-06,-0.0075368394917065
SE,-0.135094006065735,0.0,-1.2281154869514648,-0.0013704982708038,-0.216502735871966,-0.5774487180566927,-0.5955574980857186,-0.0150401448755685,-0.0002602149438552,-0.4717404579031173,-8.130252051795078e-05,-2.9641199579616576e-05,-0.0503964727626245,-9.580437103998137e-05,-0.0058505282101536
WA,-0.0834270890018796,-0.0217578706854089,-0.4884151930906681,-0.0126254729116686,-0.2283146736424031,-0.9220308622092692,-0.6041929069285741,-0.0976194178699369,-0.0029649269477311,-0.2962350101296467,-0.0039265157873707,-0.0435512131016158,-0.0950020076574909,-0.0036587369794403,-0.0387684529921105
GB,-0.1518436647416672,0.0,-0.5002796718072757,-5.65308924240307e-07,-0.2058338419480198,-0.4436967945484229,-0.4161137231661673,-0.0304578614069449,-1.5323046048936233e-06,-0.167236404805377,-1.5469078828323572e-05,-1.8954488485705884e-10,-0.0219723264401726,-4.623492625713749e-06,-0.050219655956886
NL,-0.0276347515893986,0.0,-0.0757538481989456,0.0,-0.0822696615361173,-0.1610456907319297,-0.9539148851797278,-0.1317216609163085,0.0,-0.1992317400341276,0.0,-1.4398381908413133e-05,-0.0050273249997137,0.0,-0.0023683759519733
MX,-0.0071472723611375,-1.9125633549616239e-07,-0.0467874488546066,-0.0020388760835312,-0.038788242824843,-1.0334972570140148,-0.2896545372927983,-0.0148555988708704,-0.0001113640680976,-0.0819822886229673,-7.962109037388721e-06,-0.0002612495647834,-0.0049799211117651,-0.0002370141343243,-0.0181367143855651
KR,-0.0751743171766427,0.0,-0.1435435876773053,-2.6456769485843936e-06,-0.1545588717947537,-0.7018780064523374,-0.2069465502688385,-0.0787810387520533,-9.729510700695312e-06,-0.0957999078841552,-3.931543078775124e-05,-7.25824475517807e-05,-0.0279431206306352,-1.0082452539613836e-05,-0.0063877335575767
IN,-0.0242327145813365,-0.000189737780502,-0.3563078955834191,-0.0006476592230452,-0.0407571618293169,-0.1652978107737496,-0.2934986482965269,-0.0162601986917241,-2.2628757931604333e-05,-0.4591969098310116,0.0,-0.0006661967441728,-0.0013330292123324,-0.000409818343197,-0.0158934827242921
IT,-0.0372126939861861,-1.592845537650406e-05,-0.3584936147515588,-5.469781176644996e-10,-0.2068354924226352,-0.137256192248322,-0.0495793464336356,-0.0212182506653674,-1.2231878793187442e-06,-0.5025555452542675,-1.0372623153531273e-07,-1.830975147299598e-11,-0.0060306719595406,-1.383516073316488e-06,-0.0180162108693725
CA,-0.1726389218242435,-0.0002949145655883,-0.1732029520675756,-0.0010199443853811,-0.0875281935374324,-0.2543460824312115,-0.2619168061555163,-0.0444788191043497,-8.674288729429348e-05,-0.1585331392462903,-0.0001137442368322,-0.0001639946857532,-0.0742778354764903,-0.0001491319425807,-0.0042449521062239
