Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
FR,-39.44669907340197,-0.0011417772155458,-112.83715629616886,0.0,-15.505095734642392,-29.89596279757626,-20.61325193706548,-1.1452922404295285,0.0,-12.566032012081669,0.0,-5.53841303791094e-05,-2.4077813422430654,0.0,-0.2744971692485857
CN,-4.905329377813964,-0.0595707999582636,-5.457501175622381,-0.0961007940158468,-16.31871372901663,-45.17654962588621,-9.119450838834146,-1.921867624635238,-0.0083360296882226,-47.30016050566832,-0.0095566473119571,-1.3953594781988532,-1.116494535163321,-0.0265142413129501,-1.929467500084186
DE,-3.496047945295628,-1.9153616697468528e-05,-10.648183473013331,-1.1115511865334469e-05,-1.624379443310885,-3.642781022071613,-3.462781983088459,-0.1039225201958011,-0.0009709393844781,-16.749024881748717,-0.0009744052924792,-1.370331782446295e-05,-0.188538145811059,-9.368695484448865e-06,-0.0575123305083719
US,-2.830531145170794,-8.36888631726398e-05,-3.0184544632590318,-0.0142268166189451,-0.7637153795769576,-2.34245089293818,-12.164465612527245,-0.0296128760208984,-0.0004776563465762,-9.474490208282438,0.0,-0.0002337199564585,-0.0855315299602062,-0.0128839729286783,-0.1280895694276421
IT,-0.8030016486727993,-4.777624531599848e-05,-3.6381467797830975,-5.420381097862967e-09,-1.0416564883834305,-0.6910572044524644,-0.4339141783989615,-0.0488336932397077,-4.639822026981469e-06,-3.5671776087075373,-1.0643727621621227e-06,-1.0463497045390699e-10,-0.0129703817352865,-6.507355205235873e-06,-0.091015662739736
BE,-0.4327588976139622,-2.194432607396054e-06,-3.704785911139968,-8.204782875258627e-05,-0.9964373908839748,-0.4921162617082069,-1.802485159438319,-0.0533295017394044,-1.4923216718932244e-06,-0.803283555785721,-9.275461433996294e-07,-0.01593651986804,-0.0183402012428422,-7.339361888326692e-07,-0.1186983670374876
GB,-0.8251659860042995,0.0,-1.221676532386368,-1.7697799045521388e-06,-0.7049416166843406,-1.7177947720017872,-1.6074752223089233,-0.0253041778682474,-3.707873809087727e-05,-0.6491047480282729,-0.0001654475686599,-5.933971960195641e-10,-0.0876114619577833,-7.484905556851934e-05,-0.025769792627437
WA,-0.2516158042882802,-0.0241169035428087,-1.3553644919145285,-0.0231803199263615,-0.3320755033844452,-1.5125972443067726,-1.6275195518835692,-0.2116035763847161,-0.0045827503826771,-0.7092897687615132,-0.0046251493357274,-0.0890495435978514,-0.1253273684561598,-0.0058133193763037,-0.0784968869693905
WM,-0.1671538647549567,-0.0020965580023932,-1.230757029096121,-0.0218541060559885,-0.1354976329654154,-0.9191308406997434,-1.4807495539590212,-0.0109935060722614,-0.0044976458452712,-0.6566829548052046,-0.0001911021417142,-0.0285386075647986,-0.0417793047356911,-0.0195982723256756,-0.0158049893419733
ES,-0.3699937231115565,-5.20470984384401e-06,-1.3677443301373051,-0.0212530866741386,-0.4200397353429165,-1.3863285116126225,-0.232602078474256,-0.0748490792952317,-8.416416028649903e-09,-0.4306476282640249,-0.0004342131554366,-0.0029826996476314,-0.0136789461811798,-1.4706197909573312e-08,-0.0222956255939126
