Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IT,-14.543630341505876,-0.0377686032729004,-18.33130096305474,-3.4720512078241e-08,-44.73730930407905,-7.107312289229717,-2.5204500212941543,-8.091268723675856,-7.922121506441977e-05,-23.5432484830044,-5.242617764382563e-06,-3.7039287375768805e-09,-6.761729815803987,-0.0003262269615751,-7.600212037882248
CN,-3.184124944448952,-0.0370620411007403,-2.926572784951996,-0.0608399561334848,-45.31803676841652,-37.22930734990646,-5.645488210116356,-2.2368481088229624,-0.0050336373597871,-30.381829528560548,-0.00594834260369,-0.8392751517238856,-0.6388956743024449,-0.0162464457519133,-4.183000210035015
DE,-1.1809164140155908,-1.333971464371146e-05,-3.4768058306872125,-1.2178727813467428e-05,-3.7193869845320897,-1.830383393816471,-1.6603673027555688,-0.2502184335858624,-0.0006137739407091,-6.58827462605734,-0.0013318099788828,-6.99734220387347e-06,-0.183434727391941,-1.1450839653093838e-05,-0.4090934818730588
US,-0.580147712998722,-8.195936059753534e-05,-1.1096987678932542,-0.0089302422020661,-1.6169909833842908,-1.5107775045728808,-5.641943794555661,-0.0399788984754074,-0.000327368758223,-4.96341210291664,0.0,-0.000223321343549,-0.0752090774339506,-0.0073188415417763,-0.3428592138535762
CH,-0.0080793424909857,0.0,-0.023666401900831,0.0,-0.0243541731422804,-0.7321134378918364,-0.4139560610448387,-0.002837603088224,0.0,-0.3941774785666924,-8.199553835066827e-08,0.0,-0.0011464557849587,0.0,-5.340191857778153
WA,-0.1272492578916623,-0.020724993584223,-0.676271590934777,-0.0225974613589222,-0.7760944820356513,-1.3242056309529824,-0.9837798404148682,-0.3376186499889039,-0.0029470366468198,-0.3948088152904778,-0.0033954248077692,-0.0441092947126572,-0.2152053428438268,-0.0037039764257481,-0.4422777802927258
FR,-0.1645507103135701,-4.305041113738836e-05,-0.5280462619924189,0.0,-1.589075699162373,-1.3674265749144328,-0.5171114258757085,-0.0203846916155256,0.0,-0.394950851762872,0.0,-4.822814173519468e-05,-0.0106559534516837,0.0,-0.0373815313804109
WF,-0.0293958184629569,-0.0375724204305817,-0.1685135408668762,-0.0047826324612565,-3.0211228956061817,-0.2310498566964035,-0.3274484596059209,-0.0223362016334521,-0.0070074963755108,-0.0828402047129214,-0.0009372166626832,-0.0645772185537677,-0.0716995645535391,-0.0019707512374821,-0.0143189278604192
GB,-0.2103009446327354,0.0,-0.3284262134399096,-5.842854845089759e-07,-1.5133052403439835,-0.719358235907821,-0.6159090785518977,-0.0508386335078388,-2.288024410707159e-06,-0.2422107994493836,-1.964101607503464e-05,-1.9590760833224494e-10,-0.0333079944574919,-6.829618510523299e-06,-0.253606621032736
WM,-0.134771670576782,-0.0030705687686757,-0.6374442408267466,-0.0252459179261872,-0.356863116110818,-0.959343438099397,-1.0602472976313977,-0.0236845950977909,-0.0042665271852725,-0.4492234916202157,-0.0001706754329682,-0.022194957049483,-0.0979729675392917,-0.0152600326547417,-0.1068508004521155
IN,-0.0330159325728414,-0.000149120187912,-0.991145748897052,-0.0003011020653962,-0.100922443421156,-0.153140015959287,-0.5974231550671805,-0.0395139074438111,-1.82431167047863e-05,-0.6161052582701091,0.0,-0.0006644577361497,-0.0016544906967814,-0.0001613285614111,-0.0499397052435956
ES,-0.0774351434424675,-2.4610351905800577e-06,-0.3234807391168443,-0.0084115198103638,-0.7646221386219482,-0.4979225219103523,-0.0508945103185806,-0.3015427445198983,-3.521007608122494e-09,-0.1001110692765522,-0.0001679291600524,-0.0011881464303741,-0.0073481249709049,-6.152337829938725e-09,-0.0676391856800633
AT,-0.1206957641293448,0.0,-0.4692188004782104,-1.0114933893200248e-07,-0.288328769748911,-0.3815562028601195,-0.4892439118128188,-0.0104557490735297,-1.986794549559679e-07,-0.2656755626827177,0.0,-8.758906397568833e-05,-0.015390165438092,-1.6499639119140272e-08,-0.0022085928705444
JP,-0.0883222334208956,0.0,-0.1050627459795127,0.0,-0.2147297708554029,-0.2030437106921184,-0.3075908782220484,-0.2311592250760532,0.0,-0.7812345963302079,0.0,-2.114407591792108e-05,-0.0304194134202047,-5.849348759241508e-06,-0.0218419208328827
PL,-0.0469102881334255,-1.535761495100864e-05,-0.1632229559002674,-0.0014568692826895,-0.2929471022091178,-0.4994460242592421,-0.4413543129020972,-0.0376404025803933,-0.0001913152379088,-0.2475180970905158,-9.929633093835778e-06,-4.088605850481773e-07,-0.0001730007242966,-5.7517165900094496e-05,-0.1136151555077601
MX,-0.0098163207546946,-4.882990243420351e-07,-0.0658136071708209,-0.0026737459215225,-0.121543295723928,-1.0567830817688444,-0.4141724028786877,-0.0212940359101345,-0.0001373797991377,-0.0993443247555164,-1.1580268991276431e-05,-0.0003656417192041,-0.0060874632781186,-0.0003566683683117,-0.0324685229193805
BE,-0.0686262163983824,-4.214016408585425e-07,-0.3463667182015078,-1.4560717496786388e-05,-0.6358365231060042,-0.0876469423858221,-0.2891273483657504,-0.1170691707471432,-2.64836676474321e-07,-0.1227389356584182,-1.646081019401746e-07,-0.0039298957520127,-0.0050398768759625,-1.302488764021496e-07,-0.0283995578721338
CA,-0.1630779251088887,-0.0004202299485408,-0.297460518232962,-0.0015977891418471,-0.1392934500469315,-0.3630799750093642,-0.4165788484373708,-0.0529409748798861,-0.0001446491208399,-0.1840429419081233,-0.0001597222964557,-0.0002035438403577,-0.0571887624869162,-0.0001864880885006,-0.0117266009924518
KR,-0.0527694447686714,0.0,-0.1322672582417194,-9.578837941534158e-06,-0.3940649136129471,-0.397413434280427,-0.1924561754464241,-0.1117050729002171,-5.9098602622560665e-06,-0.0754169581864507,-4.951671842629664e-05,-7.87807740521935e-05,-0.0133681833715356,-1.2737200658661531e-05,-0.0345406380926652
WL,-0.038820702585521,-0.0050792736680222,-0.0826214879865693,-0.0161086191868644,-0.77952893235289,-0.153497129893374,-0.1395202467881355,-0.0127251319944007,-0.0016516748459392,-0.0642838889066096,-0.0005373193599327,-0.0064791572726583,-0.0107652452753199,-0.0019571181863294,-0.0117186827930027
CZ,-0.0174593162936949,-7.342500764164598e-06,-0.1169783001430162,-4.4168603112299494e-07,-0.1687874754436096,-0.4683418422959779,-0.1885127975458514,-0.0137327157547533,-1.9470694337906797e-07,-0.1700086793733977,-1.801872798404184e-06,-9.272112703714272e-07,-0.0007899755906646,-5.656801965296511e-07,-0.0023391536337061
TW,-0.0058544674919214,-2.4279857519645904e-05,-0.017274069768326,-2.8977566638282943e-05,-0.0888353952481439,-0.6610943212687943,-0.160791531351498,-0.0363025175812642,-2.710153192265906e-05,-0.0482704335542376,0.0,-3.889263368125228e-05,-0.024805677974219,-2.0135904519560303e-06,-0.0470737466434403
TR,-0.0273497613537581,-0.0002926567852779,-0.3349407811367695,-0.0005488438573155,-0.2085631417093613,-0.0560558030376861,-0.2385666620188087,-0.0025380715183069,-0.0001555561254618,-0.0195623926212218,-2.1413839122633616e-06,-0.006855336563408,-0.0158235319308322,-0.0008410488101033,-0.0883633751347321
HU,-0.0273571898418677,-4.417422013378514e-06,-0.135033102015183,-6.370575672047713e-11,-0.0038475206667146,-0.3471326467239861,-0.2102114695431383,-0.0019290230148012,-2.3574611610238977e-06,-0.1375844822021585,-3.96714494674852e-06,-7.451414926104687e-07,-2.44165807702237e-05,-1.4486268417906198e-07,-0.0002053860828137
NL,-0.0187854389583364,0.0,-0.0178066776399068,0.0,-0.2203069693354352,-0.0820519317604082,-0.2978058832586474,-0.0226721299808972,0.0,-0.0981336602699404,0.0,-4.83250506754379e-06,-0.0019413507786203,0.0,-0.0091098750274836
SE,-0.0390543635626521,0.0,-0.1722518169417804,-0.0001410420713239,-0.1509058010030111,-0.1303836085285891,-0.1177318966553349,-0.0060913610667985,-2.987195025362711e-05,-0.1039337904445652,-1.7337286186293898e-05,-4.513482921162391e-06,-0.0023146410521147,-1.5531649492024603e-05,-0.0005350610223725
WE,-0.0376661966280171,-0.0129674329040663,-0.1668099263999751,-0.0003816146629606,-0.1955495852992951,-0.1496548204743401,-0.052459236295953,-0.0082046780663392,-0.00154620306439,-0.0445943213251407,-0.0001176214684252,-0.0126297030486079,-0.0126770024474012,-0.000185847582128,-0.0034898514882825
PT,-0.0116365719252686,-5.129676556210662e-09,-0.0889318237969233,-8.767922443807693e-06,-0.1195891806779914,-0.2189777933160038,-0.0651679307487202,-0.0065289523686878,-8.22935976500166e-05,-0.0689736950056633,-8.80918009836857e-10,-0.0001140537620937,-0.0006043858813113,-2.0846394268312807e-06,-0.0017262334845522
SK,-0.0137687733552714,-2.596967229633461e-05,-0.0787683624863025,-7.35520634588932e-08,-0.0632136699983783,-0.0820743567019808,-0.1380996192446843,-0.0018068216199945,-3.0798967823723894e-08,-0.1473067636594724,-9.62322750902124e-06,-9.884813176983558e-07,-0.0003345386183945,-1.9489514643872304e-05,-0.0008356366660202
ZA,-0.0777694255084822,0.0,-0.1414091358389933,-0.0016916500485943,-0.0459672343460976,-0.0341489130014601,-0.0473063198328784,-0.0096645394871003,-0.0004257674150287,-0.0340211081877083,-0.0001864015505879,-0.0544619501495685,-0.0156130328509285,-0.000558018601896,-0.0134536370595134
GR,-0.0654643050023047,-0.0004799980489678,-0.0796527214671923,0.0,-0.1103137157729944,-0.0475969236720805,-0.1471296004530136,-0.0003770366189477,-8.069532478159659e-06,-0.0182576371939507,-9.003168743665612e-08,-2.6607593142104e-07,-1.3535972575425304e-05,-3.859142601782123e-06,-9.633649528634063e-05
LU,-0.0065765658924853,0.0,-0.1353408129603492,0.0,-0.084599147543762,-0.0059028908941617,-0.1131819885202371,-0.0796600690394356,0.0,-0.0255888455926933,0.0,0.0,-0.0019766783236287,0.0,-0.0097999151014345
RO,-0.0047400665917992,0.0,-0.0346572964883551,-0.0035011450469015,-0.0653080876488201,-0.085466961601442,-0.1518342368944199,-0.0058734321158363,-5.373877935995151e-05,-0.0997484162079355,-1.5835930363104864e-06,-0.0002477737042294,-0.0004518631383335,-0.0002358596385648,-6.009598831954949e-05
SI,-0.0285762666916341,0.0,-0.0584865104196646,-1.9849444231826645e-07,-0.0323493008847045,-0.1121094915824949,-0.1013219220589317,-0.0028944889436125,-4.023350973864349e-07,-0.0767801673558248,-6.546022253948829e-07,0.0,-0.0003283554327899,-5.6702503459146424e-08,-6.392154308506384e-05
