Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
LU,-1.8648002837014568,0.0,-33.98388489218059,0.0,-4.081312418477317,-16.490419325971537,-134.26230595409203,-3.767391180588747,0.0,-21.03028078271947,0.0,0.0,-0.7457405160996716,0.0,-1.21670994118487
CN,-7.464381261952227,-0.0735198609903099,-5.985846080081066,-0.1153478835544082,-14.617283121745626,-38.27339349266162,-10.391347614048934,-2.7807432621034094,-0.0094001552131699,-51.185861099656734,-0.0111284379550413,-1.6458851125245646,-1.2409460759061377,-0.0310871373878742,-2.496671337428386
DE,-0.6786121078312114,-1.619362841910047e-05,-4.576732877202311,-1.1484777985168005e-05,-0.8215274016459502,-3.238953736686017,-2.9289113888723644,-0.241257293090401,-0.0011690360133559,-14.77384769341865,-0.0007261457514067,-2.682229672002341e-05,-0.2076257741465386,-7.3730267167506595e-06,-0.1420161994124382
US,-0.3558294970356206,-0.0001067412715351,-1.2407038659844636,-0.0177927529250234,-0.3762413199811841,-1.4370416352843185,-6.551152515568613,-0.0298043881287378,-0.0006636393079496,-7.308516953005185,0.0,-0.0002778884595602,-0.0421076755295951,-0.0139961746625896,-0.1115047306653615
IE,-0.7883134392300359,0.0,-1.3922134799271713,0.0,-0.1370938668215276,-2.013581118362788,-3.444237366451364,-0.0276787624950773,-0.0022989730573531,-1.5964895661472522,-0.0003092194355714,0.0,-0.3862646897033007,-0.000337286599914,-0.0276165350853271
FR,-0.4091742801567865,-0.0001816651273791,-1.7836732034197362,0.0,-0.3003100027549296,-2.668509343383473,-1.4694573230805528,-0.0444291863602994,0.0,-1.2904725361422664,0.0,-0.0010160602266887,-0.048137841852958,0.0,-0.0096623692996039
GB,-0.4387893816108635,0.0,-0.7952868183233052,-2.544306926437062e-06,-0.3770836040927672,-1.595529940110819,-1.6279859872892697,-0.0867852817884175,-1.4887344833185994e-05,-0.661257400618825,-0.0001074148097247,-8.530917212865706e-10,-0.109125900445812,-1.3110678208693824e-05,-0.0517006085945764
NL,-0.1161026799765719,0.0,-0.1153438787281431,0.0,-0.1061308928543945,-0.2951446277124123,-4.199585587015918,-0.0484387619125164,0.0,-0.6054420107807805,0.0,-6.294802109364245e-05,-0.0125186416560541,0.0,-0.0073888123456867
WA,-0.1097903436520679,-0.0288611753708013,-0.9060997449122222,-0.0253337640212246,-0.2213998046335598,-1.3413322120952955,-1.2738580190957205,-0.2235193317489991,-0.0053666542928404,-0.6370801356224738,-0.0061198981507267,-0.0906740299829187,-0.1261144267849342,-0.0073473789243604,-0.1456664772173379
IT,-0.1799580406399737,-0.0005121741725715,-0.8790506822168508,-1.2629171638370764e-09,-0.2630965901323486,-0.4373572977472496,-0.21240279496901,-0.0990491558473706,-2.618443872982892e-05,-2.4672928991666696,-2.407121753210217e-07,-3.2598591441966753e-11,-0.0116727848595796,-2.4307462044641764e-06,-0.0527362411511526
