Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
PL,-9.279089108155748,-0.0010496267035646,-21.21253032848198,-0.5402227463563225,-14.881036190112749,-24.215527297661325,-29.236100948793748,-0.6428558274441789,-0.0895998764711245,-15.936133793654458,-0.0006786475689836,-0.000130167243786,-3.2496002131807504,-0.0097999896490625,-0.621723670722494
CN,-2.8412345685726343,-0.0315713017884478,-2.5930839435476813,-0.0533861202008169,-27.13779967576982,-28.908117460826585,-5.058248126141231,-2.36894792859754,-0.004447080425685,-25.388001612008395,-0.0050344969247457,-0.781217054369948,-0.5805381209527045,-0.0146722957270975,-1.0641265638427106
DE,-2.3838608146777656,-1.9628211244284867e-05,-6.052335670948793,-1.1984811290208092e-05,-1.1090494771717254,-3.986987914098661,-3.4693501194104988,-0.2129821407294775,-0.001232511487554,-18.0110857100193,-0.0006706393240115,-1.4021364610979795e-05,-0.0955392364268763,-8.639330171802193e-06,-0.0693394448709687
US,-0.3377997040726935,-4.656552414846859e-05,-0.7088679955726471,-0.0076134277173041,-0.2471492141173581,-0.8354637460445588,-3.1557685861245437,-0.0226000493733426,-0.0002713456165877,-3.963383250440218,0.0,-0.0001450572075464,-0.0241957377968706,-0.0058172142289941,-0.0603383594179137
CZ,-0.1303918293041612,-3.138316045723967e-05,-1.0303082528539425,-2.371713709924556e-06,-0.082409216706464,-2.340611861078563,-1.3681482660832414,-0.0545868910630551,-1.241442217110923e-06,-1.2282729281522409,-7.807875700082779e-06,-3.759918542173544e-06,-0.0030532399626108,-5.276545610037234e-06,-0.0106232814066181
IT,-0.2545562534336078,-2.113208733539896e-05,-1.0883904755848428,-1.6054599738685546e-09,-0.3098453377861856,-0.3389917047766011,-0.1602700329782629,-0.0480219457675298,-1.855216747420696e-06,-1.8155501773014688,-3.137199528050236e-07,-3.3826766081569503e-11,-0.0049003494260299,-2.248852006828252e-06,-0.0377171153255668
GB,-0.2548928408305009,0.0,-0.4049561406411993,-8.805403531625832e-07,-0.1839213491286425,-1.0335537191819832,-1.0162816976894322,-0.0390904368355723,-1.8128486959561617e-06,-0.4077540836773412,-2.232827173496926e-05,-2.9524020173051594e-10,-0.0559152715472838,-4.551479542422982e-06,-0.1720109063015309
WA,-0.0733249420088505,-0.0091239290379566,-0.5373765699472425,-0.0100861311552402,-0.1581116360991964,-0.7108105256028101,-0.6578865659155846,-0.0646179312379316,-0.0020188814731109,-0.3342235597849937,-0.0018132039889568,-0.0378742771589121,-0.0873110389520983,-0.0025770304434819,-0.0447682726039812
FR,-0.1282347089854949,-3.130743848817547e-05,-0.4081507092366174,0.0,-0.2420560666836743,-0.8786082645010105,-0.3792143106725942,-0.0103788417623644,0.0,-0.3706552855555404,0.0,-3.572618228182589e-05,-0.0066542701661723,0.0,-0.0019385093786662
HU,-0.0625735608544789,-9.16041700359382e-06,-0.2816594591026759,-2.0182521194640484e-10,-0.0019964788202296,-0.9458249685368452,-0.5991723265113104,-0.0016933245069,-1.889242496011862e-06,-0.3972342064472288,-8.879111802215554e-06,-1.1589080852473527e-06,-9.395417846786908e-05,-4.868740099342913e-07,-0.0006491638408033
AT,-0.1661399420182321,0.0,-0.5687997090751293,-1.2683005998381334e-07,-0.0492717245929963,-0.4695759970528011,-0.5589476309853041,-0.0061266259858187,-2.491220155828844e-07,-0.4189478123899255,0.0,-0.0001425886293269,-0.0206083649740116,-2.068871869343985e-08,-0.002810508711836
WM,-0.0522681662757681,-0.0009355028078631,-0.3550412067538926,-0.0085214964012022,-0.059744683571704,-0.4154590413505648,-0.5162132432168097,-0.0064657310915819,-0.0018821601266468,-0.2708023750026724,-6.762568310111906e-05,-0.0134913013195375,-0.0342660854291588,-0.0083265151590676,-0.0093836041218478
SE,-0.0590654636036889,0.0,-0.4563073629536849,-0.0005371406646872,-0.0330281881149977,-0.4128987025086082,-0.303102183660992,-0.0038269754138937,-0.0001119385375642,-0.3854167050354156,-4.027320378850104e-05,-2.0350222517290624e-05,-0.0035776933934882,-4.053511716958081e-05,-0.0005629967161688
SK,-0.0661264761772146,-6.968146370904154e-06,-0.0506559618018429,-1.752599803274979e-07,-0.0162453661331815,-0.3101769898035225,-0.4958612273680953,-0.0139042469978804,-7.445295997690403e-08,-0.644492126335364,-2.4035788012043105e-06,-1.104550428065892e-06,-0.0008002227637835,-3.211910826241393e-05,-0.0105021458076082
MX,-0.0098103014145322,-1.831265984963701e-07,-0.0739768820340995,-0.0029980752909593,-0.034356195219516,-0.9498530588451892,-0.3804603940577931,-0.0105764199541436,-0.0001325268022909,-0.1028454224967731,-5.1283675583657735e-06,-0.0003880734214921,-0.0042757584549967,-0.0004226288774917,-0.0260658195879594
WE,-0.1010412736586115,-0.0434421269691051,-0.5719500731377429,-0.0009474713398924,-0.0805883679062055,-0.3776047485653921,-0.1501662779170773,-0.0113827468083505,-0.0016955916522729,-0.1674067144810946,-0.0009007218727773,-0.0242270281776708,-0.0161224431999686,-0.0003996393083814,-0.0017163130541338
ES,-0.0455101480654558,-1.6301682450055413e-06,-0.1973349165422825,-0.0042747547007844,-0.8727444875540913,-0.2543299861376519,-0.0277244401090923,-0.0199754423150587,-2.471136262894133e-09,-0.0651988414453448,-8.086963439911617e-05,-0.0005308207627481,-0.0034928635369734,-4.317873405964594e-09,-0.0034433764950374
