Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
PT,-3.8741217226763176,-1.1475959561733858e-05,-20.76165474416819,-0.0019896310498486,-1.4786940575879883,-21.237762792321146,-35.96203999540378,-0.314334159065017,-0.0149985465409667,-11.076431089560376,-2.2522855617985056e-06,-0.0157363463267362,-0.1428673208511718,-0.0001783692061878,-0.0287866051823469
CN,-3.320310164299995,-0.032644111965696,-2.696991034107343,-0.0587843612692905,-7.847342870671007,-17.28600604473848,-5.086292325020167,-1.3280036433113784,-0.0046327076482356,-24.111990760608688,-0.0056120899465742,-0.7838245131185048,-0.733508791655126,-0.0153038361359269,-1.051848222090904
US,-0.2709688769642265,-7.904369611992274e-05,-1.4072233109398016,-0.014182500205125,-0.2345461586186187,-1.078768281587691,-4.898604390447217,-0.0130084146216628,-0.0004595080135587,-5.284936149674136,0.0,-0.0002021168841365,-0.0514330517590647,-0.0171591710220505,-0.0589038700559502
DE,-0.5921606623228582,-7.093815052404738e-06,-1.1935112608482097,-4.415442962046391e-06,-0.2420397763180851,-1.7198085672742316,-1.065972094751084,-0.0696447683588011,-0.0004873374578066,-6.873650075709393,-0.0001494611985949,-5.600786324485491e-06,-0.0650690951287417,-2.8533382786308943e-06,-0.0193207272922468
ES,-0.3958564925695098,-2.2056750352588583e-05,-2.241067302714552,-0.0526453068823609,-0.5300410051345654,-1.874580600155191,-0.3055695888777189,-0.4655152163053457,-3.3510578570394785e-08,-0.550880368894724,-0.0010321308565796,-0.0054740108769856,-0.0697641802761073,-5.8553807088786335e-08,-0.0713127828233275
WF,-0.0525762497568812,-0.0760545386917131,-1.07364445805846,-0.0194220991069728,-0.1704008599976121,-0.6412374614080771,-1.1803146350323213,-0.0215491746599982,-0.0222710916942052,-0.317611926606561,-0.0038085409665069,-0.2412102749373911,-0.2068327094027575,-0.0069973815407738,-0.0317370471543411
GB,-0.1643535988986731,0.0,-1.1012058368194664,-1.5855456947583813e-06,-0.1007668980283172,-1.0431760274071058,-1.0650574129202883,-0.0263844085063839,-2.311126729675826e-06,-0.431078650211863,-3.301711203681879e-05,-5.316245051166563e-10,-0.0506550879428458,-8.346758280933969e-06,-0.0214828034170931
FR,-0.173546347327837,-5.882773929556569e-05,-0.6820600513058931,0.0,-0.1283334627151272,-1.249315224137801,-0.6385825830857531,-0.0103404446528954,0.0,-0.5922084656205031,0.0,-0.0001287300106984,-0.0125976162125698,0.0,-0.0040360818761708
WL,-0.0331518213137884,-0.0108211610360522,-0.1580458861640432,-0.0238806352980663,-0.9446815783933455,-0.3724401774077427,-0.2585017721211641,-0.0202777824685405,-0.0024967072742024,-0.1218257717303997,-0.000906591901551,-0.0083385457408607,-0.0155962776882008,-0.0027729239594627,-0.0182497310713194
MX,-0.0101258987839126,-2.1782195217156678e-07,-0.0829126207480808,-0.0036775279076348,-0.0355919582397474,-1.1996957159207933,-0.4519194764550154,-0.0170447813008266,-0.0001946226393884,-0.1179754128673115,-8.780578456012518e-06,-0.0004900261186303,-0.0056758369978294,-0.0004908108553124,-0.0323990993290023
CA,-0.0788145651800155,-6.50509276163359e-05,-0.5491288737544289,-0.0017758573128265,-0.0171157575970992,-0.2164928344236709,-0.7536630520010817,-0.0206777880413114,-0.0001546945419706,-0.221441059266659,-0.0002123606210995,-0.0001139795792154,-0.0248917753623112,-0.0002821624688463,-0.0063383751806036
WA,-0.0389478931834068,-0.0132474636597685,-0.3619213091478916,-0.0088816815389949,-0.0777490688713209,-0.4983208254373749,-0.4337439156871386,-0.0491117589561292,-0.0020635924700887,-0.2360573857409572,-0.0024904910154681,-0.0352050057771758,-0.0470360660522184,-0.0026552918441261,-0.0292830070493853
WM,-0.047884294404048,-0.0021795553211711,-0.2944756426961804,-0.0110751011674318,-0.039141827956404,-0.4169541335384613,-0.5268418516836809,-0.0113581975921343,-0.0031982928729722,-0.2850347376769668,-0.0001084201589007,-0.0170602115296325,-0.0286057895327145,-0.0118246176388028,-0.0092778138117439
IT,-0.055933317418891,-2.645453951213552e-05,-0.3305920487694029,-4.775709632377911e-10,-0.1096846398379003,-0.2055644987939646,-0.0710857170739301,-0.0218857027565866,-2.03129343773259e-06,-0.859861896737921,-9.110314515410961e-08,-1.164668420885244e-11,-0.0032727562034143,-8.2757877967432e-07,-0.0275915130405885
BE,-0.0665443064209779,-7.807188053669206e-07,-0.2519956060980696,-3.888285149748836e-05,-0.0815508300486951,-0.1452807591424161,-0.244130164199341,-0.0378856850207748,-7.072182510725944e-07,-0.135425697726399,-4.395684748664232e-07,-0.0029689051609295,-0.0043282109538788,-3.478158078389567e-07,-0.0220939690118023
JP,-0.0344737579661531,0.0,-0.0511059745121753,0.0,-0.0485999566209445,-0.0984297192578958,-0.1712502118471457,-0.0670264331318127,0.0,-0.4492526508677817,0.0,-1.6706762943081967e-05,-0.0233669977549624,-3.5844914848365558e-06,-0.0044708455169993
IN,-0.0200695694147757,-0.0001026164333363,-0.2628869868830271,-0.0002388741107862,-0.0273647847145698,-0.0775515199563515,-0.1972370244951055,-0.0135585813618009,-1.2093828691168938e-05,-0.2744945068062985,0.0,-0.0004467769080305,-0.0008108729135235,-0.0001389326502878,-0.012258460613309
IE,-0.0117179377971383,0.0,-0.0048501615176552,0.0,-0.0004796914516275,-0.3178956020711693,-0.1047688992059237,-0.000782689783387,-3.485611953604507e-05,-0.3966200351411073,-1.9441098845521838e-06,0.0,-0.0318330391695828,-3.592501086322487e-06,-0.0005658491645973
KR,-0.0295294009101592,0.0,-0.0868367092642222,-3.5270889720015995e-06,-0.0768104541556119,-0.274225712620169,-0.1349348391048485,-0.0564414647511411,-2.885044197091014e-06,-0.0607209005266126,-3.138044837109708e-05,-5.609376957894905e-05,-0.0105242524984159,-7.5949750326561695e-06,-0.0050354685944758
