Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-0.1786030352002264,-0.003202608667807,-0.1461630213414491,-0.004841145730686,-1.029713330152435,-1.219317470136725,-0.1788681476953614,-0.1270630502481557,-0.0002583249483854,-1.1359548349455455,-0.0004189753469219,-0.0471794887453915,-0.0540587527040712,-0.0010877543585027,-0.0908041642600916
US,-0.012137340975423,-1.9723894708472536e-05,-0.0387425943603209,-0.0070327141642745,-0.0270796451463461,-0.0708008156745502,-0.371566584191688,-0.000955773175811,-0.0002835503301269,-0.3062264592552247,0.0,-4.332143754256395e-05,-0.0025388385990234,-0.0014285128152013,-0.0039583091095365
WL,-0.0013993341399103,-0.0003247693918476,-0.0073068112796809,-0.002137035543306,-0.47123803230252,-0.0101752013209958,-0.0083637360729538,-0.0007614348634208,-0.0001357767261257,-0.0053109816218159,-3.196302576358895e-05,-0.0003772178699599,-0.0008703377033052,-0.0002212821707594,-0.0010381850015893
WA,-0.0124571703220757,-0.0234507669491922,-0.0331168974797639,-0.0045110268031571,-0.0281692447650707,-0.0475464167893627,-0.0506348325581589,-0.0275835661862879,-0.0017165767797274,-0.0198755275309215,-0.003614683411858,-0.0143859732781015,-0.0370936598890992,-0.0014684880099045,-0.0119763232440912
DE,-0.0080357501916348,-1.5053952693881638e-07,-0.0279808534898029,-1.0393539143474206e-07,-0.0053427163344237,-0.0387174872605352,-0.0225481301753621,-0.0014564534890093,-3.501471574774352e-05,-0.1434605281489758,-4.185660414352512e-06,-6.86889187552189e-07,-0.0022974364779586,-7.146915789739537e-08,-0.0009845346158695
JP,-0.0027154942067211,0.0,-0.0073994556139056,0.0,-0.0044804799933627,-0.0145603928533938,-0.027222683008615,-0.0008187611556358,0.0,-0.120156174602361,0.0,-2.062545648420973e-06,-0.0026729923575851,-6.757047014121706e-07,-0.0004234265735231
CH,-0.0003221501090348,0.0,-0.0007837348255856,0.0,-8.171411947004158e-05,-0.0145663802817105,-0.0589542244986316,-3.5031076187355047e-05,0.0,-0.02056644274775,-6.316305838355821e-09,0.0,-0.0001452448461297,0.0,-0.0046641082107345
IN,-0.0017795422761594,-2.708841477124705e-05,-0.015373246969594,-8.738623391217097e-05,-0.0022319665775346,-0.0074884076021451,-0.0128935838954349,-0.00108502399082,-4.385213159398158e-06,-0.0327297765517693,0.0,-0.0001246697734233,-9.355177300260049e-05,-5.18939770291442e-05,-0.0014830046513394
GB,-0.0026277978178103,0.0,-0.0046259943926948,-1.0471097968050724e-07,-0.0025518696489506,-0.0257534159434718,-0.0220651642567486,-0.0006882264367971,-1.740571533975589e-07,-0.008826758674902,-1.3441202859731648e-06,-3.510899947111315e-11,-0.0018784281681861,-4.17202309400046e-07,-0.0005053517724007
KR,-0.0024040397378948,0.0,-0.007493197422616,-1.024460132484702e-07,-0.0115365886942953,-0.0202721064239827,-0.0113572284616458,-0.0033841396190393,-1.286458375436998e-06,-0.0044169843662124,-6.508715510726158e-06,-9.335240770469876e-06,-0.0013369051377743,-1.5826468415881749e-06,-0.0006492969198865
MX,-0.0007118657981745,-1.014668243577922e-08,-0.0027338590811544,-0.0002433985002949,-0.0019000409765117,-0.0341003178326977,-0.0139277027223313,-0.0006403862031022,-9.762132569882618e-06,-0.0032492880271423,-3.220234306770898e-07,-2.2891602841899147e-05,-0.000238432583621,-2.2476749367942583e-05,-0.0012289670298765
IT,-0.0014059554847573,-3.2178901117198704e-06,-0.0061238351987127,-8.848783416664133e-12,-0.0026376014687548,-0.004836525999576,-0.0014970716818341,-0.0004190421410784,-4.311310849182068e-07,-0.0213904521756022,-1.6629419397061683e-09,-2.538375437289177e-13,-0.0001125775306524,-1.8687869885516757e-08,-0.0004083387216709
TW,-0.0006194020578084,-1.54589343001821e-05,-0.001020125424288,-4.484010382028444e-06,-0.0019032572542072,-0.0205746027976051,-0.0076057326758725,-0.0001461344508459,-2.7632601210409743e-06,-0.0024228196103272,0.0,-0.000122758056698,-0.0009131801847743,-1.6681185114243437e-07,-0.0002605717073925
CA,-0.0020554567666995,-6.7957418338298725e-06,-0.0050148871654187,-0.0001220226001881,-0.0024561079296318,-0.0078106876196473,-0.0080917405059753,-0.0004725235895013,-7.729957859528924e-06,-0.0048730591745952,-1.010255654298181e-05,-7.398309776105013e-06,-0.0004541454661221,-9.424936831792824e-06,-0.0002551129195537
FR,-0.0018024775773126,-2.713749599693597e-06,-0.0068894864478602,0.0,-0.0026286848373437,-0.0085125191596198,-0.003867523605812,-0.0003230552646502,0.0,-0.0038863018144784,0.0,-4.0372095836474186e-05,-0.0003653710843357,0.0,-9.954848435049072e-05
WM,-0.0010020686303182,-2.921902808040786e-05,-0.0053015696661973,-0.0002484933148037,-0.0007833561045709,-0.0060732805849203,-0.0074241380543905,-0.0001898019051595,-5.9359165233496473e-05,-0.0044530462547459,-2.344602800895022e-06,-0.000280958526001,-0.0005677953193342,-0.0002116205679793,-0.0002803818018325
AT,-0.0011450603106904,0.0,-0.0027576310828765,-1.2824119025431922e-08,-0.00039452839888,-0.007027037824187,-0.0065327458736753,-2.607791528940664e-05,-2.51893784493845e-08,-0.0065992393336661,0.0,-1.0349164802980594e-05,-0.0003899519093818,-2.091890448070973e-09,-4.3524261201775214e-05
HU,-0.0003595390476658,-4.9404845372673816e-08,-0.0015203863797565,-8.746639683377383e-12,-8.690112977105584e-06,-0.0109035590435147,-0.0040843406728509,-7.301586105491206e-06,-6.398575176822052e-09,-0.0067636417035831,-4.6864770639417584e-08,-3.006740707418979e-08,-7.75572650361747e-07,-3.9016474128185765e-09,-6.920797437806293e-06
NL,-0.0009423501730165,0.0,-0.0008641975903143,0.0,-0.0015663597789711,-0.0033568499604808,-0.0101626866747411,-0.000461445576254,0.0,-0.0051477926753223,0.0,-4.552609312667805e-07,-0.0003635129417217,0.0,-0.0001506989845099
SE,-0.0005058966686772,0.0,-0.0052561302517764,-8.10622602368552e-06,-0.0004805392275566,-0.0069003855105561,-0.0024887300393469,-8.226007546719963e-05,-1.6236763762505431e-06,-0.0050434789390779,-6.597602127936378e-07,-1.880283428353261e-07,-0.0001908851438125,-6.697375466194368e-07,-3.416449977467968e-05
FI,-8.07262967631892e-05,-3.932939372664339e-08,-0.0025932015975063,-1.846014410852343e-05,-0.0010087242070548,-0.0079163565331085,-0.0011829509144335,-0.0001196153746422,-2.0869199889344247e-06,-0.0049247742805505,-2.7439126732717924e-06,-4.854572065510061e-07,-0.001565006239125,-7.46230234299666e-07,-2.963625161094238e-05
BE,-0.0011731987430107,-3.4695431598742354e-08,-0.0035984131444205,-8.397521909522545e-07,-0.0022678402785308,-0.0035291592701568,-0.0045757184230483,-0.0009249368741513,-1.5273778875450913e-08,-0.0023173776928125,-9.493351840887072e-09,-0.0001075954685542,-0.0002178648742466,-7.51177126758444e-09,-0.0006645742075391
CZ,-0.0001880656655359,-5.245349681919165e-07,-0.0011059017465798,-7.94941607275061e-08,-0.000188084621567,-0.0064631890243899,-0.0036980828321864,-8.711616991056252e-05,-1.069588992361962e-08,-0.0055362447737686,-7.220132503655258e-08,-5.570785616716864e-08,-1.9410304641509568e-05,-1.6791810262299573e-08,-2.7251654541277275e-05
ID,-0.0002291538463044,-0.0003742774209462,-0.0057860187778811,-0.000101944288726,-0.001071930668625,-0.0026493763803668,-0.0046471238008487,-0.0002390969706833,-4.169878908332866e-06,-0.0006032917818726,-8.270862791767944e-05,-5.553961108505034e-06,-0.0005024790204087,-2.0025309436004325e-05,-0.0001022127419134
GR,-0.0009772866363562,-0.0003076512890935,-0.0027921217472914,0.0,-0.000843779927094,-0.0041930235930693,-0.0034366519833298,-2.4931811572262795e-05,-2.4656463293881156e-05,-0.0021291981925776,-4.768656565207883e-07,-3.5490006302357582e-09,-2.3939852100299776e-06,-6.82909590859298e-10,-1.2228720579579375e-05
PL,-0.000432999204774,-2.901625652163343e-07,-0.0014650785989338,-2.7853644452167225e-05,-0.0008624552331262,-0.0039680274519128,-0.004216691734534,-0.0001562764179692,-4.550680048026345e-06,-0.0027788454927438,-1.8760776457513448e-07,-1.6733099869381865e-08,-2.588740085944563e-06,-9.183299367770078e-07,-0.0001315100361814
SI,-0.0011891550620328,0.0,-0.0013217640661517,-8.319577828515246e-09,-6.027340859219034e-05,-0.0032385735900038,-0.0046303603517801,-6.70666399122836e-06,-1.6863233633930696e-08,-0.0031055827936043,-2.7436607782498327e-08,0.0,-1.6356143164219917e-05,-2.376594956969291e-09,-1.1179253295876624e-06
IE,-0.0002631406226703,0.0,-0.0001042404537787,0.0,-1.7700082499113962e-05,-0.0065429524643071,-0.0037429713689929,-2.9107144613250195e-05,-7.726500581133491e-07,-0.0024916700742625,-4.199876361275138e-08,0.0,-0.000171179933006,-4.6044529184838496e-08,-1.0658493186372108e-05
AU,-0.0006952784148135,-0.0014711839245758,-0.0016182572468184,-0.0003825463457587,-0.0007724039758979,-0.0010088074988439,-0.0006791088132282,-0.0009988112623792,-0.0001570212089862,-0.0005267977088444,-4.482625550334248e-05,-0.0019856625813451,-0.0013431858730215,-0.0001366824377356,-0.0008185651185991
WE,-0.0006542609968964,-0.0001932612964651,-0.0044443685387333,-1.6640779801285468e-05,-0.0005958986309795,-0.0033220327887116,-0.0013744054238164,-7.466436512837646e-05,-2.459878281879679e-05,-0.0013385322917743,-2.073097398815695e-06,-0.000280452421625,-0.0001844532267737,-6.713381692281207e-06,-1.827250555521686e-05
LU,-0.0004313898005826,0.0,-0.0040925409881088,0.0,-0.0007277096604306,-0.00107950479799,-0.0033290374966236,-0.0007887074631016,0.0,-0.0012237235003837,0.0,0.0,-0.0001048090626563,0.0,-0.0002199494883536
BR,-0.0003656179822991,-8.416424708007733e-05,-0.0025615316262446,-0.0001932598781947,-0.0020882273240658,-0.0029423919966182,-0.0008006745232099,-0.0001237891156695,-3.429380896758175e-05,-0.0013428945733836,-1.6706362400476194e-05,-0.0005535441937996,-0.0001406733395621,-1.3489704647802733e-05,-0.0001245981394367
SK,-0.0001297146724369,-2.9745930517874155e-08,-0.000237250171322,-3.118806644569248e-09,-7.706954644818607e-05,-0.0054907944113576,-0.0020010995738576,-2.4319806730311485e-05,-1.1723092758990802e-09,-0.0031017502350603,-1.0710876137165916e-08,-1.1903726597309804e-08,-1.0255636510846655e-05,-2.9675980882568333e-07,-4.220727145037846e-05
WF,-0.0001993805268296,-0.0003427704377604,-0.0013460080828846,-0.0001244831486757,-0.0009375149935626,-0.0015386702161314,-0.0019346402991513,-0.0001305280124799,-0.0001384762421268,-0.0010953282810956,-1.861365254234919e-05,-0.0011295320022913,-0.0011930285455007,-3.403367068791458e-05,-0.0001602950134625
DK,-0.0001406871375842,-4.969853333086914e-08,-0.0002308544576901,-1.1426506250223365e-08,-3.670951486972997e-05,-0.0049116765084487,-0.0018353576276322,-3.652795345193315e-06,-8.440066492798039e-09,-0.0022263407052476,-3.697670133685261e-08,-1.7240238856892235e-09,-4.721240373098683e-06,-1.7058124793405706e-08,-4.122663199545833e-06
ES,-0.0007721628367063,-8.062096508031489e-08,-0.0023186873739899,-0.0002850952997475,-0.0009487873527457,-0.0023550666600889,-0.0002310953998679,-0.0006295737003421,-1.0783178591667148e-10,-0.0005903345477716,-6.587999455423588e-06,-4.27876232313745e-05,-6.00598717319471e-05,-1.884169674164356e-10,-5.274743741262916e-05
TR,-0.0003055184726293,-9.323145532905744e-06,-0.0026893572504569,-1.145458830734038e-05,-0.0005633047776448,-0.0009234444490884,-0.0018109749545044,-2.306932397010055e-05,-4.023854161176029e-06,-0.0002313809875641,-9.266950712927947e-08,-0.0001618943552813,-6.804960684402834e-05,-1.890287161145716e-05,-0.0002897563868285
NO,-0.0004797475160967,-3.6593907229997093e-09,-0.0004380137173906,-7.257813371401613e-08,-0.0001735107808248,-0.0014734598108387,-0.0008641576528161,-2.9111259416165544e-05,-6.551184317182278e-09,-0.0014919945279377,-1.9108895855370186e-08,-9.231766630943035e-06,-0.0008547247197825,-8.33141190770809e-08,-8.77193722294853e-05
RO,-8.939492447393751e-05,0.0,-0.000472509628406,-0.000231948336495,-0.0001687822763295,-0.000885088215619,-0.0016200168100512,-4.365320333641556e-05,-3.0168519019981853e-06,-0.0012332023966231,-6.489494641575621e-08,-1.487399357273447e-05,-1.736868079155834e-05,-1.46980573847165e-05,-1.461283476609539e-06
ZA,-0.000158709439236,0.0,-0.0005201396694433,-1.2434349229483304e-05,-0.0002660335573968,-0.0005271363648236,-0.0006130652476553,-4.837908079494732e-05,-5.21833598816561e-06,-0.0006307517929454,-1.5900286523949306e-06,-0.0010294906456294,-0.0002389669512117,-1.1026392257791154e-05,-0.0003030576289116
