Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-2.8765564452672256,-0.028370397928098,-2.838268314155538,-0.0486153624740017,-5.472893175788436,-8.011311828965187,-2.8557134504332766,-2.324746884436565,-0.0032370674434345,-15.086422985616814,-0.0040798578862302,-0.5394552051869087,-1.032070525404573,-0.01076726380004,-0.8277247824843804
WF,-0.2708516978045261,-0.3069484654781617,-1.3976930572839013,-0.1499659252875552,-0.6854124936598442,-1.2034289143604542,-2.116116436906571,-0.1000786765970016,-0.1929352718268418,-0.9720083630006026,-0.0213377232487223,-1.36032911679518,-1.4179965682082154,-0.0465497158574079,-0.2466673893409391
ZA,-0.6542013934420418,0.0,-0.4136577243435641,-0.0059212841198773,-0.2301297003742018,-0.2471171960860919,-0.4794411335758328,-0.0413421612374022,-0.0085131377208022,-0.343850267640763,-0.00059269063732,-0.431096918893165,-0.1648936239443867,-0.0063953247627694,-0.1542369353714903
US,-0.1243416443344125,-4.097552108046736e-05,-0.1495743746425336,-0.0063269475867034,-0.0406973509098154,-0.2147623811204057,-1.1370915352325677,-0.0040574505334196,-0.0002313260434979,-0.8924690546869071,0.0,-9.065317705748704e-05,-0.0114816871589977,-0.0068348908678373,-0.0141899090709493
IN,-0.141194269733748,-0.0002803377939417,-0.8481456361647136,-0.0002316408695353,-0.0873113750427196,-0.2139387177770996,-0.4660403485978979,-0.0383587250812832,-2.1410854563416392e-05,-0.4020679046000773,0.0,-0.0007814793318445,-0.0019849988288985,-9.975974217236089e-05,-0.047498452622036
DE,-0.0610918235471055,-5.912126360266659e-07,-0.1866890820562155,-4.3679075211305546e-07,-0.0303515249415038,-0.1311795005453911,-0.0898718493618782,-0.0193047983504367,-5.991353455736898e-05,-0.5375317753040854,-2.2241777305003925e-05,-5.938379538361393e-07,-0.0078985667233716,-2.800021724374348e-07,-0.0063532336904924
WA,-0.0659873146686386,-0.0056863853859427,-0.1816437631070541,-0.0062657200337621,-0.0504298659212472,-0.2136463791180329,-0.251191752196134,-0.0311400342477461,-0.000987713822016,-0.1035143779487181,-0.0011296989247515,-0.0156314323475454,-0.0247094252328229,-0.0014363612561942,-0.0214903720286939
FR,-0.0793538813472693,-3.13481812539173e-05,-0.1588741404649298,0.0,-0.0263835380514257,-0.1890592131807369,-0.1002263925584621,-0.0042893966618906,0.0,-0.0879098428509811,0.0,-0.0001893692494203,-0.0046330023810904,0.0,-0.0010933899707795
WM,-0.0227262912984733,-0.001009020221882,-0.0842298669564237,-0.0059041115061958,-0.026116371384505,-0.1149593506941138,-0.1394042194186903,-0.0048367918306952,-0.0013824780135994,-0.0627033427094435,-3.5402538327762004e-05,-0.0062829728592555,-0.0134313613836768,-0.0046647578257711,-0.0160528831669072
IT,-0.0355111951396352,-5.131876406067032e-05,-0.1163969994867333,-1.6927579295224082e-10,-0.0232211811747133,-0.0553551939363941,-0.0182035151042862,-0.014138903881353,-3.994027296929734e-05,-0.198420874776309,-3.312693843248036e-08,-3.876432860008152e-12,-0.0029097751313418,-2.917691033898489e-07,-0.0158420960026276
