Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-34.20239414565528,-3.8810993795729662,-84.03353052822524,-13.16446575066609,-5147.174435374018,-893.695076411448,-130.05249143960503,-65.63591256710887,-1.4642302043391329,-780.57963409758,-1.3261988598326215,-271.4724635024988,-13.8173329039214,-4.605529212266955,-190.75169465859705
WL,-2.834820269869294,-1.0758604372750322,-23.913940979026147,-430.4530612698489,-296.1770780213595,-6.778020111727464,-6.698861865108456,-3.1829503100700776,-0.1681647734565657,-3.129429742493625,-0.0263434286100604,-1.1488033748004207,-0.8504722595871298,-0.4267766462440085,-4.334437980084304
JP,-0.1569408541645704,0.0,-0.4797370464770861,0.0,-110.75942731657078,-6.621957844882373,-1.6645805093071393,-0.2326515504889348,0.0,-5.083762864386669,0.0,-3.278501149586029e-05,-0.9202481300073434,-1.678630464230323e-05,-0.3058121012576663
KR,-0.0943776085332714,0.0,-0.7457509756438782,-5.095198567344673e-06,-52.01516806720881,-11.75489194874171,-3.5031642789873496,-0.7463049217660297,-4.332383232453993e-06,-0.709557141981642,-0.0001286606560545,-5.063552908280984e-05,-0.2306401199934444,-1.677421640078964e-05,-0.1771637979989675
US,-1.077417631854666,-0.00027805029431,-2.495338614804729,-0.0791707657456977,-17.39406899940798,-3.133851148555527,-17.081411306852935,-0.1818357428476333,-0.0027707719976147,-12.820316800672682,0.0,-0.0009325223086594,-0.6864456263183996,-0.1114686994548461,-0.8449378770878038
WA,-0.1766309253145833,-0.054665634442531,-2.4167730585450387,-0.0848579973098399,-17.191928363886916,-12.366892850051055,-5.548200670270672,-0.2314812720368521,-0.0080139023064081,-1.88761949598258,-0.00635515577834,-0.1562146524005893,-0.2156700880338278,-0.0145283309714787,-0.5557747448720567
IN,-0.1503600160308369,-0.0005961533366848,-6.178221437066134,-0.0002878517519345,-15.420965453468432,-1.4519376335886576,-7.483770431504554,-0.1230063236799685,-3.5362608878209e-05,-3.854905761724409,0.0,-0.0015300753741162,-0.0072246188884127,-0.0001294860904582,-0.1810481588750649
BR,-0.0501096801493318,-0.0160656705699981,-1.2039109378612811,-0.0379150934355148,-13.570378322145102,-1.2961137186928835,-0.2006772363560576,-0.0705420492997712,-0.0105371309537201,-0.5175443870724417,-0.0036731048353615,-0.1566202034840631,-0.0295094407448934,-0.0031473319555738,-0.0256991137298553
DE,-0.1137577550538065,-1.858780822651156e-05,-0.5179070504752428,-2.4675383386117992e-06,-9.69253931518398,-1.0657542421438146,-0.702981716479491,-0.0837527951524903,-0.0003363282391856,-2.287371196411466,-7.92790311744561e-05,-6.118008623942272e-06,-0.0360946967617411,-2.8414752844972343e-05,-0.0510373175737444
ES,-0.0227234515978593,-1.0937573430525452e-06,-0.1359579666785508,-0.0045317179783087,-9.063312317397996,-0.3399631780844399,-0.024304859877705,-0.1839768238090957,-1.0792143181846804e-09,-0.0545020723282631,-0.0001562866234143,-0.0008302072244445,-0.0039606144237331,-1.885736077689474e-09,-0.0038241777072423
