Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-15.393056734192497,-0.132251474287333,-24.91911873187505,-0.2716701545067037,-24.393988865957763,-207.79748119367656,-29.426374998788862,-5.000602111222958,-0.0205861025644432,-235.24990226873385,-0.0218210483405149,-4.390355276245713,-9.550928518608414,-0.0798647929101247,-228.04220888520695
ZA,-2.560682457403656,0.0,-40.84138652847263,-0.1281059759900328,-3.2270195456684263,-36.82854252877517,-52.40359723163108,-0.7391896129802119,-0.0316198592559378,-48.51157218221876,-0.0153955819972429,-22.11601620618221,-3.1200111974252387,-43.20776420571887,-505.8055419235086
WA,-0.374295189707625,-0.0596583265205845,-7.746397265556943,-0.4111804673429955,-0.5349469853882948,-15.13986154505444,-11.107691023445607,-0.1998322318875284,-0.0113428730522052,-3.1384950778625176,-0.0089395979849838,-0.1825138926405229,-0.3120023450668057,-0.0160132383498075,-19.15348552929241
US,-0.5860258653295901,-0.000123882302128,-3.6075880089597674,-0.0333764271899036,-0.6886896100161587,-11.073647796653033,-13.538882490127952,-0.0273813301786374,-0.000869216423868,-14.782899576055868,0.0,-0.0004721337231756,-0.1435781297173058,-0.0606106907521463,-4.364372112287137
IN,-0.2552592384749022,-0.0006279081891771,-12.580157578911454,-0.0003137974069829,-0.4591404575080508,-1.086769982898656,-6.115937971854624,-0.2399861949102227,-4.048516786214651e-05,-4.112973551651272,0.0,-0.0017018357067407,-0.0134986526955153,-0.0001789495517716,-0.879479488404031
DE,-0.1171685026721327,-1.4558784857457685e-05,-1.3556514184988104,-0.0001283790707709,-0.0839946761066841,-1.2747438935691433,-0.8371811115257898,-0.0336452845267286,-0.0003143592077642,-10.026573301524923,-0.002177227842157,-8.153501618412761e-06,-0.0451657227281331,-3.8453492896866725e-06,-6.160823980686148
JP,-0.1256489540873214,0.0,-1.6046878682835546,0.0,-0.1816794599738286,-0.8502715849749513,-3.3181399426941325,-0.1151318603908338,0.0,-6.968225086425488,0.0,-2.327737470715143e-05,-0.3204116940599588,-7.70845967997711e-06,-4.330637843354898
WM,-0.1254659318430205,-0.0054386143150183,-2.228240086372272,-0.1964776225982499,-0.1497475231660436,-4.583087844438285,-4.210126972251177,-0.0278951107278286,-0.0075859733859465,-1.5336532423958724,-0.0010518773209441,-0.0453881242930042,-0.0765668437267738,-0.0394903881609289,-2.092815928966459
GB,-0.0785422710922639,0.0,-0.7802349832300167,-4.878028230292582e-07,-0.0677989203198495,-1.933343472670759,-2.0020423021891016,-0.017699195775639,-5.7463858279902975e-05,-0.7440958197411011,-0.0005849598952557,-1.6355752821937274e-10,-0.0968890837234499,-0.0009918555825889,-3.5661448041009702
WF,-0.0781367334189901,-0.1145566468699799,-2.222002597948206,-0.0440931909356759,-0.1490558952800154,-1.5692224139668944,-2.582771354897415,-0.0389584292032432,-0.0618942716267496,-1.0123908146603071,-0.0058247113885611,-0.7888104913867378,-0.4112686544553266,-0.0225157781072354,-0.0861870659907194
TW,-0.0394635484320883,-0.0001069538143672,-0.3994313737135639,-0.0001223794979329,-0.0287832075383794,-3.734499452432706,-1.659852646481485,-0.0037549657140914,-0.0001209259069386,-0.3836729570148474,0.0,-0.000142251762029,-0.033205638465022,-8.663534728165006e-06,-2.7676401680562317
TR,-0.0119637272814655,-0.0003210066381631,-0.4835671769082353,-0.0006577032063951,-0.0121628039666621,-0.060441377622917,-0.5770884116712451,-0.0005432515627882,-0.0001910945152527,-0.0314406157454019,-7.372388594800768e-06,-0.0082094465472172,-0.0060881503118786,-0.0011883395748847,-2.97887717801252
KR,-0.0852652957839282,0.0,-0.4953473894520043,-2.3207129071727617e-06,-0.1307926434190929,-0.8178450584330403,-0.4663499420169194,-0.1427449340149665,-6.195899039273448e-06,-0.1926600491461942,-0.0001733274991239,-0.0001782277384499,-0.1112908789165442,-3.4150811912963256e-05,-0.3539691064471228
MX,-0.012510390560092,-3.558857753294224e-07,-0.1035871606940446,-0.0034704040190198,-0.0506324679491092,-1.73684880711838,-0.5282827352812856,-0.0166229975355644,-0.0001939659384648,-0.160447726506001,-8.168056391970173e-06,-0.0004910276277407,-0.0075571065781618,-0.0004907883355744,-0.0668541415802748
CA,-0.1038198351600423,-0.0001426979485454,-0.498606342334449,-0.0018482994866635,-0.0352588623837606,-0.3314337479641272,-0.7368927719330487,-0.027389591848741,-0.0001656799416328,-0.3419668399983542,-0.0002123586084417,-0.0001657091561978,-0.0614725969505176,-0.0002853239683436,-0.0122224799374902
IT,-0.0326648702051533,-9.631789395205824e-06,-0.4741166449316721,-7.365036535968163e-10,-0.0345362088680199,-0.1044422177342515,-0.0537248382751982,-0.0505902642295433,-1.829141125036767e-06,-0.5414474680124666,-1.390710629013313e-07,-1.217858195079081e-11,-0.0074005485080259,-7.507990290891921e-07,-0.2964832358777926
WL,-0.0177084864432257,-0.0057151575086118,-0.2202012711954139,-0.022780339382105,-0.3070878941175728,-0.2845087836074977,-0.2958241772642043,-0.0121720052645817,-0.0014821462495182,-0.1327305416286567,-0.0005288705467176,-0.0058902631068979,-0.0094285762765407,-0.0029937940030391,-0.0124666489774919
CH,-0.001144211731215,0.0,-0.0040970367322313,0.0,-0.0005926144530076,-0.1022509626921747,-0.0539113026401285,-0.000140017811495,0.0,-0.0804509580354432,-7.985210394132542e-09,0.0,-0.0010269135743764,0.0,-0.8826615297118605
BR,-0.0158452185965121,-0.0034140363582378,-0.1639625729746868,-0.0066851808204004,-0.0191197772761785,-0.3063779949108626,-0.0415040780164097,-0.0050499691484652,-0.0018898469654137,-0.0821406927142664,-0.0006829182701998,-0.0279938953164659,-0.0075635316678868,-0.0005571209169818,-0.3071258370791979
ID,-0.0049185536833456,-0.0051531193359233,-0.4440988181374214,-0.0013904147266185,-0.0192510252172689,-0.0832863729882639,-0.0578984944975011,-0.0037591163719178,-6.31317177842632e-05,-0.0338240125655884,-0.0011314623233441,-2.815188187108725e-05,-0.0568481383455945,-0.0003433904643016,-0.0050815415699573
FR,-0.0270870736469888,-2.4116378502789703e-05,-0.1850074477415432,0.0,-0.0211868828343581,-0.2621413300460055,-0.0961937800529766,-0.00327603127459,0.0,-0.0985444537302052,0.0,-0.000478349325681,-0.0135309994858613,0.0,-0.0090726957779351
BE,-0.024323055435505,-2.587562174165271e-07,-0.1747337941069416,-2.085212716231048e-05,-0.0444073431023466,-0.0687744854680522,-0.1458579136494262,-0.0442558741181851,-3.792675777347538e-07,-0.1070755106786917,-2.357321384994001e-07,-0.0026792608419244,-0.0117086880781564,-1.86526943750207e-07,-0.0279638450448397
NL,-0.01996426590388,0.0,-0.0269162904422209,0.0,-0.0144340308972374,-0.0806382330642043,-0.3102524134996333,-0.0040596775502936,0.0,-0.1378981806965493,0.0,-7.695192318087662e-06,-0.0162011485659996,0.0,-0.0014284055509076
