Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
AT,-8.603532253940827,0.0,-29.41559680330093,-6.132475727765267e-05,-5.114283257667226,-26.25019874678264,-33.599361459221846,-0.0973940157453825,-0.0001204552543781,-19.312757218736355,0.0,-0.0606509221297026,-6.791232771977032,-1.0003390776784869e-05,-0.3166060745569092
CN,-4.9866079182840695,-0.0472746761934804,-3.764135423648998,-0.0762517015789761,-9.52960841389798,-29.52179869934718,-7.2783782926699185,-1.1429532773882476,-0.0058785312030902,-33.94011637745344,-0.0070922429261628,-1.0703920524916255,-0.7855722280324487,-0.0202646033623798,-1.3172989964563648
DE,-3.421007091558478,-1.785258482502874e-05,-4.396962644134287,-1.1251553622105044e-05,-1.8150727012338437,-3.5101697299749373,-2.62736771089574,-0.0984092829591195,-0.0012151372223142,-14.990135266856226,-0.0006430747119114,-1.331774909454672e-05,-2.248838559701308,-1.1325225671899286e-05,-0.1139974143661071
US,-0.9541425801225129,-4.679674314058381e-05,-1.3201982720076595,-0.0090340404160005,-0.4194786327452007,-1.264758769163112,-6.436688695787038,-0.0268556272354537,-0.0002953015231469,-5.754262282290714,0.0,-0.000134052736495,-0.0431596596224887,-0.0092086245157844,-0.068290725324298
IT,-0.2556788739657518,-3.07233659241936e-05,-0.9105873600185094,-1.4255690187792099e-09,-0.996348260381133,-0.3754901771171656,-0.178281609586454,-0.0236391847101106,-2.390316968903649e-06,-1.77135839387578,-2.5447393776928704e-07,-7.32484415786784e-11,-0.0149174054383287,-5.799689958562025e-06,-0.0281970842484829
GB,-0.5759024934411785,0.0,-0.9197635389799584,-6.472260879514334e-07,-0.4209452675440879,-0.6235866471003859,-0.5761480472700046,-0.0141634738400606,-1.0516951789699358e-06,-0.2313847107914653,-1.2863905303396356e-05,-2.1701124782339064e-10,-0.0337983386447271,-3.0452171900050394e-06,-0.0181840110182844
WA,-0.0972039333914738,-0.0104473311005083,-0.4735746242000437,-0.0099980915919782,-0.1979680262841275,-0.7994986281586729,-0.645847296075235,-0.0628066423176099,-0.002031114456961,-0.3376415974902982,-0.0020208603494829,-0.0372221776548536,-0.1534070064867203,-0.002600572756893,-0.0472014491120487
FR,-0.1229203106245543,-2.2832076315207582e-05,-0.2947111761237593,0.0,-0.6912368735975567,-0.7400327872487814,-0.3105733924806862,-0.008082363147676,0.0,-0.2518288640623309,0.0,-5.477661309662523e-05,-0.0147950998111424,0.0,-0.0016207905520498
MX,-0.0133755636471547,-3.058314579821285e-07,-0.0818526935229208,-0.003304484915655,-0.0561485987554063,-1.2405378064619277,-0.5146193115360725,-0.0287614719605126,-0.0001707555789153,-0.1424339929061921,-1.55050229001797e-05,-0.0004506656271473,-0.0121745115257814,-0.0004543109807003,-0.0296022411525105
CH,-0.0108878664815486,0.0,-0.0226173267570556,0.0,-0.0064217228669118,-0.62850846610132,-0.6269456546659342,-0.0009029010089779,0.0,-0.6520720950563362,-1.0263601121064377e-07,0.0,-0.0028614936075214,0.0,-0.0974161899111915
