Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-18.61060612441145,-0.2909649472051269,-66.51019914186354,-0.5934624638132439,-128.4141500132063,-139.51894003355832,-40.8148954741682,-124.65878161284678,-0.0522343482066447,-205.46492297739485,-0.0530089129632379,-9.751497267850866,-11.777529856978049,-0.1771808590355202,-29.933986494016224
AU,-91.9452658698159,-16.243363067733572,-22.99079573477181,-8.298076549920966,-18.877583646855708,-20.25283247985909,-8.289566898623857,-27.68018787949345,-4.637436986516393,-7.865574599128206,-0.8152724548085992,-19.728431361153977,-61.24059563909159,-4.62047255628201,-27.56284822898428
JP,-7.222020719713483,0.0,-5.487913386475278,0.0,-6.214371018885824,-2.2057683452865366,-6.7650805636720905,-1.6720362129573474,0.0,-8.220306647259523,0.0,-9.562628247774594e-05,-0.7853780571129506,-5.009669827994883e-05,-0.4344566208847714
WA,-2.503804425231287,-0.1351896775715285,-5.605478295471381,-0.1637900541988477,-2.689590525576519,-7.906424466336106,-8.850212003446403,-2.619256504711736,-0.0172829866788475,-3.012163581138374,-0.0221340508858724,-0.2515000389616517,-0.601072929204437,-0.0233168174527046,-2.651004527103355
US,-4.722292959666221,-8.482576975926473e-05,-1.927772651665242,-0.0239177300206582,-0.4517829640457035,-2.5113184192801405,-14.382562283897617,-0.1176718521296916,-0.0006709708715116,-7.863004058067704,0.0,-0.0002868211715207,-0.1078944261579783,-0.037872988822085,-0.1251949166686672
IN,-0.5487937399262507,-0.0010543295523982,-18.86699260933477,-0.0003037444758047,-1.667828194546178,-0.8139392476004336,-4.54851353534951,-0.4702254763315082,-3.658488779514183e-05,-3.937683950702119,0.0,-0.0014327766358587,-0.010338769845582,-0.0001640335319302,-0.4259479808034751
KR,-2.2778818389487183,0.0,-2.05515136270708,-1.4328914550632622e-05,-2.4850176376070974,-3.578631972718453,-2.3573709338025783,-11.47414848259992,-1.3253627880901656e-05,-0.5660242300384403,-0.0002019288818158,-0.0005636246222773,-0.3957047845809945,-5.208777328783027e-05,-0.4734016019380425
WM,-3.7449944674069338,-0.0016332490868988,-2.013059410496291,-0.0255085777127236,-0.0877707833669414,-3.884178681357108,-9.589318348508453,-0.0487732861594655,-0.0041237715183876,-3.77800802462617,-0.0006731878045271,-0.0295356688847559,-0.0949473182956719,-0.0208080045573346,-0.0370163524609732
CA,-3.491262032446735,-0.000227486198264,-0.5234006558124407,-0.001820818381558,-0.0559141073006338,-1.2412990085566804,-2.2875439212526127,-0.0842909372653933,-0.0001659055926815,-0.8121824064691928,-0.000199041356315,-0.0001723284430665,-0.1627909271207115,-0.0002722887387112,-0.0055000650201902
DE,-0.300678543181971,-2.449269808830589e-06,-0.3758755334578094,-6.694011685329679e-06,-0.1719697449773196,-0.3301878398442089,-0.2567769787809631,-0.4210537574371099,-9.964766052748872e-05,-1.310393633855521,-5.778230049183902e-05,-1.3141953475491137e-06,-0.1412451290650961,-1.8192338073676265e-06,-0.2970148003177466
