Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-7.106472043025405,-0.0780061690713971,-17.324459729035613,-0.1567951635421691,-27.968875666317228,-35.09405398142232,-11.460001455385814,-4.22291635385117,-0.0101188272352914,-59.33291839438699,-0.0129872985644709,-1.7831976047548428,-2.5462837494180905,-0.034897495374024,-2.7207420653384973
BR,-15.23078619561966,-0.7901688229682028,-44.51616769126877,-1.4157266824163113,-8.621472306082186,-16.685114466028626,-12.341503199873468,-0.8817623033335259,-0.3399257341567102,-13.048925869526435,-0.1650272296298665,-4.194044452628951,-1.7816942814305787,-0.0930980166870448,-0.9919823741278646
US,-3.793563759156577,-0.0001370562996991,-6.457946384191191,-0.0317283133421696,-0.6520028301375428,-3.519700401116762,-18.16854603803784,-0.043315915154915,-0.0010982283893198,-13.08946993586407,0.0,-0.0004945152188483,-0.1355572537296514,-0.0282573716599653,-0.2252034406716463
WL,-0.5220559154581378,-0.1871879314765725,-1.8287364126398424,-0.1586628513421885,-3.73495276077466,-4.282452606798323,-2.780449083769159,-0.2055131336520795,-0.0221005573255531,-0.9230619614129985,-0.013088804805336,-0.0471023764051365,-0.1256752399422149,-0.0170172901364221,-0.1664492740518415
CA,-5.341958491771399,-0.0005267055773301,-1.3060327773525298,-0.0031985769871862,-0.1924269522821385,-2.1410862576436545,-4.115952258153264,-0.0251535575373134,-0.0002981785036845,-1.2695080192561996,-0.0003486569754766,-0.0002474121234302,-0.1840502854247307,-0.0004720140230907,-0.0124824926029901
MX,-0.0251279260715003,-3.416547581890354e-07,-0.1428113384054013,-0.0048644512633485,-0.0613028656123682,-2.027851569492906,-1.0657664220575138,-0.0318635262470087,-0.000272459563551,-0.24818080021843,-1.6273237383222313e-05,-0.0006973298282667,-0.0091769350981588,-0.0006435812701418,-0.0473461282012146
WA,-0.1030864302921372,-0.0201652912854206,-1.0628290744173876,-0.0218693999825938,-0.1662414649256395,-0.6875742719314237,-0.8815892175771008,-0.1165614568850791,-0.0039485639056618,-0.3133602848705565,-0.0038990377109898,-0.0528028116364686,-0.079771442917382,-0.0053561560561612,-0.0662675228796849
JP,-0.6961686245862533,0.0,-0.2905667372531217,0.0,-0.1158289527565963,-0.2019176207995781,-0.4752388665710847,-0.0573298641704118,0.0,-0.9084867086088518,0.0,-9.381404609623484e-06,-0.0631609143733752,-2.422398836411177e-06,-0.0347404834595249
DE,-0.1459543269077139,-1.5840168678921515e-06,-0.5151629362347605,-8.15738340314297e-07,-0.2960380368375976,-0.2515777767451059,-0.1808881413746641,-0.016617116252909,-7.780396699274063e-05,-1.083656034599697,-5.0795509656343655e-05,-1.0400753043453948e-06,-0.0242060282720579,-1.201062649351488e-06,-0.0084806668206584
WM,-0.0783422427751068,-0.0014074585114313,-1.0507116679558783,-0.0116364323402125,-0.0383718969486774,-0.3578999824980055,-0.6503941586636406,-0.0061387480146796,-0.002157525955765,-0.2541196245946346,-0.0001011283601032,-0.0114492665123115,-0.0220697183676907,-0.008762692371152,-0.0198190208507521
IN,-0.0309167598329733,-0.0001092570829588,-0.6529897195509108,-0.0001012025064887,-0.1453281809603785,-0.1060475047890829,-0.4012031079700697,-0.0169552457656756,-8.635725044299926e-06,-0.3685646601516095,0.0,-0.0003371847816647,-0.0010618508338563,-4.683620555630951e-05,-0.0338459444472246
KR,-0.0527698282466634,0.0,-0.4127992024567085,-5.087668930314099e-06,-0.3938989311173465,-0.3383594984634355,-0.3074640827023138,-0.11040301355222,-3.773730584228247e-06,-0.0809909136333053,-6.914842975016072e-05,-3.369547233323032e-05,-0.0167534204865394,-2.2898589184931946e-05,-0.0145782763043057
TR,-0.0092560442506649,-9.863808174660491e-05,-0.543024193608395,-0.0002141140550668,-0.0148787882124303,-0.027309118675402,-0.2432450914255798,-0.0003951250724267,-6.224075182258422e-05,-0.0157039212538636,-3.3112364087913758e-06,-0.0021356174978608,-0.0012650762559689,-0.0003909202758594,-0.0138677423116235
TW,-0.010898492415771,-3.99571554392092e-05,-0.0537948708187367,-4.310947657130455e-05,-0.0439537823642445,-0.3293691831373595,-0.218872552909,-0.0031759869588212,-3.960178175824239e-05,-0.0489867173975701,0.0,-4.852395603368928e-05,-0.0198058179155455,-2.81858772095579e-06,-0.0084834746743623
GB,-0.0341110930691677,0.0,-0.1957172073913304,-9.056846333210705e-08,-0.0459299566373935,-0.1567592077367194,-0.1493921459554855,-0.0121077893837465,-8.513411822575802e-07,-0.0591698950638572,-8.465806523291967e-06,-3.0367093428392797e-11,-0.0090395035953428,-8.795574668084155e-06,-0.0721628157972822
