Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CA,-46.3824325800901,-0.0178197564083047,-43.27700835768909,-1.4537681016560091,-3.9828536811707376,-20.18030271410202,-38.03563822453207,-5.125785112342905,-0.1400203741474945,-22.566242545266533,-0.1619275456385847,-0.0783634115175987,-8.482322020068915,-0.175394729281705,-3.2218770752952226
US,-13.03591850870104,-0.0003750400511241,-8.809566969784367,-0.0730061539601182,-2.27744155010258,-8.011732962492147,-44.94995042981079,-0.3082757071887101,-0.0029612724707488,-27.73418380428993,0.0,-0.0010364977521481,-0.3150748453991147,-0.0682589164546033,-0.4022112501587813
CN,-3.448600696847065,-0.0428608506409551,-4.92232702479108,-0.0958228646735027,-21.32951776721645,-25.033607037885528,-5.846836652699784,-1.4541278784207257,-0.0080124558948723,-29.840289719633603,-0.0088150716521705,-1.4839714613885404,-1.1289669637359634,-0.0275782403515107,-4.881204210299503
MX,-0.0397955922631986,-6.19405973456611e-07,-0.1628761624118995,-0.0056243302359907,-0.1178395323769728,-2.6449971231948326,-1.4451857929624623,-0.069704014158276,-0.0003079687483253,-0.3193197972284161,-3.82202460630566e-05,-0.0008178306130181,-0.0172295706957854,-0.0007225165121572,-0.0560592649252571
JP,-0.6252877254379509,0.0,-0.2352845537530872,0.0,-1.6833143141383964,-0.3863833081676944,-0.4986816485851468,-0.0198879472487437,0.0,-1.0437018973613514,0.0,-4.164939297951737e-05,-0.0491757416804685,-6.8832997517925165e-06,-0.0178868128974622
WA,-0.100391293603305,-0.020587308029495,-0.5061994447268218,-0.0152243402617083,-0.32690313565849,-0.7007956254833085,-0.6311105977166526,-0.0979855573423364,-0.002526130730689,-0.2339359710313719,-0.003546292942763,-0.0338854662585813,-0.1228759323870564,-0.0033091885533218,-0.2072963934822645
KR,-0.1732763601075946,0.0,-0.2003603691502098,-3.2301113083644848e-06,-1.1800839021909078,-0.5867827049056336,-0.3047275264799815,-0.1760441728877855,-4.5599908895675805e-06,-0.0837131070691831,-4.340768774025716e-05,-0.0001160916258073,-0.0211626572374695,-1.1597257550143451e-05,-0.0184172155246143
DE,-0.1616271380414613,-1.1889083727670602e-06,-0.255814524791777,-2.5880757949450646e-06,-0.2145509803184171,-0.1954475724243085,-0.1362071453548003,-0.0169717080893724,-6.922828501238527e-05,-0.7499597512866882,-2.5697616283807225e-05,-9.753607668506157e-07,-0.0963415299515396,-9.021116462354792e-07,-0.1076021032875095
IN,-0.020803739071676,-0.0001242452304975,-0.5509832101057318,-0.0002450072107668,-0.2116590736212127,-0.0947735157290157,-0.3106625779693108,-0.0154586887911256,-1.1540814242285292e-05,-0.3019846682235847,0.0,-0.0004800359165412,-0.0010685125733612,-0.0001376328777578,-0.0150959939121979
WL,-0.0234954181755923,-0.0060660494027263,-0.0883563119166206,-0.019383219206471,-0.5642652049523531,-0.1304225455842969,-0.1160557767161352,-0.0146897142493698,-0.0015439610003745,-0.0561181334598793,-0.0006063886763853,-0.0067287152440008,-0.0112337048162949,-0.0019108165063985,-0.0119647270760293
GB,-0.2317654522661359,0.0,-0.0985254097554333,-1.973573362105496e-07,-0.174251167471701,-0.1605815778860013,-0.1396124260170427,-0.015274657193443,-7.626219375330068e-07,-0.0555178339464003,-6.9733835949736335e-06,-6.617279841737365e-11,-0.0431579789080522,-2.6205119776174547e-06,-0.0095389938293515
WM,-0.0449383188768782,-0.0010366842417496,-0.2586806926933407,-0.005966037962016,-0.0243053149264382,-0.1587768840722984,-0.2297688775731907,-0.0058063293614828,-0.0016205855047997,-0.1146790609131169,-0.0001104074680647,-0.0076298306010373,-0.0252628340111664,-0.0060978751756799,-0.0083054582030613
NO,-0.1083929065214597,-4.6152786453774596e-08,-0.0299184028556186,-5.395695480104338e-07,-0.0753138411638306,-0.0169556956358403,-0.0132365004213822,-0.0074729638903403,-4.6692990837531974e-08,-0.0117452740973201,-1.3424029722936004e-07,-4.564852834217814e-05,-0.5372032013886766,-1.639144578273524e-07,-0.0010240557599086
TW,-0.0053139686012849,-1.9907172319497475e-05,-0.0144408196999586,-2.160263474248369e-05,-0.0188772267271973,-0.2307426704194315,-0.1229923157275434,-0.0019269973882101,-1.857889719627376e-05,-0.0343532759929897,0.0,-5.057742642759914e-05,-0.0333510585798512,-1.815100877328247e-06,-0.0086239748024468
FR,-0.0344195926091299,-1.1770455076115675e-05,-0.2053694753319011,0.0,-0.0232037120716761,-0.1011827474051255,-0.0535709605576333,-0.0039123674480361,0.0,-0.0391767695920276,0.0,-6.648174255658061e-05,-0.0061944993624614,0.0,-0.0006090276212391
NL,-0.0439779688430607,0.0,-0.0360108410096659,0.0,-0.0424304179977906,-0.0490814317588302,-0.2130844146123164,-0.0040637500165877,0.0,-0.0555535322806039,0.0,-8.272284818411616e-06,-0.0010152954606539,0.0,-0.0015571132060902
BE,-0.0201561660034808,-1.5740433460852238e-07,-0.0975058120622458,-7.85114952676999e-06,-0.0468736870248871,-0.021628462047703,-0.0502981593568147,-0.0797448298114031,-1.4280012970731748e-07,-0.0310735821809044,-8.87568089920939e-08,-0.001249449355719,-0.0890537684874413,-7.023028944505958e-08,-0.0052762167972405
IT,-0.0403177622944122,-7.305355456327762e-06,-0.0797622836001027,-1.2261161480106194e-10,-0.0634614981887774,-0.0346425841874704,-0.0147334452885503,-0.0076178893790325,-5.136660154530543e-07,-0.1517464618599444,-2.2524656205781597e-08,-5.440587485034245e-12,-0.00735054611341,-4.3260668835530153e-07,-0.0045230500077051
FI,-0.0009661968324183,-7.009086446180256e-08,-0.0102599492754014,-0.0001972557025909,-0.1031788815160339,-0.0208855480444807,-0.0046069674775697,-0.0009921155230893,-8.350283677723842e-06,-0.0159403903413221,-8.046987456493852e-06,-1.939205273087176e-06,-0.185385826532146,-4.704034280503768e-06,-0.0001269340347044
TR,-0.0039510041586605,-0.0001316849600425,-0.1533546842660616,-0.0001935581104069,-0.0094169183444086,-0.0149788178637093,-0.0778259204525386,-0.000265057813122,-6.001332992254984e-05,-0.006123389558859,-2.72991934509786e-06,-0.002507345638073,-0.0061354828601384,-0.0003172427044552,-0.0114821137125318
IE,-0.0030925500209006,0.0,-0.0013504091807595,0.0,-0.0002010922450009,-0.0305637174920907,-0.1425263224110206,-0.0002173107220366,-5.143717043643765e-06,-0.0238331324091097,-6.551426969179872e-07,0.0,-0.0473843719490821,-1.8251701639382592e-06,-0.0002207275056981
ID,-0.0047350960207938,-0.0016309720568932,-0.0623343199812645,-0.0004375395426519,-0.016528193111813,-0.0206637650155238,-0.0471319225704623,-0.0014852256046887,-1.968336743629004e-05,-0.0057877994566412,-0.0003318269008531,-8.334866121158066e-05,-0.0519039957830154,-0.0001084511394395,-0.0006420019907013
WF,-0.0045417216090815,-0.0160833380031052,-0.0293181356189769,-0.0012336382666718,-0.0231256282494976,-0.0234298128883037,-0.0358526686463027,-0.0039170612175854,-0.0031590027664644,-0.0120244351790002,-0.0006845090969783,-0.0194145646965626,-0.0297092277215359,-0.0004371856058193,-0.0035861007496927
