Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CH,-7.430225929191668,0.0,-6.320304837686739,0.0,-0.486063733129471,-13.221944542785527,-37.985168433422366,-0.1854596285518211,0.0,-24.019751008730218,-1.4528597278942736e-05,0.0,-1.1198629196727112,0.0,-28.13639883477324
CN,-5.311537397950137,-0.0539781565241752,-4.058592021079006,-0.0776666854125695,-5.850760427439049,-30.93227917064421,-6.957338894952824,-1.3917226666181683,-0.0063574358876098,-37.00133792368012,-0.0074461239639894,-1.1655390596312691,-0.8479305315417475,-0.0214657437428021,-13.16114864676709
DE,-1.1918486559552657,-1.029563504530556e-05,-1.8820985266768175,-8.357882512558716e-06,-0.3167518436590669,-1.8759610922540844,-1.7574563360327544,-0.0533939589942456,-0.000583434020423,-9.716528105383432,-0.0004737345530912,-8.19232336787349e-06,-0.0620962568360978,-3.8598524681787104e-06,-0.1358507812101954
US,-0.4799378802284659,-0.0001922872644791,-0.7569310302590607,-0.0251634547437653,-0.1713250872879218,-1.278664438287432,-6.013067054584434,-0.0116267937866071,-0.0009504417397889,-6.010900517963946,0.0,-0.0003864629296056,-0.0309591688245721,-0.0160287385537551,-0.1020979857282602
IT,-0.3258114640201464,-0.0001264564848664,-2.077029495881325,-3.0412276358893562e-09,-0.1793012000543635,-0.7663718831229985,-0.2400700035185594,-0.0361899166081625,-9.014930003473936e-06,-3.02755737826895,-6.01585048449383e-07,-3.47085481330126e-11,-0.0118860815638146,-1.4796110336992269e-06,-0.1146728682829454
WA,-0.1660145729158259,-0.0458379352793373,-0.7276494279853037,-0.0399277224494274,-0.1543216152419269,-1.584527409999089,-1.2921832283339096,-0.1139076555108722,-0.0049760473482733,-0.5292184657799917,-0.0074060031193471,-0.0660474419992633,-0.1528616243585336,-0.0054818861860788,-1.2359171072666857
IN,-0.0454038454160318,-0.0001784030220272,-1.7430354242325254,-0.0004734288889842,-0.0754840778499927,-0.2133587481539111,-1.0286887386577728,-0.037532340339639,-1.9813467968298943e-05,-0.8555904679159162,0.0,-0.0007603691543826,-0.0029418303072405,-0.0002961750741732,-0.1269149338843926
JP,-0.0716887735891742,0.0,-0.1148245594143284,0.0,-0.057665862688946,-0.2631328306246831,-0.4402453759099409,-0.0342742997469071,0.0,-1.4505145730886948,0.0,-7.176525325784392e-05,-0.0203650376544218,-1.4881845521692244e-05,-0.0192070597020454
WM,-0.0924339941165502,-0.0019116535366744,-0.3707935983579218,-0.0227332770969485,-0.0361934381321726,-0.5990805868773571,-0.6836094153046254,-0.0110963849428653,-0.0030062791623677,-0.3069698127156912,-0.0001763505385887,-0.0160994712935209,-0.0645065087363209,-0.0120638796580828,-0.1594524673278877
FR,-0.1996086335538273,-8.396544386802743e-05,-0.4169857615096469,0.0,-0.0884556632885975,-0.791813039065344,-0.3663111695300023,-0.0122272448815026,0.0,-0.3463890279456105,0.0,-0.0001904042454436,-0.0196391028424893,0.0,-0.0178045500839645
GB,-0.1955059084492185,0.0,-0.1381345168215409,-9.49057098678771e-07,-0.075330868761757,-0.511078734709033,-0.4809875543666619,-0.0225846559313564,-1.1565546596448945e-06,-0.1948174281019735,-1.419397021235424e-05,-3.1821347915990423e-10,-0.031862004107088,-3.962698078216332e-06,-0.0537794365820229
MX,-0.0251371478314967,-2.0916932712284898e-07,-0.0831537671751304,-0.0036032400067952,-0.0330501391336207,-0.8598791695815016,-0.3241942764496116,-0.0156456960892304,-0.0001888752363522,-0.0989022429808271,-7.689511700991072e-06,-0.000568250335172,-0.0053428856516041,-0.0004343216772337,-0.0302521597372829
AT,-0.0813814864271617,0.0,-0.2145760832859668,-1.7123030954625508e-07,-0.0231948220209005,-0.3171140227625855,-0.4234113393616542,-0.0008837918497441,-3.363338300753647e-07,-0.3029643623176192,0.0,-0.0001620127498142,-0.0178323311313997,-2.7931357175465808e-08,-0.0020832928253252
TW,-0.0104029336569579,-5.1654061893364136e-05,-0.038388553850974,-6.048567531664739e-05,-0.0099819062442492,-0.6070096716768029,-0.2407478591913668,-0.002971799391184,-5.451790321706585e-05,-0.106457598710907,0.0,-0.0001524124126236,-0.0100682980576723,-5.244019044907929e-06,-0.211037261784585
KR,-0.0488322856983733,0.0,-0.1137514875517415,-2.733980092786065e-06,-0.056591817329561,-0.3508081927960147,-0.1908171449872036,-0.0419986788104961,-4.573336745955055e-06,-0.1072061779766472,-5.463930701340538e-05,-0.0001945612053706,-0.0082660444069889,-1.779629307482524e-05,-0.0631130431210981
CA,-0.0891497298087005,-5.145789051660596e-05,-0.1346468308897198,-0.0016551052387402,-0.0146740748337604,-0.1502007945777776,-0.2835478271724952,-0.012366712293269,-0.0001136202422237,-0.1842513765254007,-0.0001654291193601,-0.0001384336051573,-0.0157769079589773,-0.0002067692010052,-0.006356298967097
WL,-0.0233959755296589,-0.0050656690043309,-0.0751778064865499,-0.0138786404884466,-0.4059153531524739,-0.135145352097607,-0.108960784825737,-0.0117477213908777,-0.0013616236307546,-0.0588441579795507,-0.0004930499610398,-0.0055067098759762,-0.009484079934962,-0.0016918689148234,-0.0101377855345663
BE,-0.0494929683636359,-7.091941504887189e-07,-0.1544132647378201,-3.407498445874909e-05,-0.0782618554989424,-0.0982504699774518,-0.1584877179503154,-0.0147457955370459,-6.197706697462507e-07,-0.1262613312701176,-3.852158052399252e-07,-0.0032696987858231,-0.0041384947259507,-3.048083612742484e-07,-0.0211200226257601
