Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-193.15463811060928,-1.132492779096555,-62.8328681971574,-1.4463792926110446,-44.78388444087605,-306.00086017156553,-109.40835354906484,-19.55855221322947,-0.0905860379449736,-589.2285797631066,-0.1219094696832472,-17.783355810245,-11.07901669874699,-0.3553670686762504,-20.70390979206013
US,-0.2638226360955985,-6.026155057553569e-05,-0.3924034273580961,-0.0087338432020502,-0.0878669932864819,-0.9671772053032752,-3.655755271062322,-0.0058114106452142,-0.0003037477897679,-4.050113025327292,0.0,-0.0001453479051588,-0.017008080713068,-0.010178500815291,-0.0315166303497168
WA,-0.1556504957376309,-0.0294566573565693,-0.8626139510477778,-0.0273673971100632,-0.1328648408227809,-1.5673883895711511,-1.212122588805076,-0.0683267012788852,-0.0052467455252517,-0.6341709301472475,-0.0062060636670245,-0.101880718800362,-0.1258110569326344,-0.0077423649590464,-0.0747980762155124
JP,-0.1100692373651608,0.0,-0.1260191604861377,0.0,-0.0363636054139211,-0.4151491694625771,-0.4673390665581304,-0.0069832576957188,0.0,-1.542152803741217,0.0,-1.8163259829514623e-05,-0.0194707851541959,-5.994992255775603e-06,-0.004731875307051
IN,-0.1285372492758481,-0.0002444222702057,-0.6230526973452304,-0.0001894535723283,-0.0769168156548472,-0.2657181018373135,-0.4935366480464467,-0.0323818013299246,-1.9822093979018572e-05,-0.5696790306138009,0.0,-0.0007342795343977,-0.0018840072851874,-8.561965748526131e-05,-0.0408147790583173
KR,-0.1108910551373455,0.0,-0.2908508762789168,-1.9462367247877766e-05,-0.0600679043847849,-0.8751633631112196,-0.5224386236232902,-0.0370381913553496,-3.1828131099660515e-06,-0.1632111190814201,-0.000111868828779,-0.0001091796533719,-0.012171033885635,-1.151709424619696e-05,-0.0075639160993546
DE,-0.1142220132478306,-1.0284187710313603e-06,-0.2145508404671844,-7.040842642918159e-07,-0.0368161628108022,-0.2695418082013996,-0.1651522648082376,-0.0102983652865911,-9.58048925766243e-05,-0.9942961848452516,-2.6779745102298697e-05,-8.007442146461577e-07,-0.0145853084466457,-4.10232519970141e-07,-0.0063923968627914
MX,-0.0521806910741887,-2.393221256945465e-07,-0.0883893051645715,-0.003773080677764,-0.0323221790214673,-1.0004690841297987,-0.3704240397625452,-0.0251015340839327,-0.0002313157587908,-0.0955401691802517,-1.2294730381523524e-05,-0.0006773704877651,-0.0054739844184942,-0.0003395157050227,-0.0352411846897677
WM,-0.0468689142463029,-0.0010098000633453,-0.1703115655725491,-0.0067041680355139,-0.0124323057778011,-0.3186990422750232,-0.3228647275064757,-0.0041708081639155,-0.0016328811784813,-0.1810192428543988,-4.3071828619450495e-05,-0.0114824664426794,-0.0147304467290352,-0.0079347197241969,-0.0049002319322612
WL,-0.0201794018937579,-0.0068179203676811,-0.0787414927555784,-0.0113204121153335,-0.234861961740702,-0.224653299225821,-0.135342477302175,-0.0111215170853808,-0.0012164243058983,-0.0638002435752513,-0.0005518462310842,-0.0040201020527765,-0.0073713702866056,-0.0014029842367449,-0.0092202833098148
CA,-0.0810188330475868,-2.7246691406103604e-05,-0.0949860076618417,-0.0010801181886611,-0.0079539059099736,-0.1417673266459516,-0.2229902132927707,-0.0054265774650292,-7.440740212933651e-05,-0.1392721676925726,-0.0001125140944972,-8.49338967037556e-05,-0.0097971356114413,-0.0001428232190146,-0.0031472880099198
GB,-0.023189171799634,0.0,-0.0342421185632709,-1.4024733608481058e-07,-0.0126891992466062,-0.1271474766862464,-0.129669946242591,-0.0031800153633184,-5.010914210081833e-07,-0.0530389515114284,-6.809826854797754e-06,-4.7024138782850686e-11,-0.0079017395051395,-4.111848087743433e-06,-0.0030356616159782
WF,-0.0099238505532592,-0.0116323255360706,-0.0525374837651927,-0.0026186014982952,-0.0135492361782778,-0.0727839536012731,-0.0897903251851692,-0.0028849914390977,-0.0030107345388911,-0.0319997874603811,-0.0005277850775118,-0.0369143156078642,-0.0280016464924044,-0.0009948835088151,-0.0043065064745968
ID,-0.0076167140732275,-0.0105442366235843,-0.1187113738255184,-0.0018875045058038,-0.0150819199101243,-0.1041067783387639,-0.0503685807320467,-0.0040533586949427,-7.421715557366533e-05,-0.018416059223288,-0.0013489997625312,-1.622675286206736e-05,-0.0065698207734506,-0.0004152012753122,-0.0015865166911925
