Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
DE,-30.79903542089818,-7.309175179592885e-05,-64.87015962226634,-6.024394256062702e-05,-10.651250691267895,-30.0917186880854,-30.125437008266687,-2.518484981705867,-0.0505401830934213,-58.23272529215426,-0.0039912772004336,-5.540696552392082e-05,-6.595180398526855,-6.585081316624616e-05,-1.0117716458069144
CN,-7.243009598843314,-0.0741175370460909,-6.978689210435911,-0.1262418605166814,-19.17151979806811,-59.76788025529982,-12.439048600656935,-2.2819710691109854,-0.0102989662406375,-61.45209633621912,-0.0118526403601039,-1.7947694590566328,-1.289140650160984,-0.0337728562163863,-2.3390910439781853
US,-1.581440742704197,-6.79033603035076e-05,-2.1273798344775106,-0.0126628947798251,-1.1752773057795798,-2.011895938399048,-9.597765983148202,-0.0799540877904933,-0.0004407694491297,-8.265230546129649,0.0,-0.0001920118559811,-0.0788856536521951,-0.0105551261622527,-0.1431085808539384
IT,-0.4580282250849125,-5.229797514572883e-05,-1.8126235033918292,-2.7071846970972342e-09,-0.6437606108643109,-0.5342586070533267,-0.2379223500758325,-0.0739534632651688,-1.7378598742946043e-05,-2.3552418939102133,-5.253878548308688e-07,-6.445523536189366e-11,-0.0159574832753717,-4.421739068636951e-06,-0.0397723722918667
GB,-0.9051800072829354,0.0,-0.5599555634729962,-7.569838568047556e-07,-0.5370251351949195,-1.3812059381034054,-1.2983018054627478,-0.1016330337634025,-5.659789017765948e-06,-0.5254142863808541,-4.1909413539879296e-05,-2.538124072182154e-10,-0.0578497315221417,-9.685469066981632e-06,-0.0328348062811889
WA,-0.1617336086604967,-0.0163185313188318,-0.81956418843854,-0.0165079657230722,-0.3742181081183501,-1.3311282551232746,-1.0850167012109262,-0.1055862412113816,-0.0031584777663244,-0.5193217038691922,-0.0032070947441608,-0.0640089303761337,-0.1450327326332893,-0.0040826937328983,-0.0785358548863168
AT,-0.3620550278044994,0.0,-1.2405843549884503,-2.795871429049944e-07,-0.1677823435332597,-0.8343473066750495,-1.128893266296488,-0.0107994916398533,-5.491703826398983e-07,-0.7467882200717033,0.0,-0.0002673094373867,-0.0334887956420945,-4.560669411181005e-08,-0.005503092610695
FR,-0.272528642690198,-6.276818464603599e-05,-0.7751574495709471,0.0,-0.3951270779514208,-1.2680524688443229,-0.727854584584372,-0.0775145032647855,0.0,-0.5270591701126968,0.0,-5.302707485108108e-05,-0.0175962328043718,0.0,-0.003146922301269
PL,-0.1579571485181835,-6.195247124164229e-05,-0.4337235790341655,-0.0029113878029688,-0.2713706671556685,-1.0196455685840229,-1.0577951672244996,-0.0518521302186697,-0.0004078873479905,-0.6218353669435437,-4.0056044551730175e-05,-1.2004378718660982e-06,-0.0005524110045217,-8.404478962957914e-05,-0.0166008670510129
MX,-0.0191485311360562,-5.08590538452219e-07,-0.1391656085457375,-0.0051414570763964,-0.106441595254896,-2.061139747191667,-0.900069830869501,-0.0387965029549801,-0.0002448371399644,-0.2160927428744616,-2.0761239621359582e-05,-0.000682139042349,-0.0137126673333616,-0.0007283669480785,-0.0472763928445637
CH,-0.0237518892076908,0.0,-0.0542081881242786,0.0,-0.0121115710027504,-0.953044450896949,-1.1006717125800716,-0.0018563107304952,0.0,-0.9528496256008568,-1.3131643433438065e-07,0.0,-0.003463111495954,0.0,-0.131190273352621
CZ,-0.0589428146310967,-2.764732127966144e-05,-0.3262120382257601,-1.6060584427601212e-06,-0.1044691201242958,-1.2310567247144248,-0.5887861247395985,-0.0486607492392977,-4.591272813355168e-06,-0.6505681563137603,-4.434568043659925e-06,-3.5094549230760022e-06,-0.0049909222532045,-3.147323057950422e-06,-0.0058114268100898
BE,-0.3552527629059072,-9.800054631512694e-07,-0.8665035702379866,-4.076569537960962e-05,-0.4158050309912169,-0.2348113549244753,-0.6502425365052132,-0.0880714823153524,-7.414642362839041e-07,-0.3190600723073052,-4.608539202954731e-07,-0.0066298211644229,-0.0178517043586915,-3.646582677068211e-07,-0.0442223742738527
WM,-0.1195681160374269,-0.001394623008873,-0.4873783478384348,-0.0123232805330036,-0.084163339317375,-0.5964181176061044,-0.7828807947801362,-0.0120757881787061,-0.0027017622824103,-0.3961919241387988,-9.97497855312368e-05,-0.0185845627355823,-0.0438782567598302,-0.011899856350938,-0.0114484350152999
JP,-0.2594415583139333,0.0,-0.1227142784593353,0.0,-0.1344889371996397,-0.3023055259553529,-0.4016135405710746,-0.0198228186439765,0.0,-1.2962876722683807,0.0,-1.898758668639009e-05,-0.0240965258542359,-5.2094796955124985e-06,-0.0099463411189269
CA,-0.3641944332234353,-0.0001971860115817,-0.5004254238342749,-0.0018099897076772,-0.064564679306223,-0.3877118827479534,-0.8281594298972822,-0.0200857548033891,-0.0001619397710144,-0.3182198638463428,-0.0002096909214727,-0.0001517187771834,-0.0456745398423509,-0.0002791698771071,-0.0059921641699247
