Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-7.438796001283739,-0.0625085046518098,-4.607210095260469,-0.096520950519735,-11.241868024781915,-34.322418276999215,-7.8931268888986095,-1.821078692796677,-0.007404085186725,-40.62646869432461,-0.009139090955673,-1.2767624848100745,-0.9446807962507968,-0.0244968341912376,-1.867541904760582
DK,-12.887991997382375,-0.0129219436199006,-24.0930648758402,-0.0007340349354311,-2.281512061597972,-10.674554363905909,-14.606927515213828,-0.489786454953171,-0.000515875460056,-9.846808901130702,-0.0022530135965791,-6.515660507164249e-05,-0.86166105891296,-0.001042630171482,-0.4222969214928044
NO,-5.73786008439136,-1.4389203357012643e-05,-5.872497813718617,-0.0003452116256268,-0.7091338353129415,-3.4333365569053065,-5.263473902429065,-0.1166466838968939,-3.66277477353114e-05,-3.1406668087601357,-0.0008929230293327,-0.0628310407838167,-1.8177991619095373,-3.816265379201856e-05,-0.4582188962902354
DE,-3.0828456711182586,-1.0696585220447373e-05,-5.036600051449359,-6.799535909579995e-06,-0.949678720236814,-2.1620509572946567,-2.5580610839379663,-0.263753041525866,-0.0007508657462769,-8.889019280561069,-0.0005352677551847,-8.326433875548317e-06,-0.2733208341883992,-5.807108182469103e-06,-0.0714716525042043
US,-0.767560111206997,-7.195207977504793e-05,-1.0512354347290034,-0.0113927897199285,-0.2618457697853993,-1.1777479109152929,-5.053017311707962,-0.0422331368445651,-0.0004151673640731,-4.537819286907644,0.0,-0.0001777632048643,-0.0356507876123679,-0.0095981571692657,-0.0918703387728918
SE,-0.5965335958009519,0.0,-3.1728553220768814,-0.0046136090406806,-0.3348871648022402,-1.58240466081903,-1.8932693880862344,-0.0468203913522517,-0.0007316646778845,-1.60013685695384,-0.0003215173921143,-9.225060421311966e-05,-0.0364417700338746,-0.0004873982652427,-0.0037386292486454
GB,-0.3780169091266345,0.0,-0.6057562812472236,-1.4015532624454058e-06,-0.1918064541015741,-1.213025330334503,-1.0634937703855871,-0.2977264797543266,-1.7022047087074854e-05,-0.4271509235272771,-9.807173124162392e-05,-4.699328843373707e-10,-0.1364580622285263,-1.7186238443364318e-05,-0.0588066356305988
WA,-0.1409827882900605,-0.0290362856854475,-0.7912088201763239,-0.018789395850759,-0.2089741669505234,-0.9283395868264008,-0.9619428458357392,-0.1450617602342142,-0.0042061164376765,-0.4346071244495568,-0.0046292524886126,-0.0659523863118614,-0.1237031455165351,-0.0048191520243407,-0.0756686803824508
JP,-0.1493594928280791,0.0,-0.213007097146666,0.0,-0.2388698568219043,-0.3279511129509888,-0.5231180462782757,-0.829616061569115,0.0,-1.3841804551142065,0.0,-0.000131880612633,-0.0995809779946614,-1.5492635473881897e-05,-0.0368566767148452
PL,-0.2447600298840052,-1.671770979718858e-05,-0.3919557085959355,-0.0025004876658935,-0.1362156008148043,-0.7664760450447843,-1.0183069538210698,-0.0456692803812461,-0.0003514585770212,-0.5384688612775069,-1.0809017219461132e-05,-7.880131654462652e-07,-0.0005326585964235,-8.14383406818165e-05,-0.0205859329589267
