Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
EE,-6.865674543895778,-5.417632937115197e-06,-7.285428863304687,-2.3230071694587743e-06,-3.366033731696861,-27.777579573999297,-27.129022501747247,-1.1127087993315294,-1.2088741708386356e-06,-13.972468315636169,-3.0415510931773557e-06,0.0,-4.567147981973367,-8.942663232625595e-06,-0.249204473590919
CN,-3.491001515032677,-0.0395976703053891,-2.945614818101165,-0.0639309275646269,-11.56222771196722,-26.32170399628216,-5.3821097920560295,-1.5230982936498465,-0.005579035211224,-25.801538821119728,-0.0062328014752901,-0.8809284061298136,-0.7515245958622113,-0.0168674772221069,-1.302320911860019
DE,-0.9134828925133132,-7.515213889454032e-06,-1.4180662342601305,-5.473266727360022e-06,-0.4599165832637072,-1.3589302667548446,-1.2542726771692831,-0.6469588664737125,-0.0005698659585111,-5.896035397642559,-0.0003569643091968,-5.263944403307896e-06,-0.1296596270018609,-4.325588767977908e-06,-0.0988282398993954
US,-0.3038476369654921,-5.457828262655943e-05,-0.7482533731605798,-0.0097268422899331,-0.1647088313797019,-1.1356998229522892,-4.141415203346683,-0.0485410170955448,-0.000361426688041,-4.441991929169696,0.0,-0.0001339227238542,-0.0258526966986888,-0.0074334224915136,-0.0481533813702472
FI,-0.1276150558074087,-5.183127766749665e-06,-1.9254779284772217,-0.0040487170439747,-0.1523260641633349,-3.1454712415424053,-0.9371422390839198,-0.038412875854767,-0.0004931066486774,-2.6896944840661487,-0.0004587802628773,-0.0001181118339227,-0.5100391905364866,-0.0002185820276621,-0.0139743933239607
TR,-0.1668709542452943,-0.0005723652861543,-4.409387517904367,-0.0013494260404632,-0.0292297995947108,-0.1262293869725119,-2.254639313142387,-0.0039585361187375,-0.0004164362748109,-0.1532387098682888,-6.062714896837474e-06,-0.0118594343505247,-0.0096182093323732,-0.0022963608075798,-0.1667433535832689
SE,-0.2544842647389101,0.0,-1.1508942155078283,-0.0014743583702525,-0.1083471205266138,-1.221979016864195,-1.0899128338022548,-0.0198779727019836,-0.0003328375534156,-1.409161520074114,-0.0001304098865322,-0.0001136173480828,-0.0156572229570934,-0.0001264542411602,-0.0090598762145456
WA,-0.1719410642955014,-0.0226702179081137,-0.812846249430279,-0.0213734371174669,-0.137103048460798,-1.065396390218306,-1.112547799333348,-0.0912385277656898,-0.0043580412856503,-0.5916639376176785,-0.0044378893894256,-0.0677712160568934,-0.1059498873921478,-0.0056309827657305,-0.0575005324965209
PL,-0.1382774165079434,-3.169849255429948e-05,-0.1988210820853857,-0.002928523924706,-0.2977838994831724,-0.7427062362375599,-0.8340126364788882,-0.3970113353325505,-0.0003655695479704,-0.4533225118462612,-2.0495005357013904e-05,-8.666851471923401e-07,-0.0002217799114557,-9.901077705250715e-05,-0.0390506037160593
WM,-0.0958700894389156,-0.003226069787467,-0.8272796365969696,-0.0384539278607947,-0.0461856010971927,-0.5676722199327919,-0.8559531475762019,-0.0167746188642295,-0.0060707423298793,-0.3959337310691824,-0.0001946078941408,-0.0340831179216967,-0.0430602318826132,-0.0283341069623513,-0.0195810959059043
JP,-0.272645456532858,0.0,-0.2898282451666178,0.0,-0.1348258110445301,-0.2506330344337826,-0.6984150293634168,-0.042712540231237,0.0,-1.0348160351458933,0.0,-4.730862706749709e-05,-0.028807284725298,-1.0582650699561016e-05,-0.0110830237823344
GB,-0.2854834755675854,0.0,-0.1858425324121526,-1.2763673558397517e-06,-0.1212600656955628,-0.5723368612898092,-0.5412887056209967,-0.0879211567786922,-2.1354376992636686e-06,-0.2147698709831954,-1.997349744095128e-05,-4.279587131071892e-10,-0.0285636316823596,-5.889430614742635e-06,-0.0314644597900208
NO,-0.3347883617799933,-1.9939405187871417e-07,-0.1832740960015387,-9.666491139686282e-06,-0.0251659480033779,-0.285658412383327,-0.4146165562739725,-0.0386343365403039,-2.571953085624521e-07,-0.4863797897282068,-1.3895854381491683e-06,-0.0012228662301832,-0.2596097347529703,-1.426176056861677e-06,-0.0221270257065776
IN,-0.0403435924429903,-0.000278673108815,-0.6675089660753639,-0.0007112002028642,-0.0591756220470131,-0.1694669594052775,-0.4591445485292247,-0.0363142193993495,-3.070780607745779e-05,-0.5724811581952312,0.0,-0.0011066344565551,-0.0025771948226099,-0.0004357600928653,-0.0244279331410382
MX,-0.0082045443200379,-2.2635345300331427e-07,-0.0935686428881074,-0.0041618563456114,-0.0351329838424671,-1.3842014988542417,-0.3095266009090839,-0.0171831240026394,-0.0001822407125319,-0.1085370196540816,-9.135521317166103e-06,-0.0005624510898361,-0.0058896575457409,-0.0005848741471663,-0.0326212034770278
IT,-0.143931042320639,-1.9056027588510064e-05,-0.3493797250131691,-5.105847351321801e-10,-0.0915893119955797,-0.1540555317139292,-0.0611688398511989,-0.0589871069666681,-2.9435679611266803e-06,-0.7041410381876716,-9.901934523101397e-08,-1.4228512735004909e-11,-0.0048218061888486,-1.106771287819399e-06,-0.0254072069310097
DK,-0.07646189367664,-1.0200406702969776e-05,-0.0639381040172995,-9.60083197406605e-07,-0.0055647826588536,-0.6137896012491904,-0.4240242086199068,-0.0011133866253069,-7.290493899153563e-07,-0.3375745028883219,-5.082475950115569e-06,-6.278441438748477e-08,-0.0012016617803627,-1.4734736371133922e-06,-0.0129823258008381
KR,-0.0435477164750322,0.0,-0.1284807175740736,-7.523854606293653e-06,-0.0948875009684704,-0.4662431823197483,-0.2444911129159633,-0.246246411060462,-8.023670719572417e-06,-0.106908395168251,-5.917708830295161e-05,-0.000243867943621,-0.0131347154449622,-2.2405608058909423e-05,-0.0105936122147981
WE,-0.0974974201833451,-0.2068254517632602,-0.3256534112187034,-0.001067128415937,-0.0950695257050955,-0.2266452602518345,-0.0925468021917375,-0.0438921712952196,-0.0020928910673127,-0.1030890939559543,-0.0052358238789858,-0.0258781058302289,-0.0732152377906569,-0.0004071072756177,-0.0048133510553339
WL,-0.0355376406725452,-0.0071897605675359,-0.1373405328657958,-0.0282448146117782,-0.5706715331690821,-0.1945745355797233,-0.1764010366173604,-0.0163941291268017,-0.0020069170410542,-0.0830944199139331,-0.0007350349872554,-0.0085138359766593,-0.0123194487996713,-0.0027771229196102,-0.0139988228309225
CZ,-0.013633565860741,-1.553264770855794e-05,-0.0865188281389229,-9.781950693278916e-07,-0.0314218469804902,-0.4562200698705183,-0.2173058020647605,-0.1102394681241578,-8.066783175738545e-07,-0.2651488942212294,-2.5093473934034974e-06,-2.244469732737479e-06,-0.0010337654316118,-1.4965653548735382e-06,-0.0017545440236599
CA,-0.0941683494869398,-6.345745567405537e-05,-0.2195792910280173,-0.0014351362158864,-0.0188587760899163,-0.1898032212267624,-0.3714579879408496,-0.0136524641152888,-0.0001173117775746,-0.1837656252571722,-0.000155057374981,-0.0001156399626795,-0.0172655413487609,-0.0001852835216946,-0.0046064083277022
NL,-0.0332850591798352,0.0,-0.0416121003831884,0.0,-0.0458832667090705,-0.1073754442938727,-0.6749422741804323,-0.023854390838808,0.0,-0.1519417951803675,0.0,-2.0902412553363973e-05,-0.0033345883366873,0.0,-0.0018560924803956
FR,-0.0808837722169318,-2.360417826153765e-05,-0.1849419742439962,0.0,-0.0505114530664893,-0.3438679461429705,-0.165588368864801,-0.0129628725181345,0.0,-0.1487202622355067,0.0,-0.0001342256225443,-0.0131306740689975,0.0,-0.0018024734674331
BE,-0.0393983679128675,-6.87227842745926e-07,-0.1959309260338484,-2.636539902015695e-05,-0.0760241452828948,-0.1556727518280608,-0.2284461110863167,-0.0477838775193771,-4.795453693788619e-07,-0.1216638645786317,-2.980593703958079e-07,-0.003575465158147,-0.0126301275610802,-2.358443942771103e-07,-0.0206742295110333
RU,-0.028821822546645,-0.0001934254789843,-0.4376617968596975,-0.0022465287810986,-0.0825915531443803,-0.055018083175054,-0.1194772472753124,-0.0038943748945604,-0.004868270406083,-0.0260305691005962,-0.0009377099486538,-0.0051348879048176,-0.050732912902937,-0.0060679612736381,-0.0256553205431357
AT,-0.040680205765074,0.0,-0.2362489330785883,-7.550585550064444e-08,-0.0183172258960994,-0.1380430679419536,-0.1792590526641446,-0.0068210946304005,-1.483100371712458e-07,-0.1333690659985469,0.0,-7.515105545437416e-05,-0.0065806406738154,-1.2316633803987804e-08,-0.000873230502931
CH,-0.0027693270219259,0.0,-0.0066842728008748,0.0,-0.0014332520615556,-0.1760453309973557,-0.218280987371737,-0.0008838234357676,0.0,-0.1816119045357758,-2.6132579747213616e-08,0.0,-0.0007393765288346,0.0,-0.1216640561142607
ES,-0.0252267254910752,-1.548482658994154e-06,-0.1229340190522422,-0.0033317183146786,-0.0327140043661825,-0.1356430753073425,-0.0161495873809051,-0.3092137349224319,-2.932610005782594e-09,-0.0371733350478136,-6.725689297416305e-05,-0.0004745734164674,-0.0025588340907202,-5.124217123987702e-09,-0.0016662278702766
WF,-0.01544445841145,-0.0202148289663631,-0.1585198912921732,-0.0067090757346274,-0.0373402077728799,-0.0858684317754223,-0.1634957350972792,-0.0100041366337372,-0.0060441082714087,-0.0492695315075615,-0.0011406704197058,-0.0616290808552614,-0.0494357937419075,-0.0019260182334371,-0.0073685059852459
HU,-0.0265541340409381,-2.0370150976138877e-06,-0.0549185548893726,-8.136329888579746e-11,-0.0002853767923661,-0.2748870547021017,-0.1731517984722723,-0.0015727347460754,-1.9021588580707228e-06,-0.1362118276893938,-3.7420956357832375e-06,-1.0098636573171777e-06,-2.880823384292361e-05,-1.5091578945026657e-07,-0.0001219792394519
LT,-0.0014773187404853,0.0,-0.0063380118277516,-1.6132994915914528e-08,-0.090370041904252,-0.1623117932983478,-0.2970976414280742,-0.0003476901085976,-1.0535054433334204e-09,-0.0940706272776631,-5.572516958299154e-10,0.0,-0.0004356093554626,0.0,-0.0001080106977628
TW,-0.0070757033601106,-3.582762412826371e-05,-0.0109676728776098,-3.977717794004612e-05,-0.0184832436568752,-0.4028737746892482,-0.1184073067018251,-0.0039679191580808,-3.501604761415028e-05,-0.0527738187835414,0.0,-0.0001068313463719,-0.0227804061944131,-3.4528486779036127e-06,-0.0029271724005142
LV,-0.1226896716167712,-1.355448986992662e-06,-0.1256834143095212,-1.678842211897681e-06,-0.0581303818049751,-0.1732424810350618,-0.0867782266070858,-0.0030737899759507,-1.7209045556495121e-07,-0.0309880638958564,-8.073501350458661e-08,0.0,-0.0068701517682453,-2.280853022703976e-07,-9.422036958762032e-06
LU,-0.0084564750686364,0.0,-0.1620568212225208,0.0,-0.0226426260531244,-0.0217231639025529,-0.1087366126597258,-0.0403083744465989,0.0,-0.0481494773346654,0.0,0.0,-0.0026932958262205,0.0,-0.0059576727587024
SK,-0.0316231180323644,-3.896426057401304e-06,-0.0156923576841608,-8.483175387374563e-08,-0.0089419398899391,-0.0958483425474405,-0.0958626082669212,-0.0089959075416577,-3.666332234445431e-08,-0.1369315553885734,-1.3384648848016695e-06,-5.907625870044389e-07,-0.0002444932571377,-1.2231629763278178e-05,-0.0011390777691237
RO,-0.0040849715248209,0.0,-0.038392273484558,-0.0039897276663843,-0.0097267926015477,-0.0921946129600732,-0.1261178247251473,-0.0044983377557575,-6.581003364040416e-05,-0.0866709377072202,-2.2469219471375888e-06,-0.0002887706722949,-0.0006555564249957,-0.0003217149888143,-0.0002618227263671
