Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.742946417607326,-0.0598223790029609,-3.8886031819088327,-0.1294685091146432,-50.44305637244948,-37.117738808068985,-7.066060270645584,-3.177443972773398,-0.0122804421921998,-34.92872606947133,-0.0127582047189991,-2.15276168478939,-0.8790333590810472,-0.0388380561288636,-2.187549532398683
ES,-17.599942016982137,-0.000202106332926,-29.79799720836181,-1.9144555743938505,-18.449626191620464,-36.49772714325346,-2.834907399045315,-6.920590136126796,-2.913781081224102e-07,-3.990057243311515,-0.0426840181997415,-0.2131138169814283,-1.4588332761406568,-5.091316909690153e-07,-0.455400496587022
US,-0.7923023392089285,-9.127110061646418e-05,-1.5324008921981285,-0.0208274526449721,-0.4499738123949559,-1.5102614052929513,-5.8963605307781926,-0.0361547836637274,-0.0009003588738405,-5.877598558389108,0.0,-0.0002570138219367,-0.0674640683162574,-0.0274586147603897,-0.0765339417207708
DE,-1.359913707111245,-7.535335231023507e-06,-2.326282569885188,-4.120762760011138e-06,-0.89964951708526,-1.9651415752483337,-1.4120120601827162,-0.110182694291395,-0.0005948335422847,-6.113421814499008,-0.0002335634522334,-5.189219504086415e-06,-0.0642784462855552,-4.220537255605049e-06,-0.0224357853045007
FR,-0.5097319718159072,-6.995852960517543e-05,-0.9853698097995004,0.0,-0.4453834580070073,-1.9098660720991265,-1.0762923882208837,-0.0187989626276234,0.0,-0.7952612069196915,0.0,-7.493451238804092e-05,-0.0140171115664294,0.0,-0.0105200619685137
WA,-0.1334558879640721,-0.0235208962105136,-1.4198198752538085,-0.0203395395043078,-0.5022216260350937,-1.3354032481334108,-1.3583671293404107,-0.1771020317147347,-0.0040444677206694,-0.5142580507545598,-0.0043393212166149,-0.0679860194043991,-0.093413440109194,-0.0050134369684694,-0.0546862121609989
IT,-0.359301533460891,-3.2696936103178805e-05,-1.1235058722409306,-1.7587833757610902e-09,-1.0156134906277523,-0.4345888613035621,-0.1836198852634603,-0.1575069553489025,-2.2781717829107844e-06,-1.622445364794126,-3.212875938225581e-07,-8.891027622336706e-11,-0.0074733491428428,-7.28206471589649e-06,-0.0643850027266349
GB,-0.4206731380137399,0.0,-1.1189956061856012,-1.5657222848301836e-06,-0.4602180810071881,-1.1992132502595698,-1.0465776874779402,-0.086509261299909,-6.860743495266627e-06,-0.4164212305341344,-6.920287520030473e-05,-5.24977829806102e-10,-0.0488964514578557,-1.3234486494097474e-05,-0.0807568156530597
WM,-0.1189840984160358,-0.0031008552379646,-0.8044201361735344,-0.0221678682659761,-0.5050195171517081,-1.3861404897851104,-1.2416270262198592,-0.0561065650419105,-0.004935231530623,-0.5901926652824893,-0.0001568639309464,-0.0291545258146956,-0.0474597135906049,-0.0197798100041277,-0.0141439726671472
WF,-0.0831980638764815,-0.0579348511063209,-0.6047354217833205,-0.0118374214495443,-1.8913853809081216,-0.5214134754645554,-0.8090288749098161,-0.0249658663587976,-0.014194791513446,-0.2298054565727623,-0.0021574917058503,-0.1504452776408451,-0.1469998211035361,-0.0041088250419598,-0.023801412036907
WL,-0.1329185299582712,-0.0152611647899337,-0.3159082549713897,-0.0440390497853784,-2.064250818970804,-0.7354023524713708,-0.5495712404628545,-0.0317483613072194,-0.0037781745632779,-0.2622375437483372,-0.001364272867532,-0.0141640449654225,-0.0263255342285116,-0.005148224924891,-0.0303547859789184
MX,-0.0212967541700014,-7.907357557346313e-07,-0.186674936520734,-0.0066444020465426,-0.1259556247134824,-2.55609737716577,-0.8344408254059485,-0.1016570353259266,-0.0003423198015954,-0.2196329397778082,-5.8857487371727776e-05,-0.000890001926514,-0.0152486558535382,-0.0009226136016077,-0.0700062971353333
PT,-0.1355851245030049,-2.6234476886098853e-08,-0.3671220504791606,-8.72451418827981e-05,-0.3344470812581164,-1.5011986267600057,-0.6007706639563065,-0.0244197221077382,-0.0007597089850509,-0.6180290672154252,-8.536887546927251e-09,-0.0009698744468304,-0.0009731788146239,-8.188495128003916e-07,-0.0003218721710945
KR,-0.2366549040800477,0.0,-0.1845975113192174,-8.206862820771711e-06,-0.7788028558398511,-0.7170676622704183,-0.3575038965382822,-0.2200035319550884,-6.890758216553731e-06,-0.1079238804192025,-5.531076589649797e-05,-7.545269167966955e-05,-0.0949268740580084,-1.0813125137660625e-05,-0.0096855547238057
JP,-0.2451769773772876,0.0,-0.1119977956599651,0.0,-0.2334074572835298,-0.3022215332061537,-0.3774198436302651,-0.0326339337251222,0.0,-0.8946020523158646,0.0,-2.334560057472497e-05,-0.0258366280529769,-4.782630638437476e-06,-0.0082664248649776
CA,-0.1951009315769073,-0.0001296057890091,-0.457914292022256,-0.0019747991789459,-0.0437657896574285,-0.3108848062622377,-0.6576055665046292,-0.0138883440708555,-0.0001793983115226,-0.2367364177010563,-0.0001968296370929,-0.0001307838548388,-0.0252922163709874,-0.0002367450894417,-0.0063504707319354
BE,-0.1367902889770226,-5.19948279338849e-07,-0.347815910775781,-1.9390761496985568e-05,-0.5264412507538587,-0.1465014530511086,-0.3245656568295931,-0.048147803910459,-3.526876220420653e-07,-0.1619275377094941,-2.1921148088326522e-07,-0.01179856800567,-0.0081815914065935,-1.734547008498635e-07,-0.0235604463635978
IN,-0.0341698445732285,-0.00016640676116,-0.5189101707803855,-0.0003483809226673,-0.068006901787784,-0.1405758565335765,-0.3784842316102066,-0.0223326238700365,-1.8380440224067737e-05,-0.5022015554273811,0.0,-0.000673900851257,-0.0013094566256207,-0.000180088886619,-0.0201108779668147
TR,-0.0593920997270235,-0.000391650969857,-0.7796326280080661,-0.000700540901163,-0.2125055759204242,-0.1063639675832429,-0.3838086814069082,-0.0086818077953485,-0.0001999635706641,-0.0291855787529922,-3.192580376233207e-06,-0.0085548137796685,-0.0036912270236323,-0.0011111925711569,-0.0173473087977573
PL,-0.0539377174665315,-1.1623923012566606e-05,-0.1223962351220606,-0.0011378826056134,-0.1264420635219779,-0.4358331807049529,-0.3485920679640166,-0.0247661194124639,-0.0001635802772229,-0.2340006201074799,-7.515573934753457e-06,-4.107307119128416e-07,-0.0001176684399145,-4.321547098540083e-05,-0.0066119910890547
NL,-0.0717064926473478,0.0,-0.024244742219676,0.0,-0.109308979612943,-0.1699505788822308,-0.5789501788844035,-0.0146424616165361,0.0,-0.1774306385016347,0.0,-5.7883180391557965e-06,-0.0032780912541507,0.0,-0.0016562580366862
AT,-0.0492565462795136,0.0,-0.4617525737461426,-5.156842552366258e-08,-0.0317381293613147,-0.1812513197882731,-0.1970003724775887,-0.0019137510654789,-1.0129168202341189e-07,-0.1429623309809491,0.0,-4.866420169432224e-05,-0.0070614111401013,-8.411922609347324e-09,-0.0008890280249303
TW,-0.0063721805991492,-2.9308341959962487e-05,-0.0108645530338729,-3.314881518970066e-05,-0.059035834518723,-0.588072751621254,-0.1394945394288727,-0.0106754492251411,-2.82908119202024e-05,-0.0402822635784029,0.0,-5.753150502705521e-05,-0.0084711867396645,-2.241407307531444e-06,-0.0029902189575839
CH,-0.004318893080961,0.0,-0.0089063771552049,0.0,-0.0063247690844881,-0.2625845276254195,-0.2528478869509806,-0.0003535013393244,0.0,-0.2004801331778123,-2.467397202770703e-08,0.0,-0.0006402420716165,0.0,-0.1186383106239781
SE,-0.0329184474413597,0.0,-0.2436554995634291,-0.000197164976044,-0.0264420240417913,-0.1682061579450526,-0.1438571415549839,-0.0015475571127124,-4.438187504991872e-05,-0.1386114773321531,-1.471129884930853e-05,-5.614149829779609e-06,-0.0029510633362031,-1.6480367261405706e-05,-0.0002178357858269
CZ,-0.0100533836705252,-6.511819625162075e-06,-0.0609536277402894,-4.422331486887483e-07,-0.0224905269294337,-0.3295436760651395,-0.115741177282192,-0.0060685411203811,-3.421089278803424e-07,-0.150951944050504,-1.3572503589170064e-06,-8.496157459441806e-07,-0.0008471712048831,-6.512347424292797e-07,-0.0009870275731811
LU,-0.0095422064255962,0.0,-0.1786012472268056,0.0,-0.0708640670890609,-0.0126508696268557,-0.1235839143831961,-0.0328166761660161,0.0,-0.1977426266012898,0.0,0.0,-0.0029539809431068,0.0,-0.0065328275709836
IE,-0.0072976905642349,0.0,-0.0039343185206282,0.0,-0.0005651270031825,-0.1617342933473277,-0.2193535814646821,-0.0011576721232913,-2.666759290032586e-05,-0.1328453256725007,-1.792913240518621e-06,0.0,-0.0071451036030181,-1.0907800870429675e-06,-0.0002453421468295
NO,-0.1951382439447111,-4.5293919375018715e-08,-0.0441562348463995,-0.0001057592820621,-0.0122494468186554,-0.0640059193840033,-0.0596298215623374,-0.0012240510050536,-7.707659907985277e-08,-0.0926058053480685,-2.705200284671466e-07,-0.0003306792808368,-0.0515314274514253,-2.781545144788961e-07,-0.0052928767011006
HU,-0.0090566744291527,-1.7793920693387842e-06,-0.0546791762772208,-4.1334784644169154e-11,-0.0006244733035195,-0.183089215633024,-0.1113159610011337,-0.0002671295768629,-2.869568416291255e-07,-0.1036862360864483,-1.2621015153695338e-06,-7.300434901992263e-07,-4.0581325634335546e-05,-2.1943781261790774e-07,-0.0001665932258321
DK,-0.019131199679077,-1.880340311256177e-06,-0.0274653004382615,-4.208027726619021e-07,-0.0071911353009622,-0.1377777523275706,-0.1201391658689978,-0.0002137408779595,-3.295399526724899e-07,-0.1141208465851713,-1.950174863736681e-06,-1.7052074776710833e-08,-0.0003174703525992,-6.660295438898409e-07,-0.0002177630413127
GR,-0.0253198054063753,-0.0004766038157856,-0.0772114036355726,0.0,-0.1011607517758847,-0.0394307344761388,-0.1013894575931895,-0.0003169260421093,-8.20735512307556e-06,-0.0144974242531417,-7.724666111026159e-08,-2.021091171745326e-07,-1.915845606313497e-05,-1.7954628665313405e-08,-2.133707728910594e-05
BR,-0.0197568167074181,-0.0023574375582999,-0.0870114778359942,-0.0048101625275423,-0.0318544432049606,-0.0812399599052558,-0.0324519840595683,-0.0057272757387935,-0.0010604856105648,-0.0609763572595336,-0.0004626271483724,-0.0167568499854135,-0.004623477103608,-0.0003340749315089,-0.003556553286187
SK,-0.0091873876043474,-4.05970851308076e-06,-0.0094648871053539,-6.915842111329335e-08,-0.0098839180730841,-0.1167565004355051,-0.1063891678734884,-0.0009980132221953,-2.8722710989217544e-08,-0.0974136459628781,-1.4923679861826292e-06,-4.061712462260586e-07,-0.0001466438346132,-6.491764161074917e-06,-0.000731351987681
WE,-0.0207332199823954,-0.0078224469790553,-0.106817690752513,-0.0003697065882779,-0.0283774719395398,-0.0965067777423037,-0.0330091679309609,-0.0023091679561283,-0.0023626638513592,-0.0361624487251766,-8.213464057851234e-05,-0.0101402541385138,-0.005288096727951,-0.0001545356318594,-0.0005340816578497
ID,-0.003555896886297,-0.0043132178262367,-0.1601725116836125,-0.0011643946213737,-0.0202741782733062,-0.0416960196202965,-0.0388111205605164,-0.0029224095739436,-4.692028545455446e-05,-0.0113741215914861,-0.0009379573184827,-3.674300967354985e-05,-0.0278706751920515,-0.0002433810054881,-0.0009559250249287
RO,-0.0048328081640131,0.0,-0.0309980181864341,-0.0026692002215663,-0.0140142650864699,-0.078282906402434,-0.0932928567891463,-0.0015978588476726,-4.698395855291071e-05,-0.0713702765165757,-1.3106812248197702e-06,-0.0002060664646919,-0.0004389256682763,-0.0002109131415641,-4.341818799395348e-05
FI,-0.003049365086044,-1.404298473771865e-07,-0.0565008135248099,-0.0001788500247529,-0.0213011316648172,-0.0806622059790972,-0.0235904629269618,-0.0024780428487741,-1.738098228547376e-05,-0.0707618209869574,-2.2429283597840685e-05,-4.233959591300286e-06,-0.0231752193956097,-6.920383301629094e-06,-0.0004169147509145
AU,-0.0375786563004594,-0.0156317229580869,-0.0298486753942345,-0.0030130713006235,-0.0065070436205297,-0.0325079011735518,-0.0328325000375556,-0.0193233331416959,-0.0015047603386976,-0.021187674088142,-0.0004382169794493,-0.0216380311106882,-0.0137390457568033,-0.0026144026055152,-0.0149403380629181
BG,-0.0020999963637013,-2.5906493504319346e-08,-0.0006645243969395,-0.0001922088273656,-0.0999769458729485,-0.0099982838684014,-0.0110587792101661,-0.0019255394672815,-4.826858711468835e-05,-0.0145188104141241,-5.283016659337591e-09,-6.857566740941556e-05,-7.799683865062126e-05,-0.0001194664478322,-9.878901651695744e-06
