Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
GB,-3.846790505903612,0.0,-63.005893544354,-2.3996231299338303e-05,-11.207303840359716,-37.01046668136237,-23.58532198818002,-4.130220180680582,-0.0009310694815109,-9.597710658621237,-0.0110602956291346,-8.045800686848097e-09,-19.41615183577214,-0.0043832809477884,-1.483124802058559
CN,-5.457746283353927,-0.068524516298572,-5.112221467190897,-0.1054791493198495,-23.35950960092717,-36.67824450735668,-7.959200247055215,-2.3669429487925373,-0.0081516624521784,-42.6664115163698,-0.0101607916254234,-1.2473509851552973,-1.1232075940663249,-0.024358816059914,-2.2294260118400646
US,-0.4931712950136915,-0.0001340412193239,-2.944554357108719,-0.0193634193010804,-0.7044056015183643,-1.9688967472784984,-10.484884708745268,-0.1153443361725698,-0.0007489482198937,-8.323186078575445,0.0,-0.0003430474401606,-0.0727411934622325,-0.0141646421016977,-0.1009909419206415
DE,-0.8691579101328402,-6.552525664540584e-06,-2.2673648221615004,-3.637969121317678e-06,-0.6358727820049548,-1.3457292364312563,-0.7935990633189731,-0.2035975043401786,-0.0004145514606349,-5.306966824592574,-0.0002279670618794,-5.332672375699651e-06,-0.6506473528037272,-4.163728913625962e-06,-0.0232095022723926
WA,-0.155545591099085,-0.0364419562242836,-3.0625880232807474,-0.0368966052505404,-0.4435127813416166,-1.9264133592303896,-2.4511222635169365,-0.2467753086700359,-0.0069530508578946,-0.8219415896444001,-0.006847688082156,-0.110667862228289,-0.3468208180979859,-0.0084138245559481,-0.1729963037266115
WM,-0.1026595627289943,-0.0030583755307681,-1.6022928614580432,-0.0300180629156513,-0.0962709356509222,-0.941482285618438,-1.5380593632596795,-0.0335820745535956,-0.005442824115828,-0.6266335176758017,-0.0001888860213941,-0.0331345291134968,-0.0921973526449343,-0.0227778124760864,-0.0387351920385917
IE,-0.2053692644938445,0.0,-0.1287291753848239,0.0,-0.0143828491277017,-1.4820621612847835,-0.9921337915901952,-0.0112424391558131,-0.0003047001330255,-1.2635721164072515,-3.213382996143119e-05,0.0,-0.0972726652967369,-2.737092096043859e-05,-0.0034798367617471
CA,-0.4823627586332993,-0.0003418130726628,-0.9299333975728022,-0.0034781307172154,-0.0587068014523793,-0.3710684818690157,-1.1428672495617536,-0.0994532211984501,-0.0002985966267148,-0.3795108749859515,-0.0003937521755568,-0.0004141648606194,-0.2247621333693489,-0.0005295569934163,-0.0117912779536197
TR,-0.0164564496673415,-0.0003801067716608,-2.217016539960542,-0.0008223134013123,-0.0333880536071905,-0.0810264398024128,-1.025318008552823,-0.0013193379456068,-0.0002313026046415,-0.0665329592454486,-2.299346628880213e-06,-0.007749839232825,-0.0198884888552368,-0.0013133937060918,-0.0147963409846391
JP,-0.1925791960117924,0.0,-0.2082832151673447,0.0,-0.2205736011706246,-0.3765177988640814,-0.580417750753981,-0.0389246994876586,0.0,-1.3795501212036632,0.0,-3.70204797768887e-05,-0.0222995431588872,-9.592287337674905e-06,-0.0074487725279653
