Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-2.828908095352611,-0.0287295654473804,-2.151110433458299,-0.0469259808800239,-13.017574783489268,-17.356445358985262,-3.387234348748858,-1.8065029665828192,-0.003680149136112,-19.06036333842674,-0.0045109792690141,-0.6176337219896781,-0.6322210387191195,-0.0120911216972997,-1.3254506472205672
GR,-5.490707031226499,-0.5975029950896084,-15.65226233492681,0.0,-4.643938565256165,-2.462126412578471,-14.141653302228168,-0.756428119538052,-0.0065431183886318,-2.4081341197209243,-5.388831942851468e-05,-5.464188261880586e-06,-0.1260819623843741,-3.1177644013157294e-06,-0.1039983390014672
US,-0.8585503398709108,-0.0001006046064341,-2.14636413798998,-0.0165365127734668,-0.798342821290145,-1.4193626437884768,-6.837906104340232,-0.023638246933987,-0.0006059379047672,-5.40286115651673,0.0,-0.0002669547752732,-0.0757673552203428,-0.0149178037453701,-0.0942949068896377
DE,-0.6311807056806527,-6.016124739744618e-06,-1.09955949899283,-3.799602629117243e-06,-0.7397027883443219,-1.2417814911147418,-0.8948235793422143,-0.1082890234691091,-0.0003909598675899,-4.726892896106453,-0.0001811098205582,-4.018617339041209e-06,-0.0512178124828474,-3.4372969116167086e-06,-0.0503386681817219
IT,-0.3953410500394236,-8.03834895907588e-05,-1.3958153649114096,-2.1124367668540784e-09,-0.7158398739408068,-0.5919781397576648,-0.2150293815311888,-0.2319333215903379,-9.966534613984478e-06,-2.1707108429949984,-3.975738076645428e-07,-7.934380228726763e-11,-0.0089033497144194,-6.366909248449226e-06,-0.1245048364148704
WM,-0.1322522983926598,-0.003980078287137,-1.0002838572103527,-0.029899194388022,-0.1432932988429983,-0.949837384615095,-1.2304012992518658,-0.0194932403293536,-0.0065083325187037,-0.5943731677376739,-0.0002071242756318,-0.0430702622150524,-0.0569981711162442,-0.0258332803819579,-0.0270288482450528
WA,-0.0989092638787917,-0.0497921631780923,-0.4372518194121403,-0.0201308293527651,-0.2068642990213368,-0.6487110453160084,-0.6034891124988822,-0.3407480403617985,-0.00493507134103,-0.2701047457989145,-0.0083706960634286,-0.0558795703540373,-0.0964435157777876,-0.0062733882684232,-0.0742500620964936
BG,-0.0314545899011806,-4.0777000908649433e-07,-0.0069409565181532,-0.0056090764726263,-1.5284893140632507,-0.2735524685172486,-0.3398146118281681,-0.0154027732364602,-0.0015973499192792,-0.4117711027638396,-1.9482711849273215e-07,-0.0004134663664018,-0.0007230668308503,-0.0037053544329276,-0.0001541277527207
GB,-0.1146567856038686,0.0,-0.1603776203436454,-9.94341360116987e-07,-0.7767877406996543,-0.5482350012961767,-0.5245060430894884,-0.0788604935246127,-3.734774559696392e-06,-0.2123971467751395,-8.331741577862823e-05,-3.3339698088323957e-10,-0.0317243375105925,-1.0506422369523953e-05,-0.0476152076092198
SI,-0.5050525661619372,0.0,-0.5788717381104108,-1.7532552351331885e-06,-0.0124536895520622,-0.4012397126484621,-0.5223543016367889,-0.0015619707454548,-3.553732323847909e-06,-0.3104125417896492,-5.781949183056793e-06,0.0,-0.0034181796861853,-5.008400228934654e-07,-0.0002123180585611
WE,-0.1513936054019404,-0.1153327529702154,-0.8274097044505637,-0.0031418294132996,-0.1638290045152066,-0.4602243049566183,-0.1819721365985199,-0.0509236068154069,-0.0037306756659224,-0.1548433268387242,-0.0020234177826534,-0.0471436823752225,-0.0425260394799445,-0.0012820407462737,-0.0045785866095025
WF,-0.0377814686513688,-0.223028099601842,-0.2893802054682669,-0.0085590616637679,-0.2744021341548303,-0.2275648993621001,-0.3279720714262062,-0.0477013313456786,-0.0362003043063823,-0.0988883085159414,-0.0077413962290968,-0.195424871756886,-0.3538526804775479,-0.0029575552529363,-0.0435957303992483
FR,-0.1078509826092935,-7.173960943463976e-05,-0.3458669324825948,0.0,-0.3488862911050815,-0.6760361782328344,-0.268736470892952,-0.0147679591738454,0.0,-0.264797693483225,0.0,-6.266127513597798e-05,-0.0176038562225342,0.0,-0.0048132385938424
MX,-0.0112027425373442,-3.242164228522971e-07,-0.1120747567522471,-0.0063793507337182,-0.0636132254243436,-1.188600177212676,-0.3962156245311071,-0.0159123028954352,-0.0002840111359493,-0.1000626578388337,-8.126099265629457e-06,-0.000853805820072,-0.0062764138146739,-0.0008946386514425,-0.0397061720348973
JP,-0.0802850570549866,0.0,-0.0997195371639053,0.0,-0.132466168190966,-0.1429349882415281,-0.2421353720602027,-0.4089661868642871,0.0,-0.5804246704358713,0.0,-6.907042602847056e-05,-0.0398393327049146,-8.112218697172633e-06,-0.0092272435225886
WL,-0.0157041376374197,-0.003796703130407,-0.0603894591811618,-0.0128018788743642,-1.3029273609700454,-0.1336286020957352,-0.0896344221373646,-0.0109240249982459,-0.0013204955331154,-0.0498082701786811,-0.0004328361340941,-0.0052966035507706,-0.008639204554729,-0.0014326584089058,-0.00933283365145
TR,-0.0475303802493112,-0.000712288738432,-0.3470460660914949,-0.0019341667097235,-0.1850635029741834,-0.3529770577731896,-0.4196976173299623,-0.002996813158595,-0.0003911604104881,-0.0403876468541825,-1.0814126534161042e-05,-0.0194865163674208,-0.0287446120065988,-0.0025134007239709,-0.2517798684304624
BE,-0.0496515067217411,-1.0281689590889252e-06,-0.4522143931266477,-6.415417729000106e-05,-0.2345181163525837,-0.1928273351826219,-0.2677455463100855,-0.0370577654625228,-1.1668641397086443e-06,-0.1249317086431391,-7.252594082380381e-07,-0.0046181908167028,-0.0056451456117071,-5.738734722633902e-07,-0.04657722757603
CA,-0.157967325357823,-0.0002107798664102,-0.2231922850792786,-0.0030843786091501,-0.0506588626938449,-0.266529824260259,-0.3621893595332524,-0.0781410686206768,-0.0003111017535805,-0.1699092648716483,-0.0002208625434726,-0.0002196562808388,-0.0664182846214112,-0.0002146082991367,-0.0259759511002498
PL,-0.0488630510296406,-1.334535546997636e-05,-0.1286459112884218,-0.0011878056468837,-0.0792588725903065,-0.4359167126081176,-0.3289695153376359,-0.0155003226491637,-0.0001811158927331,-0.2235332233137715,-8.628584825599919e-06,-8.998998586296388e-07,-0.0002165358698247,-0.0001201425355854,-0.0073694208846057
ES,-0.0585883045118977,-3.598791975367566e-06,-0.3108593844279917,-0.0051736934289888,-0.2095850643433833,-0.2698298762131613,-0.0286790101193673,-0.1803186853795519,-4.981930499100301e-09,-0.0607349701834284,-0.0001217155929569,-0.0008052592190464,-0.0394410814308833,-8.705042103682659e-09,-0.0515678455867802
IN,-0.0261084928729889,-0.000147122996728,-0.4277422115557824,-0.0005531265373979,-0.042746720764755,-0.0935885320406623,-0.2563197682397025,-0.0225925415706506,-2.505902638389312e-05,-0.3221637889092786,0.0,-0.0007848857311464,-0.0011566360429883,-0.0002441408877761,-0.0167971014684741
