Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-3.253515969716562,-0.0336425647674375,-3.34065883687189,-0.0561075982627441,-5.86909168493108,-21.79702851163196,-5.286067137692119,-1.2300346477536028,-0.0045452842148614,-24.17276679426873,-0.0053561601876379,-0.7931703047185458,-0.6783566696263226,-0.015067968459323,-1.1528007817282402
HU,-1.199526641844018,-0.0001517882963427,-4.892491067593658,-3.4002689749894124e-08,-0.0224082872345273,-19.584651771624827,-9.788694924388924,-0.0228502022188717,-1.7944363186232238e-05,-10.662771912659244,-0.0001634541862785,-5.144272908634085e-05,-0.002575096833446,-1.3460110757293898e-05,-0.0119313121676043
SI,-10.494539725527844,0.0,-12.432463263713078,-3.583771419852861e-05,-0.2175958141804188,-6.432258994261708,-10.194252074218596,-0.0239464091487418,-7.264067479054725e-05,-5.632879989926374,-0.0001181869234898,0.0,-0.0655365903121907,-1.023750634817128e-05,-0.0044130524936201
DE,-2.211058102174416,-1.2589449788773815e-05,-3.27648683745218,-8.044952552005023e-06,-0.3215376386091616,-2.968997736292442,-2.369979553444335,-0.0853964032210342,-0.0011393148644935,-12.133585763205229,-0.0003364182921529,-9.33828188411566e-06,-0.1517182753426637,-4.862109861453114e-06,-0.0414414578283067
US,-0.7452882561542437,-4.831813851144828e-05,-1.0133482496279191,-0.0092989972738579,-0.1515129196251862,-0.9423908879737192,-4.056256879755137,-0.009732800321943,-0.0003568523130848,-3.8648526639594696,0.0,-0.0001325945130445,-0.0289796069386428,-0.0076279579429712,-0.0412967605849425
WE,-0.6919698934317041,-0.5949947850620741,-3.467236192760587,-0.0398903742426259,-0.801556899138049,-1.3822388720142649,-0.525822373566034,-0.1455624180869583,-0.015886014639646,-0.5160441893102112,-0.001207679753302,-0.2591521806645687,-0.3423402895321394,-0.0166552665820953,-0.0356209799717089
IT,-0.6299877480107,-3.487618400545715e-05,-1.4728505952713735,-2.1524338127812964e-09,-0.3347347196168538,-0.4155414411858358,-0.2253680723192458,-0.0495427916766267,-4.923698636197215e-06,-2.0900190142995827,-4.224409759669357e-07,-3.917844544696397e-11,-0.0104569120130818,-2.4073894612462183e-06,-0.0393968905491132
AT,-0.2337533750367378,0.0,-1.7608424251683508,-3.633648953335484e-07,-0.063396637058256,-0.70256671154915,-1.1027693795721107,-0.003756679471879,-7.137282370530141e-07,-0.726672108057513,0.0,-0.0002916303066596,-0.0360117163106438,-5.927265274162518e-08,-0.0045464849644308
WA,-0.0570795725010672,-0.0137365298938788,-0.4391587898555071,-0.0103483101548304,-0.0736635620421292,-0.5989861469532874,-0.5000120898988818,-0.038610213792857,-0.0023113142626308,-0.262902111148567,-0.0025213665054752,-0.0380669776971354,-0.0550531570508799,-0.0027516284121733,-0.034314986828401
PL,-0.0879535402391117,-2.208503710145067e-05,-0.2582429312169279,-0.0019683530608872,-0.0869180253675601,-0.6022977127884923,-0.5809152328344491,-0.0277279252386526,-0.0002834792209179,-0.3732840611238136,-1.427932110426772e-05,-7.138370180919677e-06,-0.0019977155120331,-0.0013202968795852,-0.0129024411155036
CZ,-0.047741539848232,-1.4989494930948696e-05,-0.2291310047370008,-1.2711951770296963e-06,-0.0274668871954696,-0.803533324390225,-0.3878287947760832,-0.0098279366336714,-5.533636241471222e-06,-0.4973967608596721,-9.124909795880922e-06,-5.925844984018751e-06,-0.0042429470897115,-2.1178371499664687e-06,-0.0032457591618498
WM,-0.0439427329373442,-0.0013065329459188,-0.4861201158376493,-0.0107108171761732,-0.0281751976253312,-0.350087973006536,-0.5316071642768941,-0.0073716180783801,-0.002329075369154,-0.256563884483351,-8.32021770852384e-05,-0.0140873381256474,-0.0217568442798731,-0.0093781344129538,-0.0075428751999462
GB,-0.2135063696059228,0.0,-0.1498317179917113,-1.0856188811773918e-06,-0.0983261801232167,-0.5348930287197852,-0.4858176120619029,-0.026698774093335,-2.0434575577253347e-06,-0.1961219846563698,-2.2539509041052876e-05,-3.6400186862056206e-10,-0.0336179633493773,-1.591169328560187e-05,-0.012718254221879
FR,-0.1035762259400778,-3.4831563937906944e-05,-0.2445591228394838,0.0,-0.0678458697375165,-0.5338149404959492,-0.2339990396036328,-0.0058733034118196,0.0,-0.2289764048645991,0.0,-0.0003703512498065,-0.0062874299936358,0.0,-0.0016628173612787
SK,-0.0755926819943769,-1.1075412582917968e-05,-0.0425904103668845,-3.5198868764119226e-07,-0.0268615356926934,-0.2573287901793207,-0.3778654266470889,-0.0029864436680062,-1.4820269791279326e-07,-0.4974411031751518,-4.037258539799453e-06,-1.799255996441174e-06,-0.0006112006973282,-3.376008782309817e-05,-0.0028626410590053
MX,-0.0062901727106607,-1.3512239529236633e-07,-0.0534569465675963,-0.0021544370800658,-0.02466780112238,-0.7649795709188436,-0.263370262866154,-0.0076542579905545,-0.0001160797228832,-0.0792013336820662,-3.7312213081346174e-06,-0.0003339530896921,-0.0035734641659501,-0.0002891029824068,-0.0195821931730882
CH,-0.0085795190745578,0.0,-0.0168312878231319,0.0,-0.001886748596909,-0.2770931320429458,-0.3163180960289536,-0.0004927438436899,0.0,-0.3052035228004562,-4.5904232740357525e-08,0.0,-0.0014251040529167,0.0,-0.1846006768357008
JP,-0.0502115562845278,0.0,-0.0667328422300122,0.0,-0.035786437042143,-0.1129830767634937,-0.1894617739693623,-0.0235611524145366,0.0,-0.5791457454803173,0.0,-2.841645846283357e-05,-0.011553264547822,-4.690357533434951e-06,-0.00392513188842
CA,-0.1752005344052509,-7.335615548076976e-05,-0.1739950504232267,-0.0008989391027536,-0.0251337016217168,-0.1715465283144403,-0.3247319437658493,-0.0072691441314292,-7.709890877637037e-05,-0.1523658249798449,-9.70441445907555e-05,-7.313676742999547e-05,-0.013965566286852,-0.0001194087781634,-0.003126419232989
IN,-0.0183685773878859,-0.0001279564406385,-0.2505845433651461,-0.0003359128740257,-0.0255813420263165,-0.0836814150574307,-0.2406981665395105,-0.0117654951189313,-1.5446471995238955e-05,-0.3491132434752014,0.0,-0.0006403918132044,-0.0009415521706952,-0.0001747793351522,-0.0123480338806418
RO,-0.0289110500002847,0.0,-0.179746958779203,-0.0084902896060328,-0.014652562834594,-0.1655163285537886,-0.3133382125124945,-0.0062111101265635,-0.0001558664166761,-0.2247296979480844,-5.319531207817471e-06,-0.0007011188976852,-0.0015368943338988,-0.001189888509466,-0.0001908892309573
TR,-0.075918818286745,-0.0004249531661435,-0.3750207967818222,-0.0006148582001733,-0.0589971784569957,-0.0791880788375022,-0.2204989071263076,-0.0009570833263257,-0.0001877287775389,-0.0180273532392481,-1.0032217901839296e-05,-0.0092551357645709,-0.0090311320843313,-0.0010964020163329,-0.0295830250845779
NL,-0.0550203635667842,0.0,-0.0241686564962102,0.0,-0.0323029460341326,-0.1151602322772709,-0.4364508356713935,-0.0061524701784832,0.0,-0.1640186835777596,0.0,-1.0568817107813522e-05,-0.0028128683725624,0.0,-0.0015057176689376
BE,-0.0658028534569975,-4.432378362649173e-07,-0.1902150032532957,-1.5997796506834324e-05,-0.0765658427581695,-0.1017163122567434,-0.1638063659313364,-0.0180061523090752,-2.909748958949025e-07,-0.1223654036213767,-1.8085420026838297e-07,-0.0049600828218693,-0.0057089598445381,-1.4310386973600105e-07,-0.0185940928201957
KR,-0.030867495138988,0.0,-0.1337218460836704,-2.469556497460926e-06,-0.0464707818150524,-0.2505489205068201,-0.1402787566832302,-0.0789107917084349,-4.228600754846105e-06,-0.0703988109055296,-3.711517608316586e-05,-0.0001437464223432,-0.0079030734773973,-1.3250564040128712e-05,-0.0048795377514676
SE,-0.0258302804174173,0.0,-0.1632864019029311,-0.0002432056999602,-0.0109825536129025,-0.2201492102372919,-0.1103634535027665,-0.0013443012796926,-5.179827682969809e-05,-0.1674672878645829,-2.0073088677606717e-05,-6.837601298134719e-06,-0.0024560045054363,-6.14208862931345e-05,-0.0003013281766714
WL,-0.0234226831385839,-0.0031664628349534,-0.0574183649555506,-0.0105110646691024,-0.2666071705275283,-0.1146744949375736,-0.088010934480646,-0.0084684119943277,-0.0008827230362218,-0.0460710505333677,-0.0003390449601924,-0.0038793083820301,-0.0067094326217746,-0.0011799044832176,-0.0073548806171581
ES,-0.0476455407095957,-2.1808429304194283e-06,-0.1430613478155294,-0.0043429737271171,-0.0394107738651772,-0.2192620824290062,-0.0226437187457353,-0.0153072467515262,-4.3987651751631765e-09,-0.0552258974420397,-9.537193423138472e-05,-0.0006616319725462,-0.0031802086283144,-7.686063878435056e-09,-0.0023327147512971
BG,-0.006638626040561,-1.2098252782193668e-07,-0.0035613972276205,-0.0005872379974185,-0.4018538040411283,-0.0260227983527004,-0.0314816861937755,-0.0102498253221753,-0.0001710965294131,-0.0404241164011853,-2.4763826038948772e-08,-0.0004355139423745,-0.0004301355254888,-0.0005326230264798,-4.809876722149023e-05
