Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IE,-11.605356688898974,0.0,-20.84453396971955,0.0,-2.041873081481844,-22.919214544992204,-47.29142508657096,-0.3754723185054004,-0.0335285025082815,-20.083219220624024,-0.0045883265834332,0.0,-5.392058244348421,-0.0049446309039855,-0.3930797072110689
CN,-5.116023100286307,-0.0660792538216758,-4.782556790577602,-0.0920110344238066,-13.73381780802975,-39.96762597503033,-7.466467423149002,-2.0295993193078194,-0.0081100840261749,-44.62387160389995,-0.009601575924084,-1.2358393949653732,-1.0891664512941213,-0.0242099238912794,-2.0251345476964797
US,-0.6989640436506693,-0.0002079489635521,-1.336678769971782,-0.0328575413360252,-0.4929415511270515,-2.1700865833993994,-9.157641055677196,-0.0562768747991277,-0.0014482765655222,-9.032389713779535,0.0,-0.0004867973321797,-0.0679659603037606,-0.0223872919218342,-0.0951705552897997
GB,-0.8685526451008627,0.0,-3.2949300429246047,-4.871804972161904e-06,-1.4863090289511864,-3.98476069024619,-3.8710290917598296,-0.6746988621387427,-0.0001533592395383,-1.561481992097346,-0.0006145237072312,-1.6334886619927947e-09,-0.581318981863612,-5.332146480974692e-05,-0.164762540859846
DE,-1.165231133217298,-8.665033400349563e-06,-1.8337991541467047,-5.763756598220514e-06,-0.5008652088941108,-1.879757511714285,-1.4024158837307104,-0.308697106659771,-0.0008889212663917,-7.519758448257345,-0.0002998710287231,-1.2533655367678332e-05,-0.2575336296792375,-4.399980853104987e-06,-0.0675093302523572
JP,-0.0873340112579831,0.0,-0.3546119538639616,0.0,-0.1785089795833671,-0.4212931428980157,-1.0481419656480029,-0.4682050702495676,0.0,-2.1457671022013973,0.0,-0.0002217779211641,-0.055745965948131,-4.09437099235821e-05,-0.0201185628092142
WA,-0.130779704079276,-0.0313826151532754,-0.9099855779147914,-0.0212523359226438,-0.2226126664041827,-1.0816481902002568,-1.1092824558172023,-0.1691961214253781,-0.0047840962779834,-0.5038497477755385,-0.0059967139949532,-0.0777692120716405,-0.1352027205754148,-0.0062372151184685,-0.0843977695979792
FR,-0.56156585505506,-8.225683416386944e-05,-0.6930581666380613,0.0,-0.1322542871869093,-1.3987578367333704,-0.8127812872509295,-0.0278657713518693,0.0,-0.6515230986219087,0.0,-0.001024839813539,-0.0263331946705371,0.0,-0.005822605082304
MX,-0.040120994233002,-4.7470647612031083e-07,-0.149893083330897,-0.0066992545459581,-0.0769459064291645,-1.5348923252957565,-0.7694739391178613,-0.0516474550141843,-0.0003592033828689,-0.1806194805319827,-2.7752343702969407e-05,-0.0009360760555764,-0.0188260341351508,-0.0007679905210603,-0.0488077915310686
IT,-0.1075445978669013,-0.0001387814469453,-0.4182665717590639,-6.08166978749189e-10,-0.1333726886943704,-0.3001525180764795,-0.1062962524537948,-0.0466828931772768,-3.6123027763386574e-05,-1.398971083885789,-1.136026875616185e-07,-1.621363329104478e-11,-0.0079904831761542,-1.2007105763099931e-06,-0.0875437632762627
BE,-0.127683247480417,-1.5227383454550953e-06,-0.9103285396873884,-7.929829141754594e-05,-0.2121544781893891,-0.2450828028391447,-0.3783398267849666,-0.3367903914952039,-1.4423118883908075e-06,-0.2435731873531443,-8.96462776660694e-07,-0.0079032094625774,-0.0449996481986741,-7.093409620800055e-07,-0.0802705870489238
SE,-0.237753134050657,0.0,-0.3694950315991104,-0.0005908135086092,-0.0421206821836013,-0.5405249914857873,-0.4954905836782707,-0.0103152992872618,-0.0001308439619305,-0.5885948090574805,-4.8854913769662906e-05,-1.4633543041810143e-05,-0.0096859395141439,-4.5915511285855786e-05,-0.0009154024257625
NL,-0.1070681003113899,0.0,-0.0735876598198463,0.0,-0.0964851455644558,-0.3380202017370536,-0.9901862655972006,-0.0932653255879034,0.0,-0.568106054393507,0.0,-7.406061924486022e-05,-0.0073381899684593,0.0,-0.005287687274422
CH,-0.0132479129863915,0.0,-0.0189784618554077,0.0,-0.0027345251156072,-0.5458810565371923,-0.6866298759493533,-0.0013009169575189,0.0,-0.7275727927558077,-9.371401244619105e-08,0.0,-0.0025333420521631,0.0,-0.2560040071258598
WM,-0.0570980961193226,-0.002617151646693,-0.5500444806081942,-0.0190770470327562,-0.0480038845965494,-0.4730047479317202,-0.6330317987134535,-0.0180595440859961,-0.0046478529849273,-0.3316816369650212,-0.0002012617929609,-0.022927823788847,-0.039339156473228,-0.018715709952085,-0.0196820051172009
WL,-0.027915856881617,-0.0083476739991657,-0.2049466658005025,-0.0318410447862563,-1.258020830412821,-0.2445458066970196,-0.2358406346981198,-0.0177719149738477,-0.0029555623822864,-0.1106069045564644,-0.0010763942303735,-0.0081716946035284,-0.0164194548509758,-0.0030692107660079,-0.0180276236578426
IN,-0.0362793261931433,-0.0003572041820888,-0.5414482452930082,-0.0019860738987915,-0.0554032234339065,-0.1594338898165429,-0.4416270761004509,-0.0281340241971073,-5.558043206764091e-05,-0.5852126349570542,0.0,-0.0015037419420503,-0.0031173056679516,-0.0013141461818242,-0.0253923158195997
CA,-0.1562231289252494,-0.000180748716631,-0.2855421649142234,-0.0033208039008693,-0.0333785338737278,-0.2501560302878148,-0.4860260912761707,-0.1116001114560866,-0.0002603333808519,-0.3228599933481587,-0.0003358267689252,-0.0002932399807584,-0.068296530111807,-0.0003796049664249,-0.0168366745535129
KR,-0.0744627653821546,0.0,-0.1907822528390062,-1.3394149331158415e-05,-0.140306038846129,-0.450183409958406,-0.2683527838514922,-0.2955562030641028,-2.6955262702256757e-05,-0.1164303411876644,-8.567536720080437e-05,-0.0002003957154811,-0.0204660906454225,-2.773825731209928e-05,-0.0136500571083691
PL,-0.0333177978784074,-1.0453387392012925e-05,-0.1267043052815102,-0.0011684861672585,-0.0500960078742844,-0.3445279772741402,-0.3850873274503054,-0.0313849855290015,-0.0001757166421855,-0.2502910989550566,-6.758751389557393e-06,-4.933988095996804e-07,-0.0002809141612001,-4.2806983828442165e-05,-0.0229597434000364
PT,-0.0059705594744487,-6.835704229585245e-09,-0.3626562744984161,-1.6860218991995813e-05,-0.0069864479240114,-0.4389089716800339,-0.1795580435348603,-0.0323410047685562,-0.0001613233454765,-0.1681818396584561,-9.70897489218756e-10,-0.0002304915506551,-0.000317037526048,-4.756988749603303e-07,-0.0001636391364316
CZ,-0.0138418229866009,-1.578174931691378e-05,-0.1012879380285303,-1.2026623091344e-06,-0.015057936149593,-0.5590244471333521,-0.2086147673501651,-0.0124474628439237,-1.9291271283526868e-06,-0.2436412756110247,-2.514864299346762e-06,-3.17266628237791e-06,-0.0015274741420734,-1.326566651541432e-06,-0.0016280960962144
ES,-0.0673280521495373,-4.325628842876562e-06,-0.3061803733376266,-0.0087999264496736,-0.0671990451579369,-0.3454664798127313,-0.0453307601398396,-0.1114224898507091,-1.0113641355980504e-08,-0.1008691251681953,-0.0001762041538964,-0.0013483472094756,-0.0052128588701164,-1.7671798882231404e-08,-0.0033230419589075
AT,-0.0655392461448135,0.0,-0.1278391131557893,-1.23512558105272e-07,-0.0264691917720546,-0.2293091928723098,-0.2810296223878782,-0.0039281154771111,-2.426057153084251e-07,-0.2505543948728133,0.0,-0.0001124782560736,-0.0103702952390473,-2.014756257367505e-08,-0.001239804841563
SK,-0.0983008517663662,-2.4327693228097344e-06,-0.1367639896435467,-1.3497301839416417e-07,-0.005629755918099,-0.1377568437208992,-0.1759147183368689,-0.0030259609637267,-5.8458311675613665e-08,-0.3959461692164085,-8.17308239691699e-07,-5.931225449989661e-07,-0.0003973422837709,-1.3583715260994628e-05,-0.0016204197558867
LU,-0.0241813031773335,0.0,-0.317788195458714,0.0,-0.0362164563728415,-0.1212049841731824,-0.2276015227843018,-0.0763200437643562,0.0,-0.1123660224339526,0.0,0.0,-0.0062471579997185,0.0,-0.0101488737929287
DK,-0.0236407874494017,-4.736951266029515e-06,-0.0491655478502419,-1.3466775219831107e-06,-0.0048467829768727,-0.3602107219462135,-0.2299842884216296,-0.0005813402797379,-1.0128789978376855e-06,-0.2496459574274409,-4.212375097606787e-06,-5.084962815999845e-08,-0.0007676332034917,-2.0471185101368736e-06,-0.004977858581336
HU,-0.0129809335396911,-7.239279253736618e-06,-0.2066383356652404,-1.2025023610438575e-10,-0.0004753941886715,-0.3243734348641411,-0.1611709226145171,-0.0005911024100175,-6.719700136307072e-07,-0.1774103026056044,-1.9669229945395523e-06,-4.0391641431771166e-06,-8.63126520116706e-05,-4.740444424467987e-07,-0.0001491602657305
TW,-0.0148148472594706,-5.863944676678e-05,-0.0186768947337722,-5.868153422936718e-05,-0.0241728154463873,-0.4535003666348682,-0.1967850533790784,-0.0153883258170219,-4.813038382644788e-05,-0.0753895916169746,0.0,-0.0002700152289386,-0.0440427399330534,-6.109577875754916e-06,-0.0067507405934852
FI,-0.0060399621078698,-4.721630579528581e-07,-0.0685186527000322,-0.0003196297127432,-0.0213555186826679,-0.1455598713700991,-0.0345510537569505,-0.1630320477847991,-5.6332401776139365e-05,-0.1386580189305864,-5.0874791350559146e-05,-1.3240627351988052e-05,-0.198484306424149,-3.7279413217343216e-05,-0.0009330957230959
WF,-0.0098790938429043,-0.0191392601813892,-0.1400914201114901,-0.0039142497160314,-0.0573101247046162,-0.097073313609964,-0.1688560347935319,-0.0074801777525975,-0.0055553308871582,-0.0524863191526031,-0.0011396703071496,-0.0498955753924001,-0.0468043971914903,-0.0013436813421977,-0.0061218637402105
AU,-0.0300319621278142,-0.043102872450366,-0.0961570091554632,-0.0088666075263175,-0.0328290008411131,-0.0793970263609781,-0.0580314447170528,-0.0393986406480234,-0.0042056462589995,-0.0773367412848101,-0.0011993893289313,-0.0587933982027603,-0.0484004820331779,-0.0058884199651608,-0.0397269350655424
ID,-0.0101845319214038,-0.0056793606957403,-0.183272947044656,-0.0016598475115852,-0.0343171333991704,-0.0533467227976577,-0.1310414858923074,-0.0053463689255015,-7.49709228055719e-05,-0.0192106889920853,-0.0012254787369209,-0.0004423811875791,-0.1191907221181028,-0.0004147622043901,-0.002740868534434
TR,-0.0128450708437819,-0.0004026719879215,-0.2556463766198058,-0.0006254389564106,-0.020134920122697,-0.0589724575256223,-0.1618122079287577,-0.0011149134606277,-0.0001853568235528,-0.0144916632214403,-6.672381521624595e-06,-0.0069647283488946,-0.0087545095229536,-0.0009971859771289,-0.0152398029878249
NO,-0.1340931433401847,-3.255415269659433e-07,-0.0723551820519016,-3.1787189972351663e-06,-0.0107635657496957,-0.0641137693078671,-0.064034965026058,-0.0310115002441371,-2.243690870640063e-07,-0.0936261238733221,-5.867465473986858e-07,-0.0004192830011,-0.0538673170237261,-6.729928330289936e-07,-0.0062761515694413
