Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
IN,-1.6284601117934498,-0.4587241762389848,-7.990822132181798,-0.0194015909928247,-1.2706368444689082,-6.235136660579503,-13.743353771547277,-0.6818913533116322,-0.002485772975936,-9.416572818722978,0.0,-0.0489262150334619,-0.0558412516422798,-0.0021005439082605,-0.6392697278602077
CN,-1.3161454886441766,-0.0084162528320343,-0.7873552653601784,-0.0140322261613734,-2.100865945134066,-4.496891560355913,-1.217167871618908,-0.4371479267991966,-0.0010458028183164,-5.9915592139641305,-0.001272787314692,-0.186512008930941,-0.1567718347466798,-0.0035309401204364,-0.2807193979730414
US,-0.1315880693604877,-1.481396672988745e-05,-0.1227518488724055,-0.0051716311442243,-0.02594561640863,-0.2123863003882758,-0.9920618537125256,-0.0037246463511777,-0.0002217513667178,-0.9902447868080236,0.0,-3.641987525694551e-05,-0.0045503787752283,-0.0018820057449901,-0.0073838662773097
WA,-0.0837859709137532,-0.0115146081855958,-0.2150389660055569,-0.0068508054887818,-0.0451573806965808,-0.3524356965181072,-0.3418368278541021,-0.0895130886143594,-0.0014883259477343,-0.1516324835158408,-0.0019966412000486,-0.0242043747895942,-0.0371974697384261,-0.001727063542046,-0.0165472851174726
WM,-0.0431777643197111,-0.0005739625382223,-0.0954174772986565,-0.0050992818683717,-0.0201609276483214,-0.2013818197553986,-0.2148082103114439,-0.0056153152157183,-0.0009458753919088,-0.1098319957883354,-3.657389384525841e-05,-0.0059081555689872,-0.0096816844545966,-0.0039118178650967,-0.0132969531381389
KR,-0.0525080070337522,0.0,-0.0335158365092499,-6.261161793842647e-07,-0.0329143463303995,-0.1252629087058321,-0.0660849905164208,-0.1540098592090658,-7.200027061260717e-06,-0.0208859787538316,-2.1596526109855796e-05,-7.420681899880084e-05,-0.0024771446760095,-8.253946290189203e-06,-0.0013304389363064
DE,-0.0233959944300893,-2.696318814428856e-07,-0.0517666557898169,-1.8013060679190647e-07,-0.01072100250733,-0.0723235105481534,-0.0420398990534953,-0.0027116173283187,-2.465659710715304e-05,-0.2565927052754574,-6.743593896676194e-06,-2.539848026529772e-07,-0.0034286620837408,-1.1011741792207935e-07,-0.0014975713958581
MX,-0.0050643690305469,-3.9447079875275095e-08,-0.016383232470467,-0.0007029831956174,-0.0061119345347363,-0.2094210215336988,-0.0856605348516068,-0.0033038559574006,-4.033964113107465e-05,-0.0242344446804074,-1.6236297823595609e-06,-0.0001043185815605,-0.0012131890224357,-7.55984498491878e-05,-0.0061225912820567
JP,-0.0403280243496212,0.0,-0.0170899269950555,0.0,-0.0109802637904281,-0.0378514216048164,-0.0594311266260779,-0.0015858968517487,0.0,-0.1662815846396433,0.0,-4.047547476528361e-06,-0.0071981123423205,-1.064479321977929e-06,-0.001092957654795
CA,-0.0185968419254285,-9.01621942881976e-06,-0.0320314289083925,-0.0003052013144506,-0.0028620870683082,-0.0293637934810857,-0.0560155530552876,-0.0014842988320397,-2.4961395959242835e-05,-0.0299666781589167,-3.250128015226822e-05,-2.5058214517984417e-05,-0.0022834113547836,-3.631536445599526e-05,-0.0009041823269085
WL,-0.0049359484997129,-0.0011153129629237,-0.0152918133820352,-0.0029329997958086,-0.0695418365427681,-0.0328279008713969,-0.02426854794236,-0.0020966219966981,-0.000273587963472,-0.0125664420770109,-0.0001044861363255,-0.001027484775605,-0.0016555594532499,-0.0003278514498993,-0.0019047065666928
GB,-0.0112574310473002,0.0,-0.0110338357132055,-6.644621934570048e-08,-0.0051579749865079,-0.0445952503475648,-0.0404466932485125,-0.001299449690312,-4.444406361361312e-07,-0.0163897790159894,-3.180940189715152e-06,-2.2279041660593845e-11,-0.0024966527519436,-1.2651510725950529e-06,-0.0014633280355391
IT,-0.0145152835032437,-4.312360816330064e-06,-0.0298348756344643,-4.281294635307762e-11,-0.004233036226329,-0.0126471781075696,-0.0053351603873133,-0.0014276292411545,-5.237379134079711e-07,-0.0594972119259899,-8.433696062065272e-09,-6.626047489719651e-13,-0.0002390097960521,-3.8254634395039686e-08,-0.0009913668243776
WF,-0.0022711227038476,-0.0027839487883439,-0.0152710978937883,-0.0008944475513794,-0.0064202848258438,-0.0255390759937975,-0.0272315455345149,-0.0019052995096397,-0.0009450818013522,-0.0111897276591408,-0.0001302015581118,-0.0123558916058857,-0.0089760760959024,-0.0002915152800977,-0.0013116001832396
TW,-0.0016187150746927,-1.1765677334619316e-05,-0.0023561707914203,-6.684579069738758e-06,-0.0037868684520686,-0.060388870828422,-0.0222180674391801,-0.0012634559741123,-4.704965194862416e-06,-0.0065139259033743,0.0,-7.203666247247455e-05,-0.0018306748351069,-3.864621708909589e-07,-0.000676895939977
TR,-0.0171560792252393,-4.317604634627582e-05,-0.0303246841625302,-6.12074512569998e-05,-0.0013103107835031,-0.009954364476391,-0.0235740639547457,-0.0001804350042789,-1.8293602917363695e-05,-0.0026651313584147,-6.37736757089688e-07,-0.0009378368959735,-0.0008991576775572,-0.0001023354390516,-0.0031380486073114
ID,-0.0016952017672905,-0.0020744392057529,-0.0333506555459317,-0.0003940911182348,-0.0041041396841323,-0.0204829870017963,-0.014459697519096,-0.0010328301939002,-1.6423661964422996e-05,-0.0042342027800713,-0.0003109726625607,-2.735986389437109e-05,-0.0018461722766945,-8.867522742122813e-05,-0.0003873738270877
FR,-0.005906927191466,-2.129150701614817e-06,-0.0133190662722249,0.0,-0.003044354190499,-0.0252534872869202,-0.0103800028075212,-0.0003926284903767,0.0,-0.0106134435911107,0.0,-5.974596567789516e-06,-0.0005606992405207,0.0,-0.0001139713758395
BE,-0.0044570048528721,-6.564805100670206e-08,-0.0192155110614393,-3.988885784243215e-06,-0.0081097390702779,-0.0080387250050792,-0.0145189721447216,-0.0018219581430176,-7.25515932966759e-08,-0.007764597992806,-4.5094132067690746e-08,-0.0002839057136692,-0.0005248210445457,-3.5681475971830424e-08,-0.0021416644860917
CH,-0.0004892244775377,0.0,-0.0004435686073924,0.0,-6.58285735117202e-05,-0.0127597018595386,-0.0160282849546525,-2.1327912124350975e-05,0.0,-0.0120457375815862,-1.9052518928889847e-09,0.0,-4.809234315816792e-05,0.0,-0.0068094360038186
NL,-0.0022365441345787,0.0,-0.0022716307070811,0.0,-0.001846817037819,-0.0072073865041102,-0.0226117839658841,-0.0004802166563256,0.0,-0.0089603158668924,0.0,-1.2752516085365745e-05,-0.0002368426843168,0.0,-0.0001333164459015
BR,-0.0028444243354851,-0.0003353604525074,-0.0127560591730894,-0.0006865292022746,-0.002120866107939,-0.009882484708039,-0.0042259975733208,-0.0005052583366754,-0.0001425551185884,-0.0072369608685589,-6.698787201323469e-05,-0.0025152567501033,-0.0005776662335853,-4.978152267901117e-05,-0.0004531977840464
AU,-0.0043084515410245,-0.0042237168216538,-0.0053911031777456,-0.0007166964423749,-0.0015361452920095,-0.0056366541584288,-0.0032172067348082,-0.0041057894847851,-0.000320721600802,-0.0029240674027342,-0.0001009948110977,-0.0045980709189983,-0.0034181570591525,-0.0005405494007937,-0.0031445601971956
PL,-0.0014538149468499,-9.335824728037398e-07,-0.0034308852364138,-6.001629733658568e-05,-0.0019883087766569,-0.0141206039549018,-0.0097939500371549,-0.0004920868363998,-1.0049046293369755e-05,-0.007879135246786,-6.036179085977283e-07,-2.6895053698876016e-08,-7.194849418883436e-06,-2.393572424013621e-06,-0.0002540219122878
ES,-0.0064024966200274,-1.191580913984787e-07,-0.0095432621209032,-0.0002952210372919,-0.0025568287927239,-0.0127934638571779,-0.0015194941546584,-0.0022919331165845,-1.9591623268502068e-10,-0.0035583567670461,-5.897778526679343e-06,-3.866207773088942e-05,-0.0002117804873855,-3.4232895353036324e-10,-0.0001668904358474
LU,-0.0015898132957467,0.0,-0.0095447291103871,0.0,-0.0015388029832339,-0.0030021111055659,-0.0146887292994078,-0.0013705189650032,0.0,-0.0028983742703253,0.0,0.0,-0.0001735653849554,0.0,-0.0004043144248353
