Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
JP,-41.72345467545412,0.0,-24.574914451420423,0.0,-52.71728371415411,-21.441606619629184,-60.1976090742145,-39.73311644475486,0.0,-108.0400280630674,0.0,-0.1147514800798211,-44.30102325734615,-0.1039805673462637,-12.072508131723197
CN,-10.11116513165218,-0.1156233039826783,-11.623466329727352,-0.1911424040623344,-77.49686698955273,-109.1974378735927,-17.853395635544132,-7.795011057425234,-0.0150990405233264,-96.94201684956136,-0.0176665463061565,-2.762821808804199,-1.8474755454954157,-0.0521258372703483,-8.26677080576772
WA,-0.561853012718513,-0.0499842068348538,-3.3986854910628983,-0.0858677224434584,-3.744002584702304,-5.217578025789385,-4.387184603713723,-2.4719501859124566,-0.0084935236539096,-1.479145219545951,-0.0084176028119926,-0.1446829569087749,-0.4268520846375777,-0.0128660640499839,-1.2824817099789043
US,-0.5272017503834189,-5.118463070817416e-05,-1.3052091213400263,-0.0086379109677121,-0.5752642537432636,-1.57324630967623,-6.327600814950715,-0.2559682665739333,-0.0002923082705737,-5.382162046983621,0.0,-0.000140718544482,-0.0383236198932412,-0.0077437345787681,-0.0626402427250101
KR,-0.4557815011925496,0.0,-1.062594614413303,-3.1047815437514736e-06,-1.2376841790519,-1.7417348431470414,-1.0507781012636863,-1.2398265407656213,-2.0292715037259256e-05,-0.3827326550794177,-0.0003851200982888,-0.0001351926735852,-0.117997693093326,-0.0001807082545045,-0.0678527785363134
IN,-0.034193971316338,-0.000152790009025,-0.9385074874926408,-0.0002024410967218,-0.145247073390474,-0.2002928910194463,-0.5789967862570008,-0.0635482569067884,-1.3708658274591044e-05,-0.7007499789309415,0.0,-0.0005223224258211,-0.0014725059881755,-0.0001164120334291,-0.0256609720027886
TW,-0.0155277352904085,-6.902858069037475e-05,-0.0314966338354363,-8.329111575135246e-05,-0.147850508467954,-1.316015471361914,-0.4159657471528448,-0.0365533018528014,-7.189687760998877e-05,-0.1371437775549517,0.0,-0.0001060520715915,-0.0826078387708195,-5.36117582992167e-06,-0.0334468610300829
DE,-0.1336079318987104,-1.334330002393944e-06,-0.1882968847504706,-6.324555982931826e-07,-0.1048117651294141,-0.2653897162379104,-0.1294901316021521,-0.1722449145661526,-8.432147718606663e-05,-0.9075533372174908,-2.4216082243650976e-05,-9.27116252678442e-07,-0.1030893955826695,-9.582688558036693e-07,-0.0044762944790027
MX,-0.0089187173009732,-3.362176115255121e-07,-0.0713438044780373,-0.0021318552657365,-0.048816341469153,-1.133592285370414,-0.4537456906881867,-0.0591707914981413,-0.0001177485086292,-0.1097345585627617,-3.449050587488293e-05,-0.0002982230276706,-0.0069355267980118,-0.0002869197518926,-0.0236131447246134
WM,-0.0571041905837369,-0.0009690194470756,-0.3013944161353481,-0.0075375501469524,-0.0340421287993247,-0.3069861521311323,-0.4087744302712057,-0.0131032962791401,-0.0016341807213777,-0.2001229222361811,-5.246599464844764e-05,-0.0102713730103142,-0.0334958863943298,-0.0069208321718864,-0.0096481178749444
CA,-0.117609969476758,-9.336004113900312e-05,-0.1780416490750631,-0.000931105183885,-0.0306382550966252,-0.1875396476000189,-0.3089338713497772,-0.0152808505809398,-8.022984992318461e-05,-0.1662953009922217,-0.000102378821243,-7.513699825247515e-05,-0.0160159255547526,-0.0001311869869867,-0.0030639966704643
GB,-0.1120645687874219,0.0,-0.0529641458145657,-1.1935491258484266e-07,-0.1629634429962278,-0.1519356655411398,-0.1336018145093531,-0.1519035903208972,-4.244727603518325e-07,-0.0553252337509985,-6.664807586324388e-06,-4.001902660170223e-11,-0.0075948653015179,-1.6891236202577049e-06,-0.004377734045389
WL,-0.0093979989922675,-0.002979860659574,-0.0860686525101447,-0.0088542574240389,-0.246776169033514,-0.123553800792276,-0.1002395953089575,-0.0064765554719051,-0.0006961291906366,-0.0455335633494028,-0.0002668152192278,-0.0027678880070288,-0.0052225185583399,-0.0009762131002783,-0.0056036796705189
AU,-0.2590689109192683,-0.0147485564503302,-0.0325901191945914,-0.0031460299075931,-0.0073773964418073,-0.0315122407647476,-0.1015448129134139,-0.0313919387516212,-0.0014466674895324,-0.0241958626113859,-0.0004314017915758,-0.0202249975188272,-0.0292301058714856,-0.0025569388652387,-0.0146274539899285
ID,-0.0061754346040953,-0.0054668200075636,-0.2338947149871651,-0.0015842294313563,-0.1173083112852756,-0.0674915315612194,-0.0705358382182377,-0.0088553304429326,-6.631352133683221e-05,-0.0220046858085478,-0.0009246326093891,-5.84457027367626e-05,-0.0152633501678837,-0.0003484978180904,-0.0013225527397179
IT,-0.0205737811786077,-2.432406488251798e-06,-0.0628573965551959,-9.480419566427526e-11,-0.0325864664872718,-0.0258303706871458,-0.0106830942104459,-0.0403851224995498,-2.546164024198203e-07,-0.1238243576498597,-1.7941140831078645e-08,-6.236488280789164e-12,-0.0031319498481152,-5.875426545921795e-07,-0.0047717477236299
BE,-0.0092409661736516,-7.190879241661289e-08,-0.0574367457201298,-5.587808688450164e-06,-0.0261459938457134,-0.0199434122341037,-0.0374340719115862,-0.0274161640170279,-1.016335000078181e-07,-0.0282180624845196,-6.316986662323484e-08,-0.0005776861509807,-0.023943696869229,-4.998419915649316e-08,-0.0049886690518384
FR,-0.0193947647359552,-3.2825960684799507e-06,-0.0378090617127314,0.0,-0.0191417472349337,-0.0746305379189781,-0.0296966124990615,-0.0041685343429764,0.0,-0.0284619528527206,0.0,-1.49829344034518e-05,-0.0029651332177682,0.0,-0.0002388973101921
TR,-0.0061385281028669,-6.77478574076446e-05,-0.0848714613618074,-0.0001082638898695,-0.0245048175220091,-0.0189449758370482,-0.0443100750190629,-0.0012492504735868,-3.2140353724441326e-05,-0.0043310030970024,-1.017319924654794e-06,-0.0013597811448412,-0.0074067470105062,-0.0001803549418049,-0.0037215336490575
WF,-0.0028571950082281,-0.002660300417675,-0.0459172758571494,-0.0007961265892395,-0.0141621898833042,-0.0326969407272155,-0.051972634659809,-0.0019905639175326,-0.0008881688782179,-0.0161132179610846,-0.0001265089911888,-0.0125542647047565,-0.0090016003906479,-0.0002909325168792,-0.0012801320444516
PL,-0.0027587025533885,-4.560812029128902e-07,-0.0090477920305695,-0.0001434372187417,-0.0070550943549174,-0.0432398111064898,-0.0272145087816112,-0.0077152217611159,-2.15244050794889e-05,-0.026179699952847,-2.948842655820612e-07,-5.0764164974424714e-08,-7.944077341182778e-05,-6.041941548164691e-06,-0.000569908937028
CH,-0.0008206283171101,0.0,-0.0013760164806015,0.0,-0.0003728818474395,-0.0363774663949511,-0.0327175702798552,-0.0002942964452025,0.0,-0.028474504601763,-3.431714557148395e-09,0.0,-0.0014241007882478,0.0,-0.0178767032584825
NL,-0.0038671914099617,0.0,-0.002612532086106,0.0,-0.0090474318847929,-0.0169854108325572,-0.0449222421302983,-0.0051858066956771,0.0,-0.0347462735730445,0.0,-1.0191778445304286e-06,-0.0003970171265022,0.0,-0.0002038539612999
ES,-0.0083476945763098,-2.123260900329725e-07,-0.0174894598753638,-0.0005541403907422,-0.0089814391514071,-0.0234118171623156,-0.0022987604249229,-0.0405648290306722,-2.8875808949474285e-10,-0.0063446847597806,-1.3444973455351355e-05,-7.669158083722683e-05,-0.0017656272912648,-5.04553671972076e-10,-0.0001893452593218
SE,-0.0145238660415854,0.0,-0.0231161999170246,-2.957277880792339e-05,-0.0044605567722519,-0.0203197099704593,-0.0118354729848142,-0.0009178002448323,-6.1419120850419045e-06,-0.0166570265979093,-2.5453694648138708e-06,-8.239254182388658e-07,-0.0101132532873843,-3.987592075571117e-06,-4.016016601539446e-05
BR,-0.0041838616231129,-0.000837964117486,-0.0248173481337255,-0.0015744617517259,-0.0088041449812156,-0.0219015657100412,-0.0082617801289352,-0.0038479146755133,-0.0004190303528178,-0.0174798466330063,-0.0001600971295942,-0.0061869602215232,-0.0015440401451495,-0.0001236864604668,-0.0012709733520604
CZ,-0.0013974256320669,-1.139116463878971e-06,-0.0066136186085404,-6.466539591732431e-08,-0.0024349005223354,-0.0433790857134622,-0.0165532641128716,-0.004236988851727,-3.314045798476014e-08,-0.0184852105511233,-2.000383917622323e-07,-1.354060961808184e-07,-0.0004969067726891,-1.0336214206764325e-07,-0.0001204759385807
AT,-0.0081157966664624,0.0,-0.0108065470490782,-5.978747270145868e-09,-0.004125759071105,-0.0220805114167713,-0.0195696367474807,-0.0011315785045358,-1.1743569078099481e-08,-0.0146312190329059,0.0,-7.219344600371762e-06,-0.0008320886729054,-9.752626500921976e-10,-0.0001020324990028
HU,-0.001171666978482,-4.512931441931847e-07,-0.0131291605970093,-1.0529438710022492e-11,-8.258994258321805e-05,-0.0309405273630109,-0.0142597121614199,-0.0001035965235326,-1.1782584527623737e-07,-0.0157348085290155,-1.6821471728116693e-07,-2.3295682091512997e-07,-7.805185383685064e-06,-4.293900119918609e-08,-1.19573081771222e-05
IE,-0.0009517501750317,0.0,-0.0009521749810524,0.0,-0.0001744216630406,-0.0194551744947566,-0.0322795844265032,-0.0001451165917966,-3.0947559130603e-06,-0.0193618072960876,-3.577598386334768e-07,0.0,-0.0009115032088063,-6.470354084332919e-07,-7.034143808859056e-05
RU,-0.0018162377948339,-8.964583054989793e-06,-0.0432184994873937,-0.0001003658643295,-0.0042602460094768,-0.002205008585709,-0.0059714907430602,-0.0002883975764977,-0.0002668479026209,-0.0012066775431327,-3.995178535935808e-05,-0.0002293738415765,-0.0044784619921605,-0.0002804818459124,-0.001522095134101
LU,-0.0014599166824721,0.0,-0.0137725916347314,0.0,-0.002832428655951,-0.0026322568299993,-0.0180246768985391,-0.007955522182564,0.0,-0.0045719070714155,0.0,0.0,-0.0004115437222549,0.0,-0.0006163915737184
NO,-0.0031205118405122,-3.3433295728454784e-08,-0.0143461724004413,-3.465578121004187e-07,-0.0019879491498159,-0.0066458440166931,-0.0065241169764526,-0.000669671519185,-3.046169657639698e-08,-0.0085220830609279,-1.0429892554862573e-07,-3.885074009685028e-05,-0.0061459192939856,-3.708453019901428e-08,-0.0004189858014139
WE,-0.0023679943237602,-0.001327988263667,-0.0131956469188486,-3.754407637382312e-05,-0.0025791425885906,-0.0113745280644336,-0.0034291871407848,-0.0024726343328207,-0.0001716793254528,-0.0045502335615662,-2.1006469331291223e-05,-0.0008973706616855,-0.0008024278353377,-1.6512063686150673e-05,-5.766277773453339e-05
FI,-0.0003296959833447,-5.58484717013825e-08,-0.0043273404091232,-3.0832210723905724e-05,-0.0024301070188374,-0.0088189569797156,-0.0018313331780379,-0.0021138407714627,-2.933625006585616e-06,-0.008612343806138,-2.944088889255434e-06,-6.79634557775142e-07,-0.0130543214385191,-1.6132483754321866e-06,-3.833963794742384e-05
DK,-0.0017579820982025,-2.2553970316834825e-07,-0.0020024090377999,-4.88527673486104e-08,-0.0006026772165934,-0.0130276427155165,-0.0103939844841651,-0.0001108349460514,-3.6575355105739006e-08,-0.0112997921939195,-1.8056424328935414e-07,-2.4654766421451643e-09,-0.0001473328591366,-7.392204459923206e-08,-2.2637093254071125e-05
SK,-0.0006182273316224,-3.854064071789897e-07,-0.006001899294423,-7.724998946113798e-09,-0.000922341242343,-0.0123411330168905,-0.008652442287309,-0.0003816954110948,-3.07184898121013e-09,-0.0066443240553133,-1.3911535822667426e-07,-4.382266721916106e-08,-2.4701483667734305e-05,-1.2216567192519094e-06,-0.0001819800166542
ZA,-0.0010674277243248,0.0,-0.0030949897427683,-5.91884132763539e-05,-0.0014413461018499,-0.0044271184830787,-0.0040019533310223,-0.0004369308053391,-1.330739941995678e-05,-0.0043998701790547,-8.356834898630668e-06,-0.0075057680350617,-0.0012478905856501,-4.985964619519607e-05,-0.0013905368623343
GR,-0.0036624541962684,-4.600249936809727e-05,-0.0065993287922109,0.0,-0.0013066621415033,-0.0019460443145554,-0.0088316645461451,-4.701656086867571e-05,-9.5025502076871e-07,-0.0011907480133504,-1.1049266290685833e-08,-2.2153858800558783e-08,-4.410491996923647e-06,-3.388739100824598e-09,-2.809612025251908e-06
RO,-0.0004122641845117,0.0,-0.0027156479331567,-0.0002401834837987,-0.0012282400882456,-0.0050584908003022,-0.0060490181639285,-0.0003215212122548,-3.717723423744934e-06,-0.0049655458247903,-1.2549347537493657e-07,-1.6466551683029176e-05,-3.910325246833808e-05,-1.8433122800209435e-05,-8.319698995163848e-06
