Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-12.32450182205744,-0.1246659970239734,-12.614589149750351,-0.2078392481421252,-49.74430420987672,-135.0580603016698,-19.215499445271742,-6.232386749511357,-0.017167788251167,-115.4127720524495,-0.01954325737601,-2.9849077871416743,-2.119448193310922,-0.0561743722374158,-4.241069747863466
KR,-37.60551995935375,0.0,-70.8526469138813,-0.0003251047944665,-37.66109434022863,-62.79012555127504,-44.69513024049367,-16.300993670040672,-0.0002685224965136,-14.016921280769749,-0.0184942903056084,-0.0027303707272479,-6.467631698812412,-0.0004960958830667,-3.4514694456384727
WA,-0.7961570984954253,-0.0697788513052276,-4.641543308216829,-0.080570127274631,-2.5035609845878626,-5.59627602502154,-5.121968819666989,-1.0791117338212934,-0.0124540327771969,-1.8692231768310217,-0.0127263052179906,-0.2152692395973239,-0.3542683805889428,-0.0158457789213323,-0.3866723368809926
US,-0.7333352795858147,-5.1546664805929387e-05,-2.173957166891351,-0.0095314131691264,-0.5179470240138606,-1.694310148753527,-6.624999544913237,-0.0514986401642331,-0.0003113138254738,-6.451629695061957,0.0,-0.0001474557584651,-0.0527539208414879,-0.0088490851432154,-0.0926230995282971
JP,-0.627933804677479,0.0,-1.478266432445464,0.0,-0.3369225260357036,-0.7770684896152333,-2.939034638373374,-0.0166842710837927,0.0,-3.444572949029827,0.0,-3.948836343297594e-05,-0.0546576067325241,-1.245189399782983e-05,-0.1687999557328209
MX,-0.013175274640809,-3.455434639442469e-07,-0.1603937354100932,-0.0036735188271974,-0.0735874297334738,-2.1522930227148427,-1.1634924983675907,-0.0201947452743173,-0.0002087928660844,-0.2299279176927752,-9.66779851691434e-06,-0.0005211344347966,-0.0066318893940636,-0.0005108610328317,-0.0469010751151358
IN,-0.0536677521619758,-0.0002326276897944,-0.9522163866877178,-0.0003343409174517,-0.0828269555386833,-0.2986945872808615,-0.9595588722585404,-0.0935046198873361,-2.1270479207500028e-05,-1.261217018813934,0.0,-0.0008280960941569,-0.0020757872821219,-0.0002057101923032,-0.0332197179973579
WM,-0.1396436911126734,-0.0014516332557777,-0.8515530824219947,-0.0150274916746775,-0.059077070264276,-0.6979952688778821,-1.07949648105025,-0.025240766012657,-0.0029661807129098,-0.4707557667085993,-0.0001167942896366,-0.0185109456302392,-0.0279974110103604,-0.0130087778440567,-0.0083603326932162
TW,-0.0190531109949822,-0.0001038460872905,-0.0268148636893967,-0.0001127860045159,-0.0852647452978588,-1.3450903203514124,-0.5151084827212414,-0.0205224538321128,-9.366237680154442e-05,-0.1607925082432008,0.0,-0.0003374371537147,-0.0313174715176964,-7.498753845125645e-06,-0.0112075999513572
CA,-0.120086635475834,-7.970826622767232e-05,-0.5922668608615711,-0.0015321228717861,-0.0276206493396114,-0.2743299034439699,-0.8267097001097218,-0.0078237194483383,-0.0001383712744878,-0.2385082886503066,-0.000182433897235,-9.757074638908822e-05,-0.0176147073448864,-0.0002474269278996,-0.0044944973129084
DE,-0.0708525552805102,-1.0986874394744249e-06,-0.2342378141588643,-7.113404555848304e-07,-0.0544842954235496,-0.3051168237585901,-0.1221236047935335,-0.019635246166489,-8.762844476142194e-05,-0.9970808429271496,-2.921571476336041e-05,-1.3464780157024674e-06,-0.0171276537337979,-4.822281315048336e-07,-0.0058705159667139
WL,-0.0305607716790678,-0.0098729969408376,-0.1792155159859914,-0.0192051095841941,-0.3952926391916452,-0.2328877561284033,-0.211355758836175,-0.0154466628224954,-0.0016062576183036,-0.0954501002287269,-0.0009206537510845,-0.0071259841866204,-0.0097066555477609,-0.0023995653208338,-0.0130073615388927
TR,-0.0133798323936624,-0.000139035464848,-0.3402834601308472,-0.0002838095267708,-0.0144891989648622,-0.0365676976119848,-0.175149969006705,-0.0007219129954368,-7.923068503098297e-05,-0.0130462942549988,-2.3687795103481078e-06,-0.0029350691178813,-0.0018452151354451,-0.0004497688323369,-0.0044505739907687
IT,-0.0236395920582681,-4.218137471824694e-06,-0.218714438280884,-3.2145309845471e-10,-0.0288319063210412,-0.0424473142570665,-0.023836580855941,-0.0090783114670309,-4.849623820340371e-07,-0.2101606212189451,-6.428545608292138e-08,-4.671227282724562e-12,-0.0011132691804218,-2.651634592484577e-07,-0.0044956535284926
ID,-0.0077816732428355,-0.0047815017437527,-0.322151402131008,-0.001275865564132,-0.0303548076688688,-0.0688264208276867,-0.0730795573420265,-0.0042095870652581,-5.558116310674808e-05,-0.0216228380022845,-0.0009387314538473,-5.311225858184165e-05,-0.0057610463790763,-0.0002887826339056,-0.0016614947156815
GB,-0.0195691649523212,0.0,-0.0758722610125619,-1.0176333999914259e-07,-0.0668956380571393,-0.1396282569061937,-0.1248214760274662,-0.0060973552399307,-3.015239049522155e-07,-0.0503789839024924,-3.5142620025006413e-06,-3.412066692001712e-11,-0.0068027627546711,-2.208915670695162e-06,-0.0084187684621785
AU,-0.0972760919678185,-0.0157303893815505,-0.0458451778570801,-0.0032996613514054,-0.0074661037517407,-0.0434382821202892,-0.065061782616939,-0.0799891811909455,-0.0014020051434147,-0.0245506163529658,-0.0004509187638837,-0.0196620433285393,-0.0223748821161579,-0.0024801911857143,-0.0160743981844069
WF,-0.0145147719350725,-0.0085018301425208,-0.0642389522367083,-0.0026333904325495,-0.0196579689945812,-0.0629912217539552,-0.0972343425542301,-0.0056786258999723,-0.0027763219749922,-0.0329194887479348,-0.0004306558361839,-0.0370175966078146,-0.0284434449356063,-0.0009302254916232,-0.0040466789211324
BE,-0.0081870912914809,-8.387501497930099e-08,-0.1347809546980565,-4.82745179322416e-06,-0.0211710253709815,-0.0219391776699869,-0.0620271757276211,-0.0097830639619155,-8.78037973774063e-08,-0.0375158943008599,-5.457407418732633e-08,-0.0006225479717298,-0.0030644400681072,-4.318263657623691e-08,-0.0056867786804238
PL,-0.0048041510507536,-6.558751867095877e-07,-0.0246661486903909,-0.0002401687056833,-0.0107960581955972,-0.1041508935301575,-0.0650749543357947,-0.0026864898136056,-3.643289220653909e-05,-0.0515259698523856,-4.2406324029822876e-07,-7.98987945136123e-08,-3.600237714567729e-05,-8.484058188507368e-06,-0.0011612638168005
FR,-0.0104515725324175,-4.822787579991076e-06,-0.0403532237736735,0.0,-0.0174570367329849,-0.0867299602590965,-0.0304005667822985,-0.0011794754557237,0.0,-0.031217186408647,0.0,-3.067443871783969e-05,-0.0012499310883911,0.0,-0.0003247250284348
BR,-0.0065168397832944,-0.0012333982740603,-0.0472910375345368,-0.0027045498921321,-0.0144970730799906,-0.0367452802785385,-0.0153311796102901,-0.0025465237966431,-0.0007142788430069,-0.0314002153921405,-0.0002687556782107,-0.0110466466876679,-0.0023837350151985,-0.0002222128966497,-0.0022920674887503
