Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
LT,-9.732860324660288,0.0,-12.115342778699542,-2.5560525828368776e-06,-5.575267324954836,-19.264802648913825,-25.73248792283757,-0.0504892427731781,-1.6691354110750736e-07,-9.220495438021006,-8.828891623462645e-08,0.0,-0.280797437712881,0.0,-0.0443623595687845
CN,-3.7579466980582583,-0.0365148664770541,-3.3319676481235843,-0.0694505698264841,-14.983706731897591,-20.637003781825687,-4.515439382187005,-1.655256652955379,-0.0087442537858957,-23.41921145217056,-0.0067230525376589,-0.8156885553033115,-0.7201382569095568,-0.0168674353303416,-1.2189895192153506
DE,-0.8134211050723404,-6.40116449726773e-06,-1.3102798050404172,-4.014467714463367e-06,-0.3832285437036348,-1.4673856435444237,-1.2953711272192985,-0.0613837820703697,-0.0005395336528287,-5.896387099123604,-0.0001436512306371,-6.540801205374528e-06,-0.0573022185989205,-2.936164492738923e-06,-0.0252233696037036
WA,-0.3863346269787361,-0.0263325688303148,-2.961458378856261,-0.038686212849722,-0.2052363190920184,-2.4819931275686398,-2.905651510274879,-0.0968576693424909,-0.0069450198992335,-1.1715282480000158,-0.0056437307691542,-0.1219007921063738,-0.2383906954175974,-0.0085988928222299,-0.0612147803312042
US,-0.3000094159997762,-4.9609153987768594e-05,-0.4672723233191699,-0.0071779320356364,-0.1366730748046975,-0.5633680674294145,-2.4753007896554067,-0.0084883564464035,-0.0006242491926242,-2.6586727630294247,0.0,-0.0001124304307566,-0.0190623349988977,-0.0055862814187424,-0.0292401031028501
PL,-0.1584918901155232,-8.654835073911429e-05,-0.2205524865016284,-0.0044837663960624,-0.1468647239318405,-1.0170741422066538,-0.8224797639767505,-0.0214943451077404,-0.0007332845367624,-0.5804359583598889,-5.5958778134333486e-05,-2.550225170820181e-06,-0.0008692871233533,-0.0001682021558694,-0.0141942827911408
WE,-0.18200572377976,-0.2515862237845699,-0.8840512985720981,-0.0023772240894189,-0.144829515696685,-0.5849009085635252,-0.2383862956972594,-0.0495173317282047,-0.0084305454476836,-0.2675210809110608,-0.0060140630327215,-0.0622072903315525,-0.0660575518611556,-0.000927711717057,-0.0067592092501206
SE,-0.0524748959462295,0.0,-0.3606972760776181,-0.0012338646852071,-0.0344967432724103,-1.0494202112227713,-0.4393106254411855,-0.0044582770200854,-0.000275303560734,-0.7336180710860556,-9.432785748495389e-05,-9.867069567761864e-05,-0.0068363504880524,-7.82758042843399e-05,-0.0009213285280323
WM,-0.261367548596394,-0.002041705362506,-0.4029314120690474,-0.0130413089102243,-0.0291640140840765,-0.4695517943943296,-0.934799868868318,-0.0076848642729981,-0.0029672053145054,-0.4040960098699853,-0.0001096427026121,-0.0142482964529676,-0.0364579719903058,-0.0115642223172959,-0.0081478744514601
GB,-0.1606193450158455,0.0,-0.1344852480675419,-1.7279166428571351e-06,-0.1301528027265354,-0.5885890247793915,-0.5720531556695098,-0.0248685172271585,-4.835026176628983e-06,-0.2287685679210116,-4.106626608848629e-05,-5.793606799169926e-10,-0.0291835928079628,-6.9445361735449564e-06,-0.0232662776960564
JP,-0.2015341630017457,0.0,-0.1009638150115957,0.0,-0.0657942398201969,-0.1483995830382221,-0.286556821355813,-0.0332154385087582,0.0,-0.7403890017107054,0.0,-3.151749708814335e-05,-0.0227445524344449,-7.122597201034543e-06,-0.0081571015099088
NO,-0.0939262357595889,-1.8071424022899762e-07,-0.1176242557514514,-1.3300795491830382e-05,-0.015675303610644,-0.2346388377363188,-0.3935103217520548,-0.0034961250147389,-2.330036058311224e-07,-0.430775854080883,-9.170395416575824e-07,-0.0008836728574162,-0.2205144789622959,-1.3943900160510762e-06,-0.0174220604167592
IT,-0.0561200958475242,-1.9127219245046775e-05,-0.2459096984878037,-3.6108312689064606e-10,-0.1290947739900242,-0.1594533175365164,-0.0538593117393438,-0.0174994356723596,-3.032589496223989e-05,-0.6322940159360699,-6.772841349910977e-08,-1.1803865733768596e-11,-0.0028929009396209,-8.951568604487048e-07,-0.0149381626596675
IN,-0.02447953664402,-0.0001460823831325,-0.4367274503481587,-0.0004481629949832,-0.0385945457740213,-0.0909936541674642,-0.2889922677219185,-0.0165573665000933,-1.9948295854018296e-05,-0.3648152947375181,0.0,-0.00099538110592,-0.0011950299067571,-0.0002606509822904,-0.0151574598205186
FI,-0.012913928682143,-7.187223877722095e-07,-0.1338006836161612,-0.0006355284241647,-0.0282635198384037,-0.3901110148603501,-0.0699976511684952,-0.0070540467896727,-6.741255323431318e-05,-0.3263268267384602,-6.67313144405101e-05,-1.789819257368095e-05,-0.0980842527347986,-5.972453729483854e-05,-0.0606588260940227
KR,-0.1357858904486096,0.0,-0.132632310238347,-3.859681038523674e-05,-0.0924037342728525,-0.3604641163148172,-0.2044200031295147,-0.069264404858664,-0.0001077022589409,-0.0798116252336896,-5.773053808086052e-05,-0.0001049456551921,-0.0101246591798572,-2.048120268595993e-05,-0.0068886411336844
RU,-0.0453103056806653,-0.000234002668914,-0.5080968742510431,-0.0027897414368729,-0.0800292931171264,-0.0873543506868954,-0.1799707137925675,-0.0045118848751743,-0.0072302398926908,-0.0435271248729504,-0.0012190965800678,-0.0065259716471476,-0.0504899679986585,-0.0078087654226158,-0.0286165257542434
