Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-2.0306056408670767,-0.0351259145867777,-1.8699650673436212,-0.0449710157212171,-5.062761679938252,-18.260555121105757,-2.4834833982679467,-1.039815026872477,-0.0039657839299062,-17.779485805305146,-0.0048693768371647,-0.5718047099434422,-0.5047394844520322,-0.0115241683142881,-0.9734874192059711
MT,-0.023059367853568,-3.6509136925186957e-07,-0.0390567305641386,-2.2757280029144445e-08,-0.0495280965266902,-8.349973556856844,-3.763117833815234,-0.0012752460460472,-5.003690858273169e-08,-9.758919923770469,-3.73882937247953e-08,0.0,-1.75892197878342e-05,-1.625850526566198e-07,-0.0031271446007576
US,-0.1187157087094167,-4.829363725549754e-05,-0.246037018947078,-0.0088851756933866,-0.1077869571816049,-0.5698386034166422,-1.8307089153949505,-0.0071919596484192,-0.0003507900705261,-1.8922564267586384,0.0,-0.0001135333188456,-0.0172071545794473,-0.0052083368960293,-0.0267684013501183
DE,-0.085283860393438,-2.763699844600996e-06,-0.3630667387113596,-1.866680632733052e-06,-0.1056244324184086,-0.6707778023708428,-0.3380532453705614,-0.0194905607848915,-0.0003594427763748,-2.593179231315181,-5.602728865943225e-05,-5.3562152878548245e-06,-0.0296891806950802,-1.2061985250698845e-06,-0.0137737341467322
JP,-0.0300044021242145,0.0,-0.0942074676930305,0.0,-0.07796811717736,-0.1686088960640356,-0.275448091636103,-0.1986957309520381,0.0,-0.8670277060348464,0.0,-0.0001009515041141,-0.0264570328919845,-1.960811645592033e-05,-0.0089487871768905
WL,-0.0201218050577933,-0.0050099240797833,-0.0746523134057105,-0.0224002919961381,-1.158037778875688,-0.1008144345783693,-0.0776309139423022,-0.0217326012286996,-0.0029975686923126,-0.0475329797640099,-0.0005817322346901,-0.0117829343633015,-0.01930943215168,-0.0019350146211204,-0.0186316023953208
WA,-0.0309627670848133,-0.0140580293678454,-0.2188456867971916,-0.0088503541544356,-0.0663655786243868,-0.417664186623735,-0.3419429757794188,-0.0477372528278262,-0.0021891733891897,-0.1949993111095923,-0.0028058046192688,-0.0342666714844935,-0.0488054335015334,-0.0026934081438293,-0.031296288231697
MX,-0.0093643137294064,-1.5835417664955896e-07,-0.0708269250061435,-0.0035359414493572,-0.0277864929150441,-0.6893554371443291,-0.2645000247151606,-0.0083821550432319,-0.0002117745134256,-0.0792334481728729,-4.073972920801945e-06,-0.0004998393074882,-0.0050471947883013,-0.0003643487271969,-0.0222808616152712
IT,-0.0395136644369171,-6.41789187914647e-05,-0.1660832494592927,-2.3451778195039817e-10,-0.0450493652703565,-0.1766638475325261,-0.0484207408350978,-0.0087975950266621,-3.863696176348196e-06,-0.6551303330433528,-4.374656527040735e-08,-4.935337888009416e-12,-0.0031916849402919,-3.271479145805595e-07,-0.0301757235891907
FR,-0.0439348547518415,-5.117962025346933e-05,-0.1888878681266066,0.0,-0.0538762011342519,-0.5803623353462224,-0.1052116595584828,-0.0083647790586323,0.0,-0.1692697953433324,0.0,-0.0002488255379871,-0.0148858360877889,0.0,-0.0048148391613626
IN,-0.0221138471666851,-0.0002455581948933,-0.3412292624447454,-0.0010977917645554,-0.0360592891878595,-0.0832124764016707,-0.2042012901344324,-0.0154709336529209,-4.098208810604479e-05,-0.3891348777656406,0.0,-0.0014965206351179,-0.0018883026729797,-0.0006729356356672,-0.0168278202055172
