Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
MX,-1.0297592020737798,-6.11270880364927e-05,-58.9116753977205,-2.0483877722872617,-10.000122270669786,-65.84662566011085,-67.15604282614882,-3.835969451832933,-0.1324500100077615,-7.143949351641766,-0.0020377490857792,-0.1120467964655212,-3.417324590760129,-0.1582376042626851,-6.790898731811019
CN,-1.149649243642158,-0.0326043726138038,-1.3576092651147529,-0.0917074389177168,-36.38983741431846,-15.888055679187532,-2.272870216248017,-5.08262728040952,-0.0089775415120295,-14.23862276641006,-0.0085516493997944,-1.7665371640815395,-0.2877217848490549,-0.0305546904547926,-3.917195541213124
US,-0.7432110351168616,-0.000179414781298,-7.833632041308335,-0.0331018499512481,-2.040639089097489,-6.68252990823269,-21.391331054569807,-0.1646024845246969,-0.000985986785532,-21.816612567521503,0.0,-0.0005183097367457,-0.1917000386407286,-0.0399491233372935,-1.028005919123658
CA,-0.1076914185652748,-0.0003649404368762,-1.2275242503535422,-0.0033450272889772,-0.1307187935783187,-0.6173624816009737,-1.530682346525964,-0.0162540908512161,-0.0003006394883947,-0.4557560599029203,-0.0004260507169845,-0.0002432096916622,-0.0337208679965634,-0.0006184070991901,-0.1657124353117148
WL,-0.0274755704104329,-0.0080515000043413,-0.5867465930444908,-0.0372410961511076,-1.6835137790381507,-0.4643266165592603,-0.6305218888190115,-0.0192176729816525,-0.0022311664232637,-0.2223006066317362,-0.000683048915495,-0.0090577460503036,-0.0143660073254717,-0.0034176645027604,-0.0186755882820252
WA,-0.0192711187310567,-0.003850568167638,-0.2758824236875553,-0.0064288252376551,-0.1835287484127163,-0.3823500186067995,-0.2987786974255959,-0.045827844185078,-0.0007641077980663,-0.1079995427181078,-0.0007007812651019,-0.0126032464745049,-0.0355159376382526,-0.00103605478226,-0.1263828709318819
DE,-0.0301589770465742,-6.900752614592691e-07,-0.1245316385609493,-1.682742422852055e-06,-0.1063354460449105,-0.1174587879491963,-0.0608828137452374,-0.0191133983039786,-3.253985350461176e-05,-0.4752371272487362,-2.5793302212574744e-05,-4.093061638394865e-07,-0.0191728816068336,-4.56037684914834e-07,-0.0713848916677333
KR,-0.014831549726716,0.0,-0.1486160956596821,-1.002935377911032e-06,-0.2156904816072853,-0.2003202767482925,-0.1352586437809372,-0.0389034722071969,-1.959510180635174e-06,-0.0383656601630987,-1.6444965159522698e-05,-0.0001065110561523,-0.0500238215866278,-8.082335714637157e-06,-0.1169142873759296
JP,-0.0203654897225603,0.0,-0.0546074559187033,0.0,-0.1559649994343417,-0.0910501160864026,-0.1351743002152944,-0.0046387136631107,0.0,-0.3258342469260819,0.0,-1.1182615922874215e-05,-0.0168938021599726,-1.647268678600512e-06,-0.0761407527483894
GB,-0.0158585881463521,0.0,-0.0607662074227982,-6.052377465897789e-08,-0.0509955067823927,-0.1177371498056726,-0.1160207424558511,-0.0053786190370514,-2.1920120812730986e-07,-0.044256819958998,-2.7105365962463086e-06,-2.029327940508168e-11,-0.0048986021583639,-1.973330249285279e-06,-0.1320976924248436
