Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-3.494976919172835,-0.0406824615058331,-2.846204732117263,-0.064175229610472,-15.489332830509758,-24.017224537840388,-4.882749634224072,-1.608800217683458,-0.0049272541015752,-24.770478583684927,-0.0060889138115383,-0.8497268348600727,-0.7061948137701598,-0.0166289780235333,-1.2946896974192623
NL,-14.116165639028411,0.0,-4.155208322771734,0.0,-8.415725413216101,-8.174866191693148,-27.85779556980357,-2.3323114280305277,0.0,-10.03080553486945,0.0,-0.0002758873502384,-2.7329531996582643,0.0,-0.5717493919241721
DE,-3.5757015109469488,-1.1490261642882453e-05,-2.366197712553188,-7.550222061465653e-06,-1.4956205665699325,-1.8227964396147769,-2.6912330265956057,-0.4124829082979419,-0.0006636340541383,-8.473932788574475,-0.0004773013281699,-8.6321786322999e-06,-0.8253616298072978,-7.749600858150895e-06,-0.1277201523334819
US,-0.5600634988970079,-9.566544308261444e-05,-0.7257333695143263,-0.0161977443057402,-0.5647001734718442,-0.900455422305327,-4.417641166622213,-0.0285512485454483,-0.0006069617596839,-4.14875665715322,0.0,-0.000217581991212,-0.0384173093266858,-0.0092843418484982,-0.0615526688755602
GB,-0.9920480168222778,0.0,-1.6421756344613267,-8.184560549450685e-06,-0.6261376283483517,-1.8473595919513344,-1.6133094030982598,-0.1078773490520749,-0.0012551645031574,-0.6437773535592846,-0.0047595959161717,-2.744236878842886e-09,-0.221755205798869,-0.0024482923955116,-0.0620308514735926
WA,-0.1336925291669753,-0.0424056670728433,-0.5770098665923893,-0.0189694668144511,-0.300087976468982,-0.8897389743625566,-0.8663665648780712,-0.167482879276631,-0.0046281180637772,-0.4204368116901343,-0.0074110050834049,-0.0693571143877467,-0.1481522614620175,-0.0056657237273264,-0.0645852003818069
BE,-0.516061715046353,-2.4252130483980987e-06,-0.6072741649898779,-7.729793892991109e-05,-0.4477186799634861,-0.374284768344542,-0.8100805173658703,-0.2627152119881795,-1.405928605443433e-06,-0.4245772550121008,-8.738489029780583e-07,-0.0106052210312148,-0.1412074886495548,-6.914473614397851e-07,-0.0651672401597955
IT,-0.4055708734322951,-5.149605854668337e-05,-0.5056660512371846,-7.73722283727141e-10,-0.4061603594782594,-0.2465232764827654,-0.1123243381176292,-0.0778899980809247,-2.228458069898955e-05,-1.2443195907190725,-1.4053271449530966e-07,-3.7431438982443166e-11,-0.0404375789942792,-3.048808618189439e-06,-0.0442646345549174
IN,-0.0400351839105805,-0.0001655236706162,-0.903786433107459,-0.0004395100661201,-0.0638709459067928,-0.143138695541665,-0.5366587339214968,-0.0256247187835902,-2.612909927842758e-05,-0.6768326828673146,0.0,-0.0008733044413628,-0.0017452377938398,-0.0002742269418721,-0.0336831585954061
JP,-0.1411489256151852,0.0,-0.1110046776796342,0.0,-0.191432542727429,-0.2658581456859563,-0.4041331306671262,-0.0983012586653766,0.0,-1.109548229487574,0.0,-8.686701008552239e-05,-0.033124786239098,-1.9960167839347088e-05,-0.0104646852586002
FR,-0.1855490321161932,-6.633307803386603e-05,-0.4244826356705576,0.0,-0.2202686076315072,-0.743153306359726,-0.3630942813374501,-0.0424048573375092,0.0,-0.3225834497230172,0.0,-0.0003930158931961,-0.0212012732898716,0.0,-0.0038775300031125
WM,-0.0855847846407743,-0.0017179568298682,-0.3337157700238043,-0.0123193091561758,-0.071545362304702,-0.3889235402088781,-0.5453770952137829,-0.0149421291601542,-0.0026785157921181,-0.278448828089583,-0.0001037996148849,-0.0164370395168279,-0.0355770847678816,-0.0110438432589838,-0.0118755215598237
