Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
RO,-0.4291933839157255,0.0,-5.89866676469765,-11.026858149691838,-3.717099636775947,-23.70917263840392,-35.415228706683294,-1.0749553921094004,-0.1989928043694702,-31.486900923021324,-0.0022121561748702,-0.6160759530878903,-0.4072670694891276,-0.7535384057790921,-0.0015042203228741
CN,-2.9717573018672483,-0.0369117197798,-2.4151104314281056,-0.0651263197633141,-12.237066666326148,-17.945198394011612,-5.254894293712455,-1.2916332657467409,-0.0055158430419715,-21.05327238432656,-0.0061745324051538,-1.037416311097242,-0.7509673742602601,-0.0189629486406159,-1.222092751394431
DE,-0.3250561970187186,-1.2043537363598234e-05,-1.1505357602748771,-7.223844152959451e-06,-0.30713088099542,-2.6484175750039216,-1.3257717000248344,-0.0442246785138533,-0.0006463473726023,-11.600693552356756,-0.0001609540966936,-8.639250006074892e-06,-0.1721319944149005,-4.465029335420234e-06,-0.0214350286630178
US,-0.1437062192351801,-3.546509330321934e-05,-0.7777150865223974,-0.0071542009636549,-0.1023006064285372,-0.6279858614689934,-2.714231013432705,-0.0082167873731717,-0.0002514072599526,-3.32771462355134,0.0,-9.716387269786152e-05,-0.0190333284112285,-0.0060222253481218,-0.029264253404137
IT,-0.0895127165066334,-3.089367000683682e-05,-0.5460327459643455,-7.673460137322e-10,-0.1550347221848639,-0.3564932541564095,-0.1572132691526706,-0.02778319475141,-1.9511889887816174e-06,-2.2771305009500256,-1.4554591204868015e-07,-1.6347259708542e-11,-0.0064360184652472,-1.1074776528120384e-06,-0.0234888444751426
HU,-0.025624728208258,-4.940562649046979e-06,-0.1353634832250259,-2.871160145764322e-10,-0.0012835455662002,-0.8411976891802163,-0.4425297069944097,-0.0011286418676826,-1.1481158186205296e-06,-0.4054553213486212,-3.387675993906482e-06,-1.3855663943923954e-06,-0.000248873895721,-1.3515631225726855e-06,-0.0015832324324539
WM,-0.0578770482735142,-0.0026564157229423,-0.3149571703485812,-0.015553609456335,-0.0347557062867732,-0.3836145417929961,-0.5552843763952975,-0.010098027276016,-0.0036335777435182,-0.3223276325274258,-0.0001109347618805,-0.024929161537169,-0.0544839026988696,-0.0142852456584233,-0.0072579245980421
WA,-0.0352551524275828,-0.0087249886985016,-0.2805411435855981,-0.0085399302261242,-0.1152261663174213,-0.4346494890476453,-0.3824932465984494,-0.0413235451554139,-0.0018287182166632,-0.238722341245513,-0.001827282070013,-0.0407766971666301,-0.0466486333124354,-0.0024216278849961,-0.0235531216742038
FR,-0.0466726182088402,-3.199365126811232e-05,-0.2617767486206549,0.0,-0.0773992226168367,-0.5970142185695709,-0.2275282015813951,-0.0081976858910553,0.0,-0.2795020259094702,0.0,-3.0128507344705794e-05,-0.0069994589474175,0.0,-0.0015832368758133
GB,-0.0819381465152935,0.0,-0.1104387352983424,-5.728832541221956e-07,-0.0885611355940634,-0.4944239534869978,-0.4698771963143926,-0.0109219828630323,-9.12171905604666e-07,-0.1893816884325461,-1.1058970294829262e-05,-1.9208450656277727e-10,-0.0329395504414542,-3.5221043894242088e-06,-0.0086907061635992
PL,-0.0206922436460515,-1.7031362954024854e-05,-0.1013190175570353,-0.0011686865937867,-0.1023664739159728,-0.4770311918405054,-0.3273298288293906,-0.0373821910642629,-0.000180265026371,-0.2851603567928525,-1.1011813081712083e-05,-6.439928775859169e-07,-0.0004818536010211,-6.771339457608764e-05,-0.0056688779717183
