Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
SE,-7.41123680012953,0.0,-49.27339930982715,-0.167559714842843,-3.3411461325241865,-5.842291249810281,-17.914413099022806,-0.526560944530777,-0.0381253806595561,-12.068632644868046,-0.0063236241686177,-0.0006677905672259,-0.4192620544230599,-0.0058028203458382,-0.0558179826357853
CN,-2.645313205961344,-0.0345462715668699,-3.717411240264576,-0.0570551594980558,-6.982894098535157,-18.731713772672688,-5.939027959355482,-1.481037387243464,-0.0045312228627771,-26.685454764259816,-0.0055591726620606,-0.769320905309418,-0.6511885736694573,-0.0152037663055429,-1.0411666601586356
US,-0.6404868981958216,-4.78971462786633e-05,-1.8408543389810248,-0.0104272353601337,-0.2736116371417578,-1.0167360963168397,-5.052957907604673,-0.0242507571477172,-0.000357951425639,-4.5336693290516665,0.0,-0.0001425244339904,-0.040621725133645,-0.007811759927862,-0.057425433804895
DE,-0.8436662253066967,-7.642680030530016e-06,-2.988475365953927,-3.918048505638424e-06,-1.1822524056405692,-1.4009053015396522,-1.1573965548620868,-0.2973711905397083,-0.0004059247996029,-5.339671963805587,-0.0002931323321577,-5.667320085767374e-06,-0.0425278317431656,-5.105043266655741e-06,-0.032574359277542
GB,-0.1462746573166222,0.0,-2.2872489540477234,-7.290666712911531e-07,-0.2045582351134362,-0.6419082125935518,-0.6234353423956378,-0.128777635274553,-2.866097311118188e-06,-0.2508294741136915,-2.3140447334985208e-05,-2.4445193267489286e-10,-0.0401911823022376,-5.266031985921517e-06,-0.0294771089022402
WA,-0.0593150566411689,-0.019272854550554,-0.8226573022344151,-0.0128653349037471,-0.2969019831516804,-0.6934769239904219,-0.7969550115713437,-0.0679062865876646,-0.0027880317874644,-0.3239527690065275,-0.003436431324051,-0.0376573554711356,-0.0584209573089518,-0.0035167373324186,-0.0343148958069148
NO,-0.5085277132224845,-7.536226683611863e-07,-0.5092827532793771,-5.303237062546119e-05,-0.2253349571949049,-0.3450209945049787,-0.4525046733705772,-0.0276527285866142,-1.723188524150128e-06,-0.4237430410125759,-3.898138344883528e-05,-0.003429024595985,-0.2307327969305589,-2.7253971296413507e-06,-0.0324177003450262
IT,-0.171075397393891,-2.040239698626525e-05,-0.732514692851205,-1.1099042972912635e-09,-0.3597065304480764,-0.1884565736111952,-0.098440047398739,-0.087828782871325,-1.2895175449530637e-06,-0.8681299402914039,-2.12749444369189e-07,-3.7479522282661327e-11,-0.003324922090611,-2.921123883102861e-06,-0.0259975789730169
AT,-0.0484993393353748,0.0,-1.4136567223208043,-4.92049289246881e-08,-0.0485947858576985,-0.159977600427655,-0.211110782874397,-0.003201567818344,-9.664925706018447e-08,-0.1293044075465974,0.0,-5.746845254504844e-05,-0.0072621604416412,-8.026385329972682e-09,-0.0010499275784649
PL,-0.1412575829154311,-5.847554785809659e-05,-0.2154837068914582,-0.0015706263017645,-0.1445589818038706,-0.4892310453550721,-0.5993846240944266,-0.0468645318374554,-0.000217166155266,-0.3267668991624803,-3.780800189640116e-05,-7.108320614181679e-07,-0.000147893663611,-4.610750662782909e-05,-0.0094806064212646
JP,-0.0400263973337062,0.0,-0.1912143955627325,0.0,-0.0897051560939004,-0.153642718557645,-0.4731667353368073,-0.0634420254707763,0.0,-0.759556701679291,0.0,-2.894581183482484e-05,-0.0152132826438024,-6.549043533974396e-06,-0.0058548178778094
MX,-0.0093085378822921,-1.5150749904410441e-07,-0.05806922299811,-0.0024861292047941,-0.0298860413994797,-0.897554416569184,-0.4705891333378915,-0.0113933279324334,-0.0001155912668405,-0.1094301264554972,-5.715743812259762e-06,-0.0003043443416462,-0.0042823756330481,-0.0003237573199889,-0.0197321032771095
FI,-0.0303320707275326,-7.501052373729283e-07,-0.3042964280850503,-0.0004596435962664,-0.1489600841804153,-0.3702123616505879,-0.1366478017414544,-0.0766720036050108,-5.222065935607374e-05,-0.3909349389856738,-5.631249327888479e-05,-1.2710035513935002e-05,-0.115056403856476,-2.213509777372612e-05,-0.001265982665044
DK,-0.0817070322001931,-8.499637375388678e-06,-0.1406992762153097,-3.1263715647566685e-06,-0.0421160805627673,-0.4588369099884731,-0.4953339048018316,-0.0014605552067335,-2.351736021070307e-06,-0.3515768729537363,-7.767853520734918e-06,-7.861829509876288e-08,-0.001713248235596,-4.753067592442784e-06,-0.0011757545447004
WM,-0.027868522716664,-0.0009312600422902,-0.5054574428603197,-0.0082304423844548,-0.0282602200341702,-0.2744809344003457,-0.4481685115609586,-0.0065226757762118,-0.0018763709711144,-0.212476768215348,-8.317774196728516e-05,-0.0105883728031664,-0.0155836491224279,-0.007863594273306,-0.0060472816424682
