Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
SI,-101.1910316095068,0.0,-117.4386480281408,-8.435833638224604e-05,-1.93597702901086,-8.414982612429913,-77.38994504278607,-0.0113880810751648,-0.0001709887646591,-13.694230188124102,-0.0002782000044005,0.0,-0.5102261945515861,-2.40980493189454e-05,-0.0017649028364177
CN,-2.873141246545088,-0.0371016640742576,-4.3418473848774894,-0.0631658554960697,-8.007884526910141,-40.71139680787426,-7.683869148678328,-0.9975299614384716,-0.0053850408897434,-35.47611539649932,-0.0058769054191066,-0.9865232286453388,-0.7148271213959974,-0.0181462617607972,-1.203448222704039
DE,-16.77991122890246,-2.6719887315366916e-05,-15.56666867375623,-1.6889777792497987e-05,-0.7409892968086879,-4.5091423997171445,-11.742925214120728,-0.0959754894354488,-0.0015400395984779,-25.775437682392024,-0.0012708659725648,-2.015859597408284e-05,-0.5633906733032459,-1.061445852163152e-05,-0.0736393255450353
US,-5.8947599600416165,-6.28585111516051e-05,-5.3125838415891575,-0.0131414886391135,-0.2990262524369302,-3.4002686261529305,-18.967974887682107,-0.023818837994673,-0.0003800346724622,-12.063210554675658,0.0,-0.0002329005539057,-0.1125004012275356,-0.0130877703634847,-0.1523049761653497
IT,-4.7420410748364255,-4.89113780797758e-05,-8.85998185914338,-1.2985658721043596e-08,-1.5928299316730752,-1.4392106539900562,-1.233688736932619,-0.0759884388597874,-4.395414044346568e-06,-8.751621583889856,-2.569839328183199e-06,-1.9201555369972476e-10,-0.0381272703647881,-1.0025653855040391e-05,-0.1522104962203881
AT,-1.36486693047881,0.0,-1.9288431690088568,-2.343921739254381e-07,-0.2010075067827272,-1.963489085547212,-4.811000453981793,-0.0052446086688638,-4.603975651561728e-07,-2.597083555396577,0.0,-0.0003789323612661,-0.0913421491871347,-3.823441974959342e-08,-0.0139061261794642
CZ,-0.2848376611943377,-1.599893627085188e-05,-0.7849277061544775,-1.00829509874134e-06,-0.0825751301437569,-2.2436681688516886,-1.371101977321639,-0.0252107399960874,-3.0711203562469895e-07,-2.053061668727889,-1.3985270120844676e-06,-1.6071856486024698e-06,-0.006079314276307,-1.883993598782588e-06,-0.0112562265978455
HU,-0.4831728961536959,-1.8037541922326475e-05,-0.5998322801075183,-1.82009602981952e-10,-0.0015629147115113,-2.225701114812129,-1.902460277899692,-0.001163248997127,-9.737115256633827e-07,-0.9529124481569864,-6.950357893422505e-05,-1.0812696371469037e-06,-9.872268392235596e-05,-4.063411108444069e-07,-0.0004015263975304
PL,-0.4731113417904789,-5.225834590892862e-06,-0.778684051190248,-0.0034141441482608,-0.2463193873841758,-1.2944101320751218,-1.9373028859589705,-0.0555890219046419,-0.0004387445074047,-0.9919019738653326,-3.3788202310172858e-06,-7.366605409883126e-07,-0.0008133479051818,-0.0001132626782983,-0.0291114803776593
WE,-0.6131229078637143,-0.0236187090718293,-2.225460664150287,-0.0009291411047971,-0.2527545447823212,-0.8605873981277183,-0.6028029811480893,-0.0093344055842687,-0.001624272405794,-0.3940797800703574,-0.0001133513954397,-0.026570162032393,-0.057326641733689,-0.0004538329021168,-0.0015348195839956
SK,-0.521850662796994,-1.8886054555903332e-05,-0.0497413323148517,-1.603560564456542e-07,-0.0446889387459548,-0.3195698070845064,-1.292302819379329,-0.0069796026354405,-9.823394781457616e-08,-2.541120089595174,-6.620810643530467e-06,-1.3832750637680906e-06,-0.001164380292935,-2.2886890106469767e-05,-0.0048746224402747
WA,-0.1862642697267226,-0.0062755101676101,-1.2519519687627971,-0.0137045039684646,-0.1195667149468923,-1.035034613762087,-1.39438967354018,-0.0372121911680133,-0.0023432087653081,-0.563809744584031,-0.0014397139549673,-0.0408436662545733,-0.0766522823108111,-0.0027982799394177,-0.0440934344096291
FR,-0.4936954015376418,-2.09047269522936e-05,-0.8230225842214947,0.0,-0.1470954724128053,-1.4658090822080962,-1.0424451036637834,-0.0059973016389929,0.0,-0.6942067319473212,0.0,-1.61080790388291e-05,-0.0066023751775788,0.0,-0.0016982445174572
CA,-1.0464954588891906,-8.07328306609992e-05,-0.7875020755441455,-0.0019434530379104,-0.0260059447312927,-0.5515692410190711,-1.5255192707114,-0.0102309064180682,-0.0001809486683959,-0.4797366327987779,-0.0002356600043289,-0.0001117888241771,-0.0502516820540395,-0.0003291471820176,-0.0056896217801969
WM,-0.1502865384061198,-0.0009260309876059,-1.2648755131742684,-0.0161478082196958,-0.0443976095665513,-0.6902846164055787,-1.4706700084578634,-0.005956556593787,-0.0029264357722852,-0.6009371296177332,-0.0001200821514692,-0.0192698961712412,-0.0266262288512268,-0.0137402844744756,-0.0093418693428631
GB,-0.8058021286069774,0.0,-0.4363923160968501,-2.7733016269291293e-07,-0.1962924368013809,-1.197464974014421,-1.0344630571756173,-0.0160175707979309,-9.778367469238248e-07,-0.4114218480715646,-1.1700481782921327e-05,-9.298721764582656e-11,-0.0439574669181047,-2.959998285542628e-06,-0.0215485464108112
CH,-0.019216232520086,0.0,-0.058308393986665,0.0,-0.0033690720893593,-0.7403771610837487,-1.3214522534547963,-0.0004898871635433,0.0,-0.998289547405636,-5.3075488434843515e-08,0.0,-0.0021822761151086,0.0,-0.1723204522083807
MX,-0.0152469515159979,-3.320327449783877e-07,-0.1284462641935598,-0.0047077921774644,-0.0702156928652897,-1.809184882248643,-0.8500807159867477,-0.015302517675135,-0.0001963060046408,-0.2097463230520745,-7.148495978387643e-06,-0.0005799333939634,-0.0076598324625979,-0.0007171339987922,-0.0436274161828194
IN,-0.0310512759086618,-0.0001453714732092,-0.5183351483545009,-0.0001014766916476,-0.0466816258483886,-0.2007091086404081,-0.8550595901461174,-0.0205901997246162,-1.124348829897782e-05,-1.0983742670375711,0.0,-0.0004951825164474,-0.0012530412858449,-5.9841809915457405e-05,-0.021686385454747
NL,-0.2412586997543697,0.0,-0.0392737555497236,0.0,-0.1004809283811742,-0.307792853865709,-1.6905596568758388,-0.008370152409425,0.0,-0.3911311023169878,0.0,-3.1644928866090554e-06,-0.0050385151668135,0.0,-0.0024384289848718
BE,-0.3619937724692914,-3.384506131883471e-07,-0.6590072859938955,-1.3505017525572102e-05,-0.156522844288605,-0.1427343716353717,-0.4913374680669194,-0.0211758787971436,-2.456351452453734e-07,-0.2744880252613572,-1.5267347244693468e-07,-0.003789661088712,-0.0123215831752004,-1.2080540391538102e-07,-0.0318064439434844
TR,-0.080517553851505,-0.0002143596267976,-0.9496959442559552,-0.0006336133894387,-0.0412113750540838,-0.0605051684141658,-0.5961552804214941,-0.0003579184278964,-0.0001792374069699,-0.044014090607227,-1.078875465392488e-06,-0.0085460752445566,-0.0033264243431811,-0.0011193884505778,-0.0112713277158754
JP,-0.2459658773801138,0.0,-0.0878334933918893,0.0,-0.0576178528494555,-0.1484162934523468,-0.3152015511306354,-0.0139761397259208,0.0,-0.894113419076784,0.0,-9.704560419290622e-06,-0.0197255717149413,-2.466926901662016e-06,-0.0062086440066204
KR,-0.1157063636433649,0.0,-0.5263076607238323,-1.081434789328299e-06,-0.0863553212568882,-0.3937598655084709,-0.4077681745971118,-0.0557155040143735,-1.0956430569891452e-06,-0.1374153871292255,-2.374035920893771e-05,-1.8076675314811658e-05,-0.0071487839456036,-3.891201478439071e-06,-0.0051096170858869
SE,-0.0996722610321711,0.0,-0.5843117799439353,-0.0002455070256898,-0.0220639716022947,-0.2595938051953266,-0.3751096979433512,-0.0017124903610257,-5.745390297023676e-05,-0.3202784567502647,-1.4010815479892677e-05,-8.05456082995765e-06,-0.003899798883222,-1.6865367325962475e-05,-0.0002807514723374
ES,-0.2051270619774119,-1.2704456178064708e-06,-0.3636765769053364,-0.0076544571482136,-0.0873928578011402,-0.5421034463903104,-0.0866607852146424,-0.0208702968763591,-1.3386286382586691e-09,-0.1823323424001512,-0.0001354291988287,-0.0010066893915436,-0.0047555140933344,-2.3390167043359842e-09,-0.0031046290508001
HR,-0.1377306163745809,-0.0001340528886745,-0.0910048977799169,-4.747877633778117e-05,-0.0138229650161643,-0.1267179311788626,-0.8529473396058448,-0.0047969980594404,-2.680080107793485e-06,-0.2478459689779681,-4.923105330849457e-06,-7.951131802571745e-07,-0.0005885389509335,-6.673979873774096e-07,-0.0003427016153647
WL,-0.1176989691848056,-0.0033870481114508,-0.119642351818694,-0.0127441053568561,-0.3276733438042531,-0.2246438470697622,-0.2871008287566349,-0.0067673277251564,-0.0007620723579336,-0.1127540192650661,-0.0002577048031691,-0.0034819008321416,-0.0056342935683662,-0.0015137621953203,-0.006806156842477
DK,-0.1796866547097172,-2.9061391942974865e-06,-0.0844914201875849,-1.7754528463963861e-07,-0.0066138853053134,-0.2287520604807433,-0.4648359146163294,-0.0007288614770708,-1.3185144755913057e-07,-0.2532150735166028,-1.3860491644601693e-06,-1.7103375368547193e-08,-0.0010489454460055,-2.664834984858444e-07,-0.0004976608229467
NO,-0.5606590805639208,-3.7204449607225215e-08,-0.0846955435555424,-8.566925749429728e-07,-0.0098774059693651,-0.0860076046368308,-0.0975224902846175,-0.0011722067996462,-3.726733753483336e-08,-0.0910061169465737,-2.3895999010737544e-07,-0.0001781216947527,-0.0508632915444257,-1.7885991925380013e-07,-0.0041197296350239
TW,-0.0077273693373535,-3.3439727883403056e-05,-0.009116880835959,-4.354429278394439e-05,-0.0117997208646517,-0.4635026965960424,-0.2987058935324544,-0.0011264594287604,-4.444668573892735e-05,-0.0764249919938428,0.0,-3.5446476369095685e-05,-0.0054321287485143,-2.9715079774861773e-06,-0.0023017459149469
RO,-0.0118616608600972,0.0,-0.072006153720225,-0.0053175186586525,-0.0093279253349192,-0.1675770060219146,-0.3633237627805951,-0.0021995735912719,-0.0001025248239922,-0.2414549478127237,-2.362888789484312e-06,-0.0004160797919825,-0.000808670848555,-0.0004228574229447,-2.0125923135884928e-05
WF,-0.0231543468309725,-0.0062571630878426,-0.1753764170898749,-0.0022671419829741,-0.1376486128374894,-0.1169865409761744,-0.2523023403085417,-0.0025015204351141,-0.0025709130108506,-0.0704922795415361,-0.0002952039870563,-0.0367083374271842,-0.0269101291710987,-0.0008552705269379,-0.0039245667696579
LU,-0.0067355090354107,0.0,-0.326696774370194,0.0,-0.0409728510052528,-0.0035330871216406,-0.1842250772118036,-0.0322269256401675,0.0,-0.051808865440462,0.0,0.0,-0.0044115164883427,0.0,-0.0093845134056889
RU,-0.0086539085210956,-4.282256079692837e-05,-0.443677929902244,-0.0006540572540332,-0.0157720837833516,-0.0125011106951892,-0.0634665153597686,-0.0007319898880149,-0.0012234548138157,-0.0099560924899614,-0.0002361699326472,-0.0013416111094324,-0.0114081460194853,-0.0018444435776318,-0.0052103432290636
FI,-0.0113331861802735,-2.2894763159904717e-07,-0.1270413235358979,-8.985630412957602e-05,-0.0114590093497577,-0.1506200733510814,-0.0617350546678298,-0.0015326955994533,-9.814970892398836e-06,-0.1556575355217291,-9.74324836843008e-06,-2.4692837613096863e-06,-0.0331548455891587,-4.072466504563845e-06,-0.0003104220983947
BG,-0.0158316162289997,-5.2352426752691736e-08,-0.0007283985222721,-0.000356414259412,-0.2442285222525624,-0.0377601404394141,-0.0580522023714687,-0.0018180495886559,-0.000105236889019,-0.0611760451364728,-2.018245695993749e-08,-3.013730127228157e-05,-9.639425007368424e-05,-0.0002492438689548,-1.149879309963751e-05
