Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
SK,-6.646916941454725,-0.0004151309855984,-2.377584708037769,-0.0002428200324959,-1.081933207089424,-8.903841440362712,-19.742264769125217,-0.3463293820525271,-9.937183685956885e-05,-14.591148902481544,-0.0001459284322339,-0.0010221531920549,-0.1315527906360582,-0.0301768643167796,-0.5470048839271286
CN,-1.6560257797988815,-0.0202416397608589,-1.5529593200306588,-0.0326208395048041,-4.0233563152354295,-10.214820602661831,-2.7519835633339382,-0.5879869895611011,-0.002682639908572,-13.40033039128973,-0.0030981388595123,-0.4591902209182757,-0.3874712828852498,-0.0086980382495299,-0.6828284696357525
DE,-1.434084499959995,-1.108498847924408e-05,-1.8961991820398445,-9.1888184847423e-06,-0.486438796097342,-1.96153205220458,-1.857200811451892,-0.0667185392794647,-0.000639185658539,-10.365923642067068,-0.0005560578103389,-7.823462931366258e-06,-0.1148688867548295,-4.510805617533716e-06,-0.1626348678784867
CZ,-0.158193593135042,-4.892564071224629e-05,-0.6229657848787856,-5.222785476963231e-06,-0.1115827586111488,-1.8989259198858508,-0.9311739498262264,-0.0760970683582041,-5.493786783220096e-07,-1.5673159875517708,-6.277336801501996e-06,-5.258697165987524e-06,-0.0035197382531448,-4.41992676187868e-06,-0.0090268673726297
AT,-0.2538717931704365,0.0,-1.234757874596612,-3.782698769811152e-07,-0.5202853164187714,-0.82013953324968,-1.267162676182232,-0.0068521998632284,-7.430048854337197e-07,-0.6818066996484716,0.0,-0.0002602238490228,-0.0355303085329689,-6.170397677064688e-08,-0.0046639826181479
US,-0.1742849532380667,-1.8907982329104253e-05,-0.3227157910109599,-0.0036940805871354,-0.2060782156524509,-0.384106882912251,-1.529726336884585,-0.0176838221701672,-0.0001373386555262,-1.9577735648190475,0.0,-5.125172471206511e-05,-0.0136265309899911,-0.0027843012090896,-0.0318467219052644
IT,-0.3905126172675914,-1.783555399637849e-05,-0.5834179585760586,-8.728806412916124e-10,-0.3466290023025968,-0.2513651493182579,-0.1206904623428796,-0.0288098146549736,-1.7393252007850909e-06,-1.4200727407149731,-1.6304563552981822e-07,-2.984960663152765e-11,-0.0102967512320733,-2.221999727724999e-06,-0.0271921085300456
HU,-0.2391628004043759,-9.940533576927255e-06,-0.2672471371803402,-2.0086645712723267e-10,-0.0014228936751731,-1.227683117084346,-0.884420074005717,-0.002124409280099,-2.3601941834106107e-06,-0.5483064908110027,-3.430709366930731e-05,-2.460418735823149e-06,-5.0913668002080665e-05,-2.206416956517434e-07,-0.0003717989664969
PL,-0.2046886252368795,-1.953661268739983e-05,-0.2928952169735091,-0.0024079388815219,-0.1491261936228785,-0.7932608029768906,-0.8940671776690704,-0.035450459843039,-0.0003468499624238,-0.5468132138650438,-1.2631609563144857e-05,-8.553703392130161e-07,-0.0002486036836102,-6.799441554743137e-05,-0.0145466933708312
GB,-0.1364005919847085,0.0,-0.1171178057104747,-5.237415338193229e-07,-0.1824744166264469,-0.4581747310718583,-0.4665875126498985,-0.0107901729622797,-6.461318333523766e-07,-0.188047184378361,-7.466357302090782e-06,-1.7560757498307855e-10,-0.0271554705823157,-2.0172531502577795e-06,-0.0530016077244101
FR,-0.0658158313614713,-2.3587977254968493e-05,-0.20106838214749,0.0,-0.1261649653100406,-0.4354985979552428,-0.2020407604375043,-0.0056461530609013,0.0,-0.2014408766756552,0.0,-1.734157255367095e-05,-0.0047502954432073,0.0,-0.0013283232469779
CH,-0.0071901460926672,0.0,-0.008776459554818,0.0,-0.0015239812984981,-0.2530672581344796,-0.4633128014676393,-0.000233408309362,0.0,-0.2799958993741005,-1.7999070179520626e-08,0.0,-0.0006973027429053,0.0,-0.1330112007824527
WA,-0.0352932297524034,-0.0067281711111429,-0.1717383652298443,-0.0050354245734596,-0.0737927521730221,-0.3047962791739873,-0.2498874916412783,-0.0218248140835728,-0.0010985123113574,-0.1437390781908263,-0.0011332955200093,-0.0171397559325943,-0.0245341620174012,-0.0012504879345288,-0.034874205454197
BE,-0.0792457948109227,-2.914027190512754e-07,-0.1280351445577777,-1.5884897207771605e-05,-0.1481030127697617,-0.0842104651817325,-0.1791816773705871,-0.032274781603604,-2.889214342336454e-07,-0.1216875183508433,-1.795778799680139e-07,-0.0026461277459497,-0.0048965523948538,-1.4209396024017417e-07,-0.1255239040244564
WM,-0.021501098737152,-0.0006157767609005,-0.1421095525727807,-0.0062073719464428,-0.0175122869637165,-0.2126353418243484,-0.2321060679320953,-0.0030081441764776,-0.0011564082145735,-0.1422287054124752,-4.871352498999692e-05,-0.00738268273983,-0.0098691232258263,-0.0047492529688311,-0.0259730499591963
RO,-0.0193996379861394,0.0,-0.0604315047692199,-0.0045584145105026,-0.0094070156645761,-0.1162919524392902,-0.3701562215217366,-0.0025290175499328,-8.506601815186189e-05,-0.2315210613152902,-2.819727754020752e-06,-0.0003790668400667,-0.0008373523902779,-0.0003855112559495,-0.0002004203693619
MX,-0.0034763812406177,-1.0476827936325341e-07,-0.0378460015872235,-0.0016423044926006,-0.0194762895006501,-0.4481187692441752,-0.1544913277465764,-0.0070503149830684,-8.334706892577724e-05,-0.0525174599254834,-3.687238836148877e-06,-0.0002866432540386,-0.0024367245644936,-0.0002266982357855,-0.013334305163981
JP,-0.0250487341500559,0.0,-0.044627140751614,0.0,-0.0518562223382036,-0.0729593682478684,-0.1042321834214214,-0.0144952929443648,0.0,-0.3389356347747869,0.0,-2.9228405237028977e-05,-0.0057645186405962,-3.313154545548578e-06,-0.0042479268525983
WE,-0.0730334864425039,-0.0199964607926797,-0.2011380540618142,-0.0004246708441321,-0.0424801085705348,-0.1397344319244129,-0.0677472761722401,-0.0092277333870826,-0.0010313375044343,-0.0642674851529067,-0.000386567540893,-0.0108907781569025,-0.0087529252486376,-0.0001822440012654,-0.0007449976670025
IN,-0.0086618158041702,-6.22466603094555e-05,-0.1624802964030143,-0.0001995991661437,-0.0171353867256359,-0.0364708255512857,-0.1095205470454565,-0.0065711089408082,-7.876194710836574e-06,-0.1784824665477255,0.0,-0.0003832445214093,-0.0005025530389016,-9.722099927356534e-05,-0.0075788762839713
SE,-0.0227229276860565,0.0,-0.1021697855805199,-0.0001513129562866,-0.0177721082053419,-0.1405545236851868,-0.08565272353942,-0.0010808744719643,-3.4374984979414e-05,-0.1282542705567642,-8.925668854122028e-06,-3.670665898030156e-06,-0.0014621236377684,-1.069366383160712e-05,-0.0001752948135158
CA,-0.0506373175274325,-4.3062199306279375e-05,-0.0665870086811473,-0.0005791927466791,-0.0145192674080862,-0.0802396475175309,-0.1315372892554121,-0.0060439347435706,-5.189845319666042e-05,-0.0886839579446297,-6.486082407116359e-05,-4.931210389148792e-05,-0.006120610852536,-7.990932579804885e-05,-0.0017794449443402
NL,-0.0162139325528076,0.0,-0.0101271251521649,0.0,-0.0261597265100598,-0.0579885242936513,-0.2270292231443689,-0.0034969578010782,0.0,-0.0940933894790295,0.0,-3.2639916712587478e-06,-0.0015806606823533,0.0,-0.0009937024063021
SI,-0.0400435116161189,0.0,-0.0339945347506837,-3.173947067967263e-07,-0.0043177382576632,-0.0868713198267008,-0.1180205903449162,-0.0032607789180872,-6.433380641672927e-07,-0.1244307419345503,-1.0467158625255566e-06,0.0,-0.0002982404346055,-9.066790107503161e-08,-0.0001581299259017
KR,-0.0177847687670998,0.0,-0.0408724400405996,-7.952804193238748e-07,-0.0355269466990654,-0.1228624975139975,-0.0657143505739591,-0.0317717868865547,-1.7335849633879769e-06,-0.0397353198803917,-1.6705496351935712e-05,-3.6721651846585575e-05,-0.0031341273474889,-4.075043799931287e-06,-0.0040241304507189
WL,-0.0115083911291253,-0.0018652335908525,-0.0318388469935359,-0.005805907735583,-0.1389220011530592,-0.065283095551187,-0.0509678337941873,-0.0062898924187084,-0.0005049977814507,-0.0281364329542514,-0.0002284823489375,-0.0020853170806557,-0.0052205014567186,-0.0007338625687952,-0.0054535877733611
ES,-0.019218376176346,-7.715548661564497e-07,-0.0742574678489104,-0.0027919208809846,-0.0445488142178195,-0.130499415560867,-0.0133452029312278,-0.0078402126210348,-1.3426369418259295e-09,-0.0357582785331379,-7.637097829499332e-05,-0.000397438143033,-0.0013969625651129,-2.346020505638257e-09,-0.0011392961404055
