Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
TW,-3.188214390881184,-1.7603788505163038,-23.65118473694132,-2.26518422779761,-23.07417250706589,-27.510689663993084,-68.25215318352359,-7.372413410476188,-2.204491468342682,-12.856860789258556,0.0,-0.7809938752946347,-44.589806865242046,-0.1033617210239339,-4.277830555152196
CN,-6.14756857509119,-0.0468501405100411,-4.99341945827751,-0.081185090708704,-22.617534328798254,-34.94162053653163,-7.30987629703152,-2.660539921221367,-0.0062848810913476,-38.45035989613383,-0.0073111842590267,-1.1530504800177708,-0.929437790619384,-0.0214306164178032,-2.3362217879236176
WA,-0.7092396097737077,-0.088526062226093,-15.780754068043873,-0.1619332021180833,-5.087683950193167,-9.994380221039528,-13.1454672055323,-1.0977793959405722,-0.0232072517870718,-3.9483228205097416,-0.0162562799238806,-0.3317457786846684,-1.312742298982769,-0.0291367358913992,-1.4062420946088494
US,-0.8687997355097371,-0.0002484580632018,-3.2852869308500856,-0.0647801959202174,-1.3936571692477575,-2.8029432177787283,-16.255166264837737,-0.1577975497925429,-0.0024921531847838,-14.05350110467992,0.0,-0.0008747070007986,-0.1099992805429055,-0.0420341369371177,-0.1616129789896059
JP,-1.0967481803741246,0.0,-10.257810560141074,0.0,-1.2130209810587755,-2.223550134073629,-11.28624776005398,-0.0830900804381641,0.0,-7.696557685004617,0.0,-5.441161563319754e-05,-0.0780154391202872,-1.7101370430724853e-05,-0.0385396702645958
KR,-1.265321044830928,0.0,-4.253441690392813,-1.514136630880204e-05,-2.5196264330547677,-2.8995718170851994,-3.158401849397331,-0.9880851000312476,-7.810959775297417e-06,-0.7307843562137701,-0.0002350737632985,-9.276960867851957e-05,-0.506951430811637,-2.8583254041508e-05,-0.0403588143800711
WM,-0.293412721710349,-0.0023510160218163,-3.386168097266794,-0.0368928804521795,-0.2180901669623094,-1.41178688515205,-3.01103441846152,-0.0368934020107999,-0.0063664303730262,-1.0472727443325829,-0.0002911861690667,-0.0377320489623529,-0.2611184255661168,-0.0285934185829237,-0.0321163787390696
DE,-0.8784117148723822,-5.111950479099655e-06,-0.8930531252775095,-2.1810713051821504e-06,-0.3305274400513295,-0.6970628709681139,-0.4961384020584539,-0.9313425906818612,-0.0002955454069645,-3.095343903795955,-0.0001413175951347,-2.978286611736032e-06,-0.6661575648531416,-4.205121708796663e-06,-0.0156493902624611
IN,-0.1411552946900785,-0.0005434449193078,-2.685886799119289,-0.0003394525230381,-0.2189571363598687,-0.5071163399736651,-1.864717193002932,-0.0692388079930028,-3.429865912196133e-05,-2.159960440732414,0.0,-0.0014221719652533,-0.004288289775592,-0.0001935272881363,-0.0792655490825388
CA,-0.8829368882490994,-0.0007256662558695,-1.328077715480193,-0.0043165514580727,-0.1651432172392498,-0.7274110148720415,-1.8110070275570769,-0.1567865892478228,-0.0003963467258488,-0.6332569143003537,-0.0005263543305238,-0.0006032394718034,-0.3560906831991255,-0.0007509614147701,-0.0155873780146271
WL,-0.0517872946257662,-0.0093118733963522,-1.1396273533384584,-0.0615499433774126,-2.1462038800085583,-0.7025618667816925,-1.147234221552177,-0.0212341531188507,-0.002600775526391,-0.3740613819434091,-0.000720109096186,-0.0097746442028607,-0.0227714832718503,-0.0046679602425263,-0.024033722401376
MX,-0.0453226106790495,-1.261881145178501e-06,-0.200701627214274,-0.0072721848928368,-0.2260137907678894,-2.881220597515909,-1.1110597533953237,-0.1614774710378026,-0.0003550851305842,-0.26713317905957,-9.223962555939904e-05,-0.0010021023422244,-0.0504642281677311,-0.0010302671553412,-0.0676610057392882
WF,-0.0249034058977982,-0.0162750595155822,-0.884376508155412,-0.0066328813172532,-0.1695228811736055,-0.3158689108671739,-0.8482715745390385,-0.0176058380334819,-0.0063608459068816,-0.1923037272670429,-0.0007673069814121,-0.0836596483878309,-0.073517965973321,-0.0021653917591965,-0.0102309172735178
ID,-0.0383238974441868,-0.0154723880443308,-1.49935020759438,-0.0035723691476716,-0.241004519951391,-0.1558862197343089,-0.1956637037090141,-0.0102316137108781,-0.0001311453009024,-0.067079516620858,-0.0023266130790928,-4.053046750914054e-05,-0.0295348340071336,-0.0009915775990481,-0.0049141294308243
GB,-0.3409195594936779,0.0,-0.2904196623715681,-5.060137197036135e-07,-0.3403133830575058,-0.4431847827663581,-0.3947487124368574,-0.0671528401889047,-1.1618278952643595e-06,-0.157827826716188,-1.5569168076247506e-05,-1.6966353918572422e-10,-0.0241332522114759,-6.746468927803762e-06,-0.0115933165596161
IT,-0.1089435214378286,-7.480468133963935e-06,-0.5972068922363157,-8.881446337541748e-10,-0.1739961068257644,-0.1170551843229772,-0.0730799675285044,-0.0400090508443438,-8.350373047536125e-07,-0.700494782517809,-1.7430744470272256e-07,-2.0246072267793053e-11,-0.01120361623544,-1.4037316392467846e-06,-0.0150369068411469
BE,-0.1657294654964779,-2.498711013981346e-07,-0.4064623085750747,-2.1849617302446573e-05,-0.0995449628878399,-0.0673783936261168,-0.2166845683166831,-0.0972136679378809,-3.97410363183881e-07,-0.114680037831292,-2.470087090879085e-07,-0.0027328234899884,-0.1068700049448019,-1.9544971627120938e-07,-0.0192008197118892
AU,-0.1034682139865721,-0.0450567973313156,-0.3004128066906596,-0.0083182095888221,-0.0198145883213108,-0.112896060617873,-0.1679376016437996,-0.0922283486847233,-0.0043086801224387,-0.0742402703087743,-0.0012248683065012,-0.0638520741626166,-0.1271431325324565,-0.0078898246957984,-0.0445783276963149
