Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
US,-22.814447930173863,-0.0094412924040785,-35.8484323542364,-2.1882048077956067,-3.934088199549492,-27.0924884609272,-223.12753651751663,-0.41201908425564,-0.0937064554038933,-122.2639756388425,0.0,-0.0181653835545424,-2.816308208847329,-0.7432943667751445,-2.349847230108971
CN,-2.3803544900810967,-0.0264248526657296,-1.860708254148368,-0.0444033395497126,-6.495360653287883,-16.068705070732936,-3.2605689435360024,-0.9890006722250648,-0.0032562664352523,-17.36074225449453,-0.004061953376952,-0.5929530815683008,-0.4041962055847836,-0.0115663610817884,-1.5060782999754827
MX,-0.0751414670568288,-1.0937084173700678e-06,-0.3130014162155555,-0.0120864803010694,-0.2059293421184209,-4.304529178570381,-1.890735419869389,-0.0874228642474683,-0.0005981840276077,-0.4552538763587963,-4.5936989273135526e-05,-0.0017276095065798,-0.0281815070331561,-0.0015750558605565,-0.1214046480215862
CA,-1.1534815136695755,-0.0003604188099652,-1.3728868862967438,-0.005403329840758,-0.120357328129506,-0.9515507697984662,-2.315869907135238,-0.0460642708060974,-0.0004469056688358,-0.8659918386782218,-0.0006018309997101,-0.0004031671442519,-0.0897419791678321,-0.0007821384717085,-0.0147870061169617
WA,-0.0755445457683139,-0.012884851576964,-0.4085107764464089,-0.0110270259259758,-0.1213263299900887,-0.5544366041234756,-0.5231040287488407,-0.0436627224615151,-0.0018772718364625,-0.2247442334656859,-0.0024051738144762,-0.0322596196940526,-0.0724727075051793,-0.002423714741948,-0.1337110401541599
JP,-0.1176914643940593,0.0,-0.1046507407492566,0.0,-0.0891868316077021,-0.1843125832962196,-0.286440562986792,-0.0119017536184676,0.0,-0.7639767734563141,0.0,-2.3463354495402663e-05,-0.0151671774861559,-5.412084279727936e-06,-0.0118240357328987
DE,-0.0835646466887747,-8.546087670580452e-07,-0.1374610510706054,-6.297084871440348e-07,-0.085464390985928,-0.1624741236078834,-0.1029713526479811,-0.0110791213349677,-4.994424240432197e-05,-0.7143604752675138,-2.9904901199577847e-05,-6.259654991706103e-07,-0.0370691292704722,-4.687654401763532e-07,-0.0110568960850318
WL,-0.0260752948883739,-0.0099544198263222,-0.1021472595443604,-0.0207358743237401,-0.5470258647698392,-0.2264246145257137,-0.1531791970068722,-0.0159095053730815,-0.0018161641023404,-0.068477536299801,-0.0008285349872899,-0.0064846662279894,-0.010905604944505,-0.0021051396311503,-0.012959753164373
IN,-0.0194586716364222,-7.314637788187501e-05,-0.4008563763654199,-8.32888446994446e-05,-0.0277167584425213,-0.0626586936832106,-0.2181511460152176,-0.0118761939560104,-6.467820060503576e-06,-0.2397057546285788,0.0,-0.0002515178903349,-0.0006421753858561,-4.048587527461123e-05,-0.0185435679388136
KR,-0.0928335394444244,0.0,-0.1146291188065578,-1.877634658312795e-06,-0.1182836057141969,-0.3241691743151391,-0.1782030235940721,-0.0760711636687236,-2.2579162490609305e-06,-0.0682557066162151,-3.953818786522124e-05,-6.264168034398716e-05,-0.0110387850631742,-1.1275190749944744e-05,-0.0107514262921984
