Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-87.171559324048,-0.3961850008000587,-42.5326075343543,-0.6044138457799314,-25.91991994189715,-148.36372304006002,-51.44711212323255,-9.041695573348203,-0.0363054979268181,-269.13698011834185,-0.0493830561350039,-7.352018877612321,-5.158720632273207,-0.1347795032363375,-9.162943573419238
US,-0.6375197173932645,-0.0002837983667098,-1.4017408324361944,-0.0317965619098001,-0.3393626316500246,-2.437346347394256,-13.284306551674907,-0.020429814209323,-0.0011726157939901,-10.082892080689865,0.0,-0.0006044714375053,-0.0596706510379677,-0.0405091187852622,-0.1055691101800537
WA,-0.2423627583411506,-0.0750764878470229,-7.323842597789676,-0.0638704880333376,-0.3038358864240734,-2.213934211437329,-2.5446747961553946,-0.1677569783815356,-0.0121668669678319,-1.072945297403333,-0.0126261694045987,-0.202844751593688,-0.2886159202809575,-0.0155871549281283,-0.1533592224709502
DE,-1.1641346680070954,-5.995080808911198e-06,-1.8952380048370392,-4.382286335336135e-06,-0.3090812039442179,-1.321540025143196,-1.327749035439857,-0.0905853390494034,-0.0006292579253623,-5.805975482783738,-0.0002234168611571,-4.6441975898345e-06,-0.097282317372886,-2.593287580323633e-06,-0.0588852298835733
JP,-0.1708708207654224,0.0,-0.7161849170560826,0.0,-0.1413291408236536,-1.3273246938086154,-2.06284617276366,-0.0314995724389836,0.0,-3.883489761570852,0.0,-6.653948825114387e-05,-0.0524626845077502,-2.6935317895346364e-05,-0.0165868727522583
IN,-0.6047312102601519,-0.0008888188312831,-2.34995938569993,-0.0007052042418078,-0.3143770451889233,-0.9264489662560268,-1.7798788448381322,-0.1280935794986971,-7.636021065353954e-05,-1.6220065824272842,0.0,-0.0026643257510277,-0.0071243983335958,-0.0003905691985199,-0.1691294708328026
KR,-0.2894806554966059,0.0,-0.7382534565169924,-1.1520722360153432e-05,-0.1673040347572885,-2.075014239802831,-1.5053117109940366,-0.1212619909182945,-1.6165464804329013e-05,-0.4031897568442729,-0.0007018085967186,-0.0002112706005861,-0.0323678605462333,-9.48060460999414e-05,-0.0264118389147734
ID,-0.1013115431020272,-0.1679018732910005,-1.6328681357803905,-0.0244281964318965,-0.184778731731602,-1.366767842540748,-0.6187286787524721,-0.0535904543544376,-0.0009824468317557,-0.1617718077365772,-0.0194264403533999,-7.972163022622404e-05,-0.0777219329624882,-0.0054799934368183,-0.020494560949613
TW,-0.112640035493492,-0.0001390769918227,-0.1696913161153092,-0.0001407215923284,-0.0876907234049624,-1.252901893180174,-1.3287222867283046,-0.0114722618916715,-0.0001129865521578,-0.2524565059789168,0.0,-0.0003439982624203,-0.0861421525216766,-1.0031705827983869e-05,-0.0371703894563561
MX,-0.115795462210171,-5.054069031126869e-07,-0.1849242475103428,-0.0079220032881385,-0.0699736687513244,-1.6629707474930626,-0.7976981210146272,-0.0553505734965871,-0.0004921229656211,-0.1840175531212385,-2.7249892850364344e-05,-0.0014582763124893,-0.0110486147152809,-0.0006823562415806,-0.0704628792920095
LU,-0.1402567947256596,0.0,-0.4706884714921393,0.0,-0.0465967200573627,-0.2935919012433418,-1.1013332543355598,-0.0470316394950963,0.0,-0.1219723860227635,0.0,0.0,-0.0056877314642001,0.0,-0.0138558198426642
CH,-0.0320856235678324,0.0,-0.018045948306281,0.0,-0.0020130338558818,-0.5036324960483333,-0.7742849815684507,-0.0008607681200941,0.0,-0.4948120447500876,-9.789534317922954e-08,0.0,-0.0023260187612012,0.0,-0.2101638923649383
BE,-0.3055729998224225,-1.9014012473745983e-06,-0.4935494270467269,-0.0003361391208618,-0.2523440318741287,-0.1687951126917693,-0.4158777981398803,-0.0513384763156448,-6.113844844643784e-06,-0.1538500103245192,-3.800034076968625e-06,-0.0129616683719495,-0.0144285261190543,-3.0068396572298715e-06,-0.1127145335296619
WM,-0.0692609594998195,-0.0018793754496673,-0.3514778924404956,-0.013739465433088,-0.0301259052788948,-0.4623912405453241,-0.5376466079589092,-0.0088013130361329,-0.0029317727579011,-0.2752192036381023,-8.346800721478092e-05,-0.0197620173024897,-0.0268102441720589,-0.0148060868740234,-0.0140669609813566
CA,-0.1421377404457104,-9.836241941107028e-05,-0.3242001964278178,-0.0043117025955719,-0.0294850732319142,-0.3018985339455699,-0.5785727425024587,-0.0196557970680281,-0.0002582267820439,-0.3029841591280595,-0.0004080627783502,-0.0003561708624865,-0.0289086819321058,-0.0005111467318024,-0.0128960224426319
FR,-0.2046242133530498,-2.307956031709068e-05,-0.2980864409328347,0.0,-0.0621979984406479,-0.4861007870054022,-0.2636652008220743,-0.0075601553725235,0.0,-0.2283344921285793,0.0,-3.661062755966988e-05,-0.0053588946996596,0.0,-0.0014656571780755
GB,-0.0974500487387841,0.0,-0.132811469350243,-3.825749311368021e-07,-0.0611977152621067,-0.3707920633519543,-0.4204968350083161,-0.0145491806099916,-2.526036937006179e-06,-0.1714106302924068,-3.4489993476687447e-05,-1.2827521102183269e-10,-0.0293657580230671,-2.40363653036963e-05,-0.013211535682138
RU,-0.0723972722274339,-9.376868858865584e-05,-0.9473594400403844,-0.0021393305857006,-0.0446388806593411,-0.0969996425924733,-0.0534879852793279,-0.0054671356664742,-0.0063063702009119,-0.0144184153650668,-0.0007133594638748,-0.0056461604202373,-0.0248450805345909,-0.0042317987740425,-0.0132398457828974
WL,-0.0270241685354994,-0.012177006386878,-0.1171124193826599,-0.0190457625805411,-0.3497953161195719,-0.3070976863547988,-0.2173256916840228,-0.0184718421293934,-0.0020899524060773,-0.0970042818870346,-0.000999003285909,-0.0067102034751066,-0.0117375626401198,-0.0022744469769122,-0.0149777009121738
AU,-0.1378095749046561,-0.1957556851224396,-0.13005988885267,-0.021281772045127,-0.0441794343719347,-0.1160551865041083,-0.0507200607600842,-0.049076726273576,-0.0081942558977852,-0.0431865241566712,-0.0034887491400918,-0.1448622512216301,-0.1021609552794178,-0.0165447812331426,-0.0913312053563944
IT,-0.0816813157740384,-1.2998449454913017e-05,-0.2589592184252499,-3.7328797562658754e-10,-0.0611003977488485,-0.1272178360331243,-0.048399650108334,-0.0130494519233697,-2.594754837365748e-06,-0.5072169263357458,-7.265229247645117e-08,-7.275165623006461e-12,-0.002925385237862,-4.72203838532789e-07,-0.0123948576519487
NL,-0.0619998045154495,0.0,-0.1040902435449458,0.0,-0.0516888098635525,-0.16887157496875,-0.4393539413944117,-0.0150554231646572,0.0,-0.1877079668408144,0.0,-2.5043481742919137e-05,-0.0066317627700565,0.0,-0.0044268478889081
TR,-0.0421773996003223,-0.0003694214696372,-0.2557308351923791,-0.0007229844813014,-0.0118165133990013,-0.2032171923067399,-0.2671456701291325,-0.0004869644249997,-0.0001683155272574,-0.0349315480913713,-9.81095118323978e-06,-0.0087511615703976,-0.0021545990363833,-0.0012272034552791,-0.0156327264622851
CZ,-0.03279757148648,-9.23448618974006e-06,-0.0572873606662884,-9.373308040189382e-07,-0.0087293153903418,-0.3479254498778915,-0.2137723429328537,-0.0049645304615409,-3.985803716918216e-07,-0.1671598896492047,-1.1460481689073938e-05,-2.0165586133348165e-06,-0.0006239896153032,-1.2790908621686627e-06,-0.0013582092180731
PL,-0.0500864578715492,-6.0473818853853095e-06,-0.0527091013366725,-0.0014186227053212,-0.0510363384837362,-0.2596473431942723,-0.166862946092454,-0.0076476221619486,-0.0002736066851511,-0.1275479932985143,-3.91000057572359e-06,-3.673935413808147e-07,-9.3838819854215e-05,-4.295304225732242e-05,-0.0059571598911892
WF,-0.0145063967501453,-0.0258473404153509,-0.0943915634937411,-0.0058069464629778,-0.0464410135068463,-0.0965600891759684,-0.1317846515571135,-0.0063124267045471,-0.0061366978501344,-0.0458209612435968,-0.0011062655243204,-0.0710313627767251,-0.057243299392348,-0.0018209401644188,-0.0084916269258649
ES,-0.1684573645453106,-1.5773707000918306e-06,-0.1616265144177266,-0.004673548759944,-0.0451922871045873,-0.1371062422299798,-0.0157048202782362,-0.033405184255454,-2.28669291284297e-09,-0.0412754278321522,-8.560265627830108e-05,-0.0004897613996751,-0.0025620725870116,-3.995591284961857e-09,-0.0019652530922962
AT,-0.055774736030248,0.0,-0.1313347138025309,-4.600824689458682e-08,-0.0144760869921698,-0.1094592650737628,-0.1155483242730498,-0.000868219544576,-9.037027342947923e-08,-0.0858215641087154,0.0,-6.049159175012587e-05,-0.0082821181859045,-7.50493753374566e-09,-0.0008956575688973
HU,-0.0141583654099515,-1.4481012888543225e-06,-0.0431989637311285,-2.5215825260902386e-10,-0.0002396565378884,-0.2609617203039023,-0.0799472698475884,-0.0002945429714333,-1.8188634930675795e-07,-0.0966936960885683,-1.9809481724972518e-06,-7.361948683214552e-07,-1.428145690786716e-05,-7.393716370409327e-08,-0.000193074743407
BR,-0.0326300131756226,-0.0035834206264426,-0.1299258051649932,-0.0077224619387316,-0.017618866558421,-0.0782893007877271,-0.0412391043090153,-0.0047274632037051,-0.001432719630687,-0.0535459935535003,-0.000673538879681,-0.0229432060824434,-0.0057757966101723,-0.0004569456268847,-0.0054607752530657
SE,-0.0381698599941347,0.0,-0.0881259786832172,-0.0003153564451343,-0.0118335817324992,-0.0581647980408429,-0.0498698024104536,-0.0026128252353736,-5.186539113428655e-05,-0.0705257487993487,-3.540865619027472e-05,-4.476999892027077e-06,-0.0023191791320951,-2.375039659197552e-05,-0.0002587063464711
ZA,-0.0089186035549471,0.0,-0.0223671170222163,-0.0007902542619174,-0.010236962398909,-0.0174611533851447,-0.0172182938807516,-0.0025728703174287,-9.11248962562568e-05,-0.0156157990399046,-8.087914027542261e-05,-0.1414284670402352,-0.01074592602992,-0.0004721610079567,-0.0100492335910517
IE,-0.0097634581732159,0.0,-0.0023605274240976,0.0,-0.0002305235257603,-0.1494959679388887,-0.0432104482360244,-0.0008494414429164,-1.2840754509447366e-05,-0.0448027765403882,-4.966781578328176e-07,0.0,-0.0043739464733444,-8.043039318769114e-07,-0.0002038092872959
WE,-0.014832941555176,-0.0197666747947738,-0.0928458055914778,-0.0002179798412667,-0.0140913660054278,-0.0530679244283564,-0.0190083088103969,-0.0042193657700706,-0.0008702758415573,-0.0199049703579051,-0.0004632651892814,-0.0056153119454207,-0.0051131120752249,-8.419121442256352e-05,-0.0005591587507876
GR,-0.1032878291303924,-0.0003074722059725,-0.0596092269927388,0.0,-0.0056235470385276,-0.0112302807888138,-0.0584988682615966,-0.0001189815136096,-3.898391271709741e-06,-0.0075537575949414,-4.072960501563975e-08,-3.2099771979579895e-07,-1.0800138286871444e-05,-1.422776730758776e-07,-1.4568156462922776e-05
DK,-0.0188087241532647,-3.3553233805006536e-06,-0.0153646936578588,-7.074418265765397e-07,-0.0015685113723375,-0.0765562759211346,-0.0799020379350139,-0.0002366574482599,-5.413536896250645e-07,-0.0526891211724828,-3.0767559601079114e-06,-1.4187613468772705e-08,-0.0002504766534071,-1.0941239387213214e-06,-0.0001951399126379
SK,-0.009947237158215,-1.1014000955914664e-06,-0.0092191980336793,-5.5060882949733834e-08,-0.0026549604531351,-0.0683917938547987,-0.0524085700836911,-0.0012813395275836,-2.2547338047543333e-08,-0.0443366745880804,-3.898027600466612e-07,-2.6865945294492375e-07,-0.0001705528800135,-1.3508408204402526e-05,-0.0010762364356122
RO,-0.0110121810079283,0.0,-0.041515617755273,-0.0013678402492011,-0.0044195353039008,-0.030267590106059,-0.0399009172866816,-0.0020963440120911,-2.442303166435809e-05,-0.0574405363142868,-7.531358050193054e-07,-0.0001035026705362,-0.0002736364768107,-0.0001112215131984,-2.5913472766056576e-05
NO,-0.0137363335243658,-5.738689737246638e-07,-0.0182853695073559,-2.1896103646122997e-05,-0.0039404746355394,-0.0728968079500458,-0.0195679152144333,-0.0005597899407518,-2.638436632043467e-06,-0.0358921103161999,-6.628850621652152e-06,-0.0003251584741903,-0.0179643329966931,-1.289377994918318e-06,-0.0015958010328079
FI,-0.0034161075437298,-1.052438690621633e-07,-0.0307455535911813,-0.0002589294079774,-0.0108216752059574,-0.036654505495125,-0.0100029998114516,-0.0028697794428601,-2.26767552023291e-05,-0.0338995947269208,-2.8178641879283327e-05,-6.5167297219397216e-06,-0.0284170367676123,-9.122015556903373e-06,-0.0004073434983176
