Shock_Country,Aluminium and aluminium products,Aluminium ores and concentrates,Basic iron and steel and of ferro-alloys and first products thereof,Copper ores and concentrates,Copper products,Electrical machinery and apparatus n.e.c. (31),"Fabricated metal products, except machinery and equipment (28)","Lead, zinc and tin and products thereof","Lead, zinc and tin ores and concentrates",Machinery and equipment n.e.c. (29),Nickel ores and concentrates,Other non-ferrous metal ores and concentrates,Other non-ferrous metal products,Precious metal ores and concentrates,Precious metals
CN,-4.8710562044881,-0.0530297059820207,-3.0451478454083225,-0.0768266638535799,-4.448029230290789,-9.517597505889022,-3.3102227720096367,-1.2184228260946008,-0.004112261119738,-18.68389751721634,-0.0067894556069301,-0.6953544684405067,-0.5542081488472627,-0.0148724317237268,-0.9583279280898312
WM,-0.2599235597697863,-0.0058356827197937,-1.0587825844620686,-0.0598721726912036,-0.0837971648537108,-0.6465917058802068,-1.6740902241601987,-0.0278067090390179,-0.0178000284570766,-1.1426414639646316,-0.0007952245132249,-0.0652846638555042,-0.1129628627988233,-0.0493815754671572,-0.0183987348817647
US,-0.0758070621782186,-2.864633339828993e-05,-0.1188493392814142,-0.0043077717679879,-0.0254368452618224,-0.174407266145874,-0.9175061881872584,-0.0020675204438027,-0.0001989074271712,-0.786406810027093,0.0,-6.034006401757732e-05,-0.0049069856287583,-0.0032932382651169,-0.0079802875586406
IN,-0.0577986155356038,-0.0003252569188688,-0.5352251789690748,-0.0002011967403879,-0.047263543922909,-0.1127873833676583,-0.2584952540003809,-0.0235176302976615,-1.762384631574126e-05,-0.2392352308374269,0.0,-0.0006906459673191,-0.0014200340664191,-8.054595686127502e-05,-0.0214578241945272
WA,-0.0531617097829871,-0.011744922522885,-0.2619286497031177,-0.0187210908741859,-0.0521061844219607,-0.2272498648792645,-0.2729523070991457,-0.0308550540416338,-0.0025423346851675,-0.1125117166466442,-0.0026086732576876,-0.0378782943376915,-0.049240063019773,-0.00419405412963,-0.0231762261921452
JP,-0.0347974024575719,0.0,-0.060887437848393,0.0,-0.030535673532989,-0.0751632682969118,-0.1750769275931848,-0.004356161525961,0.0,-0.3084715558644811,0.0,-1.850417388194128e-05,-0.0095294994292401,-7.7506485951051e-06,-0.0028387141979874
KR,-0.0358609653151657,0.0,-0.0975132119933264,-2.3139877221752443e-06,-0.0382304648644939,-0.1786858758385688,-0.1577793377755649,-0.029008114658152,-1.0215202781441916e-05,-0.0448088675884046,-0.000138400839681,-8.050970833023886e-05,-0.0056975734698877,-3.4587928365166635e-05,-0.0037270594907416
DE,-0.0320776863886292,-2.620198486217283e-07,-0.0692226879994411,-1.8488626270419625e-07,-0.0139593763485896,-0.0573726933008839,-0.0447984535776092,-0.003751489469921,-2.4738783799428043e-05,-0.2436350311680052,-9.186670643107994e-06,-2.460002773681605e-07,-0.0036635243559434,-1.168582724010793e-07,-0.0022165439960955
MX,-0.0060538663322719,-3.3306529592633656e-08,-0.0119564627210146,-0.0005819212207691,-0.0049575408778229,-0.1139443881798802,-0.0531774749308276,-0.0032598012481174,-3.534496057528283e-05,-0.0126956765289019,-1.6180725907528146e-06,-9.98238387298299e-05,-0.0007619236251333,-5.7013447323241095e-05,-0.0045749697858981
TW,-0.0074979963948371,-2.2558237021872547e-05,-0.0085205851846818,-1.9519516121287968e-05,-0.0047577093683964,-0.0779511426362852,-0.0697775228968338,-0.0009381892256667,-1.2407251155910303e-05,-0.0149077107007358,0.0,-0.0001029381958706,-0.0050805416848988,-1.3421757385340504e-06,-0.0018393041009067
