Shock Country,CN,FR,DE,JP,US
AT,0.0,0.0,0.0,0.0,0.0
BE,-1.4597202353633452e-09,-2.4402139098570816e-08,-1.0897718868457596e-08,-7.99678716800514e-10,-1.298478343771966e-09
BG,-2.545064551178651e-10,-1.6660928112713612e-09,-1.7990791100849055e-09,-1.8881532085863515e-10,-2.8177076356959787e-10
CY,-9.64097569143497e-13,-1.223913325370443e-12,-9.822802988852175e-13,-8.795531359598697e-13,-5.425189190269033e-13
CZ,-1.3667858206387176e-08,-9.685176998809588e-08,-2.8414052868460306e-07,-1.1707072127909856e-08,-6.381744985324293e-09
DE,-2.321378612001341e-09,-4.323414666060364e-08,-1.6498470269863613e-07,-3.0119060269348294e-09,-1.928993831465033e-09
DK,-1.2111177301212827e-08,-2.4195746514802514e-08,-3.9816090158850355e-08,-2.3808816239546206e-09,-3.774561816156704e-09
EE,-3.071339398842855e-11,-3.064067010064904e-10,-3.0838362556735113e-10,-2.0298437215823868e-11,-1.7713242706228393e-11
ES,-1.6611707179062817e-09,-1.9246404215447825e-08,-8.738968004132878e-09,-7.853172632524193e-10,-9.794500934381956e-10
FI,-2.2622472944272065e-09,-9.136574169556624e-09,-2.1121108860265814e-08,-2.6457508050382857e-09,-1.7036314725012575e-09
FR,-2.2731385363313247e-08,-6.501895017265307e-06,-3.5743579614399417e-07,-1.8692977882342118e-08,-2.737108312490747e-08
GR,-4.815101141839096e-08,-3.796194010572731e-07,-2.7265900789184137e-07,-2.761751494955418e-08,-4.1476073189606857e-08
HR,-1.2047409133425192e-08,-1.0256822036268192e-07,-1.4871038748327106e-07,-7.675983904681526e-09,-7.839330565073875e-09
HU,-5.9413507402309186e-09,-1.0629732107664227e-07,-1.3643573428597747e-07,-1.3775671159545475e-08,-4.831714181772527e-09
IE,0.0,0.0,0.0,0.0,0.0
IT,-1.2974840388669201e-08,-1.7772886006501336e-07,-1.945500823762986e-07,-9.048581545417901e-09,-1.584175588018021e-08
LT,0.0,0.0,0.0,0.0,0.0
LU,0.0,0.0,0.0,0.0,0.0
LV,-1.3936565971729883e-10,-1.7147433659548363e-09,-1.847957377757434e-09,-1.1507028761549983e-10,-9.468311434317029e-11
MT,-1.0253101132161e-12,-5.303624409938586e-12,-3.1301998857808934e-12,-9.207821892079885e-13,-8.002154055646823e-13
NL,0.0,0.0,0.0,0.0,0.0
PL,-9.856658090474787e-09,-3.454200397746661e-07,-4.961784091633682e-07,-3.652852888730086e-09,-5.0681981785763544e-09
PT,-1.0565285106931275e-10,-1.7402007631225414e-10,-8.469875590520936e-11,-1.3825475855869202e-11,-1.3807106489234689e-11
RO,0.0,0.0,0.0,0.0,0.0
SE,0.0,0.0,0.0,0.0,0.0
SI,0.0,0.0,0.0,0.0,0.0
SK,-1.307299470308962e-08,-4.190656379686323e-07,-4.433731027295326e-07,-2.5028797668175793e-08,-1.7793847454622814e-08
GB,0.0,0.0,0.0,0.0,0.0
US,-5.470900202447326e-08,-7.597768344123791e-08,-6.164671972460694e-08,-4.646853753601409e-08,-8.571359453174714e-06
JP,0.0,0.0,0.0,0.0,0.0
CN,-7.470530196029415e-05,-3.929609783185161e-06,-4.889190578316885e-06,-7.627133715912564e-06,-1.743125100182902e-06
CA,-1.9825798821623786e-07,-1.5084143440852314e-06,-1.4348055036155236e-06,-6.79325626905173e-07,-2.6225533676033513e-06
KR,0.0,0.0,0.0,0.0,0.0
BR,-5.667847125091481e-07,-5.734895156370477e-07,-4.6494638795405187e-07,-2.3589139598029578e-07,-4.0441905994292903e-07
IN,-6.552036614951721e-07,-5.000430481411194e-07,-4.499243622461296e-07,-4.095723697156292e-07,-1.9607781161146027e-07
MX,-2.792363229231967e-10,-4.235964019107103e-10,-5.935723390103593e-10,-3.923081846736006e-10,-1.2763300089026927e-09
RU,-5.1156164753955313e-08,-1.7772286288971905e-07,-2.0234574696380603e-07,-5.295991453975291e-08,-2.528675256395206e-08
AU,-2.589442467289814e-06,-1.8232444653651405e-06,-1.6272645600798378e-06,-1.5215852151517053e-06,-1.0425813246737342e-06
CH,0.0,0.0,0.0,0.0,0.0
TR,-1.5192846316867935e-08,-8.136634942873431e-08,-5.243534038206353e-08,-1.069395060244383e-08,-8.896238797176135e-09
TW,-1.4900357478153018e-08,-6.680528940835876e-08,-7.556240968043013e-08,-1.0532540233279219e-07,-2.0123898396978484e-08
NO,-1.9366577725050313e-09,-2.162124483488579e-09,-2.027413439828437e-09,-1.6279016814664758e-09,-1.6217789305930733e-09
ID,-7.885819998516414e-07,-2.1547850832474408e-07,-1.6320647412502888e-07,-4.0885241424479277e-07,-9.501361686864149e-08
ZA,0.0,0.0,0.0,0.0,0.0
WA,-5.522508544264346e-06,-4.5214159164829275e-06,-3.059383959281242e-06,-9.370995449192689e-06,-2.4156407207783827e-06
WL,-1.8420372123445158e-06,-1.6784244315753527e-06,-1.5206927662941014e-06,-8.05086168251342e-07,-2.689443332665584e-06
WE,-1.6160824302211553e-06,-1.290664884983818e-06,-2.3348431795460763e-06,-3.159003317973823e-07,-2.6664879466523664e-07
WF,-1.4394918615334327e-06,-8.337489114858878e-06,-1.3256317409975346e-06,-3.292101971133305e-07,-5.801695421257487e-07
WM,-1.8066400181212838e-06,-3.7509658031267673e-06,-2.495129308148378e-06,-1.733679297798311e-06,-9.508005509176282e-07
