Shock Country,CN,FR,DE,JP,US
AT,-1.590148863646044e-10,-1.351445093874043e-09,-5.283633339420978e-09,-1.1296760589984576e-10,-1.5846977624775845e-10
BE,-1.1118074168060528e-07,-5.167024871592871e-07,-2.567250855427167e-07,-3.518975281324569e-08,-6.215803367264237e-08
BG,-1.6491781093029374e-07,-9.079879648527707e-07,-1.0605044524283548e-06,-7.619626537494899e-08,-1.0581097758781764e-07
CY,-5.845950990293767e-10,-1.571851485217837e-09,-1.3750221565208312e-09,-5.803813825737696e-10,-4.80766703068666e-10
CZ,-1.507527232284048e-09,-1.0225795833470051e-08,-2.2606172604403095e-08,-9.102138085587208e-10,-8.259443652995332e-10
DE,-2.142087070412687e-09,-3.381664358576365e-08,-1.832801054687048e-07,-1.924173658107458e-09,-1.915810621732679e-09
DK,-3.808598582789303e-09,-8.372240297862783e-09,-1.7159520026579125e-08,-1.0689456635639786e-09,-2.312039314243978e-09
EE,-1.4859345073624374e-11,-1.4850148347828042e-10,-1.4941138199576749e-10,-9.798771655302924e-12,-8.61248783955209e-12
ES,-8.877325178205699e-07,-1.472729066351692e-05,-4.221228921147307e-06,-3.839907591584849e-07,-4.1879347846579016e-07
FI,-5.483868998097268e-07,-1.748837552285683e-06,-2.0155377234031976e-06,-3.074242293993323e-07,-2.9991269116266835e-07
FR,0.0,0.0,0.0,0.0,0.0
GR,0.0,0.0,0.0,0.0,0.0
HR,-4.941229588900694e-09,-2.9663701687227507e-08,-4.6050125527190066e-08,-2.234463512852801e-09,-2.8953556559817046e-09
HU,-3.4219342450186883e-10,-9.466357615077692e-10,-1.5827416970584252e-09,-1.513793405093432e-10,-1.1117568948158816e-10
IE,0.0,0.0,0.0,0.0,0.0
IT,-3.6586737592194805e-10,-2.1909517220121374e-08,-1.0942602529581323e-08,-3.831965639057664e-10,-3.174142565496654e-10
LT,-4.590940805445224e-12,-4.7793815355715796e-11,-6.555083861227352e-11,-2.4325141416390148e-12,-2.4277721626453922e-12
LU,0.0,0.0,0.0,0.0,0.0
LV,-1.7561878894429797e-10,-2.161696113824699e-09,-2.3295890539068337e-09,-1.4511252441562914e-10,-1.194219770507971e-10
MT,-6.121254407260298e-14,-3.2637688676545144e-13,-1.9645605977704353e-13,-5.4972070997491856e-14,-5.425189190269033e-14
NL,0.0,0.0,0.0,0.0,0.0
PL,-5.274951136090371e-06,-4.0410700847118114e-05,-5.974067783388613e-05,-2.943282714060495e-06,-1.622487704434836e-06
PT,-3.820030025394862e-08,-1.1386791854494285e-06,-4.996213278051022e-07,-2.5491635019939176e-08,-2.0942464504979254e-08
RO,-4.944657032274679e-07,-6.6516610683899155e-06,-5.816604969351408e-06,-3.835700304131056e-07,-3.3737478893715197e-07
